Value,AFRICA_2024_DynamicWorld_2024_36PXU_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PXU_M_R,AFRICA_2024_GLC_FCS30D_2022_36PXU_M_R,AFRICA_2024_GSW_Yearly_2021_36PXU_M_R,AFRICA_2024_GWL_FCS30D_2022_36PXU_M_R,AFRICA_2024_WorldCover_2021_36PXU_M_R
123,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
124,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
125,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
126,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
127,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland
128,NULL,Cropland,NULL,Non_Water,Non_Wetland,Cropland
129,NULL,Cropland,NULL,Non_Water,Non_Wetland,Wetland
130,NULL,Cropland,NULL,Water,Non_Wetland,Grassland
131,NULL,Cropland,NULL,Water,Non_Wetland,Wetland
132,NULL,Cropland,NULL,Water,Non_Wetland,Forest
133,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
134,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
135,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
136,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
137,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
138,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
139,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
140,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
141,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
142,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
143,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
144,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
145,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
146,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland
147,NULL,Cropland,Shrubland,Water,Non_Wetland,Wetland
148,NULL,Cropland,Shrubland,Water,Non_Wetland,Water
149,NULL,Cropland,Shrubland,Water,Non_Wetland,Forest
150,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
151,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
152,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
153,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
154,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
155,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
156,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
157,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
158,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Bareland
159,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland
160,NULL,Cropland,Grassland,Water,Non_Wetland,Cropland
161,NULL,Cropland,Grassland,Water,Non_Wetland,Bareland
162,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
163,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
164,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
165,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
166,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
167,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
168,NULL,Cropland,Cropland,NULL,Non_Wetland,Water
169,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
170,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL
171,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
172,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
173,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Wetland
174,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Bareland
175,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Forest
176,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
177,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
178,NULL,Cropland,Cropland,Water,Non_Wetland,Wetland
179,NULL,Cropland,Cropland,Water,Non_Wetland,Bareland
180,NULL,Cropland,Cropland,Water,Non_Wetland,Water
181,NULL,Cropland,Cropland,Water,Non_Wetland,Forest
182,NULL,Cropland,Wetland,NULL,Wetland,NULL
183,NULL,Cropland,Wetland,NULL,Wetland,Grassland
184,NULL,Cropland,Wetland,NULL,Wetland,Wetland
185,NULL,Cropland,Wetland,NULL,Wetland,Forest
186,NULL,Cropland,Wetland,Non_Water,Wetland,Grassland
187,NULL,Cropland,Wetland,Non_Water,Wetland,Wetland
188,NULL,Cropland,Wetland,Non_Water,Wetland,Forest
189,NULL,Cropland,Wetland,Water,Wetland,Grassland
190,NULL,Cropland,Wetland,Water,Wetland,Cropland
191,NULL,Cropland,Wetland,Water,Wetland,Wetland
192,NULL,Cropland,Wetland,Water,Wetland,Water
193,NULL,Cropland,Wetland,Water,Wetland,Forest
194,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
195,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
196,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
197,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
198,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
199,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
200,NULL,Cropland,Bareland,Water,Non_Wetland,Grassland
201,NULL,Cropland,Bareland,Water,Non_Wetland,Cropland
202,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
203,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
204,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
205,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
206,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
207,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
208,NULL,Cropland,Water,Water,Water,Grassland
209,NULL,Cropland,Water,Water,Water,Cropland
210,NULL,Cropland,Water,Water,Water,Wetland
211,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
212,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
213,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
214,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
215,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
216,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL
217,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
218,NULL,Cropland,Forest,Non_Water,Non_Wetland,Cropland
219,NULL,Cropland,Forest,Non_Water,Non_Wetland,Wetland
220,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
221,NULL,Cropland,Forest,Water,Non_Wetland,Grassland
222,NULL,Cropland,Forest,Water,Non_Wetland,Cropland
223,NULL,Cropland,Forest,Water,Non_Wetland,Wetland
224,NULL,Cropland,Forest,Water,Non_Wetland,Water
225,NULL,Cropland,Forest,Water,Non_Wetland,Forest
226,NULL,Wetland,NULL,Water,Non_Wetland,Grassland
227,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
228,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
229,NULL,Wetland,Shrubland,NULL,Non_Wetland,Cropland
230,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
231,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
232,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
233,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
234,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
235,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
236,NULL,Wetland,Shrubland,Water,Non_Wetland,Cropland
237,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
238,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
239,NULL,Wetland,Cropland,NULL,Non_Wetland,Cropland
240,NULL,Wetland,Cropland,NULL,Non_Wetland,Wetland
241,NULL,Wetland,Cropland,NULL,Non_Wetland,Forest
242,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
243,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Cropland
244,NULL,Wetland,Cropland,Water,Non_Wetland,Grassland
245,NULL,Wetland,Cropland,Water,Non_Wetland,Cropland
246,NULL,Wetland,Cropland,Water,Non_Wetland,Wetland
247,NULL,Wetland,Wetland,NULL,Wetland,Forest
248,NULL,Wetland,Wetland,Water,Wetland,Wetland
249,NULL,Wetland,Water,Water,Water,Grassland
250,NULL,Wetland,Water,Water,Water,Wetland
251,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
252,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
253,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
254,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
255,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
256,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
257,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
258,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
259,NULL,Bareland,Grassland,Water,Non_Wetland,Grassland
260,NULL,Bareland,Grassland,Water,Non_Wetland,Wetland
261,NULL,Bareland,Grassland,Water,Non_Wetland,Bareland
262,NULL,Bareland,Cropland,NULL,Non_Wetland,Built-up
263,NULL,Bareland,Cropland,Water,Non_Wetland,Bareland
264,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
265,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
266,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
267,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
268,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
269,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
270,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
271,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
272,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
273,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
274,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
275,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
276,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
277,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
278,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
279,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
280,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland
281,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
282,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
283,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
284,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
285,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
286,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
287,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
288,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Cropland
289,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Forest
290,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland
291,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
292,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
293,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
294,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
295,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
296,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
297,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
298,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Cropland
299,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Built-up
300,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
301,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland
302,NULL,Built-up,Cropland,Water,Non_Wetland,Bareland
303,NULL,Built-up,Cropland,Water,Non_Wetland,Forest
304,NULL,Built-up,Wetland,NULL,Wetland,Grassland
305,NULL,Built-up,Wetland,NULL,Wetland,Forest
306,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
307,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
308,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
309,NULL,Built-up,Bareland,Water,Non_Wetland,Grassland
310,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
311,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
312,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
313,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
314,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
315,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
316,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
317,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
318,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
319,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
320,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland
321,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
322,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
323,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
324,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
325,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
326,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland
327,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
328,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
329,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
330,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
331,NULL,Water,Grassland,Water,Non_Wetland,Bareland
332,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
333,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
334,NULL,Water,Cropland,NULL,Non_Wetland,Forest
335,NULL,Water,Cropland,Non_Water,Non_Wetland,Cropland
336,NULL,Water,Cropland,Water,Non_Wetland,Grassland
337,NULL,Water,Cropland,Water,Non_Wetland,Cropland
338,NULL,Water,Cropland,Water,Non_Wetland,Forest
339,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
340,NULL,Water,Bareland,Water,Non_Wetland,Bareland
341,NULL,Water,Forest,NULL,Non_Wetland,Grassland
342,NULL,Forest,NULL,NULL,Non_Wetland,NULL
343,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
344,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
345,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
346,NULL,Forest,NULL,NULL,Non_Wetland,Forest
347,NULL,Forest,NULL,Non_Water,Non_Wetland,Grassland
348,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
349,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
350,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
351,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
352,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
353,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
354,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
355,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
356,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
357,NULL,Forest,Shrubland,Water,Non_Wetland,Wetland
358,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
359,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
360,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
361,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
362,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland
363,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
364,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
365,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
366,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
367,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
368,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland
369,NULL,Forest,Cropland,Water,Non_Wetland,Grassland
370,NULL,Forest,Cropland,Water,Non_Wetland,Cropland
371,NULL,Forest,Cropland,Water,Non_Wetland,Wetland
372,NULL,Forest,Wetland,NULL,Wetland,Forest
373,NULL,Forest,Wetland,Non_Water,Wetland,Forest
374,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
375,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
376,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
377,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
378,NULL,Forest,Forest,NULL,Non_Wetland,NULL
379,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
380,NULL,Forest,Forest,NULL,Non_Wetland,Forest
381,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
382,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
383,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
384,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
385,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
386,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
387,Grassland,NULL,NULL,Non_Water,Non_Wetland,Forest
388,Grassland,NULL,NULL,Water,Non_Wetland,Grassland
389,Grassland,NULL,NULL,Water,Non_Wetland,Wetland
390,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
391,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
392,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
393,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
394,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
395,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
396,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
397,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
398,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
399,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
400,Grassland,NULL,Shrubland,Water,Non_Wetland,Cropland
401,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
402,Grassland,NULL,Shrubland,Water,Non_Wetland,Water
403,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
404,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
405,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
406,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
407,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
408,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Forest
409,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
410,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
411,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
412,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
413,Grassland,NULL,Cropland,NULL,Non_Wetland,Water
414,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
415,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
416,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
417,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
418,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Forest
419,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
420,Grassland,NULL,Cropland,Water,Non_Wetland,Cropland
421,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland
422,Grassland,NULL,Cropland,Water,Non_Wetland,Water
423,Grassland,NULL,Cropland,Water,Non_Wetland,Forest
424,Grassland,NULL,Wetland,NULL,Wetland,Grassland
