Value,AFRICA_2024_DynamicWorld_2024_37PCN_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PCN_M_R,AFRICA_2024_GLC_FCS30D_2022_37PCN_M_R,AFRICA_2024_GSW_Yearly_2021_37PCN_M_R,AFRICA_2024_GWL_FCS30D_2022_37PCN_M_R,AFRICA_2024_WorldCover_2021_37PCN_M_R
121,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
122,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland
123,NULL,Cropland,Shrubland,Water,Non_Wetland,Wetland
124,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
125,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
126,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
127,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
128,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
129,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
130,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
131,NULL,Cropland,Grassland,Water,Non_Wetland,Cropland
132,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
133,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
134,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
135,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
136,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
137,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
138,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
139,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL
140,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
141,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
142,NULL,Cropland,Cropland,Water,Non_Wetland,NULL
143,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
144,NULL,Cropland,Cropland,Water,Non_Wetland,Bareland
145,NULL,Cropland,Wetland,NULL,Wetland,NULL
146,NULL,Cropland,Wetland,NULL,Wetland,Grassland
147,NULL,Cropland,Wetland,NULL,Wetland,Cropland
148,NULL,Cropland,Wetland,NULL,Wetland,Wetland
149,NULL,Cropland,Wetland,NULL,Wetland,Forest
150,NULL,Cropland,Wetland,Non_Water,Wetland,Cropland
151,NULL,Cropland,Wetland,Non_Water,Wetland,Wetland
152,NULL,Cropland,Wetland,Non_Water,Wetland,Forest
153,NULL,Cropland,Wetland,Water,Wetland,Grassland
154,NULL,Cropland,Wetland,Water,Wetland,Cropland
155,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
156,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
157,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
158,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
159,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
160,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
161,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
162,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
163,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
164,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
165,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
166,NULL,Cropland,Bareland,NULL,Non_Wetland,Water
167,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
168,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
169,NULL,Cropland,Bareland,Water,Non_Wetland,Grassland
170,NULL,Cropland,Bareland,Water,Non_Wetland,Cropland
171,NULL,Cropland,Bareland,Water,Non_Wetland,Bareland
172,NULL,Cropland,Bareland,Water,Non_Wetland,Forest
173,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
174,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
175,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
176,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
177,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
178,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
179,NULL,Cropland,Water,NULL,Water,Grassland
180,NULL,Cropland,Water,Water,Water,Grassland
181,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
182,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
183,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
184,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
185,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
186,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
187,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
188,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
189,NULL,Cropland,Forest,Non_Water,Non_Wetland,Cropland
190,NULL,Cropland,Forest,Non_Water,Non_Wetland,Wetland
191,NULL,Cropland,Forest,Water,Non_Wetland,NULL
192,NULL,Cropland,Forest,Water,Non_Wetland,Cropland
193,NULL,Cropland,Forest,Water,Non_Wetland,Wetland
194,NULL,Cropland,Forest,Water,Non_Wetland,Forest
195,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
196,NULL,Wetland,NULL,NULL,Non_Wetland,Cropland
197,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
198,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
199,NULL,Wetland,NULL,Water,Non_Wetland,Wetland
200,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
201,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
202,NULL,Wetland,Shrubland,NULL,Non_Wetland,Cropland
203,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
204,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
205,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
206,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
207,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
208,NULL,Wetland,Shrubland,Water,Non_Wetland,Forest
209,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL
210,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
211,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL
212,NULL,Wetland,Cropland,NULL,Non_Wetland,Cropland
213,NULL,Wetland,Wetland,NULL,Wetland,Cropland
214,NULL,Wetland,Wetland,NULL,Wetland,Wetland
215,NULL,Wetland,Wetland,NULL,Wetland,Forest
216,NULL,Wetland,Wetland,Non_Water,Wetland,Forest
217,NULL,Wetland,Wetland,Water,Wetland,Wetland
218,NULL,Wetland,Wetland,Water,Wetland,Forest
219,NULL,Wetland,Water,Non_Water,Water,Wetland
220,NULL,Wetland,Water,Water,Water,Wetland
221,NULL,Wetland,Water,Water,Water,Water
222,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
223,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
224,NULL,Wetland,Forest,NULL,Non_Wetland,Cropland
225,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
226,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
227,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
228,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
229,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
230,NULL,Bareland,NULL,NULL,Non_Wetland,Cropland
231,NULL,Bareland,Shrubland,NULL,Non_Wetland,Cropland
232,NULL,Bareland,Cropland,NULL,Non_Wetland,Built-up
233,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
234,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
235,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
236,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
237,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland
238,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
239,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
240,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
241,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
242,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
243,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
244,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
245,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
246,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
247,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
248,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
249,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Cropland
250,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
251,NULL,Built-up,Shrubland,Water,Non_Wetland,Cropland
252,NULL,Built-up,Shrubland,Water,Non_Wetland,Forest
253,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
254,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
255,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
256,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland
257,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
258,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
259,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
260,NULL,Built-up,Grassland,Water,Non_Wetland,Bareland
261,NULL,Built-up,Grassland,Water,Non_Wetland,Forest
262,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
263,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
264,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
265,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland
266,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
267,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
268,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
269,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
270,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Cropland
271,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
272,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland
273,NULL,Built-up,Cropland,Water,Non_Wetland,Cropland
274,NULL,Built-up,Cropland,Water,Non_Wetland,Bareland
275,NULL,Built-up,Cropland,Water,Non_Wetland,Forest
276,NULL,Built-up,Wetland,NULL,Wetland,NULL
277,NULL,Built-up,Wetland,NULL,Wetland,Grassland
278,NULL,Built-up,Wetland,NULL,Wetland,Cropland
279,NULL,Built-up,Wetland,NULL,Wetland,Wetland
280,NULL,Built-up,Wetland,NULL,Wetland,Bareland
281,NULL,Built-up,Wetland,NULL,Wetland,Built-up
282,NULL,Built-up,Wetland,NULL,Wetland,Forest
283,NULL,Built-up,Wetland,Non_Water,Wetland,Wetland
284,NULL,Built-up,Wetland,Non_Water,Wetland,Forest
285,NULL,Built-up,Wetland,Water,Wetland,Cropland
286,NULL,Built-up,Wetland,Water,Wetland,Wetland
287,NULL,Built-up,Wetland,Water,Wetland,Bareland
288,NULL,Built-up,Wetland,Water,Wetland,Built-up
289,NULL,Built-up,Wetland,Water,Wetland,Forest
290,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
291,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
292,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
293,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
294,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
295,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
296,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
297,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
298,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
299,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
300,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
301,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Built-up
302,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Forest
303,NULL,Built-up,Bareland,Water,Non_Wetland,Cropland
304,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
305,NULL,Built-up,Bareland,Water,Non_Wetland,Water
306,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
307,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
308,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
309,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland
310,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
311,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
312,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
313,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland
314,NULL,Built-up,Water,NULL,Water,Bareland
315,NULL,Built-up,Water,NULL,Water,Water
316,NULL,Built-up,Water,Water,Water,Cropland
317,NULL,Built-up,Water,Water,Water,Bareland
318,NULL,Built-up,Water,Water,Water,Forest
319,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
320,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
321,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
322,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
323,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
324,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
325,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
326,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
327,NULL,Built-up,Forest,Water,Non_Wetland,Cropland
328,NULL,Built-up,Forest,Water,Non_Wetland,Water
329,NULL,Built-up,Forest,Water,Non_Wetland,Forest
330,NULL,Water,NULL,NULL,Non_Wetland,NULL
331,NULL,Water,NULL,NULL,Non_Wetland,Cropland
332,NULL,Water,NULL,NULL,Non_Wetland,Forest
333,NULL,Water,NULL,Water,Non_Wetland,Cropland
334,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
335,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
336,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
337,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
338,NULL,Water,Grassland,NULL,Non_Wetland,Forest
339,NULL,Water,Grassland,Water,Non_Wetland,Cropland
340,NULL,Water,Cropland,NULL,Non_Wetland,NULL
341,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
342,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
343,NULL,Water,Cropland,NULL,Non_Wetland,Forest
344,NULL,Water,Cropland,Non_Water,Non_Wetland,Cropland
345,NULL,Water,Cropland,Water,Non_Wetland,Grassland
346,NULL,Water,Cropland,Water,Non_Wetland,Cropland
347,NULL,Water,Wetland,NULL,Wetland,NULL
348,NULL,Water,Wetland,NULL,Wetland,Cropland
349,NULL,Water,Wetland,NULL,Wetland,Forest
350,NULL,Water,Wetland,Non_Water,Wetland,Cropland
351,NULL,Water,Wetland,Water,Wetland,NULL
352,NULL,Water,Wetland,Water,Wetland,Cropland
353,NULL,Water,Wetland,Water,Wetland,Forest
354,NULL,Water,Bareland,NULL,Non_Wetland,NULL
355,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
356,NULL,Water,Bareland,NULL,Non_Wetland,Cropland
357,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
358,NULL,Water,Bareland,NULL,Non_Wetland,Water
359,NULL,Water,Bareland,NULL,Non_Wetland,Forest
360,NULL,Water,Bareland,Water,Non_Wetland,NULL
361,NULL,Water,Bareland,Water,Non_Wetland,Cropland
362,NULL,Water,Bareland,Water,Non_Wetland,Forest
363,NULL,Water,Built-up,NULL,Non_Wetland,NULL
364,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
365,NULL,Water,Built-up,NULL,Non_Wetland,Forest
366,NULL,Water,Built-up,Water,Non_Wetland,NULL
367,NULL,Water,Built-up,Water,Non_Wetland,Forest
368,NULL,Water,Water,NULL,Water,Forest
369,NULL,Water,Forest,NULL,Non_Wetland,NULL
370,NULL,Water,Forest,NULL,Non_Wetland,Grassland
371,NULL,Water,Forest,NULL,Non_Wetland,Cropland
372,NULL,Water,Forest,NULL,Non_Wetland,Forest
373,NULL,Water,Forest,Non_Water,Non_Wetland,Cropland
374,NULL,Forest,NULL,NULL,Non_Wetland,NULL
375,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
376,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
377,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
378,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
379,NULL,Forest,NULL,NULL,Non_Wetland,Forest
380,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL
381,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
382,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
383,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
384,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
385,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
386,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
387,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
388,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
389,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
390,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
391,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
392,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
393,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
394,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
395,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
396,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
397,NULL,Forest,Cropland,Non_Water,Non_Wetland,Cropland
398,NULL,Forest,Cropland,Water,Non_Wetland,NULL
399,NULL,Forest,Cropland,Water,Non_Wetland,Forest
400,NULL,Forest,Wetland,NULL,Wetland,Forest
401,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
402,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
403,NULL,Forest,Bareland,NULL,Non_Wetland,Cropland
404,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
405,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
406,NULL,Forest,Bareland,Non_Water,Non_Wetland,NULL
407,NULL,Forest,Bareland,Water,Non_Wetland,Forest
408,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
409,NULL,Forest,Built-up,NULL,Non_Wetland,Cropland
410,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
411,NULL,Forest,Water,NULL,Water,NULL
412,NULL,Forest,Water,NULL,Water,Grassland
413,NULL,Forest,Water,NULL,Water,Forest
414,NULL,Forest,Forest,NULL,Non_Wetland,NULL
415,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
416,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
417,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
418,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
419,NULL,Forest,Forest,NULL,Non_Wetland,Forest
420,NULL,Forest,Forest,Water,Non_Wetland,Forest
421,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
422,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
423,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
424,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
425,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
426,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL
427,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland
428,Grassland,NULL,NULL,Non_Water,Non_Wetland,Forest
429,Grassland,NULL,NULL,Water,Non_Wetland,Cropland
430,Grassland,NULL,NULL,Water,Non_Wetland,Wetland
