Value,AFRICA_2024_DynamicWorld_2024_35PNS_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PNS_M_R,AFRICA_2024_GLC_FCS30D_2022_35PNS_M_R,AFRICA_2024_GSW_Yearly_2021_35PNS_M_R,AFRICA_2024_GWL_FCS30D_2022_35PNS_M_R,AFRICA_2024_WorldCover_2021_35PNS_M_R
119,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
120,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland
121,Bareland,NULL,NULL,NULL,Non_Wetland,Forest
122,Bareland,NULL,NULL,Non_Water,Non_Wetland,NULL
123,Bareland,NULL,NULL,Non_Water,Non_Wetland,Grassland
124,Bareland,NULL,NULL,Non_Water,Non_Wetland,Bareland
125,Bareland,NULL,NULL,Non_Water,Non_Wetland,Forest
126,Bareland,NULL,NULL,Water,Non_Wetland,NULL
127,Bareland,NULL,NULL,Water,Non_Wetland,Grassland
128,Bareland,NULL,NULL,Water,Non_Wetland,Wetland
129,Bareland,NULL,NULL,Water,Non_Wetland,Bareland
130,Bareland,NULL,NULL,Water,Non_Wetland,Forest
131,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
132,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
133,Bareland,NULL,Shrubland,NULL,Non_Wetland,Cropland
134,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
135,Bareland,NULL,Shrubland,NULL,Non_Wetland,Built-up
136,Bareland,NULL,Shrubland,NULL,Non_Wetland,Forest
137,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
138,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
139,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
140,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
141,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL
142,Bareland,NULL,Shrubland,Water,Non_Wetland,Grassland
143,Bareland,NULL,Shrubland,Water,Non_Wetland,Bareland
144,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL
145,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
146,Bareland,NULL,Grassland,NULL,Non_Wetland,Cropland
147,Bareland,NULL,Grassland,NULL,Non_Wetland,Wetland
148,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
149,Bareland,NULL,Grassland,NULL,Non_Wetland,Built-up
150,Bareland,NULL,Grassland,NULL,Non_Wetland,Forest
151,Bareland,NULL,Grassland,Non_Water,Non_Wetland,NULL
152,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
153,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
154,Bareland,NULL,Grassland,Water,Non_Wetland,NULL
155,Bareland,NULL,Grassland,Water,Non_Wetland,Grassland
156,Bareland,NULL,Grassland,Water,Non_Wetland,Wetland
157,Bareland,NULL,Grassland,Water,Non_Wetland,Bareland
158,Bareland,NULL,Grassland,Water,Non_Wetland,Forest
159,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL
160,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
161,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland
162,Bareland,NULL,Cropland,NULL,Non_Wetland,Forest
163,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
164,Bareland,NULL,Cropland,Water,Non_Wetland,Grassland
165,Bareland,NULL,Cropland,Water,Non_Wetland,Bareland
166,Bareland,NULL,Wetland,Water,Wetland,Bareland
167,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
168,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
169,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
170,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL
171,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland
172,Bareland,NULL,Bareland,NULL,Non_Wetland,Cropland
173,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland
174,Bareland,NULL,Bareland,NULL,Non_Wetland,Built-up
175,Bareland,NULL,Bareland,NULL,Non_Wetland,Forest
176,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
177,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
178,Bareland,NULL,Bareland,Water,Non_Wetland,Grassland
179,Bareland,NULL,Bareland,Water,Non_Wetland,Bareland
180,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL
181,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland
182,Bareland,NULL,Built-up,NULL,Non_Wetland,Cropland
183,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland
184,Bareland,NULL,Built-up,NULL,Non_Wetland,Forest
185,Bareland,NULL,Built-up,Non_Water,Non_Wetland,NULL
186,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
187,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Bareland
188,Bareland,NULL,Built-up,Water,Non_Wetland,NULL
189,Bareland,NULL,Built-up,Water,Non_Wetland,Grassland
190,Bareland,NULL,Built-up,Water,Non_Wetland,Bareland
191,Bareland,NULL,Forest,NULL,Non_Wetland,NULL
192,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland
193,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland
194,Bareland,NULL,Forest,NULL,Non_Wetland,Forest
195,Bareland,NULL,Forest,Non_Water,Non_Wetland,Grassland
196,Bareland,NULL,Forest,Non_Water,Non_Wetland,Bareland
197,Bareland,NULL,Forest,Water,Non_Wetland,NULL
198,Bareland,NULL,Forest,Water,Non_Wetland,Grassland
199,Bareland,NULL,Forest,Water,Non_Wetland,Bareland
200,Bareland,NULL,Forest,Water,Non_Wetland,Forest
201,Bareland,Cropland,NULL,NULL,Non_Wetland,NULL
202,Bareland,Cropland,NULL,NULL,Non_Wetland,Grassland
203,Bareland,Cropland,NULL,NULL,Non_Wetland,Forest
204,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL
205,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
206,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
207,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL
208,Bareland,Cropland,Grassland,NULL,Non_Wetland,Grassland
209,Bareland,Cropland,Grassland,NULL,Non_Wetland,Bareland
210,Bareland,Cropland,Grassland,NULL,Non_Wetland,Forest
211,Bareland,Cropland,Bareland,NULL,Non_Wetland,NULL
212,Bareland,Cropland,Bareland,NULL,Non_Wetland,Grassland
213,Bareland,Cropland,Bareland,NULL,Non_Wetland,Bareland
214,Bareland,Cropland,Built-up,NULL,Non_Wetland,NULL
215,Bareland,Cropland,Built-up,NULL,Non_Wetland,Bareland
216,Bareland,Cropland,Forest,NULL,Non_Wetland,Grassland
217,Bareland,Wetland,Shrubland,NULL,Non_Wetland,Bareland
218,Bareland,Wetland,Grassland,NULL,Non_Wetland,Grassland
219,Bareland,Wetland,Grassland,NULL,Non_Wetland,Bareland
220,Bareland,Wetland,Bareland,NULL,Non_Wetland,NULL
221,Bareland,Wetland,Bareland,NULL,Non_Wetland,Grassland
222,Bareland,Wetland,Bareland,NULL,Non_Wetland,Bareland
223,Bareland,Wetland,Built-up,NULL,Non_Wetland,Bareland
224,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL
225,Bareland,Bareland,NULL,NULL,Non_Wetland,Grassland
226,Bareland,Bareland,NULL,NULL,Non_Wetland,Bareland
227,Bareland,Bareland,NULL,NULL,Non_Wetland,Forest
228,Bareland,Bareland,NULL,Non_Water,Non_Wetland,NULL
229,Bareland,Bareland,NULL,Non_Water,Non_Wetland,Grassland
230,Bareland,Bareland,NULL,Non_Water,Non_Wetland,Bareland
231,Bareland,Bareland,NULL,Non_Water,Non_Wetland,Forest
232,Bareland,Bareland,NULL,Water,Non_Wetland,Bareland
233,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL
234,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
235,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Cropland
236,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
237,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
238,Bareland,Bareland,Shrubland,Water,Non_Wetland,Bareland
239,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL
240,Bareland,Bareland,Grassland,NULL,Non_Wetland,Grassland
241,Bareland,Bareland,Grassland,NULL,Non_Wetland,Cropland
242,Bareland,Bareland,Grassland,NULL,Non_Wetland,Bareland
243,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,Grassland
244,Bareland,Bareland,Grassland,Water,Non_Wetland,Bareland
245,Bareland,Bareland,Cropland,NULL,Non_Wetland,Bareland
246,Bareland,Bareland,Cropland,Non_Water,Non_Wetland,Grassland
247,Bareland,Bareland,Cropland,Water,Non_Wetland,Bareland
248,Bareland,Bareland,Wetland,Water,Wetland,Bareland
249,Bareland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
250,Bareland,Bareland,Bareland,NULL,Non_Wetland,Grassland
251,Bareland,Bareland,Bareland,NULL,Non_Wetland,Bareland
252,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
253,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
254,Bareland,Bareland,Bareland,Water,Non_Wetland,Grassland
255,Bareland,Bareland,Bareland,Water,Non_Wetland,Bareland
256,Bareland,Bareland,Built-up,NULL,Non_Wetland,NULL
257,Bareland,Bareland,Built-up,NULL,Non_Wetland,Grassland
258,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland
259,Bareland,Bareland,Built-up,NULL,Non_Wetland,Forest
260,Bareland,Bareland,Built-up,Non_Water,Non_Wetland,Grassland
261,Bareland,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
262,Bareland,Bareland,Built-up,Water,Non_Wetland,Bareland
263,Bareland,Bareland,Forest,NULL,Non_Wetland,Grassland
264,Bareland,Bareland,Forest,NULL,Non_Wetland,Bareland
265,Bareland,Built-up,NULL,NULL,Non_Wetland,NULL
266,Bareland,Built-up,NULL,NULL,Non_Wetland,Bareland
267,Bareland,Built-up,Shrubland,NULL,Non_Wetland,NULL
268,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
269,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Bareland
270,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Forest
271,Bareland,Built-up,Grassland,NULL,Non_Wetland,NULL
272,Bareland,Built-up,Grassland,NULL,Non_Wetland,Grassland
273,Bareland,Built-up,Grassland,NULL,Non_Wetland,Bareland
274,Bareland,Built-up,Grassland,NULL,Non_Wetland,Built-up
275,Bareland,Built-up,Grassland,NULL,Non_Wetland,Forest
276,Bareland,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
277,Bareland,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
278,Bareland,Built-up,Bareland,NULL,Non_Wetland,Grassland
279,Bareland,Built-up,Bareland,NULL,Non_Wetland,Bareland
280,Bareland,Built-up,Bareland,NULL,Non_Wetland,Built-up
281,Bareland,Built-up,Built-up,NULL,Non_Wetland,Grassland
282,Bareland,Built-up,Built-up,NULL,Non_Wetland,Bareland
283,Bareland,Built-up,Built-up,NULL,Non_Wetland,Built-up
284,Bareland,Water,Grassland,NULL,Non_Wetland,Bareland
285,Bareland,Water,Bareland,NULL,Non_Wetland,Bareland
286,Bareland,Forest,NULL,NULL,Non_Wetland,NULL
287,Bareland,Forest,NULL,NULL,Non_Wetland,Grassland
288,Bareland,Forest,NULL,NULL,Non_Wetland,Bareland
289,Bareland,Forest,NULL,NULL,Non_Wetland,Forest
290,Bareland,Forest,NULL,Non_Water,Non_Wetland,Bareland
291,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL
292,Bareland,Forest,Shrubland,NULL,Non_Wetland,Grassland
293,Bareland,Forest,Shrubland,NULL,Non_Wetland,Bareland
294,Bareland,Forest,Grassland,NULL,Non_Wetland,NULL
295,Bareland,Forest,Grassland,NULL,Non_Wetland,Grassland
296,Bareland,Forest,Grassland,NULL,Non_Wetland,Bareland
297,Bareland,Forest,Grassland,NULL,Non_Wetland,Forest
298,Bareland,Forest,Bareland,NULL,Non_Wetland,NULL
299,Bareland,Forest,Built-up,NULL,Non_Wetland,NULL
300,Bareland,Forest,Built-up,NULL,Non_Wetland,Grassland
301,Bareland,Forest,Built-up,NULL,Non_Wetland,Bareland
302,Bareland,Forest,Built-up,NULL,Non_Wetland,Forest
303,Bareland,Forest,Forest,NULL,Non_Wetland,NULL
304,Bareland,Forest,Forest,NULL,Non_Wetland,Forest
305,Forest,NULL,NULL,NULL,Non_Wetland,NULL
306,Forest,NULL,NULL,NULL,Non_Wetland,Grassland
307,Forest,NULL,NULL,NULL,Non_Wetland,Bareland
308,Forest,NULL,NULL,NULL,Non_Wetland,Forest
309,Forest,NULL,NULL,Non_Water,Non_Wetland,NULL
310,Forest,NULL,NULL,Water,Non_Wetland,NULL
311,Forest,NULL,NULL,Water,Non_Wetland,Grassland
312,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
313,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland
314,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland
315,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest
316,Forest,NULL,Grassland,NULL,Non_Wetland,NULL
317,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland
318,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland
319,Forest,NULL,Grassland,NULL,Non_Wetland,Forest
320,Forest,NULL,Grassland,Non_Water,Non_Wetland,NULL
321,Forest,NULL,Grassland,Water,Non_Wetland,NULL
322,Forest,NULL,Grassland,Water,Non_Wetland,Grassland
323,Forest,NULL,Grassland,Water,Non_Wetland,Forest
324,Forest,NULL,Cropland,NULL,Non_Wetland,NULL
325,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland
326,Forest,NULL,Cropland,NULL,Non_Wetland,Forest
327,Forest,NULL,Wetland,NULL,Wetland,NULL
328,Forest,NULL,Bareland,NULL,Non_Wetland,NULL
329,Forest,NULL,Bareland,NULL,Non_Wetland,Grassland
330,Forest,NULL,Bareland,NULL,Non_Wetland,Forest
331,Forest,NULL,Built-up,NULL,Non_Wetland,NULL
332,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland
333,Forest,NULL,Built-up,NULL,Non_Wetland,Bareland
334,Forest,NULL,Built-up,NULL,Non_Wetland,Forest
335,Forest,NULL,Built-up,Water,Non_Wetland,Grassland
336,Forest,NULL,Forest,NULL,Non_Wetland,NULL
337,Forest,NULL,Forest,NULL,Non_Wetland,Grassland
338,Forest,NULL,Forest,NULL,Non_Wetland,Bareland
339,Forest,NULL,Forest,NULL,Non_Wetland,Forest
340,Forest,NULL,Forest,Water,Non_Wetland,Forest
341,Forest,Cropland,NULL,NULL,Non_Wetland,NULL
342,Forest,Cropland,NULL,NULL,Non_Wetland,Forest
343,Forest,Cropland,Grassland,NULL,Non_Wetland,Forest
344,Forest,Cropland,Forest,NULL,Non_Wetland,Forest
345,Forest,Built-up,NULL,NULL,Non_Wetland,NULL
346,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL
347,Forest,Built-up,Forest,NULL,Non_Wetland,NULL
348,Forest,Forest,NULL,NULL,Non_Wetland,NULL
349,Forest,Forest,NULL,NULL,Non_Wetland,Grassland
350,Forest,Forest,NULL,NULL,Non_Wetland,Bareland
351,Forest,Forest,NULL,NULL,Non_Wetland,Forest
352,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL
353,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland
354,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest
355,Forest,Forest,Grassland,NULL,Non_Wetland,NULL
356,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland
357,Forest,Forest,Grassland,NULL,Non_Wetland,Bareland
358,Forest,Forest,Grassland,NULL,Non_Wetland,Forest
359,Forest,Forest,Cropland,NULL,Non_Wetland,NULL
360,Forest,Forest,Cropland,NULL,Non_Wetland,Forest
361,Forest,Forest,Wetland,NULL,Wetland,Forest
362,Forest,Forest,Bareland,NULL,Non_Wetland,NULL
363,Forest,Forest,Bareland,NULL,Non_Wetland,Forest
364,Forest,Forest,Built-up,NULL,Non_Wetland,NULL
365,Forest,Forest,Built-up,NULL,Non_Wetland,Forest
366,Forest,Forest,Forest,NULL,Non_Wetland,NULL
367,Forest,Forest,Forest,NULL,Non_Wetland,Grassland
368,Forest,Forest,Forest,NULL,Non_Wetland,Bareland
369,Forest,Forest,Forest,NULL,Non_Wetland,Forest
