Value,AFRICA_2024_DynamicWorld_2024_37PEL_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PEL_M_R,AFRICA_2024_GLC_FCS30D_2022_37PEL_M_R,AFRICA_2024_GSW_Yearly_2021_37PEL_M_R,AFRICA_2024_GWL_FCS30D_2022_37PEL_M_R,AFRICA_2024_WorldCover_2021_37PEL_M_R
119,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
120,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
121,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
122,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Bareland
123,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
124,NULL,Cropland,Wetland,NULL,Wetland,NULL
125,NULL,Cropland,Wetland,NULL,Wetland,Grassland
126,NULL,Cropland,Wetland,NULL,Wetland,Cropland
127,NULL,Cropland,Wetland,NULL,Wetland,Wetland
128,NULL,Cropland,Wetland,NULL,Wetland,Built-up
129,NULL,Cropland,Wetland,NULL,Wetland,Forest
130,NULL,Cropland,Wetland,Water,Wetland,Water
131,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
132,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
133,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
134,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
135,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
136,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
137,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
138,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
139,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
140,NULL,Cropland,Bareland,NULL,Non_Wetland,Wetland
141,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
142,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
143,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
144,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
145,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
146,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Water
147,NULL,Cropland,Bareland,Water,Non_Wetland,Grassland
148,NULL,Cropland,Bareland,Water,Non_Wetland,Bareland
149,NULL,Cropland,Bareland,Water,Non_Wetland,Water
150,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
151,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
152,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
153,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
154,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
155,NULL,Cropland,Built-up,NULL,Non_Wetland,Water
156,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
157,NULL,Cropland,Built-up,Water,Non_Wetland,Cropland
158,NULL,Cropland,Water,NULL,Water,Grassland
159,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
160,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
161,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
162,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
163,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
164,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
165,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
166,NULL,Cropland,Forest,Water,Non_Wetland,Grassland
167,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
168,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
169,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL
170,NULL,Wetland,Cropland,NULL,Non_Wetland,Wetland
171,NULL,Wetland,Cropland,NULL,Non_Wetland,Forest
172,NULL,Wetland,Wetland,NULL,Wetland,NULL
173,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
174,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
175,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
176,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
177,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
178,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
179,NULL,Bareland,Cropland,NULL,Non_Wetland,Built-up
180,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
181,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
182,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
183,NULL,Bareland,Built-up,NULL,Non_Wetland,Cropland
184,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
185,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
186,NULL,Bareland,Forest,NULL,Non_Wetland,NULL
187,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland
188,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
189,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
190,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
191,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland
192,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
193,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
194,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
195,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
196,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
197,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
198,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
199,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
200,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
201,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
202,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
203,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
204,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
205,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland
206,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
207,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
208,NULL,Built-up,Grassland,NULL,Non_Wetland,Water
209,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
210,NULL,Built-up,Grassland,Water,Non_Wetland,Cropland
211,NULL,Built-up,Grassland,Water,Non_Wetland,Bareland
212,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
213,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
214,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
215,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland
216,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
217,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
218,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
219,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Cropland
220,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Bareland
221,NULL,Built-up,Cropland,Water,Non_Wetland,Cropland
222,NULL,Built-up,Wetland,NULL,Wetland,NULL
223,NULL,Built-up,Wetland,NULL,Wetland,Cropland
224,NULL,Built-up,Wetland,NULL,Wetland,Built-up
225,NULL,Built-up,Wetland,NULL,Wetland,Forest
226,NULL,Built-up,Wetland,Water,Wetland,Water
227,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
228,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
229,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
230,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
231,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
232,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
233,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
234,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
235,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
236,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland
237,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
238,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
239,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
240,NULL,Built-up,Bareland,Water,Non_Wetland,Water
241,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
242,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
243,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
244,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland
245,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
246,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
247,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
248,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland
249,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
250,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
251,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
252,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
253,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
254,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
255,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
256,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
257,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
258,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
259,NULL,Water,Grassland,NULL,Non_Wetland,NULL
260,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
261,NULL,Water,Grassland,NULL,Non_Wetland,Cropland
262,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
263,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL
264,NULL,Water,Grassland,Non_Water,Non_Wetland,Grassland
265,NULL,Water,Grassland,Water,Non_Wetland,Grassland
266,NULL,Water,Grassland,Water,Non_Wetland,Cropland
267,NULL,Water,Grassland,Water,Non_Wetland,Bareland
268,NULL,Water,Cropland,NULL,Non_Wetland,NULL
269,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
270,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
271,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
272,NULL,Water,Cropland,Non_Water,Non_Wetland,NULL
273,NULL,Water,Cropland,Non_Water,Non_Wetland,Grassland
274,NULL,Water,Wetland,Non_Water,Wetland,NULL
275,NULL,Water,Bareland,NULL,Non_Wetland,NULL
276,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
277,NULL,Water,Bareland,NULL,Non_Wetland,Cropland
278,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
279,NULL,Water,Bareland,NULL,Non_Wetland,Water
280,NULL,Water,Bareland,NULL,Non_Wetland,Forest
281,NULL,Water,Bareland,Non_Water,Non_Wetland,NULL
282,NULL,Water,Bareland,Non_Water,Non_Wetland,Grassland
283,NULL,Water,Bareland,Non_Water,Non_Wetland,Bareland
284,NULL,Water,Bareland,Water,Non_Wetland,NULL
285,NULL,Water,Bareland,Water,Non_Wetland,Cropland
286,NULL,Water,Bareland,Water,Non_Wetland,Wetland
287,NULL,Water,Built-up,NULL,Non_Wetland,NULL
288,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
289,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
290,NULL,Water,Built-up,Water,Non_Wetland,NULL
291,NULL,Water,Forest,NULL,Non_Wetland,Grassland
292,NULL,Water,Forest,NULL,Non_Wetland,Bareland
293,NULL,Forest,NULL,NULL,Non_Wetland,NULL
294,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
295,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
296,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
297,NULL,Forest,NULL,NULL,Non_Wetland,Forest
298,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
299,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
300,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
301,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
302,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
303,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
304,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
305,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
306,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
307,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
308,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
309,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
310,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
311,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
312,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
313,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
314,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
315,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
316,NULL,Forest,Wetland,NULL,Wetland,Wetland
317,NULL,Forest,Wetland,NULL,Wetland,Forest
318,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
319,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
320,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
321,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
322,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
323,NULL,Forest,Bareland,NULL,Non_Wetland,Cropland
324,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
325,NULL,Forest,Bareland,NULL,Non_Wetland,Built-up
326,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
327,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
328,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
329,NULL,Forest,Built-up,NULL,Non_Wetland,Cropland
330,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland
331,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
332,NULL,Forest,Forest,NULL,Non_Wetland,NULL
333,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
334,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
335,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
336,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
337,NULL,Forest,Forest,NULL,Non_Wetland,Forest
338,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
339,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
340,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
341,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
342,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland
343,Grassland,NULL,NULL,NULL,Non_Wetland,Built-up
344,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
345,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
346,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
347,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
348,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
349,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
350,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
351,Grassland,NULL,Shrubland,Water,Non_Wetland,Cropland
352,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
353,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
354,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
355,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland
356,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up
357,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
358,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
359,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
360,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
361,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
362,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland
363,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up
364,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
365,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
366,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
367,Grassland,NULL,Cropland,Water,Non_Wetland,Cropland
368,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland
369,Grassland,NULL,Wetland,NULL,Wetland,Grassland
370,Grassland,NULL,Wetland,Water,Wetland,Wetland
371,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
372,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
373,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
374,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
375,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
376,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
377,Grassland,NULL,Bareland,NULL,Non_Wetland,Cropland
378,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
379,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland
380,Grassland,NULL,Bareland,NULL,Non_Wetland,Built-up
381,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
382,Grassland,NULL,Bareland,Water,Non_Wetland,Cropland
383,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL
384,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
385,Grassland,NULL,Built-up,NULL,Non_Wetland,Cropland
386,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland
387,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up
388,Grassland,NULL,Built-up,NULL,Non_Wetland,Forest
389,Grassland,NULL,Water,NULL,Water,Grassland
390,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
391,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
392,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
393,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
394,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland
395,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up
396,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
397,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
398,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL
399,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
400,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
401,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland
402,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland
403,Grassland,Cropland,NULL,NULL,Non_Wetland,Built-up
404,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest
405,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Cropland
406,Grassland,Cropland,NULL,Water,Non_Wetland,Cropland
407,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
408,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
409,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
410,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
411,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
412,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
413,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
414,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
415,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
416,Grassland,Cropland,Shrubland,Water,Non_Wetland,Grassland
417,Grassland,Cropland,Shrubland,Water,Non_Wetland,Cropland
418,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL
419,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
