Value,AFRICA_2024_DynamicWorld_2024_37PBR_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PBR_M_R,AFRICA_2024_GLC_FCS30D_2022_37PBR_M_R,AFRICA_2024_GSW_Yearly_2021_37PBR_M_R,AFRICA_2024_GWL_FCS30D_2022_37PBR_M_R,AFRICA_2024_WorldCover_2021_37PBR_M_R
123,NULL,NULL,Forest,Water,Non_Wetland,Grassland
124,NULL,NULL,Forest,Water,Non_Wetland,Cropland
125,NULL,NULL,Forest,Water,Non_Wetland,Wetland
126,NULL,NULL,Forest,Water,Non_Wetland,Water
127,NULL,NULL,Forest,Water,Non_Wetland,Forest
128,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
129,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
130,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
131,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
132,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
133,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
134,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
135,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
136,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
137,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
138,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
139,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
140,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
141,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
142,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
143,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
144,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
145,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Bareland
146,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
147,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
148,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
149,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
150,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
151,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
152,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
153,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
154,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Forest
155,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
156,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
157,NULL,Cropland,Wetland,NULL,Wetland,Grassland
158,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
159,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
160,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
161,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
162,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
163,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
164,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
165,NULL,Cropland,Bareland,Water,Non_Wetland,Grassland
166,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
167,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
168,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
169,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
170,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
171,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
172,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
173,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
174,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
175,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
176,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
177,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
178,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
179,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
180,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
181,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
182,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
183,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
184,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
185,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
186,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
187,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
188,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
189,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
190,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
191,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
192,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
193,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
194,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
195,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
196,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
197,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
198,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
199,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
200,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
201,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
202,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
203,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
204,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
205,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
206,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
207,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
208,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
209,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
210,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
211,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
212,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
213,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
214,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
215,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
216,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
217,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
218,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
219,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
220,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
221,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
222,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
223,NULL,Water,NULL,NULL,Non_Wetland,Cropland
224,NULL,Water,NULL,NULL,Non_Wetland,Forest
225,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
226,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
227,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
228,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
229,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
230,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
231,NULL,Water,Grassland,NULL,Non_Wetland,NULL
232,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
233,NULL,Water,Grassland,NULL,Non_Wetland,Forest
234,NULL,Water,Cropland,NULL,Non_Wetland,NULL
235,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
236,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
237,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
238,NULL,Water,Cropland,NULL,Non_Wetland,Forest
239,NULL,Water,Cropland,Non_Water,Non_Wetland,Grassland
240,NULL,Water,Cropland,Non_Water,Non_Wetland,Cropland
241,NULL,Water,Cropland,Non_Water,Non_Wetland,Bareland
242,NULL,Water,Cropland,Water,Non_Wetland,Grassland
243,NULL,Water,Cropland,Water,Non_Wetland,Forest
244,NULL,Water,Wetland,NULL,Wetland,Forest
245,NULL,Water,Wetland,Water,Wetland,Grassland
246,NULL,Water,Bareland,NULL,Non_Wetland,NULL
247,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
248,NULL,Water,Bareland,NULL,Non_Wetland,Cropland
249,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
250,NULL,Water,Bareland,NULL,Non_Wetland,Forest
251,NULL,Water,Bareland,Water,Non_Wetland,Grassland
252,NULL,Water,Forest,NULL,Non_Wetland,NULL
253,NULL,Water,Forest,NULL,Non_Wetland,Grassland
254,NULL,Water,Forest,NULL,Non_Wetland,Forest
255,NULL,Forest,NULL,NULL,Non_Wetland,NULL
256,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
257,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
258,NULL,Forest,NULL,NULL,Non_Wetland,Forest
259,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
260,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
261,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
262,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
263,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
264,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
265,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
266,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
267,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
268,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
269,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
270,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
271,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
272,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
273,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
274,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
275,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
276,NULL,Forest,Forest,NULL,Non_Wetland,NULL
277,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
278,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
279,NULL,Forest,Forest,NULL,Non_Wetland,Forest
280,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
281,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
282,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
283,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
284,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
285,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
286,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
287,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
288,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
289,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
290,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
291,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
292,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
293,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
294,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
295,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland
296,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
297,Grassland,NULL,Wetland,Water,Wetland,Bareland
298,Grassland,NULL,Wetland,Water,Wetland,Water
299,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
300,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
301,Grassland,NULL,Bareland,NULL,Non_Wetland,Cropland
302,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland
303,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
304,Grassland,NULL,Built-up,NULL,Non_Wetland,Cropland
305,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
306,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
307,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
308,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
309,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL
310,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
311,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
312,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
313,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
314,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
315,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
316,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
317,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
318,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
319,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
320,Grassland,Cropland,Wetland,Water,Wetland,Bareland
321,Grassland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
322,Grassland,Cropland,Bareland,NULL,Non_Wetland,Cropland
323,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
324,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
325,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
326,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
327,Grassland,Water,Cropland,NULL,Non_Wetland,Grassland
328,Grassland,Water,Cropland,NULL,Non_Wetland,Cropland
329,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
330,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland
331,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
332,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland
333,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
334,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
335,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
336,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
337,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
338,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up
339,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
340,Cropland,NULL,NULL,Non_Water,Non_Wetland,Cropland
341,Cropland,NULL,NULL,Water,Non_Wetland,Grassland
342,Cropland,NULL,NULL,Water,Non_Wetland,Cropland
343,Cropland,NULL,NULL,Water,Non_Wetland,Water
344,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
345,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
346,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
347,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
348,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
349,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
350,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
351,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
352,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
353,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Water
354,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
355,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
356,Cropland,NULL,Shrubland,Water,Non_Wetland,Cropland
357,Cropland,NULL,Shrubland,Water,Non_Wetland,Water
358,Cropland,NULL,Shrubland,Water,Non_Wetland,Forest
359,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
360,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
361,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
362,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland
363,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
364,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
365,Cropland,NULL,Grassland,NULL,Non_Wetland,Water
366,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
367,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
368,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
369,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
370,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Water
371,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Forest
372,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
373,Cropland,NULL,Grassland,Water,Non_Wetland,Cropland
374,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
375,Cropland,NULL,Grassland,Water,Non_Wetland,Water
376,Cropland,NULL,Grassland,Water,Non_Wetland,Forest
377,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
378,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
379,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
380,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland
381,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
382,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
383,Cropland,NULL,Cropland,NULL,Non_Wetland,Water
384,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
385,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
386,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
387,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Water
388,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Forest
389,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
390,Cropland,NULL,Cropland,Water,Non_Wetland,Cropland
391,Cropland,NULL,Cropland,Water,Non_Wetland,Wetland
392,Cropland,NULL,Cropland,Water,Non_Wetland,Bareland
393,Cropland,NULL,Cropland,Water,Non_Wetland,Water
394,Cropland,NULL,Cropland,Water,Non_Wetland,Forest
395,Cropland,NULL,Wetland,NULL,Wetland,Grassland
396,Cropland,NULL,Wetland,NULL,Wetland,Cropland
397,Cropland,NULL,Wetland,NULL,Wetland,Bareland
398,Cropland,NULL,Wetland,NULL,Wetland,Forest
399,Cropland,NULL,Wetland,Non_Water,Wetland,Grassland
400,Cropland,NULL,Wetland,Non_Water,Wetland,Cropland
401,Cropland,NULL,Wetland,Non_Water,Wetland,Water
402,Cropland,NULL,Wetland,Non_Water,Wetland,Forest
403,Cropland,NULL,Wetland,Water,Wetland,Grassland
404,Cropland,NULL,Wetland,Water,Wetland,Cropland
405,Cropland,NULL,Wetland,Water,Wetland,Wetland
406,Cropland,NULL,Wetland,Water,Wetland,Bareland
407,Cropland,NULL,Wetland,Water,Wetland,Water
408,Cropland,NULL,Wetland,Water,Wetland,Forest
409,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
410,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
411,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
412,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
413,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
414,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
415,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
416,Cropland,NULL,Bareland,NULL,Non_Wetland,Water
417,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
418,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
419,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Cropland
420,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
421,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Forest
422,Cropland,NULL,Bareland,Water,Non_Wetland,NULL
423,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland
424,Cropland,NULL,Bareland,Water,Non_Wetland,Cropland
