Value,AFRICA_2024_DynamicWorld_2024_36QVD_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36QVD_M_R,AFRICA_2024_GLC_FCS30D_2022_36QVD_M_R,AFRICA_2024_GSW_Yearly_2021_36QVD_M_R,AFRICA_2024_GWL_FCS30D_2022_36QVD_M_R,AFRICA_2024_WorldCover_2021_36QVD_M_R
120,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
121,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
122,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
123,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
124,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
125,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
126,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
127,NULL,Cropland,Bareland,NULL,Non_Wetland,Water
128,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
129,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
130,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
131,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Forest
132,NULL,Cropland,Bareland,Water,Non_Wetland,Cropland
133,NULL,Cropland,Bareland,Water,Non_Wetland,Bareland
134,NULL,Cropland,Bareland,Water,Non_Wetland,Water
135,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
136,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
137,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
138,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
139,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
140,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
141,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Cropland
142,NULL,Cropland,Built-up,Water,Non_Wetland,Cropland
143,NULL,Cropland,Water,NULL,Water,Cropland
144,NULL,Cropland,Water,NULL,Water,Forest
145,NULL,Cropland,Water,Non_Water,Water,Cropland
146,NULL,Cropland,Water,Non_Water,Water,Water
147,NULL,Cropland,Water,Non_Water,Water,Forest
148,NULL,Cropland,Water,Water,Water,Cropland
149,NULL,Cropland,Water,Water,Water,Forest
150,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
151,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
152,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
153,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
154,NULL,Wetland,Cropland,NULL,Non_Wetland,Forest
155,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Cropland
156,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Forest
157,NULL,Wetland,Cropland,Water,Non_Wetland,Forest
158,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland
159,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland
160,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
161,NULL,Bareland,Shrubland,NULL,Non_Wetland,Cropland
162,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
163,NULL,Bareland,Shrubland,Water,Non_Wetland,Cropland
164,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
165,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
166,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
167,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
168,NULL,Bareland,Grassland,NULL,Non_Wetland,Forest
169,NULL,Bareland,Grassland,Water,Non_Wetland,Cropland
170,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
171,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
172,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
173,NULL,Bareland,Cropland,NULL,Non_Wetland,Forest
174,NULL,Bareland,Cropland,Water,Non_Wetland,Cropland
175,NULL,Bareland,Cropland,Water,Non_Wetland,Water
176,NULL,Bareland,Wetland,Water,Wetland,Cropland
177,NULL,Bareland,Wetland,Water,Wetland,Water
178,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
179,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
180,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
181,NULL,Bareland,Bareland,NULL,Non_Wetland,Cropland
182,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
183,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
184,NULL,Bareland,Bareland,Water,Non_Wetland,Cropland
185,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
186,NULL,Bareland,Bareland,Water,Non_Wetland,Water
187,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
188,NULL,Bareland,Built-up,NULL,Non_Wetland,Cropland
189,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
190,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
191,NULL,Bareland,Built-up,NULL,Non_Wetland,Forest
192,NULL,Bareland,Built-up,Water,Non_Wetland,Cropland
193,NULL,Bareland,Water,Water,Water,Cropland
194,NULL,Bareland,Water,Water,Water,Water
195,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
196,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
197,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
198,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
199,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
200,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
201,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
202,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
203,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
204,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
205,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
206,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
207,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
208,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
209,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
210,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
211,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Bareland
212,NULL,Built-up,Grassland,Water,Non_Wetland,Cropland
213,NULL,Built-up,Grassland,Water,Non_Wetland,Bareland
214,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
215,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
216,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
217,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
218,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
219,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
220,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Cropland
221,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Bareland
222,NULL,Built-up,Cropland,Water,Non_Wetland,Bareland
223,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
224,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
225,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
226,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
227,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
228,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
229,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
230,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
231,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
232,NULL,Built-up,Bareland,Water,Non_Wetland,Cropland
233,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
234,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
235,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
236,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
237,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
238,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
239,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
240,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
241,NULL,Water,Shrubland,Water,Non_Wetland,Water
242,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
243,NULL,Water,Grassland,NULL,Non_Wetland,Cropland
244,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
245,NULL,Water,Grassland,NULL,Non_Wetland,Water
246,NULL,Water,Grassland,NULL,Non_Wetland,Forest
247,NULL,Water,Grassland,Non_Water,Non_Wetland,Water
248,NULL,Water,Grassland,Water,Non_Wetland,Bareland
249,NULL,Water,Grassland,Water,Non_Wetland,Water
250,NULL,Water,Cropland,NULL,Non_Wetland,NULL
251,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
252,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
253,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
254,NULL,Water,Cropland,NULL,Non_Wetland,Water
255,NULL,Water,Cropland,NULL,Non_Wetland,Forest
256,NULL,Water,Cropland,Non_Water,Non_Wetland,Cropland
257,NULL,Water,Cropland,Non_Water,Non_Wetland,Bareland
258,NULL,Water,Cropland,Non_Water,Non_Wetland,Water
259,NULL,Water,Cropland,Non_Water,Non_Wetland,Forest
260,NULL,Water,Cropland,Water,Non_Wetland,Cropland
261,NULL,Water,Cropland,Water,Non_Wetland,Wetland
262,NULL,Water,Cropland,Water,Non_Wetland,Bareland
263,NULL,Water,Cropland,Water,Non_Wetland,Water
264,NULL,Water,Cropland,Water,Non_Wetland,Forest
265,NULL,Water,Wetland,NULL,Wetland,Cropland
266,NULL,Water,Wetland,NULL,Wetland,Water
267,NULL,Water,Wetland,NULL,Wetland,Forest
268,NULL,Water,Wetland,Non_Water,Wetland,Cropland
269,NULL,Water,Wetland,Non_Water,Wetland,Wetland
270,NULL,Water,Wetland,Non_Water,Wetland,Bareland
271,NULL,Water,Wetland,Non_Water,Wetland,Water
272,NULL,Water,Wetland,Non_Water,Wetland,Forest
273,NULL,Water,Wetland,Water,Wetland,Cropland
274,NULL,Water,Wetland,Water,Wetland,Wetland
275,NULL,Water,Wetland,Water,Wetland,Bareland
276,NULL,Water,Wetland,Water,Wetland,Water
277,NULL,Water,Wetland,Water,Wetland,Forest
278,NULL,Water,Bareland,NULL,Non_Wetland,Cropland
279,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
280,NULL,Water,Bareland,NULL,Non_Wetland,Water
281,NULL,Water,Bareland,Non_Water,Non_Wetland,Water
282,NULL,Water,Bareland,Water,Non_Wetland,Cropland
283,NULL,Water,Bareland,Water,Non_Wetland,Bareland
284,NULL,Water,Bareland,Water,Non_Wetland,Water
285,NULL,Water,Bareland,Water,Non_Wetland,Forest
286,NULL,Water,Built-up,Non_Water,Non_Wetland,Water
287,NULL,Water,Built-up,Water,Non_Wetland,Cropland
288,NULL,Water,Built-up,Water,Non_Wetland,Water
289,NULL,Water,Water,NULL,Water,Cropland
290,NULL,Water,Water,NULL,Water,Water
291,NULL,Water,Water,NULL,Water,Forest
292,NULL,Water,Water,Non_Water,Water,Cropland
293,NULL,Water,Water,Non_Water,Water,Water
294,NULL,Water,Water,Non_Water,Water,Forest
295,NULL,Water,Water,Water,Water,Cropland
296,NULL,Water,Water,Water,Water,Wetland
297,NULL,Water,Water,Water,Water,Water
298,NULL,Water,Water,Water,Water,Forest
299,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
300,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
301,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
302,Grassland,NULL,Cropland,NULL,Non_Wetland,Water
303,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
304,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Forest
305,Grassland,NULL,Cropland,Water,Non_Wetland,Forest
306,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
307,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest
308,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
309,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Forest
310,Grassland,Cropland,Wetland,Water,Wetland,Forest
311,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
312,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
313,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
314,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
315,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
316,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
317,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
318,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
319,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
320,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
321,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
322,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
323,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
324,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
325,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
326,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
327,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
328,Cropland,NULL,Grassland,Water,Non_Wetland,Cropland
329,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
330,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
331,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
332,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
333,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
334,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
335,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
336,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Forest
337,Cropland,NULL,Cropland,Water,Non_Wetland,NULL
338,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
339,Cropland,NULL,Cropland,Water,Non_Wetland,Cropland
340,Cropland,NULL,Cropland,Water,Non_Wetland,Forest
341,Cropland,NULL,Wetland,NULL,Wetland,Cropland
342,Cropland,NULL,Wetland,NULL,Wetland,Forest
343,Cropland,NULL,Wetland,Water,Wetland,Forest
344,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
345,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
346,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
347,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
348,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
349,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
350,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
351,Cropland,NULL,Bareland,NULL,Non_Wetland,Built-up
352,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
353,Cropland,NULL,Bareland,Water,Non_Wetland,Cropland
354,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
355,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
356,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
357,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
358,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
359,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
360,Cropland,NULL,Water,Non_Water,Water,Water
361,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
362,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
363,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
364,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland
365,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
366,Cropland,Cropland,NULL,Non_Water,Non_Wetland,Cropland
367,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
368,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
369,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
370,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
371,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
372,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
373,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
374,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
375,Cropland,Cropland,Grassland,NULL,Non_Wetland,Built-up
376,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
377,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
378,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Bareland
379,Cropland,Cropland,Grassland,Water,Non_Wetland,Grassland
380,Cropland,Cropland,Grassland,Water,Non_Wetland,Cropland
381,Cropland,Cropland,Grassland,Water,Non_Wetland,Bareland
382,Cropland,Cropland,Grassland,Water,Non_Wetland,Forest
383,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
384,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
385,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
386,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland
387,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up
388,Cropland,Cropland,Cropland,NULL,Non_Wetland,Water
389,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
390,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
391,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Bareland
392,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Water
393,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Forest
394,Cropland,Cropland,Cropland,Water,Non_Wetland,Grassland
395,Cropland,Cropland,Cropland,Water,Non_Wetland,Cropland
396,Cropland,Cropland,Cropland,Water,Non_Wetland,Wetland
397,Cropland,Cropland,Cropland,Water,Non_Wetland,Bareland
398,Cropland,Cropland,Cropland,Water,Non_Wetland,Water
399,Cropland,Cropland,Cropland,Water,Non_Wetland,Forest
400,Cropland,Cropland,Wetland,NULL,Wetland,Cropland
401,Cropland,Cropland,Wetland,NULL,Wetland,Water
402,Cropland,Cropland,Wetland,NULL,Wetland,Forest
403,Cropland,Cropland,Wetland,Non_Water,Wetland,Cropland
404,Cropland,Cropland,Wetland,Non_Water,Wetland,Forest
405,Cropland,Cropland,Wetland,Water,Wetland,Cropland
406,Cropland,Cropland,Wetland,Water,Wetland,Water
407,Cropland,Cropland,Wetland,Water,Wetland,Forest
408,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
409,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
410,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
411,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
412,Cropland,Cropland,Bareland,NULL,Non_Wetland,Cropland
413,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland
414,Cropland,Cropland,Bareland,NULL,Non_Wetland,Built-up
415,Cropland,Cropland,Bareland,NULL,Non_Wetland,Forest
416,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
417,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
418,Cropland,Cropland,Bareland,Water,Non_Wetland,Cropland
419,Cropland,Cropland,Bareland,Water,Non_Wetland,Bareland
420,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL
421,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
422,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland
423,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland
424,Cropland,Cropland,Built-up,NULL,Non_Wetland,Built-up
