Value,AFRICA_2024_DynamicWorld_2024_35PPL_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PPL_M_R,AFRICA_2024_GLC_FCS30D_2022_35PPL_M_R,AFRICA_2024_GSW_Yearly_2021_35PPL_M_R,AFRICA_2024_GWL_FCS30D_2022_35PPL_M_R,AFRICA_2024_WorldCover_2021_35PPL_M_R
123,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
124,NULL,NULL,Forest,Water,Non_Wetland,Grassland
125,NULL,NULL,Forest,Water,Non_Wetland,Wetland
126,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
127,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
128,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
129,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland
130,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
131,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
132,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
133,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
134,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
135,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
136,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
137,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
138,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
139,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
140,NULL,Cropland,Shrubland,Water,Non_Wetland,Wetland
141,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
142,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
143,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
144,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
145,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
146,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
147,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
148,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
149,NULL,Cropland,Wetland,NULL,Wetland,NULL
150,NULL,Cropland,Wetland,NULL,Wetland,Grassland
151,NULL,Cropland,Wetland,NULL,Wetland,Wetland
152,NULL,Cropland,Wetland,NULL,Wetland,Forest
153,NULL,Cropland,Wetland,Non_Water,Wetland,Wetland
154,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
155,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
156,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
157,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
158,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
159,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
160,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
161,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
162,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
163,NULL,Wetland,NULL,NULL,Non_Wetland,Bareland
164,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
165,NULL,Wetland,NULL,Water,Non_Wetland,Wetland
166,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
167,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
168,NULL,Wetland,Shrubland,NULL,Non_Wetland,Cropland
169,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
170,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
171,NULL,Wetland,Shrubland,NULL,Non_Wetland,Built-up
172,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
173,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
174,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
175,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
176,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
177,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
178,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
179,NULL,Wetland,Shrubland,Water,Non_Wetland,Forest
180,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL
181,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
182,NULL,Wetland,Grassland,NULL,Non_Wetland,Cropland
183,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
184,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
185,NULL,Wetland,Grassland,NULL,Non_Wetland,Built-up
186,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland
187,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
188,NULL,Wetland,Cropland,Water,Non_Wetland,Grassland
189,NULL,Wetland,Wetland,NULL,Wetland,NULL
190,NULL,Wetland,Wetland,NULL,Wetland,Grassland
191,NULL,Wetland,Wetland,NULL,Wetland,Wetland
192,NULL,Wetland,Wetland,NULL,Wetland,Forest
193,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
194,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
195,NULL,Wetland,Wetland,Water,Wetland,Wetland
196,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
197,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
198,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland
199,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
200,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
201,NULL,Wetland,Forest,NULL,Non_Wetland,Cropland
202,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
203,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
204,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
205,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
206,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
207,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
208,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
209,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
210,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland
211,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
212,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
213,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
214,NULL,Built-up,NULL,Water,Non_Wetland,Grassland
215,NULL,Built-up,NULL,Water,Non_Wetland,Bareland
216,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
217,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
218,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
219,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
220,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
221,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
222,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
223,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
224,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Cropland
225,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Wetland
226,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up
227,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
228,NULL,Built-up,Shrubland,Water,Non_Wetland,Water
229,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
230,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
231,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
232,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland
233,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
234,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
235,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
236,NULL,Built-up,Grassland,Water,Non_Wetland,Water
237,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
238,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
239,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
240,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland
241,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
242,NULL,Built-up,Cropland,NULL,Non_Wetland,Water
243,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
244,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland
245,NULL,Built-up,Cropland,Water,Non_Wetland,Bareland
246,NULL,Built-up,Cropland,Water,Non_Wetland,Water
247,NULL,Built-up,Cropland,Water,Non_Wetland,Forest
248,NULL,Built-up,Wetland,NULL,Wetland,Grassland
249,NULL,Built-up,Wetland,NULL,Wetland,Wetland
250,NULL,Built-up,Wetland,NULL,Wetland,Forest
251,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
252,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
253,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
254,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland
255,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
256,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
257,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
258,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
259,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
260,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
261,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland
262,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
263,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
264,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
265,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
266,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland
267,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
268,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
269,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
270,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
271,NULL,Water,NULL,NULL,Non_Wetland,Grassland
272,NULL,Water,NULL,Water,Non_Wetland,Wetland
273,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
274,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
275,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
276,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
277,NULL,Water,Shrubland,Water,Non_Wetland,Wetland
278,NULL,Water,Shrubland,Water,Non_Wetland,Forest
279,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
280,NULL,Water,Bareland,Water,Non_Wetland,Grassland
281,NULL,Forest,NULL,NULL,Non_Wetland,NULL
282,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
283,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
284,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
285,NULL,Forest,NULL,NULL,Non_Wetland,Forest
286,NULL,Forest,NULL,Non_Water,Non_Wetland,Grassland
287,NULL,Forest,NULL,Non_Water,Non_Wetland,Wetland
288,NULL,Forest,NULL,Non_Water,Non_Wetland,Forest
289,NULL,Forest,NULL,Water,Non_Wetland,Wetland
290,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
291,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
292,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
293,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
294,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
295,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
296,NULL,Forest,Shrubland,NULL,Non_Wetland,Water
297,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
298,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
299,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
300,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Cropland
301,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
302,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
303,NULL,Forest,Shrubland,Water,Non_Wetland,NULL
304,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
305,NULL,Forest,Shrubland,Water,Non_Wetland,Wetland
306,NULL,Forest,Shrubland,Water,Non_Wetland,Water
307,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
308,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
309,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
310,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
311,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland
312,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
313,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
314,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
315,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
316,NULL,Forest,Cropland,Water,Non_Wetland,Grassland
317,NULL,Forest,Wetland,NULL,Wetland,NULL
318,NULL,Forest,Wetland,NULL,Wetland,Grassland
319,NULL,Forest,Wetland,NULL,Wetland,Cropland
320,NULL,Forest,Wetland,NULL,Wetland,Wetland
321,NULL,Forest,Wetland,NULL,Wetland,Forest
322,NULL,Forest,Wetland,Non_Water,Wetland,NULL
323,NULL,Forest,Wetland,Non_Water,Wetland,Grassland
324,NULL,Forest,Wetland,Non_Water,Wetland,Wetland
325,NULL,Forest,Wetland,Water,Wetland,Grassland
326,NULL,Forest,Wetland,Water,Wetland,Wetland
327,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
328,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
329,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland
330,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
331,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
332,NULL,Forest,Built-up,NULL,Non_Wetland,Wetland
333,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland
334,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
335,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
336,NULL,Forest,Forest,NULL,Non_Wetland,NULL
337,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
338,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
339,NULL,Forest,Forest,NULL,Non_Wetland,Forest
340,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
341,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
342,NULL,Forest,Forest,Non_Water,Non_Wetland,Wetland
343,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
344,NULL,Forest,Forest,Water,Non_Wetland,Wetland
345,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
346,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
347,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
348,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
349,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
350,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
351,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland
352,Grassland,NULL,NULL,Non_Water,Non_Wetland,Forest
353,Grassland,NULL,NULL,Water,Non_Wetland,Grassland
354,Grassland,NULL,NULL,Water,Non_Wetland,Wetland
355,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
356,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
357,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
358,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
359,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
360,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
361,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
362,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
363,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
364,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
365,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Water
366,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
367,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
368,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
369,Grassland,NULL,Shrubland,Water,Non_Wetland,Bareland
370,Grassland,NULL,Shrubland,Water,Non_Wetland,Forest
371,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
372,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
373,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
374,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
375,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
376,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
377,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
378,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
379,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Forest
380,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
381,Grassland,NULL,Wetland,NULL,Wetland,NULL
382,Grassland,NULL,Wetland,NULL,Wetland,Grassland
383,Grassland,NULL,Wetland,NULL,Wetland,Cropland
384,Grassland,NULL,Wetland,NULL,Wetland,Wetland
385,Grassland,NULL,Wetland,NULL,Wetland,Forest
386,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
387,Grassland,NULL,Wetland,Non_Water,Wetland,Cropland
388,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
389,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
390,Grassland,NULL,Wetland,Water,Wetland,Grassland
391,Grassland,NULL,Wetland,Water,Wetland,Wetland
392,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
393,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
394,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
395,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
396,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
397,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Forest
398,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland
399,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland
400,Grassland,NULL,Bareland,Water,Non_Wetland,Forest
401,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL
402,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
403,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland
404,Grassland,NULL,Built-up,NULL,Non_Wetland,Forest
405,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Wetland
406,Grassland,NULL,Water,NULL,Water,Wetland
407,Grassland,NULL,Water,Non_Water,Water,Wetland
408,Grassland,NULL,Water,Water,Water,Grassland
409,Grassland,NULL,Water,Water,Water,Wetland
410,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
411,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
412,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
413,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
414,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
415,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
416,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
417,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
418,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland
419,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
420,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
421,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
422,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
423,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
424,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
425,Grassland,Cropland,Shrubland,Water,Non_Wetland,Grassland
