Value,AFRICA_2024_DynamicWorld_2024_37PHK_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PHK_M_R,AFRICA_2024_GLC_FCS30D_2022_37PHK_M_R,AFRICA_2024_GSW_Yearly_2021_37PHK_M_R,AFRICA_2024_GWL_FCS30D_2022_37PHK_M_R,AFRICA_2024_WorldCover_2021_37PHK_M_R
119,NULL,Bareland,Shrubland,NULL,Non_Wetland,Forest
120,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
121,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
122,NULL,Bareland,Forest,NULL,Non_Wetland,NULL
123,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
124,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
125,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
126,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
127,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
128,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
129,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
130,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
131,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
132,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
133,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
134,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
135,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
136,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
137,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
138,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
139,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
140,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
141,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
142,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
143,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
144,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
145,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
146,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
147,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
148,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
149,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
150,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
151,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
152,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
153,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
154,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
155,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
156,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
157,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
158,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
159,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
160,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
161,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
162,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
163,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
164,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
165,NULL,Water,NULL,NULL,Non_Wetland,Grassland
166,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
167,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
168,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
169,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
170,NULL,Water,Cropland,NULL,Non_Wetland,NULL
171,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
172,NULL,Water,Cropland,NULL,Non_Wetland,Forest
173,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
174,NULL,Water,Bareland,NULL,Non_Wetland,Forest
175,NULL,Water,Forest,NULL,Non_Wetland,NULL
176,NULL,Forest,NULL,NULL,Non_Wetland,NULL
177,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
178,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
179,NULL,Forest,NULL,NULL,Non_Wetland,Forest
180,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
181,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
182,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
183,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
184,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
185,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
186,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
187,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
188,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
189,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
190,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
191,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
192,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
193,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
194,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
195,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
196,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
197,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
198,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
199,NULL,Forest,Forest,NULL,Non_Wetland,NULL
200,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
201,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
202,NULL,Forest,Forest,NULL,Non_Wetland,Forest
203,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
204,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
205,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
206,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
207,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
208,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
209,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
210,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
211,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
212,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
213,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
214,Grassland,NULL,Shrubland,Water,Non_Wetland,Cropland
215,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
216,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
217,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
218,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland
219,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up
220,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
221,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
222,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
223,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland
224,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up
225,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
226,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
227,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
228,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
229,Grassland,NULL,Bareland,NULL,Non_Wetland,Water
230,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL
231,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
232,Grassland,NULL,Built-up,NULL,Non_Wetland,Cropland
233,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up
234,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
235,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
236,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
237,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
238,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
239,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
240,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
241,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
242,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
243,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
244,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
245,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
246,Grassland,Cropland,Bareland,Water,Non_Wetland,Grassland
247,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
248,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
249,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
250,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL
251,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL
252,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL
253,Grassland,Built-up,Forest,NULL,Non_Wetland,Cropland
254,Grassland,Water,Cropland,NULL,Non_Wetland,NULL
255,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
256,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
257,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
258,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
259,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
260,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland
261,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
262,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
263,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
264,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland
265,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland
266,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
267,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
268,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
269,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland
270,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
271,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
272,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
273,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
274,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
275,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland
276,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
277,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up
278,Cropland,NULL,NULL,NULL,Non_Wetland,Water
279,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
280,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland
281,Cropland,NULL,NULL,Water,Non_Wetland,Grassland
282,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
283,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
284,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
285,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
286,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
287,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water
288,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
289,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
290,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
291,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
292,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL
293,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
294,Cropland,NULL,Shrubland,Water,Non_Wetland,Cropland
295,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
296,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
297,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
298,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland
299,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
300,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
301,Cropland,NULL,Grassland,NULL,Non_Wetland,Water
302,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
303,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
304,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
305,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
306,Cropland,NULL,Grassland,Water,Non_Wetland,Water
307,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
308,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
309,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
310,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland
311,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
312,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
313,Cropland,NULL,Cropland,NULL,Non_Wetland,Water
314,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
315,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
316,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
317,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
318,Cropland,NULL,Cropland,Water,Non_Wetland,Cropland
319,Cropland,NULL,Wetland,NULL,Wetland,Cropland
320,Cropland,NULL,Wetland,NULL,Wetland,Wetland
321,Cropland,NULL,Wetland,Non_Water,Wetland,Grassland
322,Cropland,NULL,Wetland,Water,Wetland,Cropland
323,Cropland,NULL,Wetland,Water,Wetland,Water
324,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
325,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
326,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
327,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
328,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
329,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
330,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
331,Cropland,NULL,Bareland,NULL,Non_Wetland,Built-up
332,Cropland,NULL,Bareland,NULL,Non_Wetland,Water
333,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
334,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
335,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Water
336,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland
337,Cropland,NULL,Bareland,Water,Non_Wetland,Cropland
338,Cropland,NULL,Bareland,Water,Non_Wetland,Water
339,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
340,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
341,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
342,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
343,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
344,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
345,Cropland,NULL,Water,NULL,Water,NULL
346,Cropland,NULL,Water,NULL,Water,Grassland
347,Cropland,NULL,Water,NULL,Water,Cropland
348,Cropland,NULL,Water,NULL,Water,Bareland
349,Cropland,NULL,Water,NULL,Water,Water
350,Cropland,NULL,Water,NULL,Water,Forest
351,Cropland,NULL,Water,Non_Water,Water,Grassland
352,Cropland,NULL,Water,Water,Water,Cropland
353,Cropland,NULL,Water,Water,Water,Bareland
354,Cropland,NULL,Water,Water,Water,Water
355,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
356,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
357,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
358,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
359,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland
360,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
361,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
362,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
363,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
364,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland
365,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
366,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
367,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
368,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
369,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
370,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
371,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Water
372,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
373,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
374,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
375,Cropland,Cropland,Shrubland,Water,Non_Wetland,Grassland
376,Cropland,Cropland,Shrubland,Water,Non_Wetland,Cropland
377,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
378,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
379,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
380,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
381,Cropland,Cropland,Grassland,NULL,Non_Wetland,Built-up
382,Cropland,Cropland,Grassland,NULL,Non_Wetland,Water
383,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
384,Cropland,Cropland,Grassland,Water,Non_Wetland,Grassland
385,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
386,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
387,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
388,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland
389,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up
390,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
391,Cropland,Cropland,Wetland,NULL,Wetland,Water
392,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
393,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
394,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL
395,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
396,Cropland,Cropland,Bareland,NULL,Non_Wetland,Cropland
397,Cropland,Cropland,Bareland,NULL,Non_Wetland,Water
398,Cropland,Cropland,Bareland,Water,Non_Wetland,Grassland
399,Cropland,Cropland,Bareland,Water,Non_Wetland,Cropland
400,Cropland,Cropland,Bareland,Water,Non_Wetland,Water
401,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL
402,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
403,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland
404,Cropland,Cropland,Built-up,NULL,Non_Wetland,Built-up
405,Cropland,Cropland,Built-up,NULL,Non_Wetland,Forest
406,Cropland,Cropland,Water,NULL,Water,Cropland
407,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
408,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
409,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland
410,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
411,Cropland,Wetland,Shrubland,NULL,Non_Wetland,NULL
412,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
413,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Cropland
414,Cropland,Wetland,Cropland,NULL,Non_Wetland,NULL
415,Cropland,Wetland,Cropland,NULL,Non_Wetland,Grassland
416,Cropland,Wetland,Cropland,NULL,Non_Wetland,Cropland
417,Cropland,Wetland,Forest,NULL,Non_Wetland,Cropland
418,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL
419,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
420,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Cropland
