Value,AFRICA_2024_DynamicWorld_2024_36NXL_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NXL_M_R,AFRICA_2024_GLC_FCS30D_2022_36NXL_M_R,AFRICA_2024_GSW_Yearly_2021_36NXL_M_R,AFRICA_2024_GWL_FCS30D_2022_36NXL_M_R,AFRICA_2024_WorldCover_2021_36NXL_M_R
119,NULL,Wetland,Bareland,Water,Non_Wetland,Grassland
120,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland
121,NULL,Wetland,Built-up,Water,Non_Wetland,Grassland
122,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
123,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
124,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
125,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
126,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
127,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
128,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
129,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
130,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
131,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
132,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
133,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
134,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
135,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
136,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
137,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
138,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
139,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
140,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
141,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
142,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
143,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
144,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
145,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
146,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
147,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
148,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
149,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
150,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
151,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
152,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
153,NULL,Water,Grassland,NULL,Non_Wetland,NULL
154,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
155,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
156,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
157,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
158,NULL,Forest,NULL,NULL,Non_Wetland,NULL
159,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
160,NULL,Forest,NULL,NULL,Non_Wetland,Forest
161,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
162,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
163,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
164,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
165,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
166,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
167,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
168,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
169,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
170,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
171,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
172,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland
173,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
174,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
175,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL
176,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland
177,NULL,Forest,Grassland,Non_Water,Non_Wetland,Wetland
178,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
179,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
180,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
181,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
182,NULL,Forest,Wetland,NULL,Wetland,NULL
183,NULL,Forest,Wetland,NULL,Wetland,Wetland
184,NULL,Forest,Wetland,NULL,Wetland,Forest
185,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
186,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
187,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
188,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
189,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
190,NULL,Forest,Bareland,NULL,Non_Wetland,Cropland
191,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland
192,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
193,NULL,Forest,Bareland,Non_Water,Non_Wetland,NULL
194,NULL,Forest,Bareland,Non_Water,Non_Wetland,Grassland
195,NULL,Forest,Bareland,Non_Water,Non_Wetland,Wetland
196,NULL,Forest,Bareland,Water,Non_Wetland,Grassland
197,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
198,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
199,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
200,NULL,Forest,Built-up,Non_Water,Non_Wetland,Grassland
201,NULL,Forest,Built-up,Non_Water,Non_Wetland,Wetland
202,NULL,Forest,Forest,NULL,Non_Wetland,NULL
203,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
204,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
205,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
206,NULL,Forest,Forest,NULL,Non_Wetland,Forest
207,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
208,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
209,NULL,Forest,Forest,Non_Water,Non_Wetland,Wetland
210,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
211,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
212,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
213,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
214,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
215,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland
216,Grassland,NULL,NULL,Water,Non_Wetland,Grassland
217,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
218,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
219,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
220,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
221,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
222,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
223,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
224,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
225,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
226,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL
227,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
228,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
229,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
230,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
231,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
232,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland
233,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
234,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL
235,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
236,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
237,Grassland,NULL,Grassland,Water,Non_Wetland,NULL
238,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland
239,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland
240,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
241,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
242,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
243,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
244,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL
245,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
246,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
247,Grassland,NULL,Cropland,Water,Non_Wetland,NULL
248,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
249,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland
250,Grassland,NULL,Wetland,NULL,Wetland,Grassland
251,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
252,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
253,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
254,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
255,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
256,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL
257,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
258,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
259,Grassland,NULL,Bareland,Water,Non_Wetland,NULL
260,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland
261,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland
262,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL
263,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
264,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland
265,Grassland,NULL,Built-up,Non_Water,Non_Wetland,NULL
266,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
267,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Wetland
268,Grassland,NULL,Built-up,Water,Non_Wetland,NULL
269,Grassland,NULL,Built-up,Water,Non_Wetland,Grassland
270,Grassland,NULL,Built-up,Water,Non_Wetland,Wetland
271,Grassland,NULL,Water,NULL,Water,Grassland
272,Grassland,NULL,Water,Non_Water,Water,NULL
273,Grassland,NULL,Water,Non_Water,Water,Grassland
274,Grassland,NULL,Water,Non_Water,Water,Wetland
275,Grassland,NULL,Water,Water,Water,NULL
276,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
277,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
278,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
279,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
280,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
281,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL
282,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
283,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
284,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
285,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
286,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
287,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
288,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
289,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
290,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
291,Grassland,Cropland,Grassland,NULL,Non_Wetland,Wetland
292,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland
293,Grassland,Cropland,Bareland,NULL,Non_Wetland,Wetland
294,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland
295,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
296,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
297,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Grassland
298,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Wetland
299,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
300,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
301,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
302,Grassland,Wetland,Shrubland,Water,Non_Wetland,NULL
303,Grassland,Wetland,Grassland,NULL,Non_Wetland,Grassland
304,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL
305,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
306,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
307,Grassland,Wetland,Grassland,Water,Non_Wetland,Grassland
308,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,NULL
309,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
310,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
311,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,NULL
312,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
313,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
314,Grassland,Wetland,Bareland,Water,Non_Wetland,NULL
315,Grassland,Wetland,Water,Non_Water,Water,NULL
316,Grassland,Wetland,Water,Non_Water,Water,Grassland
317,Grassland,Wetland,Water,Non_Water,Water,Wetland
318,Grassland,Wetland,Forest,Water,Non_Wetland,Grassland
319,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
320,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
321,Grassland,Forest,NULL,NULL,Non_Wetland,Cropland
322,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland
323,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
324,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
325,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
326,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland
327,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland
328,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
329,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL
330,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
331,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
332,Grassland,Forest,Shrubland,Water,Non_Wetland,Grassland
333,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL
334,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
335,Grassland,Forest,Grassland,NULL,Non_Wetland,Wetland
336,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest
337,Grassland,Forest,Grassland,Non_Water,Non_Wetland,NULL
338,Grassland,Forest,Grassland,Non_Water,Non_Wetland,Grassland
339,Grassland,Forest,Grassland,Non_Water,Non_Wetland,Wetland
340,Grassland,Forest,Grassland,Water,Non_Wetland,Grassland
341,Grassland,Forest,Grassland,Water,Non_Wetland,Wetland
342,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
343,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
344,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland
345,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
346,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL
347,Grassland,Forest,Bareland,NULL,Non_Wetland,Grassland
348,Grassland,Forest,Bareland,NULL,Non_Wetland,Cropland
349,Grassland,Forest,Bareland,NULL,Non_Wetland,Wetland
350,Grassland,Forest,Bareland,NULL,Non_Wetland,Forest
351,Grassland,Forest,Bareland,Non_Water,Non_Wetland,NULL
352,Grassland,Forest,Bareland,Non_Water,Non_Wetland,Grassland
353,Grassland,Forest,Bareland,Water,Non_Wetland,Grassland
354,Grassland,Forest,Built-up,NULL,Non_Wetland,Grassland
355,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
356,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
357,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland
358,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
359,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
360,Grassland,Forest,Forest,Non_Water,Non_Wetland,Grassland
361,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
362,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
363,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
364,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland
365,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
366,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland
367,Cropland,NULL,NULL,Non_Water,Non_Wetland,Forest
368,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
369,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
370,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
371,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland
372,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
373,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
374,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
375,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
376,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
377,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
378,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
379,Cropland,NULL,Shrubland,Water,Non_Wetland,Wetland
380,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
381,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
382,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
383,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland
384,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
385,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
386,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
387,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL
388,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
389,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
390,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
391,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
392,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
393,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
394,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland
395,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
396,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
397,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
398,Cropland,NULL,Cropland,Water,Non_Wetland,Wetland
399,Cropland,NULL,Wetland,NULL,Wetland,Forest
400,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
401,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
402,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
403,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
404,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
405,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
406,Cropland,NULL,Bareland,NULL,Non_Wetland,Wetland
407,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
408,Cropland,NULL,Bareland,NULL,Non_Wetland,Built-up
409,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
410,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL
411,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
412,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
413,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland
414,Cropland,NULL,Bareland,Water,Non_Wetland,Wetland
415,Cropland,NULL,Bareland,Water,Non_Wetland,Bareland
416,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
