Value,AFRICA_2024_DynamicWorld_2024_38PKC_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38PKC_M_R,AFRICA_2024_GLC_FCS30D_2022_38PKC_M_R,AFRICA_2024_GSW_Yearly_2021_38PKC_M_R,AFRICA_2024_GWL_FCS30D_2022_38PKC_M_R,AFRICA_2024_WorldCover_2021_38PKC_M_R
119,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
120,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
121,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
122,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
123,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
124,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
125,Grassland,NULL,Wetland,NULL,Wetland,Wetland
126,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
127,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
128,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
129,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
130,Grassland,Wetland,Wetland,NULL,Wetland,Wetland
131,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
132,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
133,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
134,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
135,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
136,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
137,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
138,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
139,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
140,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
141,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
142,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
143,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
144,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
145,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
146,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
147,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
148,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
149,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
150,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
151,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
152,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
153,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
154,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
155,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
156,Cropland,NULL,Bareland,NULL,Non_Wetland,Built-up
157,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
158,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
159,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
160,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
161,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
162,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
163,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
164,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
165,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
166,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
167,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland
168,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
169,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
170,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
171,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
172,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
173,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
174,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
175,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
176,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
177,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
178,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
179,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland
180,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up
181,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
182,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
183,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
184,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
185,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
186,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
187,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL
188,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
189,Cropland,Cropland,Bareland,NULL,Non_Wetland,Cropland
190,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland
191,Cropland,Cropland,Bareland,NULL,Non_Wetland,Built-up
192,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland
193,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland
194,Cropland,Cropland,Built-up,NULL,Non_Wetland,Built-up
195,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
196,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland
197,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
198,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Cropland
199,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
200,Cropland,Bareland,Cropland,NULL,Non_Wetland,NULL
201,Cropland,Bareland,Cropland,NULL,Non_Wetland,Grassland
202,Cropland,Bareland,Cropland,NULL,Non_Wetland,Cropland
203,Cropland,Bareland,Cropland,NULL,Non_Wetland,Bareland
204,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL
205,Cropland,Bareland,Bareland,NULL,Non_Wetland,Grassland
206,Cropland,Bareland,Bareland,NULL,Non_Wetland,Cropland
207,Cropland,Bareland,Bareland,NULL,Non_Wetland,Bareland
208,Cropland,Bareland,Built-up,NULL,Non_Wetland,Cropland
209,Cropland,Bareland,Built-up,NULL,Non_Wetland,Bareland
210,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL
211,Cropland,Built-up,Cropland,NULL,Non_Wetland,Cropland
212,Cropland,Built-up,Cropland,NULL,Non_Wetland,Bareland
213,Cropland,Built-up,Cropland,NULL,Non_Wetland,Built-up
214,Cropland,Built-up,Cropland,NULL,Non_Wetland,Forest
215,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL
216,Cropland,Built-up,Bareland,NULL,Non_Wetland,Cropland
217,Cropland,Built-up,Bareland,NULL,Non_Wetland,Bareland
218,Cropland,Built-up,Built-up,NULL,Non_Wetland,Cropland
219,Cropland,Built-up,Built-up,NULL,Non_Wetland,Built-up
220,Cropland,Water,Cropland,NULL,Non_Wetland,NULL
221,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL
222,Cropland,Forest,Cropland,NULL,Non_Wetland,Cropland
223,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest
224,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
225,Wetland,NULL,Grassland,NULL,Non_Wetland,Bareland
226,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL
227,Wetland,NULL,Cropland,NULL,Non_Wetland,Cropland
228,Wetland,NULL,Cropland,NULL,Non_Wetland,Wetland
229,Wetland,NULL,Cropland,NULL,Non_Wetland,Bareland
230,Wetland,NULL,Cropland,NULL,Non_Wetland,Forest
231,Wetland,NULL,Cropland,Non_Water,Non_Wetland,NULL
232,Wetland,NULL,Cropland,Water,Non_Wetland,NULL
233,Wetland,NULL,Cropland,Water,Non_Wetland,Wetland
234,Wetland,NULL,Wetland,NULL,NULL,Wetland
235,Wetland,NULL,Wetland,NULL,Wetland,NULL
236,Wetland,NULL,Wetland,NULL,Wetland,Grassland
237,Wetland,NULL,Wetland,NULL,Wetland,Cropland
238,Wetland,NULL,Wetland,NULL,Wetland,Wetland
239,Wetland,NULL,Wetland,NULL,Wetland,Bareland
240,Wetland,NULL,Wetland,NULL,Wetland,Water
241,Wetland,NULL,Wetland,NULL,Wetland,Forest
242,Wetland,NULL,Wetland,Non_Water,NULL,Wetland
243,Wetland,NULL,Wetland,Non_Water,Wetland,NULL
244,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland
245,Wetland,NULL,Wetland,Non_Water,Wetland,Bareland
246,Wetland,NULL,Wetland,Water,NULL,Wetland
247,Wetland,NULL,Wetland,Water,Wetland,NULL
248,Wetland,NULL,Wetland,Water,Wetland,Cropland
249,Wetland,NULL,Wetland,Water,Wetland,Wetland
250,Wetland,NULL,Wetland,Water,Wetland,Bareland
251,Wetland,NULL,Wetland,Water,Wetland,Water
252,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL
253,Wetland,NULL,Bareland,NULL,Non_Wetland,Grassland
254,Wetland,NULL,Bareland,NULL,Non_Wetland,Cropland
255,Wetland,NULL,Bareland,NULL,Non_Wetland,Wetland
256,Wetland,NULL,Bareland,NULL,Non_Wetland,Bareland
257,Wetland,NULL,Bareland,NULL,Non_Wetland,Water
258,Wetland,NULL,Bareland,NULL,Non_Wetland,Forest
259,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
260,Wetland,NULL,Bareland,Water,Non_Wetland,Cropland
261,Wetland,NULL,Bareland,Water,Non_Wetland,Wetland
262,Wetland,NULL,Bareland,Water,Non_Wetland,Bareland
263,Wetland,NULL,Built-up,NULL,Non_Wetland,Wetland
264,Wetland,NULL,Built-up,Non_Water,Non_Wetland,Wetland
265,Wetland,NULL,Water,Non_Water,NULL,Wetland
266,Wetland,Wetland,Cropland,NULL,Non_Wetland,Wetland
267,Wetland,Wetland,Cropland,Water,Non_Wetland,Wetland
268,Wetland,Wetland,Wetland,NULL,Wetland,NULL
269,Wetland,Wetland,Wetland,NULL,Wetland,Cropland
270,Wetland,Wetland,Wetland,NULL,Wetland,Wetland
271,Wetland,Wetland,Wetland,NULL,Wetland,Bareland
272,Wetland,Wetland,Wetland,NULL,Wetland,Water
273,Wetland,Wetland,Wetland,Non_Water,NULL,Water
274,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL
275,Wetland,Wetland,Wetland,Non_Water,Wetland,Cropland
276,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland
277,Wetland,Wetland,Wetland,Non_Water,Wetland,Bareland
278,Wetland,Wetland,Wetland,Water,Wetland,NULL
279,Wetland,Wetland,Wetland,Water,Wetland,Cropland
280,Wetland,Wetland,Wetland,Water,Wetland,Wetland
281,Wetland,Wetland,Wetland,Water,Wetland,Bareland
282,Wetland,Wetland,Wetland,Water,Wetland,Water
283,Wetland,Wetland,Bareland,NULL,Non_Wetland,NULL
284,Wetland,Wetland,Bareland,NULL,Non_Wetland,Cropland
285,Wetland,Wetland,Bareland,NULL,Non_Wetland,Wetland
286,Wetland,Wetland,Bareland,NULL,Non_Wetland,Bareland
287,Wetland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
288,Wetland,Wetland,Bareland,Water,Non_Wetland,Cropland
289,Wetland,Wetland,Bareland,Water,Non_Wetland,Wetland
290,Wetland,Wetland,Bareland,Water,Non_Wetland,Bareland
291,Wetland,Bareland,Cropland,NULL,Non_Wetland,Bareland
292,Wetland,Bareland,Wetland,NULL,Wetland,NULL
293,Wetland,Bareland,Wetland,NULL,Wetland,Cropland
294,Wetland,Bareland,Wetland,NULL,Wetland,Wetland
295,Wetland,Bareland,Wetland,NULL,Wetland,Bareland
296,Wetland,Bareland,Wetland,Water,Wetland,Bareland
297,Wetland,Bareland,Bareland,NULL,Non_Wetland,NULL
298,Wetland,Bareland,Bareland,NULL,Non_Wetland,Cropland
299,Wetland,Bareland,Bareland,NULL,Non_Wetland,Wetland
300,Wetland,Bareland,Bareland,NULL,Non_Wetland,Bareland
301,Wetland,Bareland,Bareland,NULL,Non_Wetland,Water
302,Wetland,Bareland,Bareland,Water,Non_Wetland,Bareland
303,Wetland,Built-up,Wetland,NULL,Wetland,Wetland
304,Wetland,Built-up,Wetland,NULL,Wetland,Bareland
305,Wetland,Built-up,Wetland,Water,Wetland,Wetland
306,Wetland,Built-up,Bareland,NULL,Non_Wetland,Bareland
307,Wetland,Water,Shrubland,NULL,Non_Wetland,Wetland
308,Wetland,Water,Cropland,NULL,Non_Wetland,Cropland
309,Wetland,Water,Cropland,NULL,Non_Wetland,Wetland
310,Wetland,Water,Cropland,NULL,Non_Wetland,Forest
311,Wetland,Water,Wetland,NULL,NULL,Wetland
312,Wetland,Water,Wetland,NULL,Wetland,NULL
313,Wetland,Water,Wetland,NULL,Wetland,Grassland
314,Wetland,Water,Wetland,NULL,Wetland,Cropland
315,Wetland,Water,Wetland,NULL,Wetland,Wetland
316,Wetland,Water,Wetland,NULL,Wetland,Bareland
317,Wetland,Water,Wetland,NULL,Wetland,Water
318,Wetland,Water,Wetland,NULL,Wetland,Forest
319,Wetland,Water,Wetland,Non_Water,NULL,Wetland
320,Wetland,Water,Wetland,Non_Water,NULL,Bareland
321,Wetland,Water,Wetland,Non_Water,NULL,Water
322,Wetland,Water,Wetland,Non_Water,Wetland,NULL
323,Wetland,Water,Wetland,Non_Water,Wetland,Cropland
324,Wetland,Water,Wetland,Non_Water,Wetland,Wetland
325,Wetland,Water,Wetland,Non_Water,Wetland,Bareland
326,Wetland,Water,Wetland,Non_Water,Wetland,Water
327,Wetland,Water,Wetland,Non_Water,Wetland,Forest
328,Wetland,Water,Wetland,Water,NULL,Wetland
329,Wetland,Water,Wetland,Water,NULL,Water
330,Wetland,Water,Wetland,Water,Wetland,NULL
331,Wetland,Water,Wetland,Water,Wetland,Grassland
332,Wetland,Water,Wetland,Water,Wetland,Cropland
333,Wetland,Water,Wetland,Water,Wetland,Wetland
334,Wetland,Water,Wetland,Water,Wetland,Bareland
335,Wetland,Water,Wetland,Water,Wetland,Water
336,Wetland,Water,Wetland,Water,Wetland,Forest
337,Wetland,Water,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
338,Wetland,Water,Lichens_and_Mosses,NULL,Non_Wetland,Water
339,Wetland,Water,Lichens_and_Mosses,NULL,Non_Wetland,Forest
340,Wetland,Water,Bareland,NULL,Non_Wetland,NULL
341,Wetland,Water,Bareland,NULL,Non_Wetland,Grassland
342,Wetland,Water,Bareland,NULL,Non_Wetland,Cropland
343,Wetland,Water,Bareland,NULL,Non_Wetland,Wetland
344,Wetland,Water,Bareland,NULL,Non_Wetland,Bareland
345,Wetland,Water,Bareland,NULL,Non_Wetland,Water
346,Wetland,Water,Bareland,NULL,Non_Wetland,Forest
347,Wetland,Water,Bareland,Non_Water,Non_Wetland,NULL
348,Wetland,Water,Bareland,Non_Water,Non_Wetland,Wetland
349,Wetland,Water,Bareland,Non_Water,Non_Wetland,Water
350,Wetland,Water,Bareland,Water,Non_Wetland,Grassland
351,Wetland,Water,Bareland,Water,Non_Wetland,Cropland
352,Wetland,Water,Bareland,Water,Non_Wetland,Wetland
353,Wetland,Water,Bareland,Water,Non_Wetland,Bareland
354,Wetland,Water,Built-up,NULL,Non_Wetland,Wetland
355,Wetland,Water,Built-up,NULL,Non_Wetland,Forest
356,Wetland,Water,Water,Water,NULL,Water
357,Wetland,Forest,Cropland,NULL,Non_Wetland,NULL
358,Wetland,Forest,Cropland,NULL,Non_Wetland,Wetland
359,Wetland,Forest,Wetland,NULL,NULL,Bareland
360,Wetland,Forest,Wetland,NULL,Wetland,NULL
361,Wetland,Forest,Wetland,NULL,Wetland,Wetland
362,Wetland,Forest,Wetland,NULL,Wetland,Bareland
363,Wetland,Forest,Wetland,NULL,Wetland,Forest
364,Wetland,Forest,Wetland,Non_Water,NULL,Cropland
365,Wetland,Forest,Wetland,Non_Water,NULL,Bareland
366,Wetland,Forest,Wetland,Non_Water,NULL,Forest
367,Wetland,Forest,Wetland,Non_Water,Wetland,NULL
368,Wetland,Forest,Wetland,Non_Water,Wetland,Cropland
369,Wetland,Forest,Wetland,Non_Water,Wetland,Wetland
370,Wetland,Forest,Wetland,Non_Water,Wetland,Bareland
371,Wetland,Forest,Wetland,Non_Water,Wetland,Water
372,Wetland,Forest,Wetland,Non_Water,Wetland,Forest
373,Wetland,Forest,Wetland,Water,NULL,Wetland
374,Wetland,Forest,Wetland,Water,NULL,Bareland
375,Wetland,Forest,Wetland,Water,Wetland,Cropland
376,Wetland,Forest,Wetland,Water,Wetland,Wetland
377,Wetland,Forest,Wetland,Water,Wetland,Water
378,Wetland,Forest,Bareland,NULL,Non_Wetland,Wetland
379,Wetland,Forest,Bareland,Non_Water,Non_Wetland,Wetland
380,Wetland,Forest,Bareland,Water,Non_Wetland,Wetland
381,Wetland,Forest,Water,NULL,NULL,Wetland
382,Bareland,NULL,NULL,NULL,Non_Wetland,NULL
383,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
384,Bareland,NULL,NULL,NULL,Non_Wetland,Cropland
385,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland
386,Bareland,NULL,NULL,NULL,Non_Wetland,Built-up
387,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
388,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
389,Bareland,NULL,Shrubland,NULL,Non_Wetland,Cropland
390,Bareland,NULL,Shrubland,NULL,Non_Wetland,Wetland
391,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
392,Bareland,NULL,Shrubland,NULL,Non_Wetland,Built-up
393,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
394,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
395,Bareland,NULL,Shrubland,Water,Non_Wetland,Bareland
396,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL
397,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
398,Bareland,NULL,Grassland,NULL,Non_Wetland,Cropland
399,Bareland,NULL,Grassland,NULL,Non_Wetland,Wetland
400,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
401,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL
402,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
403,Bareland,NULL,Cropland,NULL,Non_Wetland,Cropland
404,Bareland,NULL,Cropland,NULL,Non_Wetland,Wetland
405,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland
406,Bareland,NULL,Cropland,NULL,Non_Wetland,Built-up
407,Bareland,NULL,Cropland,NULL,Non_Wetland,Water
408,Bareland,NULL,Cropland,NULL,Non_Wetland,Forest
409,Bareland,NULL,Cropland,Non_Water,Non_Wetland,NULL
410,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
411,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
412,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
413,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Bareland
414,Bareland,NULL,Cropland,Water,Non_Wetland,NULL
415,Bareland,NULL,Cropland,Water,Non_Wetland,Grassland
416,Bareland,NULL,Cropland,Water,Non_Wetland,Cropland
417,Bareland,NULL,Cropland,Water,Non_Wetland,Wetland
418,Bareland,NULL,Cropland,Water,Non_Wetland,Bareland
419,Bareland,NULL,Cropland,Water,Non_Wetland,Water
420,Bareland,NULL,Wetland,NULL,NULL,NULL
421,Bareland,NULL,Wetland,NULL,NULL,Wetland
422,Bareland,NULL,Wetland,NULL,NULL,Bareland
423,Bareland,NULL,Wetland,NULL,NULL,Water
