Value,AFRICA_2024_DynamicWorld_2024_36NYP_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NYP_M_R,AFRICA_2024_GLC_FCS30D_2022_36NYP_M_R,AFRICA_2024_GSW_Yearly_2021_36NYP_M_R,AFRICA_2024_GWL_FCS30D_2022_36NYP_M_R,AFRICA_2024_WorldCover_2021_36NYP_M_R
119,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
120,NULL,Water,Built-up,Water,Non_Wetland,Water
121,NULL,Water,Forest,NULL,Non_Wetland,NULL
122,NULL,Forest,NULL,NULL,Non_Wetland,NULL
123,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
124,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
125,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
126,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
127,NULL,Forest,NULL,NULL,Non_Wetland,Forest
128,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
129,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
130,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
131,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
132,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
133,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
134,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
135,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
136,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
137,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
138,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
139,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
140,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
141,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
142,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
143,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
144,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
145,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
146,NULL,Forest,Built-up,NULL,Non_Wetland,Cropland
147,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
148,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
149,NULL,Forest,Forest,NULL,Non_Wetland,NULL
150,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
151,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
152,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
153,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
154,NULL,Forest,Forest,NULL,Non_Wetland,Forest
155,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
156,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
157,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
158,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
159,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
160,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
161,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
162,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
163,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
164,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
165,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
166,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
167,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
168,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
169,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
170,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up
171,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
172,Grassland,NULL,Wetland,NULL,Wetland,NULL
173,Grassland,NULL,Wetland,NULL,Wetland,Grassland
174,Grassland,NULL,Wetland,NULL,Wetland,Wetland
175,Grassland,NULL,Wetland,Water,Wetland,Grassland
176,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
177,Grassland,NULL,Bareland,NULL,Non_Wetland,Cropland
178,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
179,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL
180,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
181,Grassland,NULL,Built-up,NULL,Non_Wetland,Cropland
182,Grassland,NULL,Built-up,NULL,Non_Wetland,Forest
183,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
184,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
185,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
186,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
187,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up
188,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
189,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
190,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
191,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
192,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL
193,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
194,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
195,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland
196,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest
197,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
198,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
199,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
200,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
201,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
202,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
203,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
204,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland
205,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest
206,Grassland,Cropland,Wetland,NULL,Wetland,Cropland
207,Grassland,Cropland,Bareland,NULL,Non_Wetland,Cropland
208,Grassland,Cropland,Bareland,NULL,Non_Wetland,Wetland
209,Grassland,Cropland,Built-up,NULL,Non_Wetland,Wetland
210,Grassland,Cropland,Built-up,NULL,Non_Wetland,Forest
211,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
212,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
213,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
214,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
215,Grassland,Cropland,Forest,NULL,Non_Wetland,Built-up
216,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
217,Grassland,Built-up,NULL,NULL,Non_Wetland,NULL
218,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland
219,Grassland,Built-up,NULL,NULL,Non_Wetland,Cropland
220,Grassland,Built-up,NULL,NULL,Non_Wetland,Built-up
221,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
222,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland
223,Grassland,Built-up,Cropland,NULL,Non_Wetland,Cropland
224,Grassland,Built-up,Cropland,NULL,Non_Wetland,Built-up
225,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland
226,Grassland,Built-up,Built-up,NULL,Non_Wetland,Cropland
227,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL
228,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland
229,Grassland,Built-up,Forest,NULL,Non_Wetland,Cropland
230,Grassland,Built-up,Forest,NULL,Non_Wetland,Wetland
231,Grassland,Built-up,Forest,NULL,Non_Wetland,Built-up
232,Grassland,Built-up,Forest,NULL,Non_Wetland,Forest
233,Grassland,Water,Forest,NULL,Non_Wetland,Grassland
234,Grassland,Water,Forest,NULL,Non_Wetland,Forest
235,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
236,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
237,Grassland,Forest,NULL,NULL,Non_Wetland,Cropland
238,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland
239,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
240,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
241,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
242,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland
243,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
244,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
245,Grassland,Forest,Grassland,NULL,Non_Wetland,Cropland
246,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
247,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
248,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland
249,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland
250,Grassland,Forest,Cropland,NULL,Non_Wetland,Built-up
251,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
252,Grassland,Forest,Wetland,NULL,Wetland,Cropland
253,Grassland,Forest,Bareland,NULL,Non_Wetland,Grassland
254,Grassland,Forest,Bareland,NULL,Non_Wetland,Cropland
255,Grassland,Forest,Bareland,NULL,Non_Wetland,Wetland
256,Grassland,Forest,Bareland,NULL,Non_Wetland,Forest
257,Grassland,Forest,Built-up,NULL,Non_Wetland,Cropland
258,Grassland,Forest,Built-up,NULL,Non_Wetland,Forest
259,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
260,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
261,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland
262,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
263,Grassland,Forest,Forest,NULL,Non_Wetland,Built-up
264,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
265,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
266,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
267,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
268,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
269,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
270,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
271,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
272,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
273,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
274,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
275,Cropland,NULL,Wetland,Water,Wetland,Grassland
276,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
277,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
278,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
279,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
280,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
281,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
282,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland
283,Cropland,NULL,Forest,NULL,Non_Wetland,Built-up
284,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
285,Cropland,NULL,Forest,Water,Non_Wetland,Grassland
286,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
287,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
288,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
289,Cropland,Cropland,NULL,NULL,Non_Wetland,Wetland
290,Cropland,Cropland,NULL,NULL,Non_Wetland,Built-up
291,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
292,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
293,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
294,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
295,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
296,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
297,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
298,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
299,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
300,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
301,Cropland,Cropland,Cropland,NULL,Non_Wetland,Wetland
302,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up
303,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
304,Cropland,Cropland,Wetland,NULL,Wetland,Cropland
305,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
306,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL
307,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
308,Cropland,Cropland,Bareland,NULL,Non_Wetland,Cropland
309,Cropland,Cropland,Bareland,NULL,Non_Wetland,Forest
310,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
311,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland
312,Cropland,Cropland,Built-up,NULL,Non_Wetland,Built-up
313,Cropland,Cropland,Built-up,NULL,Non_Wetland,Forest
314,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
315,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
316,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland
317,Cropland,Cropland,Forest,NULL,Non_Wetland,Wetland
318,Cropland,Cropland,Forest,NULL,Non_Wetland,Bareland
319,Cropland,Cropland,Forest,NULL,Non_Wetland,Built-up
320,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
321,Cropland,Bareland,Forest,NULL,Non_Wetland,Forest
322,Cropland,Built-up,NULL,NULL,Non_Wetland,Grassland
323,Cropland,Built-up,NULL,NULL,Non_Wetland,Cropland
324,Cropland,Built-up,NULL,NULL,Non_Wetland,Forest
325,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
326,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Cropland
327,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Bareland
328,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL
329,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland
330,Cropland,Built-up,Cropland,NULL,Non_Wetland,Cropland
331,Cropland,Built-up,Cropland,NULL,Non_Wetland,Built-up
332,Cropland,Built-up,Cropland,NULL,Non_Wetland,Forest
333,Cropland,Built-up,Built-up,NULL,Non_Wetland,Grassland
334,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL
335,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland
336,Cropland,Built-up,Forest,NULL,Non_Wetland,Cropland
337,Cropland,Built-up,Forest,NULL,Non_Wetland,Wetland
338,Cropland,Built-up,Forest,NULL,Non_Wetland,Bareland
339,Cropland,Built-up,Forest,NULL,Non_Wetland,Built-up
340,Cropland,Built-up,Forest,NULL,Non_Wetland,Forest
341,Cropland,Water,Forest,NULL,Non_Wetland,Grassland
342,Cropland,Water,Forest,NULL,Non_Wetland,Forest
343,Cropland,Forest,NULL,NULL,Non_Wetland,NULL
344,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland
345,Cropland,Forest,NULL,NULL,Non_Wetland,Cropland
346,Cropland,Forest,NULL,NULL,Non_Wetland,Forest
347,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
348,Cropland,Forest,Shrubland,NULL,Non_Wetland,Cropland
349,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest
350,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL
351,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland
352,Cropland,Forest,Cropland,NULL,Non_Wetland,Cropland
353,Cropland,Forest,Cropland,NULL,Non_Wetland,Built-up
354,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest
355,Cropland,Forest,Bareland,NULL,Non_Wetland,NULL
356,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
357,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
358,Cropland,Forest,Forest,NULL,Non_Wetland,Cropland
359,Cropland,Forest,Forest,NULL,Non_Wetland,Wetland
360,Cropland,Forest,Forest,NULL,Non_Wetland,Built-up
361,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
362,Wetland,NULL,Shrubland,NULL,Non_Wetland,Forest
363,Wetland,NULL,Forest,NULL,Non_Wetland,Forest
364,Wetland,Cropland,Forest,NULL,Non_Wetland,Grassland
365,Wetland,Wetland,Water,NULL,Water,Forest
366,Wetland,Wetland,Forest,NULL,Non_Wetland,Forest
367,Wetland,Water,Forest,NULL,Non_Wetland,Forest
368,Wetland,Forest,Bareland,NULL,Non_Wetland,Forest
369,Wetland,Forest,Forest,NULL,Non_Wetland,Cropland
370,Wetland,Forest,Forest,NULL,Non_Wetland,Forest
371,Bareland,NULL,NULL,NULL,Non_Wetland,Cropland
372,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
373,Bareland,NULL,Shrubland,NULL,Non_Wetland,Forest
374,Bareland,NULL,Forest,NULL,Non_Wetland,NULL
375,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland
376,Bareland,NULL,Forest,NULL,Non_Wetland,Cropland
377,Bareland,NULL,Forest,NULL,Non_Wetland,Wetland
378,Bareland,NULL,Forest,NULL,Non_Wetland,Forest
379,Bareland,Cropland,NULL,NULL,Non_Wetland,Grassland
380,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
381,Bareland,Cropland,Cropland,NULL,Non_Wetland,Built-up
382,Bareland,Cropland,Cropland,NULL,Non_Wetland,Forest
383,Bareland,Cropland,Bareland,NULL,Non_Wetland,Grassland
384,Bareland,Cropland,Forest,NULL,Non_Wetland,Grassland
385,Bareland,Cropland,Forest,NULL,Non_Wetland,Forest
386,Bareland,Built-up,Forest,NULL,Non_Wetland,Grassland
387,Bareland,Built-up,Forest,NULL,Non_Wetland,Cropland
388,Bareland,Built-up,Forest,NULL,Non_Wetland,Forest
389,Bareland,Water,Forest,NULL,Non_Wetland,Grassland
390,Bareland,Water,Forest,NULL,Non_Wetland,Forest
391,Bareland,Forest,Forest,NULL,Non_Wetland,NULL
392,Bareland,Forest,Forest,NULL,Non_Wetland,Grassland
393,Bareland,Forest,Forest,NULL,Non_Wetland,Forest
394,Water,NULL,NULL,NULL,Non_Wetland,Grassland
395,Water,NULL,Shrubland,NULL,Non_Wetland,Cropland
396,Water,NULL,Shrubland,NULL,Non_Wetland,Forest
397,Water,NULL,Wetland,NULL,Wetland,Wetland
398,Water,NULL,Bareland,NULL,Non_Wetland,Grassland
399,Water,NULL,Bareland,NULL,Non_Wetland,Cropland
400,Water,NULL,Bareland,NULL,Non_Wetland,Bareland
401,Water,NULL,Bareland,Water,Non_Wetland,Cropland
402,Water,NULL,Forest,NULL,Non_Wetland,Grassland
403,Water,NULL,Forest,NULL,Non_Wetland,Cropland
404,Water,NULL,Forest,NULL,Non_Wetland,Wetland
405,Water,NULL,Forest,NULL,Non_Wetland,Bareland
406,Water,NULL,Forest,NULL,Non_Wetland,Forest
407,Water,NULL,Forest,Water,Non_Wetland,Cropland
408,Water,Cropland,NULL,NULL,Non_Wetland,Cropland
409,Water,Cropland,NULL,NULL,Non_Wetland,Forest
410,Water,Cropland,Shrubland,NULL,Non_Wetland,Grassland
411,Water,Cropland,Shrubland,NULL,Non_Wetland,Cropland
412,Water,Cropland,Shrubland,NULL,Non_Wetland,Bareland
413,Water,Cropland,Wetland,NULL,Wetland,Cropland
414,Water,Cropland,Bareland,NULL,Non_Wetland,Grassland
415,Water,Cropland,Bareland,NULL,Non_Wetland,Cropland
416,Water,Cropland,Bareland,NULL,Non_Wetland,Bareland
417,Water,Cropland,Forest,NULL,Non_Wetland,Grassland
418,Water,Cropland,Forest,NULL,Non_Wetland,Cropland
419,Water,Cropland,Forest,NULL,Non_Wetland,Bareland
420,Water,Cropland,Forest,NULL,Non_Wetland,Forest
421,Water,Wetland,Water,NULL,Water,Water
