Value,AFRICA_2024_DynamicWorld_2024_35PNL_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PNL_M_R,AFRICA_2024_GLC_FCS30D_2022_35PNL_M_R,AFRICA_2024_GSW_Yearly_2021_35PNL_M_R,AFRICA_2024_GWL_FCS30D_2022_35PNL_M_R,AFRICA_2024_WorldCover_2021_35PNL_M_R
121,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
122,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
123,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
124,NULL,NULL,Forest,NULL,Non_Wetland,Forest
125,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
126,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
127,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
128,NULL,NULL,Forest,Water,Non_Wetland,NULL
129,NULL,NULL,Forest,Water,Non_Wetland,Grassland
130,NULL,NULL,Forest,Water,Non_Wetland,Cropland
131,NULL,NULL,Forest,Water,Non_Wetland,Forest
132,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
133,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
134,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
135,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
136,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
137,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
138,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
139,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
140,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
141,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
142,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
143,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
144,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
145,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
146,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
147,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
148,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
149,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
150,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
151,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
152,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
153,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
154,NULL,Cropland,Wetland,NULL,Wetland,Grassland
155,NULL,Cropland,Wetland,NULL,Wetland,Wetland
156,NULL,Cropland,Wetland,Non_Water,Wetland,Grassland
157,NULL,Cropland,Bareland,Water,Non_Wetland,Grassland
158,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
159,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
160,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
161,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
162,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
163,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
164,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
165,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
166,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
167,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
168,NULL,Wetland,Shrubland,NULL,Non_Wetland,Cropland
169,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
170,NULL,Wetland,Shrubland,NULL,Non_Wetland,Built-up
171,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
172,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
173,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
174,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
175,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
176,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
177,NULL,Wetland,Grassland,NULL,Non_Wetland,Cropland
178,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
179,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
180,NULL,Wetland,Grassland,NULL,Non_Wetland,Built-up
181,NULL,Wetland,Grassland,Water,Non_Wetland,Grassland
182,NULL,Wetland,Wetland,NULL,Wetland,NULL
183,NULL,Wetland,Wetland,NULL,Wetland,Grassland
184,NULL,Wetland,Wetland,NULL,Wetland,Wetland
185,NULL,Wetland,Wetland,NULL,Wetland,Forest
186,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
187,NULL,Wetland,Wetland,Non_Water,Wetland,Forest
188,NULL,Wetland,Wetland,Water,Wetland,Wetland
189,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
190,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland
191,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
192,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
193,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
194,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
195,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
196,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
197,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
198,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
199,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
200,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
201,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
202,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
203,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
204,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
205,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
206,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
207,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
208,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
209,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
210,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
211,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
212,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
213,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
214,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
215,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
216,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
217,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
218,NULL,Water,NULL,NULL,Non_Wetland,Grassland
219,NULL,Water,NULL,Non_Water,Non_Wetland,Grassland
220,NULL,Water,NULL,Water,Non_Wetland,Bareland
221,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
222,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
223,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
224,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
225,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
226,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
227,NULL,Water,Shrubland,Water,Non_Wetland,Forest
228,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
229,NULL,Water,Cropland,Water,Non_Wetland,Grassland
230,NULL,Water,Cropland,Water,Non_Wetland,Forest
231,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
232,NULL,Water,Water,Water,Water,Grassland
233,NULL,Forest,NULL,NULL,Non_Wetland,NULL
234,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
235,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
236,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
237,NULL,Forest,NULL,NULL,Non_Wetland,Forest
238,NULL,Forest,NULL,Water,Non_Wetland,Grassland
239,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
240,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
241,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
242,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
243,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
244,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
245,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
246,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
247,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
248,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Cropland
249,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
250,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
251,NULL,Forest,Shrubland,Water,Non_Wetland,NULL
252,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
253,NULL,Forest,Shrubland,Water,Non_Wetland,Wetland
254,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
255,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
256,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
257,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
258,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
259,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
260,NULL,Forest,Wetland,NULL,Wetland,NULL
261,NULL,Forest,Wetland,NULL,Wetland,Grassland
262,NULL,Forest,Wetland,NULL,Wetland,Wetland
263,NULL,Forest,Wetland,NULL,Wetland,Forest
264,NULL,Forest,Wetland,Non_Water,Wetland,NULL
265,NULL,Forest,Wetland,Non_Water,Wetland,Wetland
266,NULL,Forest,Wetland,Non_Water,Wetland,Forest
267,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
268,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
269,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
270,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
271,NULL,Forest,Forest,NULL,Non_Wetland,NULL
272,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
273,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
274,NULL,Forest,Forest,NULL,Non_Wetland,Forest
275,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
276,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
277,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
278,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
279,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
280,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
281,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
282,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland
283,Grassland,NULL,NULL,Non_Water,Non_Wetland,Forest
284,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
285,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
286,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
287,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
288,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water
289,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
290,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
291,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
292,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
293,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
294,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
295,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
296,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
297,Grassland,NULL,Shrubland,Water,Non_Wetland,Forest
298,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
299,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
300,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
301,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
302,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
303,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland
304,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
305,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
306,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
307,Grassland,NULL,Wetland,NULL,Wetland,NULL
308,Grassland,NULL,Wetland,NULL,Wetland,Grassland
309,Grassland,NULL,Wetland,NULL,Wetland,Cropland
310,Grassland,NULL,Wetland,NULL,Wetland,Wetland
311,Grassland,NULL,Wetland,NULL,Wetland,Forest
312,Grassland,NULL,Wetland,Non_Water,Wetland,NULL
313,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
314,Grassland,NULL,Wetland,Non_Water,Wetland,Cropland
315,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
316,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
317,Grassland,NULL,Wetland,Water,Wetland,Grassland
318,Grassland,NULL,Wetland,Water,Wetland,Wetland
319,Grassland,NULL,Wetland,Water,Wetland,Water
320,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
321,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
322,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
323,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
324,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
325,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Forest
326,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland
327,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland
328,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Wetland
329,Grassland,NULL,Water,Non_Water,Water,Wetland
330,Grassland,NULL,Water,Water,Water,Wetland
331,Grassland,NULL,Water,Water,Water,Water
332,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
333,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
334,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
335,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
336,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
337,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
338,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
339,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
340,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
341,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
342,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland
343,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
344,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
345,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
346,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
347,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
348,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
349,Grassland,Cropland,Wetland,NULL,Wetland,NULL
350,Grassland,Cropland,Wetland,NULL,Wetland,Grassland
351,Grassland,Cropland,Wetland,NULL,Wetland,Wetland
352,Grassland,Cropland,Wetland,Non_Water,Wetland,Grassland
353,Grassland,Cropland,Wetland,Non_Water,Wetland,Wetland
354,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
355,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
356,Grassland,Wetland,NULL,NULL,Non_Wetland,Wetland
357,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Wetland
358,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
359,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
360,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Forest
361,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
362,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
363,Grassland,Wetland,Shrubland,Water,Non_Wetland,Wetland
364,Grassland,Wetland,Wetland,NULL,Wetland,Grassland
365,Grassland,Wetland,Wetland,NULL,Wetland,Wetland
366,Grassland,Wetland,Wetland,NULL,Wetland,Forest
367,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland
368,Grassland,Wetland,Wetland,Water,Wetland,Wetland
369,Grassland,Wetland,Bareland,NULL,Non_Wetland,Wetland
370,Grassland,Wetland,Water,Non_Water,Water,Wetland
371,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland
372,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest
373,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland
374,Grassland,Wetland,Forest,Water,Non_Wetland,Wetland
375,Grassland,Bareland,NULL,NULL,Non_Wetland,Wetland
376,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland
377,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland
378,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Grassland
379,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Wetland
380,Grassland,Water,Wetland,NULL,Wetland,Wetland
381,Grassland,Water,Wetland,Non_Water,Wetland,Wetland
382,Grassland,Water,Wetland,Water,Wetland,Wetland
383,Grassland,Water,Forest,Non_Water,Non_Wetland,Wetland
384,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
385,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland
386,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
387,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
388,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
389,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland
390,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland
391,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
392,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL
393,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
394,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
395,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Forest
396,Grassland,Forest,Shrubland,Water,Non_Wetland,Wetland
397,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
398,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest
399,Grassland,Forest,Wetland,NULL,Wetland,NULL
400,Grassland,Forest,Wetland,NULL,Wetland,Grassland
401,Grassland,Forest,Wetland,NULL,Wetland,Cropland
402,Grassland,Forest,Wetland,NULL,Wetland,Wetland
403,Grassland,Forest,Wetland,NULL,Wetland,Forest
404,Grassland,Forest,Wetland,Non_Water,Wetland,Grassland
405,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland
406,Grassland,Forest,Wetland,Non_Water,Wetland,Forest
407,Grassland,Forest,Bareland,NULL,Non_Wetland,Cropland
408,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
409,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
410,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
411,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
412,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
413,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
414,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
415,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland
416,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
417,Cropland,NULL,NULL,Non_Water,Non_Wetland,Bareland
418,Cropland,NULL,NULL,Water,Non_Wetland,Grassland
419,Cropland,NULL,NULL,Water,Non_Wetland,Wetland
420,Cropland,NULL,NULL,Water,Non_Wetland,Bareland
421,Cropland,NULL,NULL,Water,Non_Wetland,Water
422,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
423,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
424,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
