Value,AFRICA_2024_DynamicWorld_2024_35PRL_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PRL_M_R,AFRICA_2024_GLC_FCS30D_2022_35PRL_M_R,AFRICA_2024_GSW_Yearly_2021_35PRL_M_R,AFRICA_2024_GWL_FCS30D_2022_35PRL_M_R,AFRICA_2024_WorldCover_2021_35PRL_M_R
124,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
125,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
126,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
127,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
128,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
129,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
130,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
131,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
132,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
133,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
134,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
135,NULL,Cropland,Shrubland,Water,Non_Wetland,Wetland
136,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
137,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
138,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
139,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
140,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland
141,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
142,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
143,NULL,Cropland,Wetland,NULL,Wetland,NULL
144,NULL,Cropland,Wetland,NULL,Wetland,Grassland
145,NULL,Cropland,Wetland,NULL,Wetland,Wetland
146,NULL,Cropland,Wetland,NULL,Wetland,Built-up
147,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
148,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
149,NULL,Cropland,Built-up,NULL,Non_Wetland,Wetland
150,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
151,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
152,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Grassland
153,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
154,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
155,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
156,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
157,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
158,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
159,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
160,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
161,NULL,Wetland,NULL,NULL,Non_Wetland,Built-up
162,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
163,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland
164,NULL,Wetland,NULL,Water,Non_Wetland,Grassland
165,NULL,Wetland,NULL,Water,Non_Wetland,Water
166,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
167,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
168,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
169,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
170,NULL,Wetland,Shrubland,NULL,Non_Wetland,Built-up
171,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
172,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
173,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
174,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
175,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL
176,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
177,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
178,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland
179,NULL,Wetland,Shrubland,Water,Non_Wetland,Water
180,NULL,Wetland,Shrubland,Water,Non_Wetland,Forest
181,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL
182,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
183,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
184,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
185,NULL,Wetland,Grassland,NULL,Non_Wetland,Built-up
186,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL
187,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
188,NULL,Wetland,Cropland,NULL,Non_Wetland,Wetland
189,NULL,Wetland,Cropland,NULL,Non_Wetland,Built-up
190,NULL,Wetland,Cropland,NULL,Non_Wetland,Forest
191,NULL,Wetland,Cropland,Water,Non_Wetland,Grassland
192,NULL,Wetland,Wetland,NULL,Wetland,NULL
193,NULL,Wetland,Wetland,NULL,Wetland,Grassland
194,NULL,Wetland,Wetland,NULL,Wetland,Wetland
195,NULL,Wetland,Wetland,NULL,Wetland,Bareland
196,NULL,Wetland,Wetland,NULL,Wetland,Built-up
197,NULL,Wetland,Wetland,NULL,Wetland,Water
198,NULL,Wetland,Wetland,NULL,Wetland,Forest
199,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland
200,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
201,NULL,Wetland,Wetland,Non_Water,Wetland,Forest
202,NULL,Wetland,Wetland,Water,Wetland,Grassland
203,NULL,Wetland,Wetland,Water,Wetland,Wetland
204,NULL,Wetland,Wetland,Water,Wetland,Water
205,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL
206,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
207,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
208,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland
209,NULL,Wetland,Bareland,NULL,Non_Wetland,Forest
210,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
211,NULL,Wetland,Built-up,NULL,Non_Wetland,Built-up
212,NULL,Wetland,Water,NULL,Water,NULL
213,NULL,Wetland,Water,NULL,Water,Grassland
214,NULL,Wetland,Water,NULL,Water,Wetland
215,NULL,Wetland,Water,NULL,Water,Water
216,NULL,Wetland,Water,NULL,Water,Forest
217,NULL,Wetland,Water,Water,Water,NULL
218,NULL,Wetland,Water,Water,Water,Grassland
219,NULL,Wetland,Water,Water,Water,Wetland
220,NULL,Wetland,Water,Water,Water,Water
221,NULL,Wetland,Water,Water,Water,Forest
222,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
223,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
224,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
225,NULL,Wetland,Forest,NULL,Non_Wetland,Bareland
226,NULL,Wetland,Forest,NULL,Non_Wetland,Water
227,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
228,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
229,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
230,NULL,Wetland,Forest,Water,Non_Wetland,Water
231,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
232,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
233,NULL,Bareland,Shrubland,NULL,Non_Wetland,Wetland
234,NULL,Bareland,Shrubland,NULL,Non_Wetland,Built-up
235,NULL,Bareland,Shrubland,Water,Non_Wetland,Grassland
236,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
237,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
238,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
239,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
240,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland
241,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
242,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
243,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
244,NULL,Built-up,NULL,Water,Non_Wetland,Grassland
245,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
246,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
247,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
248,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
249,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
250,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
251,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
252,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland
253,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up
254,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
255,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
256,NULL,Built-up,Shrubland,Water,Non_Wetland,Wetland
257,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland
258,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up
259,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
260,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
261,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
262,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
263,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
264,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
265,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
266,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
267,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
268,NULL,Built-up,Wetland,NULL,Wetland,NULL
269,NULL,Built-up,Wetland,NULL,Wetland,Grassland
270,NULL,Built-up,Wetland,NULL,Wetland,Wetland
271,NULL,Built-up,Wetland,NULL,Wetland,Forest
272,NULL,Built-up,Wetland,Non_Water,Wetland,Wetland
273,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
274,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
275,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
276,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
277,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
278,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
279,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland
280,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
281,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
282,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
283,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland
284,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
285,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
286,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
287,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
288,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
289,NULL,Water,NULL,NULL,Non_Wetland,Wetland
290,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
291,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
292,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
293,NULL,Water,Shrubland,NULL,Non_Wetland,Built-up
294,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
295,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
296,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
297,NULL,Water,Wetland,NULL,Wetland,Grassland
298,NULL,Water,Wetland,NULL,Wetland,Wetland
299,NULL,Water,Wetland,NULL,Wetland,Forest
300,NULL,Water,Wetland,Non_Water,Wetland,Grassland
301,NULL,Water,Wetland,Non_Water,Wetland,Wetland
302,NULL,Water,Bareland,NULL,Non_Wetland,Wetland
303,NULL,Water,Water,NULL,Water,Wetland
304,NULL,Water,Water,Water,Water,Wetland
305,NULL,Water,Forest,NULL,Non_Wetland,Wetland
306,NULL,Water,Forest,NULL,Non_Wetland,Forest
307,NULL,Forest,NULL,NULL,Non_Wetland,NULL
308,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
309,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
310,NULL,Forest,NULL,NULL,Non_Wetland,Forest
311,NULL,Forest,NULL,Non_Water,Non_Wetland,Wetland
312,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
313,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
314,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
315,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
316,NULL,Forest,Shrubland,NULL,Non_Wetland,Water
317,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
318,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
319,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
320,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
321,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
322,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
323,NULL,Forest,Shrubland,Water,Non_Wetland,Wetland
324,NULL,Forest,Shrubland,Water,Non_Wetland,Water
325,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
326,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
327,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland
328,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
329,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
330,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
331,NULL,Forest,Wetland,NULL,Wetland,NULL
332,NULL,Forest,Wetland,NULL,Wetland,Grassland
333,NULL,Forest,Wetland,NULL,Wetland,Wetland
334,NULL,Forest,Wetland,NULL,Wetland,Forest
335,NULL,Forest,Wetland,Non_Water,Wetland,Grassland
336,NULL,Forest,Wetland,Non_Water,Wetland,Wetland
337,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
338,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
339,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland
340,NULL,Forest,Bareland,Non_Water,Non_Wetland,Wetland
341,NULL,Forest,Bareland,Water,Non_Wetland,Grassland
342,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
343,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
344,NULL,Forest,Forest,NULL,Non_Wetland,NULL
345,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
346,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
347,NULL,Forest,Forest,NULL,Non_Wetland,Forest
348,NULL,Forest,Forest,Non_Water,Non_Wetland,Wetland
349,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
350,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
351,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
352,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
353,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
354,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL
355,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland
356,Grassland,NULL,NULL,Non_Water,Non_Wetland,Forest
357,Grassland,NULL,NULL,Water,Non_Wetland,Grassland
358,Grassland,NULL,NULL,Water,Non_Wetland,Wetland
359,Grassland,NULL,NULL,Water,Non_Wetland,Water
360,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
361,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
362,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
363,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
364,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
365,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water
366,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
367,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
368,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
369,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
370,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Water
371,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
372,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
373,Grassland,NULL,Shrubland,Water,Non_Wetland,Cropland
374,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
375,Grassland,NULL,Shrubland,Water,Non_Wetland,Bareland
376,Grassland,NULL,Shrubland,Water,Non_Wetland,Water
377,Grassland,NULL,Shrubland,Water,Non_Wetland,Forest
378,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
379,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
380,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
381,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
382,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
383,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
384,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
385,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
386,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
387,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
388,Grassland,NULL,Wetland,NULL,Wetland,NULL
389,Grassland,NULL,Wetland,NULL,Wetland,Grassland
390,Grassland,NULL,Wetland,NULL,Wetland,Wetland
391,Grassland,NULL,Wetland,NULL,Wetland,Water
392,Grassland,NULL,Wetland,NULL,Wetland,Forest
393,Grassland,NULL,Wetland,Non_Water,Wetland,NULL
394,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
395,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
396,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
397,Grassland,NULL,Wetland,Water,Wetland,Grassland
398,Grassland,NULL,Wetland,Water,Wetland,Wetland
399,Grassland,NULL,Wetland,Water,Wetland,Water
400,Grassland,NULL,Wetland,Water,Wetland,Forest
401,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
402,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
403,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
404,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
405,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
406,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Forest
407,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland
408,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
409,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland
410,Grassland,NULL,Water,NULL,Water,NULL
411,Grassland,NULL,Water,NULL,Water,Grassland
412,Grassland,NULL,Water,NULL,Water,Wetland
413,Grassland,NULL,Water,NULL,Water,Water
414,Grassland,NULL,Water,NULL,Water,Forest
415,Grassland,NULL,Water,Non_Water,Water,Wetland
416,Grassland,NULL,Water,Non_Water,Water,Forest
417,Grassland,NULL,Water,Water,Water,Grassland
418,Grassland,NULL,Water,Water,Water,Wetland
419,Grassland,NULL,Water,Water,Water,Water
420,Grassland,NULL,Water,Water,Water,Forest
421,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
422,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
423,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
424,Grassland,NULL,Forest,NULL,Non_Wetland,Water
425,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
426,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL
427,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
428,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
429,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
430,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
431,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
432,Grassland,NULL,Forest,Water,Non_Wetland,Bareland
433,Grassland,NULL,Forest,Water,Non_Wetland,Water
