Value,AFRICA_2024_DynamicWorld_2024_37PES_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PES_M_R,AFRICA_2024_GLC_FCS30D_2022_37PES_M_R,AFRICA_2024_GSW_Yearly_2021_37PES_M_R,AFRICA_2024_GWL_FCS30D_2022_37PES_M_R,AFRICA_2024_WorldCover_2021_37PES_M_R
123,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
124,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
125,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
126,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
127,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
128,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
129,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
130,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
131,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
132,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
133,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
134,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
135,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
136,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
137,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
138,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
139,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
140,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
141,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
142,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
143,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
144,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
145,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
146,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
147,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
148,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
149,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
150,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
151,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
152,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
153,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
154,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
155,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
156,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
157,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL
158,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL
159,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland
160,NULL,Bareland,NULL,NULL,Non_Wetland,NULL
161,NULL,Bareland,NULL,NULL,Non_Wetland,Grassland
162,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
163,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
164,NULL,Bareland,Shrubland,NULL,Non_Wetland,Cropland
165,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
166,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
167,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
168,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
169,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
170,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
171,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
172,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
173,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
174,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
175,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
176,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
177,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
178,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
179,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
180,NULL,Bareland,Built-up,NULL,Non_Wetland,Cropland
181,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
182,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
183,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
184,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
185,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
186,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
187,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
188,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
189,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
190,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
191,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
192,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
193,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
194,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
195,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
196,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
197,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
198,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
199,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
200,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
201,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
202,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
203,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
204,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
205,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
206,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
207,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
208,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
209,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
210,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
211,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
212,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
213,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
214,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
215,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
216,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
217,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
218,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
219,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
220,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
221,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
222,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
223,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
224,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
225,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
226,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
227,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
228,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
229,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
230,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
231,NULL,Water,Grassland,NULL,Non_Wetland,NULL
232,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
233,NULL,Water,Grassland,NULL,Non_Wetland,Cropland
234,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
235,NULL,Water,Grassland,Water,Non_Wetland,Cropland
236,NULL,Water,Cropland,NULL,Non_Wetland,NULL
237,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
238,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
239,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
240,NULL,Water,Bareland,NULL,Non_Wetland,NULL
241,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
242,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
243,NULL,Water,Bareland,Water,Non_Wetland,Water
244,NULL,Forest,NULL,NULL,Non_Wetland,NULL
245,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
246,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
247,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
248,NULL,Forest,NULL,NULL,Non_Wetland,Forest
249,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
250,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
251,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
252,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
253,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
254,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
255,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
256,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
257,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
258,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
259,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
260,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
261,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
262,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
263,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
264,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
265,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
266,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
267,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
268,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
269,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
270,NULL,Forest,Built-up,NULL,Non_Wetland,Cropland
271,NULL,Forest,Water,NULL,Water,NULL
272,NULL,Forest,Forest,NULL,Non_Wetland,NULL
273,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
274,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
275,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
276,NULL,Forest,Forest,NULL,Non_Wetland,Forest
277,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
278,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
279,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
280,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
281,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
282,Grassland,NULL,NULL,Water,Non_Wetland,Wetland
283,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
284,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
285,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
286,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
287,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
288,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
289,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
290,Grassland,NULL,Shrubland,Water,Non_Wetland,Cropland
291,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
292,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
293,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
294,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland
295,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
296,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
297,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
298,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
299,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
300,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland
301,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
302,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
303,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
304,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
305,Grassland,NULL,Cropland,Water,Non_Wetland,Cropland
306,Grassland,NULL,Cropland,Water,Non_Wetland,Water
307,Grassland,NULL,Wetland,Non_Water,Wetland,Cropland
308,Grassland,NULL,Wetland,Water,Wetland,Water
309,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
310,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
311,Grassland,NULL,Bareland,NULL,Non_Wetland,Cropland
312,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland
313,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL
314,Grassland,NULL,Built-up,NULL,Non_Wetland,Cropland
315,Grassland,NULL,Built-up,NULL,Non_Wetland,Forest
316,Grassland,NULL,Water,NULL,Water,Grassland
317,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
318,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
319,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
320,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
321,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland
322,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
323,Grassland,NULL,Forest,Water,Non_Wetland,Cropland
324,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL
325,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
326,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
327,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
328,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
329,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL
330,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
331,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
332,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
333,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
334,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
335,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
336,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
337,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
338,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland
339,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland
340,Grassland,Built-up,Cropland,NULL,Non_Wetland,Cropland
341,Grassland,Built-up,Forest,NULL,Non_Wetland,Forest
342,Grassland,Water,NULL,Water,Non_Wetland,Cropland
343,Grassland,Water,NULL,Water,Non_Wetland,Water
344,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Cropland
345,Grassland,Water,Shrubland,Water,Non_Wetland,Water
346,Grassland,Water,Grassland,NULL,Non_Wetland,Cropland
347,Grassland,Water,Cropland,NULL,Non_Wetland,NULL
348,Grassland,Water,Cropland,Water,Non_Wetland,Cropland
349,Grassland,Water,Cropland,Water,Non_Wetland,Water
350,Grassland,Water,Wetland,Non_Water,Wetland,NULL
351,Grassland,Water,Wetland,Non_Water,Wetland,Grassland
352,Grassland,Water,Wetland,Non_Water,Wetland,Cropland
353,Grassland,Water,Wetland,Water,Wetland,Cropland
354,Grassland,Water,Wetland,Water,Wetland,Water
355,Grassland,Water,Bareland,Water,Non_Wetland,Water
356,Grassland,Water,Water,Water,Water,Water
357,Grassland,Water,Forest,NULL,Non_Wetland,Cropland
358,Grassland,Water,Forest,Water,Non_Wetland,Wetland
359,Grassland,Water,Forest,Water,Non_Wetland,Water
360,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
361,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
362,Grassland,Forest,NULL,NULL,Non_Wetland,Cropland
363,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland
364,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
365,Grassland,Forest,NULL,Water,Non_Wetland,Cropland
366,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
367,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
368,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland
369,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland
370,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
371,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Cropland
372,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
373,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL
374,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
375,Grassland,Forest,Grassland,NULL,Non_Wetland,Cropland
376,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest
377,Grassland,Forest,Grassland,Water,Non_Wetland,Cropland
378,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
379,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
380,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland
381,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland
382,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
383,Grassland,Forest,Cropland,Non_Water,Non_Wetland,Cropland
384,Grassland,Forest,Cropland,Water,Non_Wetland,Grassland
385,Grassland,Forest,Wetland,Non_Water,Wetland,NULL
386,Grassland,Forest,Wetland,Non_Water,Wetland,Grassland
387,Grassland,Forest,Water,NULL,Water,Grassland
388,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
389,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
390,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland
391,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
392,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
393,Grassland,Forest,Forest,Non_Water,Non_Wetland,Wetland
394,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
395,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
396,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
397,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
398,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up
399,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
400,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL
401,Cropland,NULL,NULL,Non_Water,Non_Wetland,Cropland
402,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
403,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
404,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
405,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
406,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
407,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
408,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
409,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
410,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
411,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
412,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
413,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
414,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
415,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL
416,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
417,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
418,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
419,Cropland,NULL,Grassland,Water,Non_Wetland,Cropland
420,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
421,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
422,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
423,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
424,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland
