Value,AFRICA_2024_DynamicWorld_2024_35NPE_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NPE_M_R,AFRICA_2024_GLC_FCS30D_2022_35NPE_M_R,AFRICA_2024_GSW_Yearly_2021_35NPE_M_R,AFRICA_2024_GWL_FCS30D_2022_35NPE_M_R,AFRICA_2024_WorldCover_2021_35NPE_M_R
121,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
122,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
123,NULL,Forest,Forest,NULL,Non_Wetland,NULL
124,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
125,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
126,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
127,NULL,Forest,Forest,NULL,Non_Wetland,Forest
128,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
129,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
130,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
131,NULL,Forest,Forest,Water,Non_Wetland,Grassland
132,NULL,Forest,Forest,Water,Non_Wetland,Forest
133,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
134,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
135,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
136,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
137,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
138,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
139,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
140,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
141,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
142,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
143,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
144,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
145,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
146,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
147,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
148,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
149,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
150,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
151,Grassland,NULL,Wetland,NULL,Wetland,NULL
152,Grassland,NULL,Wetland,NULL,Wetland,Grassland
153,Grassland,NULL,Wetland,NULL,Wetland,Forest
154,Grassland,NULL,Wetland,Non_Water,Wetland,NULL
155,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
156,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
157,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
158,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
159,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
160,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
161,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
162,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
163,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL
164,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
165,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
166,Grassland,NULL,Forest,Water,Non_Wetland,NULL
167,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
168,Grassland,NULL,Forest,Water,Non_Wetland,Forest
169,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
170,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
171,Grassland,Water,Forest,NULL,Non_Wetland,Grassland
172,Grassland,Water,Forest,NULL,Non_Wetland,Forest
173,Grassland,Water,Forest,Non_Water,Non_Wetland,Grassland
174,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
175,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
176,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
177,Grassland,Forest,NULL,Non_Water,Non_Wetland,Grassland
178,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
179,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
180,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
181,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
182,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
183,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
184,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland
185,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
186,Grassland,Forest,Wetland,NULL,Wetland,Grassland
187,Grassland,Forest,Wetland,NULL,Wetland,Forest
188,Grassland,Forest,Wetland,Water,Wetland,Forest
189,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
190,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
191,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
192,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
193,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL
194,Grassland,Forest,Forest,Non_Water,Non_Wetland,Grassland
195,Grassland,Forest,Forest,Non_Water,Non_Wetland,Forest
196,Grassland,Forest,Forest,Water,Non_Wetland,NULL
197,Grassland,Forest,Forest,Water,Non_Wetland,Grassland
198,Grassland,Forest,Forest,Water,Non_Wetland,Forest
199,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
200,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up
201,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
202,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
203,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
204,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
205,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
206,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
207,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
208,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
209,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
210,Cropland,NULL,Forest,NULL,Non_Wetland,Built-up
211,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
212,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland
213,Cropland,Built-up,Built-up,NULL,Non_Wetland,Grassland
214,Cropland,Built-up,Built-up,NULL,Non_Wetland,Built-up
215,Cropland,Built-up,Forest,NULL,Non_Wetland,Forest
216,Cropland,Water,Forest,NULL,Non_Wetland,Forest
217,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
218,Cropland,Forest,Cropland,NULL,Non_Wetland,Built-up
219,Cropland,Forest,Built-up,NULL,Non_Wetland,Grassland
220,Cropland,Forest,Built-up,NULL,Non_Wetland,Built-up
221,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
222,Cropland,Forest,Forest,NULL,Non_Wetland,Built-up
223,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
224,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL
225,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
226,Wetland,NULL,Shrubland,NULL,Non_Wetland,Cropland
227,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland
228,Wetland,NULL,Shrubland,NULL,Non_Wetland,Forest
229,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
230,Wetland,NULL,Wetland,NULL,Wetland,NULL
231,Wetland,NULL,Wetland,NULL,Wetland,Grassland
232,Wetland,NULL,Wetland,NULL,Wetland,Wetland
233,Wetland,NULL,Wetland,NULL,Wetland,Forest
234,Wetland,NULL,Forest,NULL,Non_Wetland,NULL
235,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland
236,Wetland,NULL,Forest,NULL,Non_Wetland,Cropland
237,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland
238,Wetland,NULL,Forest,NULL,Non_Wetland,Forest
239,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL
240,Wetland,NULL,Forest,Non_Water,Non_Wetland,Grassland
241,Wetland,NULL,Forest,Non_Water,Non_Wetland,Wetland
242,Wetland,NULL,Forest,Non_Water,Non_Wetland,Forest
243,Wetland,NULL,Forest,Water,Non_Wetland,Forest
244,Wetland,Wetland,Wetland,NULL,Wetland,Forest
245,Wetland,Wetland,Forest,NULL,Non_Wetland,Forest
246,Wetland,Water,NULL,NULL,Non_Wetland,Forest
247,Wetland,Water,Shrubland,NULL,Non_Wetland,Grassland
248,Wetland,Water,Shrubland,NULL,Non_Wetland,Water
249,Wetland,Water,Shrubland,NULL,Non_Wetland,Forest
250,Wetland,Water,Wetland,NULL,Wetland,Grassland
251,Wetland,Water,Wetland,NULL,Wetland,Water
252,Wetland,Water,Wetland,NULL,Wetland,Forest
253,Wetland,Water,Wetland,Non_Water,Wetland,Water
254,Wetland,Water,Wetland,Non_Water,Wetland,Forest
255,Wetland,Water,Wetland,Water,Wetland,Water
256,Wetland,Water,Wetland,Water,Wetland,Forest
257,Wetland,Water,Bareland,NULL,Non_Wetland,Water
258,Wetland,Water,Built-up,NULL,Non_Wetland,Grassland
259,Wetland,Water,Built-up,NULL,Non_Wetland,Forest
260,Wetland,Water,Water,NULL,Water,Water
261,Wetland,Water,Water,NULL,Water,Forest
262,Wetland,Water,Water,Non_Water,Water,Water
263,Wetland,Water,Water,Water,Water,Water
264,Wetland,Water,Water,Water,Water,Forest
265,Wetland,Water,Forest,NULL,Non_Wetland,Grassland
266,Wetland,Water,Forest,NULL,Non_Wetland,Forest
267,Wetland,Forest,NULL,NULL,Non_Wetland,Forest
268,Wetland,Forest,Shrubland,NULL,Non_Wetland,Forest
269,Wetland,Forest,Wetland,NULL,Wetland,Forest
270,Wetland,Forest,Forest,NULL,Non_Wetland,NULL
271,Wetland,Forest,Forest,NULL,Non_Wetland,Grassland
272,Wetland,Forest,Forest,NULL,Non_Wetland,Cropland
273,Wetland,Forest,Forest,NULL,Non_Wetland,Forest
274,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
275,Bareland,NULL,Forest,NULL,Non_Wetland,NULL
276,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland
277,Bareland,Bareland,Shrubland,Water,Non_Wetland,Bareland
278,Bareland,Forest,Forest,NULL,Non_Wetland,Grassland
279,Water,NULL,NULL,NULL,Non_Wetland,Forest
280,Water,NULL,Shrubland,NULL,Non_Wetland,NULL
281,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland
282,Water,NULL,Shrubland,NULL,Non_Wetland,Wetland
283,Water,NULL,Shrubland,NULL,Non_Wetland,Bareland
284,Water,NULL,Shrubland,NULL,Non_Wetland,Forest
285,Water,NULL,Wetland,NULL,Wetland,Grassland
286,Water,NULL,Wetland,NULL,Wetland,Wetland
287,Water,NULL,Wetland,NULL,Wetland,Forest
288,Water,NULL,Wetland,Non_Water,Wetland,Forest
289,Water,NULL,Bareland,NULL,Non_Wetland,Forest
290,Water,NULL,Forest,NULL,Non_Wetland,NULL
291,Water,NULL,Forest,NULL,Non_Wetland,Grassland
292,Water,NULL,Forest,NULL,Non_Wetland,Wetland
293,Water,NULL,Forest,NULL,Non_Wetland,Bareland
294,Water,NULL,Forest,NULL,Non_Wetland,Forest
295,Water,Wetland,Shrubland,NULL,Non_Wetland,Grassland
296,Water,Wetland,Shrubland,NULL,Non_Wetland,Wetland
297,Water,Wetland,Shrubland,NULL,Non_Wetland,Forest
298,Water,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
299,Water,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
300,Water,Wetland,Wetland,NULL,Wetland,Forest
301,Water,Wetland,Forest,NULL,Non_Wetland,NULL
302,Water,Wetland,Forest,NULL,Non_Wetland,Forest
303,Water,Bareland,Shrubland,Water,Non_Wetland,Bareland
304,Water,Built-up,NULL,NULL,Non_Wetland,Forest
305,Water,Built-up,Shrubland,NULL,Non_Wetland,Bareland
306,Water,Built-up,Shrubland,NULL,Non_Wetland,Water
307,Water,Built-up,Shrubland,NULL,Non_Wetland,Forest
308,Water,Built-up,Cropland,NULL,Non_Wetland,Grassland
309,Water,Built-up,Cropland,NULL,Non_Wetland,Forest
310,Water,Built-up,Cropland,Non_Water,Non_Wetland,Forest
311,Water,Built-up,Wetland,Water,Wetland,Forest
312,Water,Built-up,Built-up,NULL,Non_Wetland,Grassland
313,Water,Built-up,Built-up,NULL,Non_Wetland,Water
314,Water,Built-up,Built-up,NULL,Non_Wetland,Forest
315,Water,Built-up,Forest,NULL,Non_Wetland,Grassland
316,Water,Built-up,Forest,NULL,Non_Wetland,Water
317,Water,Built-up,Forest,NULL,Non_Wetland,Forest
318,Water,Water,NULL,NULL,Non_Wetland,Grassland
319,Water,Water,NULL,NULL,Non_Wetland,Water
320,Water,Water,NULL,NULL,Non_Wetland,Forest
321,Water,Water,NULL,Non_Water,Non_Wetland,Water
322,Water,Water,NULL,Non_Water,Non_Wetland,Forest
323,Water,Water,NULL,Water,Non_Wetland,Water
324,Water,Water,Shrubland,NULL,Non_Wetland,Grassland
325,Water,Water,Shrubland,NULL,Non_Wetland,Wetland
326,Water,Water,Shrubland,NULL,Non_Wetland,Bareland
327,Water,Water,Shrubland,NULL,Non_Wetland,Water
328,Water,Water,Shrubland,NULL,Non_Wetland,Forest
329,Water,Water,Shrubland,Non_Water,Non_Wetland,Grassland
330,Water,Water,Shrubland,Non_Water,Non_Wetland,Wetland
331,Water,Water,Shrubland,Non_Water,Non_Wetland,Water
332,Water,Water,Shrubland,Non_Water,Non_Wetland,Forest
333,Water,Water,Shrubland,Water,Non_Wetland,Grassland
334,Water,Water,Shrubland,Water,Non_Wetland,Wetland
335,Water,Water,Shrubland,Water,Non_Wetland,Bareland
336,Water,Water,Shrubland,Water,Non_Wetland,Water
337,Water,Water,Shrubland,Water,Non_Wetland,Forest
338,Water,Water,Grassland,NULL,Non_Wetland,Water
339,Water,Water,Grassland,NULL,Non_Wetland,Forest
340,Water,Water,Cropland,NULL,Non_Wetland,Grassland
341,Water,Water,Cropland,NULL,Non_Wetland,Water
342,Water,Water,Cropland,NULL,Non_Wetland,Forest
343,Water,Water,Cropland,Non_Water,Non_Wetland,Water
344,Water,Water,Cropland,Non_Water,Non_Wetland,Forest
345,Water,Water,Cropland,Water,Non_Wetland,Water
346,Water,Water,Cropland,Water,Non_Wetland,Forest
347,Water,Water,Wetland,NULL,Wetland,NULL
348,Water,Water,Wetland,NULL,Wetland,Grassland
349,Water,Water,Wetland,NULL,Wetland,Wetland
350,Water,Water,Wetland,NULL,Wetland,Bareland
351,Water,Water,Wetland,NULL,Wetland,Water
352,Water,Water,Wetland,NULL,Wetland,Forest
353,Water,Water,Wetland,Non_Water,Wetland,Grassland
354,Water,Water,Wetland,Non_Water,Wetland,Wetland
355,Water,Water,Wetland,Non_Water,Wetland,Bareland
356,Water,Water,Wetland,Non_Water,Wetland,Water
357,Water,Water,Wetland,Non_Water,Wetland,Forest
358,Water,Water,Wetland,Water,Wetland,Grassland
359,Water,Water,Wetland,Water,Wetland,Wetland
360,Water,Water,Wetland,Water,Wetland,Bareland
361,Water,Water,Wetland,Water,Wetland,Built-up
362,Water,Water,Wetland,Water,Wetland,Water
363,Water,Water,Wetland,Water,Wetland,Forest
364,Water,Water,Bareland,NULL,Non_Wetland,Grassland
365,Water,Water,Bareland,NULL,Non_Wetland,Bareland
366,Water,Water,Bareland,NULL,Non_Wetland,Water
367,Water,Water,Bareland,NULL,Non_Wetland,Forest
368,Water,Water,Bareland,Non_Water,Non_Wetland,Water
369,Water,Water,Bareland,Non_Water,Non_Wetland,Forest
370,Water,Water,Bareland,Water,Non_Wetland,Grassland
371,Water,Water,Bareland,Water,Non_Wetland,Water
372,Water,Water,Bareland,Water,Non_Wetland,Forest
373,Water,Water,Built-up,NULL,Non_Wetland,Grassland
374,Water,Water,Built-up,NULL,Non_Wetland,Bareland
375,Water,Water,Built-up,NULL,Non_Wetland,Water
376,Water,Water,Built-up,NULL,Non_Wetland,Forest
377,Water,Water,Built-up,Non_Water,Non_Wetland,Water
378,Water,Water,Built-up,Water,Non_Wetland,NULL
379,Water,Water,Built-up,Water,Non_Wetland,Grassland
380,Water,Water,Built-up,Water,Non_Wetland,Bareland
381,Water,Water,Built-up,Water,Non_Wetland,Water
382,Water,Water,Water,NULL,Water,Grassland
383,Water,Water,Water,NULL,Water,Wetland
384,Water,Water,Water,NULL,Water,Bareland
385,Water,Water,Water,NULL,Water,Water
386,Water,Water,Water,NULL,Water,Forest
387,Water,Water,Water,Non_Water,Water,Grassland
388,Water,Water,Water,Non_Water,Water,Wetland
389,Water,Water,Water,Non_Water,Water,Bareland
390,Water,Water,Water,Non_Water,Water,Water
391,Water,Water,Water,Non_Water,Water,Forest
392,Water,Water,Water,Water,Water,Grassland
393,Water,Water,Water,Water,Water,Wetland
394,Water,Water,Water,Water,Water,Bareland
395,Water,Water,Water,Water,Water,Water
396,Water,Water,Water,Water,Water,Forest
397,Water,Water,Forest,NULL,Non_Wetland,NULL
398,Water,Water,Forest,NULL,Non_Wetland,Grassland
399,Water,Water,Forest,NULL,Non_Wetland,Wetland
400,Water,Water,Forest,NULL,Non_Wetland,Bareland
401,Water,Water,Forest,NULL,Non_Wetland,Water
402,Water,Water,Forest,NULL,Non_Wetland,Forest
403,Water,Water,Forest,Non_Water,Non_Wetland,NULL
404,Water,Water,Forest,Non_Water,Non_Wetland,Grassland
405,Water,Water,Forest,Non_Water,Non_Wetland,Water
406,Water,Water,Forest,Non_Water,Non_Wetland,Forest
407,Water,Water,Forest,Water,Non_Wetland,Grassland
408,Water,Water,Forest,Water,Non_Wetland,Bareland
409,Water,Water,Forest,Water,Non_Wetland,Water
410,Water,Water,Forest,Water,Non_Wetland,Forest
411,Water,Forest,Wetland,NULL,Wetland,NULL
412,Water,Forest,Wetland,NULL,Wetland,Grassland
413,Water,Forest,Wetland,NULL,Wetland,Forest
414,Water,Forest,Wetland,Non_Water,Wetland,Grassland
415,Water,Forest,Wetland,Non_Water,Wetland,Forest
416,Water,Forest,Wetland,Water,Wetland,Grassland
417,Water,Forest,Wetland,Water,Wetland,Forest
418,Water,Forest,Bareland,Non_Water,Non_Wetland,Grassland
419,Water,Forest,Water,Water,Water,Forest
420,Water,Forest,Forest,NULL,Non_Wetland,NULL
421,Water,Forest,Forest,NULL,Non_Wetland,Grassland
422,Water,Forest,Forest,NULL,Non_Wetland,Forest
423,Water,Forest,Forest,Non_Water,Non_Wetland,Grassland
424,Water,Forest,Forest,Non_Water,Non_Wetland,Forest
425,Forest,NULL,NULL,NULL,Non_Wetland,NULL
426,Forest,NULL,NULL,NULL,Non_Wetland,Grassland
427,Forest,NULL,NULL,NULL,Non_Wetland,Wetland
428,Forest,NULL,NULL,NULL,Non_Wetland,Forest
429,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
430,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland
431,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland
432,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland
433,Forest,NULL,Shrubland,NULL,Non_Wetland,Built-up
434,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest
435,Forest,NULL,Grassland,NULL,Non_Wetland,NULL
436,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland
437,Forest,NULL,Grassland,NULL,Non_Wetland,Forest
438,Forest,NULL,Cropland,NULL,Non_Wetland,NULL
439,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland
440,Forest,NULL,Cropland,NULL,Non_Wetland,Wetland
441,Forest,NULL,Cropland,NULL,Non_Wetland,Built-up
442,Forest,NULL,Cropland,NULL,Non_Wetland,Forest
443,Forest,NULL,Wetland,NULL,Wetland,NULL
444,Forest,NULL,Wetland,NULL,Wetland,Grassland
445,Forest,NULL,Wetland,NULL,Wetland,Wetland
