Value,AFRICA_2024_DynamicWorld_2024_36NVL_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NVL_M_R,AFRICA_2024_GLC_FCS30D_2022_36NVL_M_R,AFRICA_2024_GSW_Yearly_2021_36NVL_M_R,AFRICA_2024_GWL_FCS30D_2022_36NVL_M_R,AFRICA_2024_WorldCover_2021_36NVL_M_R
120,NULL,Forest,Wetland,NULL,Wetland,Forest
121,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
122,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
123,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland
124,NULL,Forest,Bareland,Water,Non_Wetland,Grassland
125,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
126,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
127,NULL,Forest,Built-up,NULL,Non_Wetland,Cropland
128,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland
129,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
130,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
131,NULL,Forest,Forest,NULL,Non_Wetland,NULL
132,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
133,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
134,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
135,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
136,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
137,NULL,Forest,Forest,NULL,Non_Wetland,Forest
138,NULL,Forest,Forest,Water,Non_Wetland,Grassland
139,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
140,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
141,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
142,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
143,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
144,Grassland,NULL,NULL,Water,Non_Wetland,Wetland
145,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
146,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
147,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
148,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
149,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
150,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
151,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
152,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
153,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
154,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
155,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
156,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
157,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
158,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
159,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
160,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
161,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
162,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
163,Grassland,NULL,Wetland,NULL,Wetland,NULL
164,Grassland,NULL,Wetland,NULL,Wetland,Grassland
165,Grassland,NULL,Wetland,NULL,Wetland,Wetland
166,Grassland,NULL,Wetland,NULL,Wetland,Forest
167,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
168,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
169,Grassland,NULL,Wetland,Water,Wetland,Wetland
170,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
171,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
172,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
173,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
174,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
175,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
176,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
177,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
178,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
179,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
180,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
181,Grassland,Wetland,NULL,NULL,Non_Wetland,Wetland
182,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
183,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
184,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL
185,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland
186,Grassland,Wetland,Cropland,NULL,Non_Wetland,Wetland
187,Grassland,Wetland,Cropland,NULL,Non_Wetland,Forest
188,Grassland,Wetland,Wetland,NULL,Wetland,Grassland
189,Grassland,Wetland,Wetland,NULL,Wetland,Wetland
190,Grassland,Wetland,Wetland,NULL,Wetland,Forest
191,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland
192,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland
193,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest
194,Grassland,Water,Cropland,NULL,Non_Wetland,NULL
195,Grassland,Water,Cropland,NULL,Non_Wetland,Wetland
196,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
197,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
198,Grassland,Forest,NULL,NULL,Non_Wetland,Cropland
199,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland
200,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
201,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
202,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
203,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland
204,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland
205,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
206,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
207,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL
208,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
209,Grassland,Forest,Grassland,NULL,Non_Wetland,Wetland
210,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest
211,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
212,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
213,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland
214,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland
215,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
216,Grassland,Forest,Wetland,NULL,Wetland,NULL
217,Grassland,Forest,Wetland,NULL,Wetland,Grassland
218,Grassland,Forest,Wetland,NULL,Wetland,Wetland
219,Grassland,Forest,Wetland,NULL,Wetland,Forest
220,Grassland,Forest,Wetland,Water,Wetland,Wetland
221,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL
222,Grassland,Forest,Bareland,NULL,Non_Wetland,Grassland
223,Grassland,Forest,Bareland,NULL,Non_Wetland,Wetland
224,Grassland,Forest,Bareland,NULL,Non_Wetland,Forest
225,Grassland,Forest,Bareland,Non_Water,Non_Wetland,Grassland
226,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
227,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
228,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland
229,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
230,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
231,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
232,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
233,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
234,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland
235,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
236,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
237,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
238,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
239,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
240,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland
241,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
242,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
243,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
244,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
245,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
246,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland
247,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
248,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
249,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
250,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
251,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
252,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland
253,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
254,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
255,Cropland,NULL,Wetland,NULL,Wetland,Grassland
256,Cropland,NULL,Wetland,NULL,Wetland,Wetland
257,Cropland,NULL,Wetland,NULL,Wetland,Forest
258,Cropland,NULL,Wetland,Non_Water,Wetland,Wetland
259,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
260,Cropland,NULL,Bareland,NULL,Non_Wetland,Wetland
261,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
262,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
263,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
264,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
265,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
266,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
267,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
268,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
269,Cropland,NULL,Forest,NULL,Non_Wetland,Built-up
270,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
271,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
272,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
273,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
274,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
275,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
276,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
277,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland
278,Cropland,Cropland,Built-up,NULL,Non_Wetland,Built-up
279,Cropland,Wetland,Cropland,NULL,Non_Wetland,Wetland
280,Cropland,Wetland,Cropland,NULL,Non_Wetland,Forest
281,Cropland,Wetland,Wetland,NULL,Wetland,Wetland
282,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
283,Cropland,Built-up,Grassland,NULL,Non_Wetland,Built-up
284,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL
285,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland
286,Cropland,Built-up,Forest,NULL,Non_Wetland,Forest
287,Cropland,Water,Shrubland,NULL,Non_Wetland,Grassland
288,Cropland,Forest,NULL,NULL,Non_Wetland,NULL
289,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland
290,Cropland,Forest,NULL,NULL,Non_Wetland,Wetland
291,Cropland,Forest,NULL,NULL,Non_Wetland,Forest
292,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
293,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
294,Cropland,Forest,Shrubland,NULL,Non_Wetland,Cropland
295,Cropland,Forest,Shrubland,NULL,Non_Wetland,Wetland
296,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest
297,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland
298,Cropland,Forest,Grassland,NULL,Non_Wetland,Wetland
299,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL
300,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland
301,Cropland,Forest,Cropland,NULL,Non_Wetland,Wetland
302,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest
303,Cropland,Forest,Wetland,NULL,Wetland,NULL
304,Cropland,Forest,Wetland,NULL,Wetland,Grassland
305,Cropland,Forest,Wetland,NULL,Wetland,Wetland
306,Cropland,Forest,Wetland,NULL,Wetland,Forest
307,Cropland,Forest,Bareland,NULL,Non_Wetland,Grassland
308,Cropland,Forest,Bareland,NULL,Non_Wetland,Wetland
309,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
310,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
311,Cropland,Forest,Forest,NULL,Non_Wetland,Cropland
312,Cropland,Forest,Forest,NULL,Non_Wetland,Wetland
313,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
314,Wetland,NULL,NULL,NULL,Non_Wetland,NULL
315,Wetland,NULL,NULL,NULL,Non_Wetland,Grassland
316,Wetland,NULL,NULL,NULL,Non_Wetland,Wetland
317,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL
318,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
319,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland
320,Wetland,NULL,Shrubland,NULL,Non_Wetland,Forest
321,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL
322,Wetland,NULL,Cropland,NULL,Non_Wetland,Grassland
323,Wetland,NULL,Cropland,NULL,Non_Wetland,Wetland
324,Wetland,NULL,Cropland,NULL,Non_Wetland,Forest
325,Wetland,NULL,Wetland,NULL,Wetland,NULL
326,Wetland,NULL,Wetland,NULL,Wetland,Grassland
327,Wetland,NULL,Wetland,NULL,Wetland,Wetland
328,Wetland,NULL,Wetland,NULL,Wetland,Forest
329,Wetland,NULL,Forest,NULL,Non_Wetland,NULL
330,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland
331,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland
332,Wetland,NULL,Forest,NULL,Non_Wetland,Forest
333,Wetland,Cropland,Wetland,NULL,Wetland,Wetland
334,Wetland,Wetland,NULL,NULL,Non_Wetland,Wetland
335,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
336,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
337,Wetland,Wetland,Cropland,NULL,Non_Wetland,NULL
338,Wetland,Wetland,Cropland,NULL,Non_Wetland,Grassland
339,Wetland,Wetland,Cropland,NULL,Non_Wetland,Wetland
340,Wetland,Wetland,Wetland,NULL,Wetland,NULL
341,Wetland,Wetland,Wetland,NULL,Wetland,Grassland
342,Wetland,Wetland,Wetland,NULL,Wetland,Wetland
343,Wetland,Wetland,Wetland,NULL,Wetland,Forest
344,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL
345,Wetland,Wetland,Forest,NULL,Non_Wetland,Grassland
346,Wetland,Wetland,Forest,NULL,Non_Wetland,Wetland
347,Wetland,Water,Cropland,NULL,Non_Wetland,NULL
348,Wetland,Water,Cropland,NULL,Non_Wetland,Grassland
349,Wetland,Water,Cropland,NULL,Non_Wetland,Wetland
350,Wetland,Water,Wetland,NULL,Wetland,Wetland
351,Wetland,Water,Forest,NULL,Non_Wetland,Wetland
352,Wetland,Forest,Shrubland,NULL,Non_Wetland,Grassland
353,Wetland,Forest,Cropland,NULL,Non_Wetland,NULL
354,Wetland,Forest,Cropland,NULL,Non_Wetland,Grassland
355,Wetland,Forest,Cropland,NULL,Non_Wetland,Wetland
356,Wetland,Forest,Wetland,NULL,Wetland,Grassland
357,Wetland,Forest,Wetland,NULL,Wetland,Wetland
358,Wetland,Forest,Wetland,NULL,Wetland,Forest
359,Wetland,Forest,Forest,NULL,Non_Wetland,Grassland
360,Wetland,Forest,Forest,NULL,Non_Wetland,Wetland
361,Wetland,Forest,Forest,NULL,Non_Wetland,Forest
362,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
363,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
364,Bareland,NULL,Shrubland,NULL,Non_Wetland,Cropland
365,Bareland,NULL,Shrubland,NULL,Non_Wetland,Wetland
366,Bareland,NULL,Shrubland,NULL,Non_Wetland,Built-up
367,Bareland,NULL,Shrubland,Water,Non_Wetland,Grassland
368,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
369,Bareland,NULL,Grassland,NULL,Non_Wetland,Cropland
370,Bareland,NULL,Grassland,Water,Non_Wetland,Grassland
371,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
372,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland
373,Bareland,NULL,Built-up,NULL,Non_Wetland,Built-up
374,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland
375,Bareland,NULL,Forest,NULL,Non_Wetland,Cropland
376,Bareland,NULL,Forest,NULL,Non_Wetland,Built-up
377,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
378,Bareland,Bareland,Grassland,NULL,Non_Wetland,Grassland
379,Bareland,Water,Shrubland,NULL,Non_Wetland,Grassland
380,Bareland,Forest,Shrubland,NULL,Non_Wetland,Grassland
381,Bareland,Forest,Shrubland,NULL,Non_Wetland,Cropland
382,Bareland,Forest,Shrubland,Water,Non_Wetland,Grassland
383,Bareland,Forest,Grassland,NULL,Non_Wetland,Grassland
384,Bareland,Forest,Grassland,NULL,Non_Wetland,Cropland
385,Bareland,Forest,Grassland,Water,Non_Wetland,Grassland
386,Bareland,Forest,Bareland,NULL,Non_Wetland,Grassland
387,Bareland,Forest,Forest,NULL,Non_Wetland,Grassland
388,Bareland,Forest,Forest,Water,Non_Wetland,Grassland
389,Water,NULL,NULL,NULL,Non_Wetland,Grassland
390,Water,NULL,NULL,NULL,Non_Wetland,Wetland
391,Water,NULL,NULL,NULL,Non_Wetland,Forest
392,Water,NULL,NULL,Water,Non_Wetland,Grassland
393,Water,NULL,Shrubland,NULL,Non_Wetland,NULL
394,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland
395,Water,NULL,Shrubland,NULL,Non_Wetland,Wetland
396,Water,NULL,Shrubland,NULL,Non_Wetland,Forest
397,Water,NULL,Grassland,NULL,Non_Wetland,Grassland
398,Water,NULL,Cropland,NULL,Non_Wetland,NULL
399,Water,NULL,Cropland,NULL,Non_Wetland,Grassland
400,Water,NULL,Cropland,NULL,Non_Wetland,Wetland
401,Water,NULL,Wetland,NULL,Wetland,Grassland
402,Water,NULL,Wetland,NULL,Wetland,Wetland
403,Water,NULL,Wetland,NULL,Wetland,Forest
404,Water,NULL,Bareland,NULL,Non_Wetland,Grassland
405,Water,NULL,Bareland,Water,Non_Wetland,Grassland
406,Water,NULL,Forest,NULL,Non_Wetland,NULL
407,Water,NULL,Forest,NULL,Non_Wetland,Grassland
408,Water,NULL,Forest,NULL,Non_Wetland,Cropland
409,Water,NULL,Forest,NULL,Non_Wetland,Wetland
410,Water,NULL,Forest,NULL,Non_Wetland,Forest
411,Water,NULL,Forest,Water,Non_Wetland,Grassland
412,Water,Wetland,Cropland,NULL,Non_Wetland,Wetland
413,Water,Wetland,Forest,NULL,Non_Wetland,Grassland
414,Water,Bareland,Shrubland,NULL,Non_Wetland,Grassland
415,Water,Bareland,Grassland,NULL,Non_Wetland,Grassland
416,Water,Bareland,Forest,NULL,Non_Wetland,Wetland
417,Water,Water,NULL,NULL,Non_Wetland,Grassland
418,Water,Water,Shrubland,NULL,Non_Wetland,NULL
419,Water,Water,Shrubland,NULL,Non_Wetland,Grassland
420,Water,Water,Shrubland,Water,Non_Wetland,Grassland
421,Water,Water,Shrubland,Water,Non_Wetland,Cropland
422,Water,Water,Grassland,NULL,Non_Wetland,Grassland
423,Water,Water,Cropland,NULL,Non_Wetland,Grassland
424,Water,Water,Wetland,NULL,Wetland,Wetland
425,Water,Water,Bareland,Water,Non_Wetland,Grassland
