Value,AFRICA_2024_DynamicWorld_2024_35NQG_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NQG_M_R,AFRICA_2024_GLC_FCS30D_2022_35NQG_M_R,AFRICA_2024_GSW_Yearly_2021_35NQG_M_R,AFRICA_2024_GWL_FCS30D_2022_35NQG_M_R,AFRICA_2024_WorldCover_2021_35NQG_M_R
121,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
122,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
123,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
124,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
125,Grassland,NULL,Wetland,NULL,Wetland,NULL
126,Grassland,NULL,Wetland,NULL,Wetland,Grassland
127,Grassland,NULL,Wetland,NULL,Wetland,Wetland
128,Grassland,NULL,Wetland,NULL,Wetland,Forest
129,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
130,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
131,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
132,Grassland,NULL,Wetland,Water,Wetland,Grassland
133,Grassland,NULL,Wetland,Water,Wetland,Wetland
134,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
135,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
136,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
137,Grassland,NULL,Water,Non_Water,Water,Wetland
138,Grassland,NULL,Water,Water,Water,Forest
139,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
140,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
141,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
142,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
143,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL
144,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
145,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
146,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
147,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
148,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
149,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland
150,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL
151,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
152,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL
153,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland
154,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest
155,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
156,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
157,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
158,Grassland,Forest,NULL,Non_Water,Non_Wetland,Grassland
159,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
160,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
161,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland
162,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
163,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
164,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
165,Grassland,Forest,Shrubland,Water,Non_Wetland,Wetland
166,Grassland,Forest,Wetland,NULL,Wetland,NULL
167,Grassland,Forest,Wetland,NULL,Wetland,Grassland
168,Grassland,Forest,Wetland,Non_Water,Wetland,Grassland
169,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland
170,Grassland,Forest,Wetland,Non_Water,Wetland,Forest
171,Grassland,Forest,Wetland,Water,Wetland,Wetland
172,Grassland,Forest,Water,Non_Water,Water,Wetland
173,Grassland,Forest,Water,Water,Water,Wetland
174,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
175,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
176,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
177,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
178,Grassland,Forest,Forest,Non_Water,Non_Wetland,Grassland
179,Grassland,Forest,Forest,Non_Water,Non_Wetland,Wetland
180,Grassland,Forest,Forest,Non_Water,Non_Wetland,Forest
181,Grassland,Forest,Forest,Water,Non_Wetland,Wetland
182,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
183,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
184,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
185,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland
186,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
187,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
188,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
189,Cropland,NULL,Shrubland,Water,Non_Wetland,Forest
190,Cropland,NULL,Wetland,NULL,Wetland,NULL
191,Cropland,NULL,Wetland,NULL,Wetland,Grassland
192,Cropland,NULL,Wetland,NULL,Wetland,Wetland
193,Cropland,NULL,Wetland,Non_Water,Wetland,Wetland
194,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
195,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
196,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
197,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
198,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
199,Cropland,NULL,Forest,Water,Non_Wetland,Wetland
200,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
201,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
202,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
203,Cropland,Wetland,Shrubland,NULL,Non_Wetland,NULL
204,Cropland,Wetland,Shrubland,Water,Non_Wetland,Forest
205,Cropland,Wetland,Forest,NULL,Non_Wetland,NULL
206,Cropland,Wetland,Forest,NULL,Non_Wetland,Forest
207,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
208,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
209,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
210,Wetland,NULL,NULL,NULL,Non_Wetland,NULL
211,Wetland,NULL,NULL,NULL,Non_Wetland,Grassland
212,Wetland,NULL,NULL,NULL,Non_Wetland,Forest
213,Wetland,NULL,NULL,Non_Water,Non_Wetland,Wetland
214,Wetland,NULL,NULL,Water,Non_Wetland,Wetland
215,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL
216,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
217,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland
218,Wetland,NULL,Shrubland,NULL,Non_Wetland,Forest
219,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
220,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
221,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
222,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL
223,Wetland,NULL,Shrubland,Water,Non_Wetland,Grassland
224,Wetland,NULL,Shrubland,Water,Non_Wetland,Wetland
225,Wetland,NULL,Shrubland,Water,Non_Wetland,Forest
226,Wetland,NULL,Wetland,NULL,Wetland,NULL
227,Wetland,NULL,Wetland,NULL,Wetland,Grassland
228,Wetland,NULL,Wetland,NULL,Wetland,Wetland
229,Wetland,NULL,Wetland,NULL,Wetland,Forest
230,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland
231,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland
232,Wetland,NULL,Wetland,Water,Wetland,Grassland
233,Wetland,NULL,Wetland,Water,Wetland,Wetland
234,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL
235,Wetland,NULL,Water,Non_Water,Water,Wetland
236,Wetland,NULL,Water,Water,Water,Wetland
237,Wetland,NULL,Water,Water,Water,Forest
238,Wetland,NULL,Forest,NULL,Non_Wetland,NULL
239,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland
240,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland
241,Wetland,NULL,Forest,NULL,Non_Wetland,Forest
242,Wetland,NULL,Forest,Non_Water,Non_Wetland,Grassland
243,Wetland,NULL,Forest,Non_Water,Non_Wetland,Wetland
244,Wetland,NULL,Forest,Water,Non_Wetland,NULL
245,Wetland,NULL,Forest,Water,Non_Wetland,Grassland
246,Wetland,NULL,Forest,Water,Non_Wetland,Wetland
247,Wetland,Wetland,NULL,NULL,Non_Wetland,Forest
248,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL
249,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
250,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
251,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Forest
252,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
253,Wetland,Wetland,Shrubland,Water,Non_Wetland,Forest
254,Wetland,Wetland,Wetland,NULL,Wetland,NULL
255,Wetland,Wetland,Wetland,NULL,Wetland,Grassland
256,Wetland,Wetland,Wetland,NULL,Wetland,Forest
257,Wetland,Wetland,Wetland,Water,Wetland,Forest
258,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL
259,Wetland,Wetland,Forest,NULL,Non_Wetland,Grassland
260,Wetland,Wetland,Forest,NULL,Non_Wetland,Wetland
261,Wetland,Wetland,Forest,NULL,Non_Wetland,Forest
262,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Wetland
263,Wetland,Water,Water,Water,Water,Wetland
264,Wetland,Forest,NULL,NULL,Non_Wetland,NULL
265,Wetland,Forest,NULL,NULL,Non_Wetland,Wetland
266,Wetland,Forest,Shrubland,NULL,Non_Wetland,NULL
267,Wetland,Forest,Shrubland,NULL,Non_Wetland,Grassland
268,Wetland,Forest,Shrubland,NULL,Non_Wetland,Wetland
269,Wetland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
270,Wetland,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
271,Wetland,Forest,Shrubland,Water,Non_Wetland,Wetland
272,Wetland,Forest,Wetland,NULL,Wetland,Wetland
273,Wetland,Forest,Wetland,NULL,Wetland,Forest
274,Wetland,Forest,Wetland,Non_Water,Wetland,Grassland
275,Wetland,Forest,Wetland,Water,Wetland,Wetland
276,Wetland,Forest,Forest,NULL,Non_Wetland,NULL
277,Wetland,Forest,Forest,NULL,Non_Wetland,Grassland
278,Wetland,Forest,Forest,NULL,Non_Wetland,Wetland
279,Wetland,Forest,Forest,NULL,Non_Wetland,Forest
280,Wetland,Forest,Forest,Non_Water,Non_Wetland,Grassland
281,Wetland,Forest,Forest,Non_Water,Non_Wetland,Wetland
282,Wetland,Forest,Forest,Water,Non_Wetland,Wetland
283,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
284,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland
285,Bareland,Forest,NULL,NULL,Non_Wetland,Grassland
286,Bareland,Forest,Shrubland,NULL,Non_Wetland,Grassland
287,Bareland,Forest,Forest,NULL,Non_Wetland,Grassland
288,Water,NULL,NULL,NULL,Non_Wetland,NULL
289,Water,NULL,NULL,NULL,Non_Wetland,Grassland
290,Water,NULL,NULL,Non_Water,Non_Wetland,Grassland
291,Water,NULL,NULL,Non_Water,Non_Wetland,Forest
292,Water,NULL,NULL,Water,Non_Wetland,Grassland
293,Water,NULL,NULL,Water,Non_Wetland,Wetland
294,Water,NULL,Shrubland,NULL,Non_Wetland,NULL
295,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland
296,Water,NULL,Shrubland,NULL,Non_Wetland,Wetland
297,Water,NULL,Shrubland,NULL,Non_Wetland,Forest
298,Water,NULL,Shrubland,Non_Water,Non_Wetland,NULL
299,Water,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
300,Water,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
301,Water,NULL,Shrubland,Non_Water,Non_Wetland,Forest
302,Water,NULL,Shrubland,Water,Non_Wetland,NULL
303,Water,NULL,Shrubland,Water,Non_Wetland,Grassland
304,Water,NULL,Shrubland,Water,Non_Wetland,Wetland
305,Water,NULL,Shrubland,Water,Non_Wetland,Forest
306,Water,NULL,Wetland,NULL,Wetland,NULL
307,Water,NULL,Wetland,NULL,Wetland,Grassland
308,Water,NULL,Wetland,NULL,Wetland,Wetland
309,Water,NULL,Wetland,NULL,Wetland,Forest
310,Water,NULL,Wetland,Non_Water,Wetland,Grassland
311,Water,NULL,Wetland,Non_Water,Wetland,Wetland
312,Water,NULL,Wetland,Water,Wetland,Grassland
313,Water,NULL,Wetland,Water,Wetland,Wetland
314,Water,NULL,Wetland,Water,Wetland,Forest
315,Water,NULL,Water,Water,Water,Wetland
316,Water,NULL,Water,Water,Water,Water
317,Water,NULL,Forest,NULL,Non_Wetland,NULL
318,Water,NULL,Forest,NULL,Non_Wetland,Grassland
319,Water,NULL,Forest,NULL,Non_Wetland,Wetland
320,Water,NULL,Forest,NULL,Non_Wetland,Forest
321,Water,NULL,Forest,Non_Water,Non_Wetland,NULL
322,Water,NULL,Forest,Non_Water,Non_Wetland,Grassland
323,Water,NULL,Forest,Non_Water,Non_Wetland,Wetland
324,Water,NULL,Forest,Non_Water,Non_Wetland,Forest
325,Water,NULL,Forest,Water,Non_Wetland,NULL
326,Water,NULL,Forest,Water,Non_Wetland,Grassland
327,Water,NULL,Forest,Water,Non_Wetland,Wetland
328,Water,Wetland,Shrubland,NULL,Non_Wetland,Grassland
329,Water,Wetland,Shrubland,NULL,Non_Wetland,Wetland
330,Water,Wetland,Shrubland,Water,Non_Wetland,Wetland
331,Water,Wetland,Wetland,NULL,Wetland,Grassland
332,Water,Wetland,Wetland,NULL,Wetland,Wetland
333,Water,Wetland,Wetland,NULL,Wetland,Forest
334,Water,Wetland,Forest,NULL,Non_Wetland,Grassland
335,Water,Water,NULL,NULL,Non_Wetland,Forest
336,Water,Water,Shrubland,NULL,Non_Wetland,Wetland
337,Water,Water,Shrubland,NULL,Non_Wetland,Forest
338,Water,Water,Wetland,NULL,Wetland,Wetland
339,Water,Water,Wetland,NULL,Wetland,Forest
340,Water,Water,Bareland,Water,Non_Wetland,Wetland
341,Water,Water,Water,Water,Water,Wetland
342,Water,Water,Forest,Water,Non_Wetland,Wetland
343,Water,Forest,NULL,NULL,Non_Wetland,Grassland
344,Water,Forest,NULL,Water,Non_Wetland,Grassland
345,Water,Forest,Shrubland,NULL,Non_Wetland,NULL
346,Water,Forest,Shrubland,NULL,Non_Wetland,Grassland
347,Water,Forest,Shrubland,NULL,Non_Wetland,Wetland
348,Water,Forest,Shrubland,NULL,Non_Wetland,Forest
349,Water,Forest,Shrubland,Non_Water,Non_Wetland,NULL
350,Water,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
351,Water,Forest,Shrubland,Non_Water,Non_Wetland,Forest
352,Water,Forest,Shrubland,Water,Non_Wetland,Grassland
353,Water,Forest,Shrubland,Water,Non_Wetland,Forest
354,Water,Forest,Wetland,NULL,Wetland,NULL
355,Water,Forest,Wetland,NULL,Wetland,Grassland
356,Water,Forest,Wetland,NULL,Wetland,Wetland
357,Water,Forest,Wetland,NULL,Wetland,Forest
358,Water,Forest,Wetland,Non_Water,Wetland,Wetland
359,Water,Forest,Forest,NULL,Non_Wetland,NULL
360,Water,Forest,Forest,NULL,Non_Wetland,Grassland
361,Water,Forest,Forest,NULL,Non_Wetland,Wetland
362,Water,Forest,Forest,NULL,Non_Wetland,Forest
363,Water,Forest,Forest,Non_Water,Non_Wetland,Grassland
364,Water,Forest,Forest,Water,Non_Wetland,NULL
365,Forest,NULL,NULL,NULL,Non_Wetland,NULL
366,Forest,NULL,NULL,NULL,Non_Wetland,Grassland
367,Forest,NULL,NULL,NULL,Non_Wetland,Cropland
368,Forest,NULL,NULL,NULL,Non_Wetland,Wetland
369,Forest,NULL,NULL,NULL,Non_Wetland,Built-up
370,Forest,NULL,NULL,NULL,Non_Wetland,Forest
371,Forest,NULL,NULL,Non_Water,Non_Wetland,Grassland
372,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
373,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland
374,Forest,NULL,Shrubland,NULL,Non_Wetland,Cropland
375,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland
376,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland
377,Forest,NULL,Shrubland,NULL,Non_Wetland,Built-up
378,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest
379,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL
380,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
381,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
382,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Forest
383,Forest,NULL,Shrubland,Water,Non_Wetland,Grassland
384,Forest,NULL,Shrubland,Water,Non_Wetland,Wetland
385,Forest,NULL,Shrubland,Water,Non_Wetland,Water
386,Forest,NULL,Shrubland,Water,Non_Wetland,Forest
387,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland
388,Forest,NULL,Cropland,NULL,Non_Wetland,NULL
389,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland
390,Forest,NULL,Cropland,NULL,Non_Wetland,Forest
391,Forest,NULL,Wetland,NULL,Wetland,NULL
392,Forest,NULL,Wetland,NULL,Wetland,Grassland
393,Forest,NULL,Wetland,NULL,Wetland,Wetland
394,Forest,NULL,Wetland,NULL,Wetland,Forest
395,Forest,NULL,Wetland,Non_Water,Wetland,Grassland
396,Forest,NULL,Wetland,Non_Water,Wetland,Wetland
397,Forest,NULL,Wetland,Non_Water,Wetland,Forest
398,Forest,NULL,Wetland,Water,Wetland,Wetland
399,Forest,NULL,Bareland,NULL,Non_Wetland,NULL
400,Forest,NULL,Bareland,NULL,Non_Wetland,Grassland
401,Forest,NULL,Bareland,NULL,Non_Wetland,Forest
402,Forest,NULL,Bareland,Non_Water,Non_Wetland,Wetland
403,Forest,NULL,Bareland,Non_Water,Non_Wetland,Forest
404,Forest,NULL,Built-up,NULL,Non_Wetland,NULL
405,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland
406,Forest,NULL,Built-up,NULL,Non_Wetland,Forest
407,Forest,NULL,Forest,NULL,Non_Wetland,NULL
408,Forest,NULL,Forest,NULL,Non_Wetland,Grassland
409,Forest,NULL,Forest,NULL,Non_Wetland,Cropland
410,Forest,NULL,Forest,NULL,Non_Wetland,Wetland
411,Forest,NULL,Forest,NULL,Non_Wetland,Built-up
412,Forest,NULL,Forest,NULL,Non_Wetland,Forest
413,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL
414,Forest,NULL,Forest,Non_Water,Non_Wetland,Grassland
415,Forest,NULL,Forest,Non_Water,Non_Wetland,Wetland
416,Forest,NULL,Forest,Non_Water,Non_Wetland,Forest
417,Forest,NULL,Forest,Water,Non_Wetland,Grassland
418,Forest,NULL,Forest,Water,Non_Wetland,Wetland
419,Forest,Wetland,NULL,NULL,Non_Wetland,NULL
420,Forest,Wetland,NULL,NULL,Non_Wetland,Grassland
421,Forest,Wetland,Shrubland,NULL,Non_Wetland,NULL
422,Forest,Wetland,Shrubland,NULL,Non_Wetland,Grassland
423,Forest,Wetland,Shrubland,NULL,Non_Wetland,Wetland
424,Forest,Wetland,Shrubland,NULL,Non_Wetland,Forest
425,Forest,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
426,Forest,Wetland,Wetland,NULL,Wetland,NULL
427,Forest,Wetland,Wetland,NULL,Wetland,Grassland
428,Forest,Wetland,Wetland,NULL,Wetland,Wetland
429,Forest,Wetland,Wetland,NULL,Wetland,Forest
430,Forest,Wetland,Forest,NULL,Non_Wetland,NULL
431,Forest,Wetland,Forest,NULL,Non_Wetland,Grassland
432,Forest,Wetland,Forest,NULL,Non_Wetland,Wetland
433,Forest,Wetland,Forest,NULL,Non_Wetland,Forest
