Value,AFRICA_2024_DynamicWorld_2024_35NME_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NME_M_R,AFRICA_2024_GLC_FCS30D_2022_35NME_M_R,AFRICA_2024_GSW_Yearly_2021_35NME_M_R,AFRICA_2024_GWL_FCS30D_2022_35NME_M_R,AFRICA_2024_WorldCover_2021_35NME_M_R
124,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
125,NULL,Wetland,Bareland,NULL,Non_Wetland,Forest
126,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland
127,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL
128,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
129,NULL,Wetland,Built-up,NULL,Non_Wetland,Forest
130,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Forest
131,NULL,Wetland,Built-up,Water,Non_Wetland,Grassland
132,NULL,Wetland,Built-up,Water,Non_Wetland,Water
133,NULL,Wetland,Water,NULL,Water,Grassland
134,NULL,Wetland,Water,NULL,Water,Forest
135,NULL,Wetland,Water,Non_Water,Water,Wetland
136,NULL,Wetland,Water,Non_Water,Water,Water
137,NULL,Wetland,Water,Non_Water,Water,Forest
138,NULL,Wetland,Water,Water,Water,NULL
139,NULL,Wetland,Water,Water,Water,Grassland
140,NULL,Wetland,Water,Water,Water,Wetland
141,NULL,Wetland,Water,Water,Water,Water
142,NULL,Wetland,Water,Water,Water,Forest
143,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
144,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
145,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
146,NULL,Wetland,Forest,NULL,Non_Wetland,Water
147,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
148,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
149,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
150,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
151,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
152,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
153,NULL,Wetland,Forest,Water,Non_Wetland,Water
154,NULL,Wetland,Forest,Water,Non_Wetland,Forest
155,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
156,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
157,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
158,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
159,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
160,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
161,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
162,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
163,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
164,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
165,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
166,NULL,Built-up,Wetland,NULL,Wetland,Forest
167,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
168,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
169,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
170,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
171,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
172,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
173,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
174,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
175,NULL,Water,NULL,NULL,Non_Wetland,Grassland
176,NULL,Water,NULL,NULL,Non_Wetland,Bareland
177,NULL,Water,NULL,NULL,Non_Wetland,Water
178,NULL,Water,NULL,NULL,Non_Wetland,Forest
179,NULL,Water,NULL,Non_Water,Non_Wetland,Grassland
180,NULL,Water,NULL,Non_Water,Non_Wetland,Wetland
181,NULL,Water,NULL,Non_Water,Non_Wetland,Water
182,NULL,Water,NULL,Non_Water,Non_Wetland,Forest
183,NULL,Water,NULL,Water,Non_Wetland,Grassland
184,NULL,Water,NULL,Water,Non_Wetland,Bareland
185,NULL,Water,NULL,Water,Non_Wetland,Water
186,NULL,Water,NULL,Water,Non_Wetland,Forest
187,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
188,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
189,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
190,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
191,NULL,Water,Shrubland,NULL,Non_Wetland,Water
192,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
193,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
194,NULL,Water,Shrubland,Non_Water,Non_Wetland,Wetland
195,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland
196,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
197,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
198,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
199,NULL,Water,Shrubland,Water,Non_Wetland,Wetland
200,NULL,Water,Shrubland,Water,Non_Wetland,Bareland
201,NULL,Water,Shrubland,Water,Non_Wetland,Water
202,NULL,Water,Shrubland,Water,Non_Wetland,Forest
203,NULL,Water,Grassland,NULL,Non_Wetland,Water
204,NULL,Water,Grassland,NULL,Non_Wetland,Forest
205,NULL,Water,Grassland,Non_Water,Non_Wetland,Water
206,NULL,Water,Grassland,Non_Water,Non_Wetland,Forest
207,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
208,NULL,Water,Cropland,NULL,Non_Wetland,Built-up
209,NULL,Water,Cropland,NULL,Non_Wetland,Water
210,NULL,Water,Cropland,NULL,Non_Wetland,Forest
211,NULL,Water,Cropland,Non_Water,Non_Wetland,Grassland
212,NULL,Water,Cropland,Non_Water,Non_Wetland,Wetland
213,NULL,Water,Cropland,Water,Non_Wetland,Water
214,NULL,Water,Cropland,Water,Non_Wetland,Forest
215,NULL,Water,Wetland,NULL,Wetland,NULL
216,NULL,Water,Wetland,NULL,Wetland,Grassland
217,NULL,Water,Wetland,NULL,Wetland,Wetland
218,NULL,Water,Wetland,NULL,Wetland,Bareland
219,NULL,Water,Wetland,NULL,Wetland,Water
220,NULL,Water,Wetland,NULL,Wetland,Forest
221,NULL,Water,Wetland,Non_Water,Wetland,Grassland
222,NULL,Water,Wetland,Non_Water,Wetland,Wetland
223,NULL,Water,Wetland,Non_Water,Wetland,Bareland
224,NULL,Water,Wetland,Non_Water,Wetland,Water
225,NULL,Water,Wetland,Non_Water,Wetland,Forest
226,NULL,Water,Wetland,Water,Wetland,NULL
227,NULL,Water,Wetland,Water,Wetland,Grassland
228,NULL,Water,Wetland,Water,Wetland,Wetland
229,NULL,Water,Wetland,Water,Wetland,Bareland
230,NULL,Water,Wetland,Water,Wetland,Water
231,NULL,Water,Wetland,Water,Wetland,Forest
232,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
233,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
234,NULL,Water,Bareland,NULL,Non_Wetland,Water
235,NULL,Water,Bareland,NULL,Non_Wetland,Forest
236,NULL,Water,Bareland,Non_Water,Non_Wetland,Bareland
237,NULL,Water,Bareland,Non_Water,Non_Wetland,Water
238,NULL,Water,Bareland,Non_Water,Non_Wetland,Forest
239,NULL,Water,Bareland,Water,Non_Wetland,Grassland
240,NULL,Water,Bareland,Water,Non_Wetland,Bareland
241,NULL,Water,Bareland,Water,Non_Wetland,Water
242,NULL,Water,Bareland,Water,Non_Wetland,Forest
243,NULL,Water,Built-up,NULL,Non_Wetland,NULL
244,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
245,NULL,Water,Built-up,NULL,Non_Wetland,Wetland
246,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
247,NULL,Water,Built-up,NULL,Non_Wetland,Water
248,NULL,Water,Built-up,NULL,Non_Wetland,Forest
249,NULL,Water,Built-up,Non_Water,Non_Wetland,Grassland
250,NULL,Water,Built-up,Non_Water,Non_Wetland,Bareland
251,NULL,Water,Built-up,Non_Water,Non_Wetland,Water
252,NULL,Water,Built-up,Non_Water,Non_Wetland,Forest
253,NULL,Water,Built-up,Water,Non_Wetland,Grassland
254,NULL,Water,Built-up,Water,Non_Wetland,Bareland
255,NULL,Water,Built-up,Water,Non_Wetland,Water
256,NULL,Water,Built-up,Water,Non_Wetland,Forest
257,NULL,Water,Water,NULL,Water,Grassland
258,NULL,Water,Water,NULL,Water,Wetland
259,NULL,Water,Water,NULL,Water,Bareland
260,NULL,Water,Water,NULL,Water,Built-up
261,NULL,Water,Water,NULL,Water,Water
262,NULL,Water,Water,NULL,Water,Forest
263,NULL,Water,Water,Non_Water,Water,Grassland
264,NULL,Water,Water,Non_Water,Water,Wetland
265,NULL,Water,Water,Non_Water,Water,Bareland
266,NULL,Water,Water,Non_Water,Water,Water
267,NULL,Water,Water,Non_Water,Water,Forest
268,NULL,Water,Water,Water,Water,Grassland
269,NULL,Water,Water,Water,Water,Wetland
270,NULL,Water,Water,Water,Water,Bareland
271,NULL,Water,Water,Water,Water,Water
272,NULL,Water,Water,Water,Water,Forest
273,NULL,Water,Forest,NULL,Non_Wetland,NULL
274,NULL,Water,Forest,NULL,Non_Wetland,Grassland
275,NULL,Water,Forest,NULL,Non_Wetland,Wetland
276,NULL,Water,Forest,NULL,Non_Wetland,Bareland
277,NULL,Water,Forest,NULL,Non_Wetland,Water
278,NULL,Water,Forest,NULL,Non_Wetland,Forest
279,NULL,Water,Forest,Non_Water,Non_Wetland,NULL
280,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland
281,NULL,Water,Forest,Non_Water,Non_Wetland,Wetland
282,NULL,Water,Forest,Non_Water,Non_Wetland,Bareland
283,NULL,Water,Forest,Non_Water,Non_Wetland,Water
284,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
285,NULL,Water,Forest,Water,Non_Wetland,NULL
286,NULL,Water,Forest,Water,Non_Wetland,Grassland
287,NULL,Water,Forest,Water,Non_Wetland,Wetland
288,NULL,Water,Forest,Water,Non_Wetland,Bareland
289,NULL,Water,Forest,Water,Non_Wetland,Water
290,NULL,Water,Forest,Water,Non_Wetland,Forest
291,NULL,Forest,NULL,NULL,Non_Wetland,NULL
292,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
293,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
294,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
295,NULL,Forest,NULL,NULL,Non_Wetland,Forest
296,NULL,Forest,NULL,Non_Water,Non_Wetland,Grassland
297,NULL,Forest,NULL,Non_Water,Non_Wetland,Forest
298,NULL,Forest,NULL,Water,Non_Wetland,Forest
299,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
300,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
301,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
302,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
303,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
304,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
305,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
306,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
307,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
308,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
309,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
310,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
311,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
312,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
313,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
314,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
315,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland
316,NULL,Forest,Cropland,Water,Non_Wetland,Forest
317,NULL,Forest,Wetland,NULL,Wetland,NULL
318,NULL,Forest,Wetland,NULL,Wetland,Grassland
319,NULL,Forest,Wetland,NULL,Wetland,Wetland
320,NULL,Forest,Wetland,NULL,Wetland,Built-up
321,NULL,Forest,Wetland,NULL,Wetland,Water
322,NULL,Forest,Wetland,NULL,Wetland,Forest
323,NULL,Forest,Wetland,Non_Water,Wetland,Grassland
324,NULL,Forest,Wetland,Non_Water,Wetland,Forest
325,NULL,Forest,Wetland,Water,Wetland,Grassland
326,NULL,Forest,Wetland,Water,Wetland,Water
327,NULL,Forest,Wetland,Water,Wetland,Forest
328,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
329,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
330,NULL,Forest,Bareland,NULL,Non_Wetland,Water
331,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
332,NULL,Forest,Bareland,Non_Water,Non_Wetland,Forest
333,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
334,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
335,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
336,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
337,NULL,Forest,Built-up,Non_Water,Non_Wetland,Forest
338,NULL,Forest,Built-up,Water,Non_Wetland,Forest
339,NULL,Forest,Water,NULL,Water,Grassland
340,NULL,Forest,Water,NULL,Water,Water
341,NULL,Forest,Water,NULL,Water,Forest
342,NULL,Forest,Water,Non_Water,Water,Forest
343,NULL,Forest,Water,Water,Water,Grassland
344,NULL,Forest,Water,Water,Water,Water
345,NULL,Forest,Water,Water,Water,Forest
346,NULL,Forest,Forest,NULL,Non_Wetland,NULL
347,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
348,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
349,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
350,NULL,Forest,Forest,NULL,Non_Wetland,Water
351,NULL,Forest,Forest,NULL,Non_Wetland,Forest
352,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
353,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
354,NULL,Forest,Forest,Non_Water,Non_Wetland,Wetland
355,NULL,Forest,Forest,Non_Water,Non_Wetland,Water
356,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
357,NULL,Forest,Forest,Water,Non_Wetland,Grassland
358,NULL,Forest,Forest,Water,Non_Wetland,Water
359,NULL,Forest,Forest,Water,Non_Wetland,Forest
360,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
361,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
362,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
363,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
364,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
365,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
366,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
367,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
368,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
369,Grassland,NULL,Wetland,NULL,Wetland,Grassland
370,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
371,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
372,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
373,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
374,Grassland,Water,Wetland,NULL,Wetland,Forest
375,Grassland,Water,Wetland,Non_Water,Wetland,Forest
376,Grassland,Water,Water,Water,Water,Forest
377,Grassland,Water,Forest,NULL,Non_Wetland,Forest
378,Grassland,Forest,Wetland,NULL,Wetland,Grassland
379,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
380,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
381,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
382,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
383,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
384,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
385,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
386,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
387,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
388,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
389,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
390,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland
391,Wetland,Water,Shrubland,Water,Non_Wetland,Forest
392,Wetland,Water,Wetland,NULL,Wetland,Water
393,Wetland,Water,Wetland,NULL,Wetland,Forest
394,Wetland,Water,Wetland,Water,Wetland,Water
395,Wetland,Water,Water,NULL,Water,Forest
396,Wetland,Water,Forest,NULL,Non_Wetland,Water
397,Wetland,Forest,Wetland,NULL,Wetland,Forest
398,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland
399,Water,NULL,Wetland,NULL,Wetland,Grassland
400,Water,NULL,Forest,NULL,Non_Wetland,Grassland
401,Water,Water,Shrubland,NULL,Non_Wetland,Bareland
402,Water,Water,Shrubland,NULL,Non_Wetland,Water
403,Water,Water,Shrubland,NULL,Non_Wetland,Forest
404,Water,Water,Shrubland,Non_Water,Non_Wetland,Water
405,Water,Water,Shrubland,Water,Non_Wetland,Bareland
406,Water,Water,Shrubland,Water,Non_Wetland,Water
407,Water,Water,Shrubland,Water,Non_Wetland,Forest
408,Water,Water,Wetland,NULL,Wetland,Grassland
409,Water,Water,Wetland,NULL,Wetland,Wetland
410,Water,Water,Wetland,NULL,Wetland,Bareland
411,Water,Water,Wetland,NULL,Wetland,Water
412,Water,Water,Wetland,NULL,Wetland,Forest
413,Water,Water,Wetland,Non_Water,Wetland,Wetland
414,Water,Water,Wetland,Non_Water,Wetland,Bareland
415,Water,Water,Wetland,Non_Water,Wetland,Water
416,Water,Water,Wetland,Non_Water,Wetland,Forest
417,Water,Water,Wetland,Water,Wetland,Wetland
418,Water,Water,Wetland,Water,Wetland,Bareland
419,Water,Water,Wetland,Water,Wetland,Water
420,Water,Water,Wetland,Water,Wetland,Forest
421,Water,Water,Bareland,NULL,Non_Wetland,Water
422,Water,Water,Built-up,NULL,Non_Wetland,Water
423,Water,Water,Built-up,Water,Non_Wetland,Water
424,Water,Water,Water,NULL,Water,Grassland
425,Water,Water,Water,NULL,Water,Bareland
426,Water,Water,Water,NULL,Water,Water
427,Water,Water,Water,NULL,Water,Forest
428,Water,Water,Water,Non_Water,Water,Water
429,Water,Water,Water,Water,Water,Grassland
430,Water,Water,Water,Water,Water,Wetland
431,Water,Water,Water,Water,Water,Bareland
432,Water,Water,Water,Water,Water,Water
433,Water,Water,Water,Water,Water,Forest
434,Water,Water,Forest,NULL,Non_Wetland,Grassland
435,Water,Water,Forest,NULL,Non_Wetland,Bareland
436,Water,Water,Forest,NULL,Non_Wetland,Water
437,Water,Water,Forest,NULL,Non_Wetland,Forest
438,Water,Water,Forest,Non_Water,Non_Wetland,Water
439,Water,Water,Forest,Non_Water,Non_Wetland,Forest
440,Water,Water,Forest,Water,Non_Wetland,Bareland
441,Water,Water,Forest,Water,Non_Wetland,Water
442,Water,Water,Forest,Water,Non_Wetland,Forest
443,Water,Forest,Wetland,NULL,Wetland,Forest
444,Water,Forest,Forest,NULL,Non_Wetland,Grassland
445,Water,Forest,Forest,NULL,Non_Wetland,Forest
446,Forest,NULL,NULL,NULL,Non_Wetland,NULL
447,Forest,NULL,NULL,NULL,Non_Wetland,Grassland
448,Forest,NULL,NULL,NULL,Non_Wetland,Forest
449,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
450,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland
451,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest
452,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland
453,Forest,NULL,Grassland,NULL,Non_Wetland,Forest
454,Forest,NULL,Cropland,NULL,Non_Wetland,NULL
455,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland
