Value,AFRICA_2024_DynamicWorld_2024_37PCR_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PCR_M_R,AFRICA_2024_GLC_FCS30D_2022_37PCR_M_R,AFRICA_2024_GSW_Yearly_2021_37PCR_M_R,AFRICA_2024_GWL_FCS30D_2022_37PCR_M_R,AFRICA_2024_WorldCover_2021_37PCR_M_R
122,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
123,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
124,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
125,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
126,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
127,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
128,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
129,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
130,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
131,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
132,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
133,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
134,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
135,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
136,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
137,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
138,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
139,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
140,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
141,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
142,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
143,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
144,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
145,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Bareland
146,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Forest
147,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
148,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
149,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
150,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
151,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
152,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
153,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
154,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
155,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
156,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
157,NULL,Cropland,Bareland,Water,Non_Wetland,Grassland
158,NULL,Cropland,Bareland,Water,Non_Wetland,Cropland
159,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
160,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
161,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
162,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
163,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
164,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
165,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Cropland
166,NULL,Cropland,Water,Water,Water,Bareland
167,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
168,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
169,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
170,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
171,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
172,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
173,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
174,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
175,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
176,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
177,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
178,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
179,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
180,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
181,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
182,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
183,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
184,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
185,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
186,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
187,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
188,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
189,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
190,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
191,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
192,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
193,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
194,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
195,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
196,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
197,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
198,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
199,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
200,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
201,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
202,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
203,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
204,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
205,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
206,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
207,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
208,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
209,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
210,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
211,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
212,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
213,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
214,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
215,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
216,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
217,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
218,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
219,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
220,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
221,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
222,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
223,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
224,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
225,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
226,NULL,Water,NULL,NULL,Non_Wetland,NULL
227,NULL,Water,NULL,NULL,Non_Wetland,Grassland
228,NULL,Water,NULL,NULL,Non_Wetland,Cropland
229,NULL,Water,NULL,NULL,Non_Wetland,Bareland
230,NULL,Water,NULL,NULL,Non_Wetland,Forest
231,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
232,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
233,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
234,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
235,NULL,Water,Shrubland,NULL,Non_Wetland,Water
236,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
237,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
238,NULL,Water,Grassland,NULL,Non_Wetland,Cropland
239,NULL,Water,Grassland,NULL,Non_Wetland,Forest
240,NULL,Water,Cropland,NULL,Non_Wetland,NULL
241,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
242,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
243,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
244,NULL,Water,Cropland,NULL,Non_Wetland,Water
245,NULL,Water,Cropland,NULL,Non_Wetland,Forest
246,NULL,Water,Cropland,Non_Water,Non_Wetland,Grassland
247,NULL,Water,Cropland,Non_Water,Non_Wetland,Cropland
248,NULL,Water,Cropland,Non_Water,Non_Wetland,Bareland
249,NULL,Water,Cropland,Non_Water,Non_Wetland,Forest
250,NULL,Water,Cropland,Water,Non_Wetland,Grassland
251,NULL,Water,Wetland,NULL,Wetland,Grassland
252,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
253,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Forest
254,NULL,Water,Bareland,NULL,Non_Wetland,NULL
255,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
256,NULL,Water,Bareland,NULL,Non_Wetland,Cropland
257,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
258,NULL,Water,Bareland,NULL,Non_Wetland,Water
259,NULL,Water,Bareland,NULL,Non_Wetland,Forest
260,NULL,Water,Bareland,Non_Water,Non_Wetland,Grassland
261,NULL,Water,Bareland,Non_Water,Non_Wetland,Bareland
262,NULL,Water,Bareland,Non_Water,Non_Wetland,Forest
263,NULL,Water,Bareland,Water,Non_Wetland,Grassland
264,NULL,Water,Built-up,NULL,Non_Wetland,NULL
265,NULL,Water,Built-up,NULL,Non_Wetland,Forest
266,NULL,Water,Forest,NULL,Non_Wetland,NULL
267,NULL,Water,Forest,NULL,Non_Wetland,Grassland
268,NULL,Water,Forest,NULL,Non_Wetland,Cropland
269,NULL,Water,Forest,NULL,Non_Wetland,Bareland
270,NULL,Water,Forest,NULL,Non_Wetland,Forest
271,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland
272,NULL,Forest,NULL,NULL,Non_Wetland,NULL
273,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
274,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
275,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
276,NULL,Forest,NULL,NULL,Non_Wetland,Forest
277,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
278,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
279,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
280,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
281,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
282,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
283,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
284,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
285,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
286,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
287,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
288,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
289,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
290,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
291,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
292,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
293,NULL,Forest,Wetland,NULL,Wetland,Forest
294,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
295,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
296,NULL,Forest,Bareland,NULL,Non_Wetland,Cropland
297,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
298,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
299,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
300,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
301,NULL,Forest,Water,NULL,Water,Grassland
302,NULL,Forest,Forest,NULL,Non_Wetland,NULL
303,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
304,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
305,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
306,NULL,Forest,Forest,NULL,Non_Wetland,Forest
307,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
308,NULL,Forest,Forest,Non_Water,Non_Wetland,Cropland
309,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
310,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
311,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
312,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
313,Grassland,NULL,NULL,Non_Water,Non_Wetland,Forest
314,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
315,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
316,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
317,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
318,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
319,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
320,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
321,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
322,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
323,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
324,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
325,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
326,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland
327,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up
328,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
329,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
330,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
331,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Forest
332,Grassland,NULL,Cropland,Water,Non_Wetland,Water
333,Grassland,NULL,Wetland,NULL,Wetland,Forest
334,Grassland,NULL,Wetland,Water,Wetland,Water
335,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
336,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
337,Grassland,NULL,Bareland,NULL,Non_Wetland,Cropland
338,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland
339,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
340,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Cropland
341,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Forest
342,Grassland,NULL,Built-up,Water,Non_Wetland,Water
343,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
344,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
345,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
346,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
347,Grassland,NULL,Forest,Non_Water,Non_Wetland,Cropland
348,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
349,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL
350,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
351,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
352,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest
353,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
354,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
355,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
356,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
357,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
358,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
359,Grassland,Cropland,Grassland,NULL,Non_Wetland,Forest
360,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
361,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
362,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
363,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up
364,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest
365,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
366,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
367,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
368,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
369,Grassland,Bareland,Wetland,Water,Wetland,Water
370,Grassland,Water,Shrubland,NULL,Non_Wetland,Forest
371,Grassland,Water,Forest,NULL,Non_Wetland,Forest
372,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
373,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
374,Grassland,Forest,NULL,NULL,Non_Wetland,Cropland
375,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
376,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
377,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
378,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland
379,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
380,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
381,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland
382,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
383,Grassland,Forest,Cropland,Non_Water,Non_Wetland,NULL
384,Grassland,Forest,Bareland,NULL,Non_Wetland,Cropland
385,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
386,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
387,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland
388,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
389,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
390,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
391,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
392,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
393,Cropland,NULL,NULL,NULL,Non_Wetland,Water
394,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
395,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland
396,Cropland,NULL,NULL,Non_Water,Non_Wetland,Cropland
397,Cropland,NULL,NULL,Water,Non_Wetland,Cropland
398,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
399,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
400,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
401,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
402,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
403,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water
404,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
405,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
406,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
407,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
408,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
409,Cropland,NULL,Shrubland,Water,Non_Wetland,Cropland
410,Cropland,NULL,Shrubland,Water,Non_Wetland,Water
411,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
412,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
413,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
414,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
415,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
416,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
417,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
418,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
419,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
420,Cropland,NULL,Grassland,Water,Non_Wetland,Cropland
421,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
422,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
423,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
