Value,AFRICA_2024_DynamicWorld_2024_38PLS_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38PLS_M_R,AFRICA_2024_GLC_FCS30D_2022_38PLS_M_R,AFRICA_2024_GSW_Yearly_2021_38PLS_M_R,AFRICA_2024_GWL_FCS30D_2022_38PLS_M_R,AFRICA_2024_WorldCover_2021_38PLS_M_R
122,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
123,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
124,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
125,NULL,Cropland,Grassland,NULL,Non_Wetland,Water
126,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
127,NULL,Cropland,Grassland,Water,Non_Wetland,Bareland
128,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
129,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
130,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
131,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
132,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
133,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
134,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Bareland
135,NULL,Cropland,Cropland,Water,Non_Wetland,Bareland
136,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
137,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
138,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
139,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
140,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
141,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
142,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
143,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
144,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
145,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
146,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
147,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
148,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
149,NULL,Bareland,NULL,NULL,Non_Wetland,NULL
150,NULL,Bareland,NULL,NULL,Non_Wetland,Grassland
151,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland
152,NULL,Bareland,NULL,NULL,Non_Wetland,Forest
153,NULL,Bareland,NULL,Water,Non_Wetland,Bareland
154,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
155,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
156,NULL,Bareland,Shrubland,NULL,Non_Wetland,Cropland
157,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
158,NULL,Bareland,Shrubland,NULL,Non_Wetland,Forest
159,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
160,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
161,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
162,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
163,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
164,NULL,Bareland,Grassland,NULL,Non_Wetland,Wetland
165,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
166,NULL,Bareland,Grassland,NULL,Non_Wetland,Forest
167,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL
168,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
169,NULL,Bareland,Grassland,Water,Non_Wetland,NULL
170,NULL,Bareland,Grassland,Water,Non_Wetland,Grassland
171,NULL,Bareland,Grassland,Water,Non_Wetland,Bareland
172,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
173,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
174,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
175,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
176,NULL,Bareland,Cropland,NULL,Non_Wetland,Forest
177,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Bareland
178,NULL,Bareland,Cropland,Water,Non_Wetland,Bareland
179,NULL,Bareland,Wetland,NULL,NULL,Bareland
180,NULL,Bareland,Wetland,NULL,NULL,Water
181,NULL,Bareland,Wetland,NULL,Wetland,Wetland
182,NULL,Bareland,Wetland,NULL,Wetland,Bareland
183,NULL,Bareland,Wetland,NULL,Wetland,Water
184,NULL,Bareland,Wetland,Non_Water,Wetland,Bareland
185,NULL,Bareland,Wetland,Water,NULL,Wetland
186,NULL,Bareland,Wetland,Water,NULL,Bareland
187,NULL,Bareland,Wetland,Water,NULL,Water
188,NULL,Bareland,Wetland,Water,Wetland,Wetland
189,NULL,Bareland,Wetland,Water,Wetland,Bareland
190,NULL,Bareland,Wetland,Water,Wetland,Water
191,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
192,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
193,NULL,Bareland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
194,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
195,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
196,NULL,Bareland,Bareland,NULL,Non_Wetland,Cropland
197,NULL,Bareland,Bareland,NULL,Non_Wetland,Wetland
198,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
199,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
200,NULL,Bareland,Bareland,NULL,Non_Wetland,Forest
201,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL
202,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
203,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Water
204,NULL,Bareland,Bareland,Water,Non_Wetland,NULL
205,NULL,Bareland,Bareland,Water,Non_Wetland,Grassland
206,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
207,NULL,Bareland,Bareland,Water,Non_Wetland,Water
208,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL
209,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
210,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
211,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL
212,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
213,NULL,Bareland,Built-up,Water,Non_Wetland,Bareland
214,NULL,Bareland,Built-up,Water,Non_Wetland,Water
215,NULL,Bareland,Water,NULL,NULL,Bareland
216,NULL,Bareland,Water,NULL,NULL,Water
217,NULL,Bareland,Water,NULL,Water,Bareland
218,NULL,Bareland,Water,Non_Water,NULL,Bareland
219,NULL,Bareland,Water,Non_Water,Water,Bareland
220,NULL,Bareland,Water,Water,NULL,Wetland
221,NULL,Bareland,Water,Water,NULL,Bareland
222,NULL,Bareland,Water,Water,NULL,Water
223,NULL,Bareland,Water,Water,Water,Wetland
224,NULL,Bareland,Water,Water,Water,Bareland
225,NULL,Bareland,Water,Water,Water,Water
226,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
227,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
228,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
229,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
230,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
231,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
232,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
233,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
234,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
235,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
236,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
237,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
238,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland
239,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL
240,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland
241,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
242,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
243,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
244,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
245,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
246,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
247,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
248,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Bareland
249,NULL,Built-up,Grassland,Water,Non_Wetland,NULL
250,NULL,Built-up,Grassland,Water,Non_Wetland,Bareland
251,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
252,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
253,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
254,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
255,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
256,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
257,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL
258,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
259,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Bareland
260,NULL,Built-up,Cropland,Water,Non_Wetland,NULL
261,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland
262,NULL,Built-up,Cropland,Water,Non_Wetland,Bareland
263,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
264,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
265,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
266,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
267,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
268,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
269,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
270,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
271,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL
272,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
273,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
274,NULL,Built-up,Bareland,Water,Non_Wetland,NULL
275,NULL,Built-up,Bareland,Water,Non_Wetland,Grassland
276,NULL,Built-up,Bareland,Water,Non_Wetland,Cropland
277,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
278,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
279,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
280,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
281,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
282,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
283,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
284,NULL,Built-up,Water,Non_Water,Water,Bareland
285,NULL,Built-up,Water,Water,Water,Bareland
286,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
287,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
288,NULL,Water,NULL,NULL,Non_Wetland,NULL
289,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
290,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
291,NULL,Water,Shrubland,NULL,Non_Wetland,Water
292,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland
293,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
294,NULL,Water,Shrubland,Water,Non_Wetland,Water
295,NULL,Water,Grassland,NULL,Non_Wetland,NULL
296,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
297,NULL,Water,Grassland,NULL,Non_Wetland,Cropland
298,NULL,Water,Grassland,NULL,Non_Wetland,Wetland
299,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
300,NULL,Water,Grassland,NULL,Non_Wetland,Water
301,NULL,Water,Grassland,NULL,Non_Wetland,Forest
302,NULL,Water,Grassland,Non_Water,Non_Wetland,Bareland
303,NULL,Water,Grassland,Water,Non_Wetland,NULL
304,NULL,Water,Grassland,Water,Non_Wetland,Cropland
305,NULL,Water,Grassland,Water,Non_Wetland,Wetland
306,NULL,Water,Grassland,Water,Non_Wetland,Bareland
307,NULL,Water,Grassland,Water,Non_Wetland,Water
308,NULL,Water,Grassland,Water,Non_Wetland,Forest
309,NULL,Water,Cropland,NULL,Non_Wetland,NULL
310,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
311,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
312,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
313,NULL,Water,Cropland,NULL,Non_Wetland,Water
314,NULL,Water,Cropland,NULL,Non_Wetland,Forest
315,NULL,Water,Cropland,Non_Water,Non_Wetland,Bareland
316,NULL,Water,Cropland,Water,Non_Wetland,NULL
317,NULL,Water,Cropland,Water,Non_Wetland,Wetland
318,NULL,Water,Cropland,Water,Non_Wetland,Bareland
319,NULL,Water,Cropland,Water,Non_Wetland,Water
320,NULL,Water,Cropland,Water,Non_Wetland,Forest
321,NULL,Water,Wetland,NULL,NULL,Water
322,NULL,Water,Wetland,NULL,Wetland,Bareland
323,NULL,Water,Wetland,NULL,Wetland,Water
324,NULL,Water,Wetland,Non_Water,Wetland,Wetland
325,NULL,Water,Wetland,Non_Water,Wetland,Bareland
326,NULL,Water,Wetland,Non_Water,Wetland,Water
327,NULL,Water,Wetland,Water,NULL,Bareland
328,NULL,Water,Wetland,Water,NULL,Water
329,NULL,Water,Wetland,Water,Wetland,Wetland
330,NULL,Water,Wetland,Water,Wetland,Bareland
331,NULL,Water,Wetland,Water,Wetland,Water
332,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
333,NULL,Water,Bareland,NULL,Non_Wetland,NULL
334,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
335,NULL,Water,Bareland,NULL,Non_Wetland,Cropland
336,NULL,Water,Bareland,NULL,Non_Wetland,Wetland
337,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
338,NULL,Water,Bareland,NULL,Non_Wetland,Water
339,NULL,Water,Bareland,Non_Water,Non_Wetland,Grassland
340,NULL,Water,Bareland,Non_Water,Non_Wetland,Bareland
341,NULL,Water,Bareland,Non_Water,Non_Wetland,Water
342,NULL,Water,Bareland,Water,Non_Wetland,NULL
343,NULL,Water,Bareland,Water,Non_Wetland,Grassland
344,NULL,Water,Bareland,Water,Non_Wetland,Cropland
345,NULL,Water,Bareland,Water,Non_Wetland,Wetland
346,NULL,Water,Bareland,Water,Non_Wetland,Bareland
347,NULL,Water,Bareland,Water,Non_Wetland,Water
348,NULL,Water,Built-up,NULL,Non_Wetland,NULL
349,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
350,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
351,NULL,Water,Built-up,NULL,Non_Wetland,Water
352,NULL,Water,Built-up,Water,Non_Wetland,Bareland
353,NULL,Water,Built-up,Water,Non_Wetland,Water
354,NULL,Water,Water,NULL,NULL,Water
355,NULL,Water,Water,NULL,Water,Bareland
356,NULL,Water,Water,NULL,Water,Water
357,NULL,Water,Water,Non_Water,NULL,Bareland
358,NULL,Water,Water,Non_Water,NULL,Water
359,NULL,Water,Water,Non_Water,Water,NULL
360,NULL,Water,Water,Non_Water,Water,Water
361,NULL,Water,Water,Water,NULL,Bareland
362,NULL,Water,Water,Water,NULL,Water
363,NULL,Water,Water,Water,Water,NULL
364,NULL,Water,Water,Water,Water,Bareland
365,NULL,Water,Water,Water,Water,Water
366,NULL,Forest,NULL,NULL,Non_Wetland,NULL
367,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
368,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
369,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
370,NULL,Forest,NULL,NULL,Non_Wetland,Forest
371,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
372,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
373,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
374,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
375,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
376,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
377,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
378,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
379,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
380,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
381,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
382,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
383,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
384,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
385,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
386,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
387,NULL,Forest,Wetland,NULL,Wetland,NULL
388,NULL,Forest,Wetland,NULL,Wetland,Cropland
389,NULL,Forest,Wetland,NULL,Wetland,Forest
390,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
391,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
392,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
393,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
394,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
395,NULL,Forest,Bareland,NULL,Non_Wetland,Cropland
396,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
397,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
398,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
399,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
400,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
401,NULL,Forest,Forest,NULL,Non_Wetland,NULL
402,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
403,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
404,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
405,NULL,Forest,Forest,NULL,Non_Wetland,Forest
406,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
407,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
408,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
409,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
410,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
411,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
412,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
413,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
414,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
415,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
416,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
417,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
418,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
419,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
420,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
421,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
422,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
423,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
424,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
425,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
426,Cropland,NULL,Cropland,Water,Non_Wetland,NULL
427,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
428,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
429,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
430,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
431,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
432,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
433,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
434,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
