Value,AFRICA_2024_DynamicWorld_2024_37PCQ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PCQ_M_R,AFRICA_2024_GLC_FCS30D_2022_37PCQ_M_R,AFRICA_2024_GSW_Yearly_2021_37PCQ_M_R,AFRICA_2024_GWL_FCS30D_2022_37PCQ_M_R,AFRICA_2024_WorldCover_2021_37PCQ_M_R
120,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
121,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
122,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
123,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
124,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
125,NULL,Cropland,Forest,NULL,Non_Wetland,Water
126,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
127,NULL,Bareland,NULL,NULL,Non_Wetland,Grassland
128,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
129,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
130,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
131,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
132,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
133,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
134,NULL,Bareland,Bareland,NULL,Non_Wetland,Cropland
135,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
136,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
137,NULL,Bareland,Built-up,NULL,Non_Wetland,Cropland
138,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
139,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
140,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
141,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
142,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland
143,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
144,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
145,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
146,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
147,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
148,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
149,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
150,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
151,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
152,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
153,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
154,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
155,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
156,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
157,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
158,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
159,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
160,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
161,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
162,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland
163,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
164,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
165,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
166,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
167,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
168,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
169,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
170,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
171,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
172,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
173,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
174,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
175,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
176,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
177,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
178,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
179,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
180,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland
181,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
182,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
183,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
184,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
185,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
186,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
187,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
188,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
189,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
190,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
191,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
192,NULL,Water,NULL,NULL,Non_Wetland,NULL
193,NULL,Water,NULL,NULL,Non_Wetland,Grassland
194,NULL,Water,NULL,NULL,Non_Wetland,Cropland
195,NULL,Water,NULL,NULL,Non_Wetland,Bareland
196,NULL,Water,NULL,NULL,Non_Wetland,Forest
197,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
198,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
199,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
200,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
201,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
202,NULL,Water,Cropland,NULL,Non_Wetland,NULL
203,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
204,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
205,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
206,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Forest
207,NULL,Water,Bareland,NULL,Non_Wetland,NULL
208,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
209,NULL,Water,Bareland,NULL,Non_Wetland,Cropland
210,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
211,NULL,Water,Bareland,NULL,Non_Wetland,Forest
212,NULL,Water,Built-up,NULL,Non_Wetland,NULL
213,NULL,Water,Built-up,NULL,Non_Wetland,Forest
214,NULL,Water,Forest,NULL,Non_Wetland,NULL
215,NULL,Water,Forest,NULL,Non_Wetland,Grassland
216,NULL,Water,Forest,NULL,Non_Wetland,Cropland
217,NULL,Water,Forest,NULL,Non_Wetland,Bareland
218,NULL,Water,Forest,NULL,Non_Wetland,Forest
219,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
220,NULL,Forest,NULL,NULL,Non_Wetland,NULL
221,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
222,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
223,NULL,Forest,NULL,NULL,Non_Wetland,Forest
224,NULL,Forest,NULL,Water,Non_Wetland,Grassland
225,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
226,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
227,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
228,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
229,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
230,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
231,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
232,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
233,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
234,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
235,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
236,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
237,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
238,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
239,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
240,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
241,NULL,Forest,Bareland,NULL,Non_Wetland,Built-up
242,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
243,NULL,Forest,Water,NULL,Water,NULL
244,NULL,Forest,Water,NULL,Water,Grassland
245,NULL,Forest,Water,NULL,Water,Cropland
246,NULL,Forest,Water,NULL,Water,Forest
247,NULL,Forest,Water,Water,Water,Grassland
248,NULL,Forest,Forest,NULL,Non_Wetland,NULL
249,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
250,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
251,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
252,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
253,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
254,NULL,Forest,Forest,NULL,Non_Wetland,Forest
255,NULL,Forest,Forest,Water,Non_Wetland,Grassland
256,NULL,Forest,Forest,Water,Non_Wetland,Forest
257,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
258,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
259,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
260,Grassland,NULL,NULL,NULL,Non_Wetland,Built-up
261,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
262,Grassland,NULL,NULL,Water,Non_Wetland,NULL
263,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
264,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
265,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
266,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
267,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
268,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
269,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
270,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
271,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
272,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
273,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
274,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland
275,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up
276,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
277,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
278,Grassland,NULL,Wetland,NULL,Wetland,NULL
279,Grassland,NULL,Wetland,NULL,Wetland,Grassland
280,Grassland,NULL,Wetland,NULL,Wetland,Cropland
281,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
282,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
283,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
284,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
285,Grassland,NULL,Bareland,NULL,Non_Wetland,Cropland
286,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland
287,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL
288,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
289,Grassland,NULL,Built-up,NULL,Non_Wetland,Cropland
290,Grassland,NULL,Water,NULL,Water,NULL
291,Grassland,NULL,Water,NULL,Water,Grassland
292,Grassland,NULL,Water,NULL,Water,Cropland
293,Grassland,NULL,Water,NULL,Water,Forest
294,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
295,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
296,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
297,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
298,Grassland,NULL,Forest,Water,Non_Wetland,NULL
299,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
300,Grassland,NULL,Forest,Water,Non_Wetland,Forest
301,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL
302,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
303,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
304,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland
305,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest
306,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
307,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
308,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
309,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
310,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
311,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
312,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL
313,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
314,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
315,Grassland,Cropland,Grassland,NULL,Non_Wetland,Wetland
316,Grassland,Cropland,Grassland,NULL,Non_Wetland,Forest
317,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
318,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
319,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
320,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland
321,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland
322,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up
323,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest
324,Grassland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
325,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL
326,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland
327,Grassland,Cropland,Bareland,NULL,Non_Wetland,Cropland
328,Grassland,Cropland,Bareland,NULL,Non_Wetland,Bareland
329,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL
330,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland
331,Grassland,Cropland,Built-up,NULL,Non_Wetland,Cropland
332,Grassland,Cropland,Built-up,NULL,Non_Wetland,Built-up
333,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
334,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
335,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
336,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
337,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
338,Grassland,Built-up,NULL,NULL,Non_Wetland,Cropland
339,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL
340,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
341,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Cropland
342,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland
343,Grassland,Built-up,Cropland,NULL,Non_Wetland,Cropland
344,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland
345,Grassland,Built-up,Forest,NULL,Non_Wetland,Cropland
346,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
347,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
348,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
349,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
350,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
351,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL
352,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest
353,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
354,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
355,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
356,Grassland,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
357,Grassland,Forest,Water,NULL,Water,Cropland
358,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
359,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
360,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland
361,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
362,Grassland,Forest,Forest,Water,Non_Wetland,NULL
363,Grassland,Forest,Forest,Water,Non_Wetland,Forest
364,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
365,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
366,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
367,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
368,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up
369,Cropland,NULL,NULL,NULL,Non_Wetland,Water
370,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
371,Cropland,NULL,NULL,Water,Non_Wetland,Grassland
372,Cropland,NULL,NULL,Water,Non_Wetland,Cropland
373,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
374,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
375,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
376,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
377,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
378,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
379,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL
380,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
381,Cropland,NULL,Shrubland,Water,Non_Wetland,Forest
382,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
383,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
384,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
385,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
386,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
387,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
388,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
389,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
390,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
391,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
392,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
393,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
394,Cropland,NULL,Wetland,NULL,Wetland,NULL
395,Cropland,NULL,Wetland,NULL,Wetland,Grassland
396,Cropland,NULL,Wetland,NULL,Wetland,Cropland
397,Cropland,NULL,Wetland,NULL,Wetland,Forest
398,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
399,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
400,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
401,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
402,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
403,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
404,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
405,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
406,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
407,Cropland,NULL,Bareland,NULL,Non_Wetland,Built-up
408,Cropland,NULL,Bareland,NULL,Non_Wetland,Water
409,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
410,Cropland,NULL,Bareland,Water,Non_Wetland,NULL
411,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland
412,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
413,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
414,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
415,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
416,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
417,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
418,Cropland,NULL,Water,NULL,Water,NULL
419,Cropland,NULL,Water,NULL,Water,Grassland
420,Cropland,NULL,Water,NULL,Water,Cropland
421,Cropland,NULL,Water,NULL,Water,Forest
422,Cropland,NULL,Water,Water,Water,Grassland
423,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
