Value,AFRICA_2024_DynamicWorld_2024_37PDM_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PDM_M_R,AFRICA_2024_GLC_FCS30D_2022_37PDM_M_R,AFRICA_2024_GSW_Yearly_2021_37PDM_M_R,AFRICA_2024_GWL_FCS30D_2022_37PDM_M_R,AFRICA_2024_WorldCover_2021_37PDM_M_R
122,NULL,NULL,Forest,Water,Non_Wetland,Forest
123,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
124,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
125,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
126,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
127,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
128,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
129,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
130,NULL,Cropland,NULL,Water,Non_Wetland,NULL
131,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
132,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
133,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
134,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
135,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
136,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
137,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
138,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland
139,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
140,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
141,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
142,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
143,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
144,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
145,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
146,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL
147,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
148,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
149,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
150,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
151,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
152,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
153,NULL,Cropland,Cropland,NULL,Non_Wetland,Water
154,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
155,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
156,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
157,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
158,NULL,Cropland,Wetland,NULL,Wetland,Cropland
159,NULL,Cropland,Wetland,NULL,Wetland,Forest
160,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
161,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
162,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
163,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
164,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
165,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
166,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
167,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
168,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
169,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
170,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
171,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
172,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
173,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
174,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
175,NULL,Cropland,Bareland,Water,Non_Wetland,Cropland
176,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
177,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
178,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
179,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
180,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
181,NULL,Cropland,Built-up,NULL,Non_Wetland,Water
182,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
183,NULL,Cropland,Water,NULL,Water,Grassland
184,NULL,Cropland,Water,NULL,Water,Cropland
185,NULL,Cropland,Water,NULL,Water,Water
186,NULL,Cropland,Water,Water,Water,Cropland
187,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
188,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
189,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
190,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
191,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
192,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
193,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
194,NULL,Bareland,NULL,NULL,Non_Wetland,NULL
195,NULL,Bareland,NULL,NULL,Non_Wetland,Grassland
196,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
197,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
198,NULL,Bareland,Shrubland,NULL,Non_Wetland,Cropland
199,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
200,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
201,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
202,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
203,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
204,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
205,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
206,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
207,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
208,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
209,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
210,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
211,NULL,Bareland,Bareland,Water,Non_Wetland,Water
212,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
213,NULL,Bareland,Forest,NULL,Non_Wetland,NULL
214,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
215,NULL,Bareland,Forest,NULL,Non_Wetland,Cropland
216,NULL,Bareland,Forest,NULL,Non_Wetland,Forest
217,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
218,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
219,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
220,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland
221,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
222,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
223,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
224,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
225,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
226,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
227,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
228,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
229,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
230,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
231,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland
232,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
233,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
234,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
235,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland
236,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
237,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
238,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
239,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
240,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
241,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
242,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland
243,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
244,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
245,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
246,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Cropland
247,NULL,Built-up,Cropland,Water,Non_Wetland,Cropland
248,NULL,Built-up,Cropland,Water,Non_Wetland,Bareland
249,NULL,Built-up,Wetland,NULL,Wetland,Grassland
250,NULL,Built-up,Wetland,NULL,Wetland,Cropland
251,NULL,Built-up,Wetland,NULL,Wetland,Built-up
252,NULL,Built-up,Wetland,Water,Wetland,Water
253,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
254,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
255,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
256,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
257,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
258,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
259,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
260,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
261,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
262,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland
263,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
264,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
265,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
266,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Cropland
267,NULL,Built-up,Bareland,Water,Non_Wetland,Cropland
268,NULL,Built-up,Bareland,Water,Non_Wetland,Water
269,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
270,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
271,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
272,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland
273,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
274,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
275,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
276,NULL,Built-up,Water,NULL,Water,NULL
277,NULL,Built-up,Water,NULL,Water,Cropland
278,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
279,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
280,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
281,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
282,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
283,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
284,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
285,NULL,Water,NULL,NULL,Non_Wetland,NULL
286,NULL,Water,NULL,NULL,Non_Wetland,Grassland
287,NULL,Water,NULL,NULL,Non_Wetland,Cropland
288,NULL,Water,NULL,NULL,Non_Wetland,Bareland
289,NULL,Water,NULL,NULL,Non_Wetland,Forest
290,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
291,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
292,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
293,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
294,NULL,Water,Shrubland,NULL,Non_Wetland,Water
295,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
296,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
297,NULL,Water,Shrubland,Water,Non_Wetland,Forest
298,NULL,Water,Grassland,NULL,Non_Wetland,NULL
299,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
300,NULL,Water,Grassland,NULL,Non_Wetland,Cropland
301,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
302,NULL,Water,Grassland,Water,Non_Wetland,Cropland
303,NULL,Water,Cropland,NULL,Non_Wetland,NULL
304,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
305,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
306,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
307,NULL,Water,Cropland,NULL,Non_Wetland,Water
308,NULL,Water,Cropland,NULL,Non_Wetland,Forest
309,NULL,Water,Cropland,Non_Water,Non_Wetland,Grassland
310,NULL,Water,Cropland,Water,Non_Wetland,Grassland
311,NULL,Water,Cropland,Water,Non_Wetland,Cropland
312,NULL,Water,Cropland,Water,Non_Wetland,Bareland
313,NULL,Water,Cropland,Water,Non_Wetland,Water
314,NULL,Water,Wetland,NULL,Wetland,NULL
315,NULL,Water,Wetland,NULL,Wetland,Cropland
316,NULL,Water,Wetland,NULL,Wetland,Forest
317,NULL,Water,Wetland,Water,Wetland,Cropland
318,NULL,Water,Wetland,Water,Wetland,Forest
319,NULL,Water,Bareland,NULL,Non_Wetland,NULL
320,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
321,NULL,Water,Bareland,NULL,Non_Wetland,Cropland
322,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
323,NULL,Water,Bareland,NULL,Non_Wetland,Water
324,NULL,Water,Bareland,NULL,Non_Wetland,Forest
325,NULL,Water,Bareland,Non_Water,Non_Wetland,NULL
326,NULL,Water,Bareland,Non_Water,Non_Wetland,Cropland
327,NULL,Water,Bareland,Water,Non_Wetland,NULL
328,NULL,Water,Bareland,Water,Non_Wetland,Grassland
329,NULL,Water,Bareland,Water,Non_Wetland,Bareland
330,NULL,Water,Bareland,Water,Non_Wetland,Water
331,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
332,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
333,NULL,Water,Forest,NULL,Non_Wetland,NULL
334,NULL,Water,Forest,NULL,Non_Wetland,Grassland
335,NULL,Water,Forest,NULL,Non_Wetland,Cropland
336,NULL,Water,Forest,NULL,Non_Wetland,Bareland
337,NULL,Water,Forest,NULL,Non_Wetland,Forest
338,NULL,Water,Forest,Water,Non_Wetland,NULL
339,NULL,Water,Forest,Water,Non_Wetland,Forest
340,NULL,Forest,NULL,NULL,Non_Wetland,NULL
341,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
342,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
343,NULL,Forest,NULL,NULL,Non_Wetland,Forest
344,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
345,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
346,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
347,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
348,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
349,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
350,NULL,Forest,Shrubland,Water,Non_Wetland,NULL
351,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
352,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
353,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
354,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
355,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
356,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
357,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
358,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
359,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
360,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
361,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
362,NULL,Forest,Cropland,Water,Non_Wetland,Cropland
363,NULL,Forest,Wetland,NULL,Wetland,NULL
364,NULL,Forest,Wetland,Non_Water,Wetland,NULL
365,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
366,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
367,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
368,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
369,NULL,Forest,Bareland,NULL,Non_Wetland,Water
370,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
371,NULL,Forest,Bareland,Non_Water,Non_Wetland,NULL
372,NULL,Forest,Bareland,Water,Non_Wetland,NULL
373,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
374,NULL,Forest,Built-up,Water,Non_Wetland,Forest
375,NULL,Forest,Water,NULL,Water,NULL
376,NULL,Forest,Forest,NULL,Non_Wetland,NULL
377,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
378,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
379,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
380,NULL,Forest,Forest,NULL,Non_Wetland,Forest
381,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
382,NULL,Forest,Forest,Water,Non_Wetland,NULL
383,NULL,Forest,Forest,Water,Non_Wetland,Grassland
384,NULL,Forest,Forest,Water,Non_Wetland,Forest
385,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
386,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
387,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
388,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
389,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
390,Grassland,NULL,NULL,Non_Water,Non_Wetland,Cropland
391,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
392,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
393,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
394,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
395,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
396,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
397,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
398,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
399,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
400,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
401,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland
402,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
403,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
404,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
405,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
406,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
407,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland
408,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up
409,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
410,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
411,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Forest
412,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
413,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
414,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
415,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
416,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
417,Grassland,NULL,Bareland,NULL,Non_Wetland,Cropland
418,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland
419,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
420,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Cropland
421,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL
422,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
423,Grassland,NULL,Built-up,NULL,Non_Wetland,Cropland
424,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland
425,Grassland,NULL,Built-up,NULL,Non_Wetland,Forest
426,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
