Value,AFRICA_2024_DynamicWorld_2024_35NNE_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NNE_M_R,AFRICA_2024_GLC_FCS30D_2022_35NNE_M_R,AFRICA_2024_GSW_Yearly_2021_35NNE_M_R,AFRICA_2024_GWL_FCS30D_2022_35NNE_M_R,AFRICA_2024_WorldCover_2021_35NNE_M_R
122,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
123,Grassland,NULL,Wetland,NULL,Wetland,NULL
124,Grassland,NULL,Wetland,NULL,Wetland,Grassland
125,Grassland,NULL,Wetland,NULL,Wetland,Wetland
126,Grassland,NULL,Wetland,NULL,Wetland,Forest
127,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
128,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
129,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
130,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
131,Grassland,NULL,Bareland,Water,Non_Wetland,Forest
132,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
133,Grassland,NULL,Water,Water,Water,Forest
134,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
135,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
136,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
137,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
138,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
139,Grassland,NULL,Forest,Water,Non_Wetland,Forest
140,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
141,Grassland,Wetland,Wetland,NULL,Wetland,Grassland
142,Grassland,Wetland,Wetland,NULL,Wetland,Forest
143,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL
144,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland
145,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest
146,Grassland,Water,Cropland,NULL,Non_Wetland,Grassland
147,Grassland,Water,Wetland,NULL,Wetland,NULL
148,Grassland,Water,Wetland,NULL,Wetland,Grassland
149,Grassland,Water,Wetland,NULL,Wetland,Forest
150,Grassland,Water,Wetland,Non_Water,Wetland,Forest
151,Grassland,Water,Water,Water,Water,Forest
152,Grassland,Water,Forest,NULL,Non_Wetland,Grassland
153,Grassland,Water,Forest,NULL,Non_Wetland,Forest
154,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
155,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
156,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
157,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
158,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
159,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
160,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
161,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
162,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
163,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
164,Grassland,Forest,Wetland,NULL,Wetland,Grassland
165,Grassland,Forest,Wetland,NULL,Wetland,Forest
166,Grassland,Forest,Wetland,Water,Wetland,Forest
167,Grassland,Forest,Water,Water,Water,Forest
168,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
169,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
170,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
171,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
172,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL
173,Grassland,Forest,Forest,Non_Water,Non_Wetland,Forest
174,Grassland,Forest,Forest,Water,Non_Wetland,Forest
175,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
176,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up
177,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
178,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
179,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
180,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
181,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
182,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
183,Cropland,NULL,Wetland,NULL,Wetland,Grassland
184,Cropland,NULL,Wetland,NULL,Wetland,Forest
185,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
186,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
187,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
188,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
189,Cropland,NULL,Forest,NULL,Non_Wetland,Built-up
190,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
191,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
192,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
193,Cropland,Wetland,Wetland,NULL,Wetland,Grassland
194,Cropland,Built-up,NULL,NULL,Non_Wetland,Forest
195,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland
196,Cropland,Built-up,Cropland,NULL,Non_Wetland,Built-up
197,Cropland,Built-up,Cropland,NULL,Non_Wetland,Forest
198,Cropland,Built-up,Built-up,NULL,Non_Wetland,Grassland
199,Cropland,Built-up,Built-up,NULL,Non_Wetland,Built-up
200,Cropland,Built-up,Built-up,NULL,Non_Wetland,Forest
201,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL
202,Cropland,Built-up,Forest,NULL,Non_Wetland,Built-up
203,Cropland,Built-up,Forest,NULL,Non_Wetland,Forest
204,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest
205,Cropland,Forest,Built-up,NULL,Non_Wetland,Grassland
206,Cropland,Forest,Built-up,NULL,Non_Wetland,Built-up
207,Cropland,Forest,Built-up,NULL,Non_Wetland,Forest
208,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
209,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
210,Cropland,Forest,Forest,NULL,Non_Wetland,Built-up
211,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
212,Wetland,NULL,NULL,NULL,Non_Wetland,NULL
213,Wetland,NULL,NULL,NULL,Non_Wetland,Grassland
214,Wetland,NULL,NULL,NULL,Non_Wetland,Wetland
215,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL
216,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
217,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland
218,Wetland,NULL,Shrubland,NULL,Non_Wetland,Water
219,Wetland,NULL,Shrubland,NULL,Non_Wetland,Forest
220,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
221,Wetland,NULL,Wetland,NULL,Wetland,NULL
222,Wetland,NULL,Wetland,NULL,Wetland,Grassland
223,Wetland,NULL,Wetland,NULL,Wetland,Forest
224,Wetland,NULL,Wetland,Water,Wetland,Grassland
225,Wetland,NULL,Bareland,NULL,Non_Wetland,Forest
226,Wetland,NULL,Built-up,NULL,Non_Wetland,Grassland
227,Wetland,NULL,Water,NULL,Water,Forest
228,Wetland,NULL,Water,Non_Water,Water,Grassland
229,Wetland,NULL,Water,Water,Water,Grassland
230,Wetland,NULL,Forest,NULL,Non_Wetland,NULL
231,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland
232,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland
233,Wetland,NULL,Forest,NULL,Non_Wetland,Forest
234,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL
235,Wetland,NULL,Forest,Non_Water,Non_Wetland,Grassland
236,Wetland,NULL,Forest,Non_Water,Non_Wetland,Forest
237,Wetland,Cropland,Forest,NULL,Non_Wetland,NULL
238,Wetland,Cropland,Forest,NULL,Non_Wetland,Grassland
239,Wetland,Cropland,Forest,NULL,Non_Wetland,Forest
240,Wetland,Wetland,NULL,NULL,Non_Wetland,Grassland
241,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
242,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Forest
243,Wetland,Wetland,Wetland,NULL,Wetland,Grassland
244,Wetland,Wetland,Wetland,NULL,Wetland,Forest
245,Wetland,Wetland,Wetland,Water,Wetland,Forest
246,Wetland,Wetland,Bareland,NULL,Non_Wetland,Grassland
247,Wetland,Wetland,Bareland,NULL,Non_Wetland,Forest
248,Wetland,Wetland,Water,NULL,Water,Forest
249,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL
250,Wetland,Wetland,Forest,NULL,Non_Wetland,Grassland
251,Wetland,Wetland,Forest,NULL,Non_Wetland,Forest
252,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Forest
253,Wetland,Wetland,Forest,Water,Non_Wetland,Grassland
254,Wetland,Wetland,Forest,Water,Non_Wetland,Forest
255,Wetland,Water,NULL,NULL,Non_Wetland,Forest
256,Wetland,Water,Shrubland,NULL,Non_Wetland,Grassland
257,Wetland,Water,Shrubland,NULL,Non_Wetland,Water
258,Wetland,Water,Shrubland,NULL,Non_Wetland,Forest
259,Wetland,Water,Shrubland,Non_Water,Non_Wetland,Grassland
260,Wetland,Water,Shrubland,Water,Non_Wetland,Grassland
261,Wetland,Water,Shrubland,Water,Non_Wetland,Bareland
262,Wetland,Water,Shrubland,Water,Non_Wetland,Forest
263,Wetland,Water,Wetland,NULL,Wetland,Grassland
264,Wetland,Water,Wetland,NULL,Wetland,Wetland
265,Wetland,Water,Wetland,NULL,Wetland,Water
266,Wetland,Water,Wetland,NULL,Wetland,Forest
267,Wetland,Water,Wetland,Water,Wetland,Water
268,Wetland,Water,Bareland,NULL,Non_Wetland,Forest
269,Wetland,Water,Built-up,NULL,Non_Wetland,Grassland
270,Wetland,Water,Built-up,NULL,Non_Wetland,Forest
271,Wetland,Water,Water,NULL,Water,Forest
272,Wetland,Water,Forest,NULL,Non_Wetland,Grassland
273,Wetland,Water,Forest,NULL,Non_Wetland,Water
274,Wetland,Water,Forest,NULL,Non_Wetland,Forest
275,Wetland,Water,Forest,Non_Water,Non_Wetland,NULL
276,Wetland,Water,Forest,Non_Water,Non_Wetland,Grassland
277,Wetland,Water,Forest,Non_Water,Non_Wetland,Wetland
278,Wetland,Water,Forest,Water,Non_Wetland,Wetland
279,Wetland,Forest,NULL,NULL,Non_Wetland,Forest
280,Wetland,Forest,Shrubland,NULL,Non_Wetland,NULL
281,Wetland,Forest,Shrubland,NULL,Non_Wetland,Grassland
282,Wetland,Forest,Shrubland,NULL,Non_Wetland,Forest
283,Wetland,Forest,Cropland,Non_Water,Non_Wetland,Grassland
284,Wetland,Forest,Cropland,Water,Non_Wetland,Grassland
285,Wetland,Forest,Wetland,NULL,Wetland,NULL
286,Wetland,Forest,Wetland,NULL,Wetland,Grassland
287,Wetland,Forest,Wetland,NULL,Wetland,Forest
288,Wetland,Forest,Bareland,NULL,Non_Wetland,Forest
289,Wetland,Forest,Built-up,NULL,Non_Wetland,Grassland
290,Wetland,Forest,Forest,NULL,Non_Wetland,NULL
291,Wetland,Forest,Forest,NULL,Non_Wetland,Grassland
292,Wetland,Forest,Forest,NULL,Non_Wetland,Wetland
293,Wetland,Forest,Forest,NULL,Non_Wetland,Forest
294,Wetland,Forest,Forest,Non_Water,Non_Wetland,Grassland
295,Wetland,Forest,Forest,Non_Water,Non_Wetland,Forest
296,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
297,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland
298,Bareland,Bareland,Shrubland,Water,Non_Wetland,Bareland
299,Water,NULL,NULL,NULL,Non_Wetland,Grassland
300,Water,NULL,NULL,NULL,Non_Wetland,Wetland
301,Water,NULL,NULL,NULL,Non_Wetland,Forest
302,Water,NULL,Shrubland,NULL,Non_Wetland,NULL
303,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland
304,Water,NULL,Shrubland,NULL,Non_Wetland,Wetland
305,Water,NULL,Shrubland,NULL,Non_Wetland,Forest
306,Water,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
307,Water,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
308,Water,NULL,Shrubland,Water,Non_Wetland,Grassland
309,Water,NULL,Wetland,NULL,Wetland,NULL
310,Water,NULL,Wetland,NULL,Wetland,Grassland
311,Water,NULL,Wetland,NULL,Wetland,Forest
312,Water,NULL,Wetland,Non_Water,Wetland,Forest
313,Water,NULL,Wetland,Water,Wetland,Grassland
314,Water,NULL,Wetland,Water,Wetland,Wetland
315,Water,NULL,Wetland,Water,Wetland,Water
316,Water,NULL,Bareland,NULL,Non_Wetland,Forest
317,Water,NULL,Water,NULL,Water,Grassland
318,Water,NULL,Water,NULL,Water,Wetland
319,Water,NULL,Water,NULL,Water,Forest
320,Water,NULL,Water,Water,Water,Grassland
321,Water,NULL,Water,Water,Water,Wetland
322,Water,NULL,Water,Water,Water,Forest
323,Water,NULL,Forest,NULL,Non_Wetland,NULL
324,Water,NULL,Forest,NULL,Non_Wetland,Grassland
325,Water,NULL,Forest,NULL,Non_Wetland,Wetland
326,Water,NULL,Forest,NULL,Non_Wetland,Water
327,Water,NULL,Forest,NULL,Non_Wetland,Forest
328,Water,NULL,Forest,Non_Water,Non_Wetland,Grassland
329,Water,NULL,Forest,Non_Water,Non_Wetland,Wetland
330,Water,NULL,Forest,Water,Non_Wetland,Grassland
331,Water,NULL,Forest,Water,Non_Wetland,Wetland
332,Water,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
333,Water,Cropland,Forest,NULL,Non_Wetland,Grassland
334,Water,Cropland,Forest,NULL,Non_Wetland,Forest
335,Water,Wetland,Shrubland,NULL,Non_Wetland,Forest
336,Water,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
337,Water,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
338,Water,Wetland,Shrubland,Water,Non_Wetland,Forest
339,Water,Wetland,Wetland,NULL,Wetland,Grassland
340,Water,Wetland,Wetland,NULL,Wetland,Water
341,Water,Wetland,Wetland,NULL,Wetland,Forest
342,Water,Wetland,Wetland,Non_Water,Wetland,Forest
343,Water,Wetland,Wetland,Water,Wetland,Water
344,Water,Wetland,Wetland,Water,Wetland,Forest
345,Water,Wetland,Bareland,NULL,Non_Wetland,Forest
346,Water,Wetland,Water,NULL,Water,Forest
347,Water,Wetland,Water,Water,Water,Bareland
348,Water,Wetland,Water,Water,Water,Water
349,Water,Wetland,Water,Water,Water,Forest
350,Water,Wetland,Forest,NULL,Non_Wetland,Grassland
351,Water,Wetland,Forest,NULL,Non_Wetland,Wetland
352,Water,Wetland,Forest,NULL,Non_Wetland,Forest
353,Water,Bareland,Shrubland,Water,Non_Wetland,Grassland
354,Water,Bareland,Shrubland,Water,Non_Wetland,Bareland
355,Water,Bareland,Shrubland,Water,Non_Wetland,Water
356,Water,Bareland,Wetland,Water,Wetland,Water
357,Water,Water,NULL,NULL,Non_Wetland,Grassland
358,Water,Water,NULL,NULL,Non_Wetland,Water
359,Water,Water,NULL,NULL,Non_Wetland,Forest
360,Water,Water,NULL,Non_Water,Non_Wetland,Grassland
361,Water,Water,NULL,Non_Water,Non_Wetland,Water
362,Water,Water,NULL,Water,Non_Wetland,Grassland
363,Water,Water,NULL,Water,Non_Wetland,Water
364,Water,Water,NULL,Water,Non_Wetland,Forest
365,Water,Water,Shrubland,NULL,Non_Wetland,Grassland
366,Water,Water,Shrubland,NULL,Non_Wetland,Wetland
367,Water,Water,Shrubland,NULL,Non_Wetland,Bareland
368,Water,Water,Shrubland,NULL,Non_Wetland,Water
369,Water,Water,Shrubland,NULL,Non_Wetland,Forest
370,Water,Water,Shrubland,Non_Water,Non_Wetland,Water
371,Water,Water,Shrubland,Non_Water,Non_Wetland,Forest
372,Water,Water,Shrubland,Water,Non_Wetland,Grassland
373,Water,Water,Shrubland,Water,Non_Wetland,Cropland
374,Water,Water,Shrubland,Water,Non_Wetland,Wetland
375,Water,Water,Shrubland,Water,Non_Wetland,Bareland
376,Water,Water,Shrubland,Water,Non_Wetland,Water
377,Water,Water,Shrubland,Water,Non_Wetland,Forest
378,Water,Water,Grassland,NULL,Non_Wetland,Water
379,Water,Water,Grassland,NULL,Non_Wetland,Forest
380,Water,Water,Grassland,Water,Non_Wetland,Water
381,Water,Water,Cropland,NULL,Non_Wetland,Built-up
382,Water,Water,Cropland,NULL,Non_Wetland,Water
383,Water,Water,Cropland,NULL,Non_Wetland,Forest
384,Water,Water,Cropland,Non_Water,Non_Wetland,Forest
385,Water,Water,Cropland,Water,Non_Wetland,Grassland
386,Water,Water,Cropland,Water,Non_Wetland,Water
387,Water,Water,Cropland,Water,Non_Wetland,Forest
388,Water,Water,Wetland,NULL,Wetland,NULL
389,Water,Water,Wetland,NULL,Wetland,Grassland
390,Water,Water,Wetland,NULL,Wetland,Wetland
391,Water,Water,Wetland,NULL,Wetland,Bareland
392,Water,Water,Wetland,NULL,Wetland,Water
393,Water,Water,Wetland,NULL,Wetland,Forest
394,Water,Water,Wetland,Non_Water,Wetland,Grassland
395,Water,Water,Wetland,Non_Water,Wetland,Wetland
396,Water,Water,Wetland,Non_Water,Wetland,Bareland
397,Water,Water,Wetland,Non_Water,Wetland,Water
398,Water,Water,Wetland,Non_Water,Wetland,Forest
399,Water,Water,Wetland,Water,Wetland,Grassland
400,Water,Water,Wetland,Water,Wetland,Cropland
401,Water,Water,Wetland,Water,Wetland,Wetland
402,Water,Water,Wetland,Water,Wetland,Bareland
403,Water,Water,Wetland,Water,Wetland,Water
404,Water,Water,Wetland,Water,Wetland,Forest
405,Water,Water,Bareland,NULL,Non_Wetland,Grassland
406,Water,Water,Bareland,NULL,Non_Wetland,Water
407,Water,Water,Bareland,NULL,Non_Wetland,Forest
408,Water,Water,Bareland,Non_Water,Non_Wetland,Water
409,Water,Water,Bareland,Non_Water,Non_Wetland,Forest
410,Water,Water,Bareland,Water,Non_Wetland,Grassland
411,Water,Water,Bareland,Water,Non_Wetland,Water
412,Water,Water,Bareland,Water,Non_Wetland,Forest
413,Water,Water,Built-up,NULL,Non_Wetland,Grassland
414,Water,Water,Built-up,NULL,Non_Wetland,Wetland
415,Water,Water,Built-up,NULL,Non_Wetland,Bareland
416,Water,Water,Built-up,NULL,Non_Wetland,Water
417,Water,Water,Built-up,NULL,Non_Wetland,Forest
418,Water,Water,Built-up,Non_Water,Non_Wetland,Water
419,Water,Water,Built-up,Water,Non_Wetland,Bareland
420,Water,Water,Built-up,Water,Non_Wetland,Water
421,Water,Water,Water,NULL,Water,Grassland
422,Water,Water,Water,NULL,Water,Wetland
423,Water,Water,Water,NULL,Water,Bareland
424,Water,Water,Water,NULL,Water,Water
425,Water,Water,Water,NULL,Water,Forest
426,Water,Water,Water,Non_Water,Water,Grassland
427,Water,Water,Water,Non_Water,Water,Wetland
428,Water,Water,Water,Non_Water,Water,Bareland
429,Water,Water,Water,Non_Water,Water,Water
430,Water,Water,Water,Non_Water,Water,Forest
431,Water,Water,Water,Water,Water,Grassland
432,Water,Water,Water,Water,Water,Wetland
433,Water,Water,Water,Water,Water,Bareland
434,Water,Water,Water,Water,Water,Water
435,Water,Water,Water,Water,Water,Forest
436,Water,Water,Forest,NULL,Non_Wetland,NULL
437,Water,Water,Forest,NULL,Non_Wetland,Grassland
438,Water,Water,Forest,NULL,Non_Wetland,Wetland
439,Water,Water,Forest,NULL,Non_Wetland,Bareland
440,Water,Water,Forest,NULL,Non_Wetland,Water
441,Water,Water,Forest,NULL,Non_Wetland,Forest
442,Water,Water,Forest,Non_Water,Non_Wetland,Grassland
443,Water,Water,Forest,Non_Water,Non_Wetland,Wetland
444,Water,Water,Forest,Non_Water,Non_Wetland,Water
445,Water,Water,Forest,Non_Water,Non_Wetland,Forest
446,Water,Water,Forest,Water,Non_Wetland,NULL
447,Water,Water,Forest,Water,Non_Wetland,Grassland
448,Water,Water,Forest,Water,Non_Wetland,Wetland
449,Water,Water,Forest,Water,Non_Wetland,Bareland
