Value,AFRICA_2024_DynamicWorld_2024_38PLA_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38PLA_M_R,AFRICA_2024_GLC_FCS30D_2022_38PLA_M_R,AFRICA_2024_GSW_Yearly_2021_38PLA_M_R,AFRICA_2024_GWL_FCS30D_2022_38PLA_M_R,AFRICA_2024_WorldCover_2021_38PLA_M_R
120,NULL,NULL,Built-up,Water,Non_Wetland,Forest
121,NULL,NULL,Water,NULL,Water,NULL
122,NULL,NULL,Water,NULL,Water,Grassland
123,NULL,NULL,Water,NULL,Water,Water
124,NULL,NULL,Water,NULL,Water,Forest
125,NULL,NULL,Water,Water,Water,NULL
126,NULL,NULL,Water,Water,Water,Grassland
127,NULL,NULL,Water,Water,Water,Bareland
128,NULL,NULL,Water,Water,Water,Water
129,NULL,NULL,Water,Water,Water,Forest
130,NULL,NULL,Forest,NULL,Non_Wetland,NULL
131,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
132,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
133,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
134,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
135,NULL,NULL,Forest,NULL,Non_Wetland,Water
136,NULL,NULL,Forest,NULL,Non_Wetland,Forest
137,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
138,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
139,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
140,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
141,NULL,NULL,Forest,Water,Non_Wetland,NULL
142,NULL,NULL,Forest,Water,Non_Wetland,Grassland
143,NULL,NULL,Forest,Water,Non_Wetland,Cropland
144,NULL,NULL,Forest,Water,Non_Wetland,Forest
145,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
146,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
147,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
148,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
149,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
150,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
151,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
152,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
153,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
154,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
155,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
156,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
157,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
158,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
159,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Bareland
160,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
161,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
162,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
163,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
164,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
165,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
166,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
167,NULL,Cropland,Grassland,NULL,Non_Wetland,Water
168,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
169,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL
170,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
171,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
172,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Bareland
173,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Forest
174,NULL,Cropland,Grassland,Water,Non_Wetland,Cropland
175,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
176,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
177,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
178,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
179,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
180,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
181,NULL,Cropland,Cropland,NULL,Non_Wetland,Water
182,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
183,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL
184,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
185,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
186,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Wetland
187,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Bareland
188,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Forest
189,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
190,NULL,Cropland,Cropland,Water,Non_Wetland,Wetland
191,NULL,Cropland,Wetland,NULL,Wetland,NULL
192,NULL,Cropland,Wetland,NULL,Wetland,Cropland
193,NULL,Cropland,Wetland,NULL,Wetland,Wetland
194,NULL,Cropland,Wetland,NULL,Wetland,Bareland
195,NULL,Cropland,Wetland,NULL,Wetland,Forest
196,NULL,Cropland,Wetland,Non_Water,Wetland,Cropland
197,NULL,Cropland,Wetland,Non_Water,Wetland,Wetland
198,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
199,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
200,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
201,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
202,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
203,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
204,NULL,Cropland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL
205,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
206,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
207,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
208,NULL,Cropland,Bareland,NULL,Non_Wetland,Wetland
209,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
210,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
211,NULL,Cropland,Bareland,NULL,Non_Wetland,Water
212,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
213,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL
214,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
215,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
216,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
217,NULL,Cropland,Bareland,Water,Non_Wetland,Grassland
218,NULL,Cropland,Bareland,Water,Non_Wetland,Cropland
219,NULL,Cropland,Bareland,Water,Non_Wetland,Bareland
220,NULL,Cropland,Bareland,Water,Non_Wetland,Water
221,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
222,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
223,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
224,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
225,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
226,NULL,Cropland,Built-up,NULL,Non_Wetland,Water
227,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
228,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Bareland
229,NULL,Cropland,Built-up,Water,Non_Wetland,Cropland
230,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
231,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
232,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
233,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
234,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
235,NULL,Cropland,Forest,NULL,Non_Wetland,Water
236,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
237,NULL,Cropland,Forest,Non_Water,Non_Wetland,Cropland
238,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
239,NULL,Cropland,Forest,Water,Non_Wetland,NULL
240,NULL,Cropland,Forest,Water,Non_Wetland,Grassland
241,NULL,Cropland,Forest,Water,Non_Wetland,Cropland
242,NULL,Cropland,Forest,Water,Non_Wetland,Forest
243,NULL,Bareland,NULL,NULL,Non_Wetland,Grassland
244,NULL,Bareland,NULL,NULL,Non_Wetland,Cropland
245,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland
246,NULL,Bareland,NULL,NULL,Non_Wetland,Built-up
247,NULL,Bareland,NULL,NULL,Non_Wetland,Forest
248,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
249,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
250,NULL,Bareland,Shrubland,NULL,Non_Wetland,Cropland
251,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
252,NULL,Bareland,Shrubland,NULL,Non_Wetland,Built-up
253,NULL,Bareland,Shrubland,Water,Non_Wetland,Cropland
254,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
255,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
256,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
257,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
258,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
259,NULL,Bareland,Grassland,NULL,Non_Wetland,Forest
260,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
261,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
262,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
263,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
264,NULL,Bareland,Cropland,NULL,Non_Wetland,Built-up
265,NULL,Bareland,Cropland,NULL,Non_Wetland,Forest
266,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
267,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
268,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
269,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
270,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
271,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
272,NULL,Bareland,Bareland,NULL,Non_Wetland,Cropland
273,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
274,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
275,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
276,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Cropland
277,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
278,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
279,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL
280,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
281,NULL,Bareland,Built-up,NULL,Non_Wetland,Cropland
282,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
283,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
284,NULL,Bareland,Built-up,Water,Non_Wetland,Bareland
285,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
286,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
287,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
288,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
289,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
290,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
291,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
292,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
293,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
294,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
295,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
296,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
297,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
298,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
299,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
300,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
301,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
302,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
303,NULL,Built-up,Grassland,NULL,Non_Wetland,Water
304,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
305,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL
306,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
307,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
308,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
309,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
310,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
311,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
312,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
313,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL
314,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Cropland
315,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland
316,NULL,Built-up,Wetland,NULL,Wetland,Cropland
317,NULL,Built-up,Wetland,NULL,Wetland,Water
318,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
319,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
320,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
321,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
322,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
323,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Water
324,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
325,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
326,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
327,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
328,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
329,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
330,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
331,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
332,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
333,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Built-up
334,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
335,NULL,Built-up,Bareland,Water,Non_Wetland,Built-up
336,NULL,Built-up,Bareland,Water,Non_Wetland,Water
337,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
338,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
339,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
340,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
341,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
342,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
343,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
344,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
345,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
346,NULL,Built-up,Water,NULL,Water,NULL
347,NULL,Built-up,Water,Water,Water,Bareland
348,NULL,Built-up,Water,Water,Water,Water
349,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
350,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
351,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
352,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
353,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
354,NULL,Built-up,Forest,NULL,Non_Wetland,Water
355,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
356,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
357,NULL,Built-up,Forest,Water,Non_Wetland,NULL
358,NULL,Built-up,Forest,Water,Non_Wetland,Forest
359,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
360,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
361,NULL,Water,Shrubland,Non_Water,Non_Wetland,Cropland
362,NULL,Water,Shrubland,Water,Non_Wetland,Cropland
363,NULL,Water,Grassland,NULL,Non_Wetland,NULL
364,NULL,Water,Grassland,NULL,Non_Wetland,Cropland
365,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
366,NULL,Water,Grassland,NULL,Non_Wetland,Water
367,NULL,Water,Grassland,NULL,Non_Wetland,Forest
368,NULL,Water,Grassland,Non_Water,Non_Wetland,Cropland
369,NULL,Water,Grassland,Water,Non_Wetland,Cropland
370,NULL,Water,Grassland,Water,Non_Wetland,Bareland
371,NULL,Water,Grassland,Water,Non_Wetland,Water
372,NULL,Water,Cropland,NULL,Non_Wetland,NULL
373,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
374,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
375,NULL,Water,Cropland,NULL,Non_Wetland,Water
376,NULL,Water,Cropland,NULL,Non_Wetland,Forest
377,NULL,Water,Cropland,Non_Water,Non_Wetland,Grassland
378,NULL,Water,Cropland,Non_Water,Non_Wetland,Cropland
379,NULL,Water,Cropland,Non_Water,Non_Wetland,Wetland
380,NULL,Water,Cropland,Non_Water,Non_Wetland,Bareland
381,NULL,Water,Cropland,Water,Non_Wetland,Cropland
382,NULL,Water,Cropland,Water,Non_Wetland,Wetland
383,NULL,Water,Cropland,Water,Non_Wetland,Bareland
384,NULL,Water,Cropland,Water,Non_Wetland,Water
385,NULL,Water,Wetland,NULL,Wetland,NULL
386,NULL,Water,Wetland,NULL,Wetland,Bareland
387,NULL,Water,Wetland,NULL,Wetland,Water
388,NULL,Water,Wetland,Non_Water,Wetland,Cropland
389,NULL,Water,Wetland,Non_Water,Wetland,Wetland
390,NULL,Water,Wetland,Non_Water,Wetland,Water
391,NULL,Water,Wetland,Water,Wetland,Cropland
392,NULL,Water,Wetland,Water,Wetland,Wetland
393,NULL,Water,Wetland,Water,Wetland,Bareland
394,NULL,Water,Wetland,Water,Wetland,Water
395,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
396,NULL,Water,Bareland,NULL,Non_Wetland,NULL
397,NULL,Water,Bareland,NULL,Non_Wetland,Cropland
398,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
399,NULL,Water,Bareland,NULL,Non_Wetland,Water
400,NULL,Water,Bareland,Non_Water,Non_Wetland,Cropland
401,NULL,Water,Bareland,Non_Water,Non_Wetland,Wetland
402,NULL,Water,Bareland,Non_Water,Non_Wetland,Bareland
403,NULL,Water,Bareland,Non_Water,Non_Wetland,Water
404,NULL,Water,Bareland,Water,Non_Wetland,Cropland
405,NULL,Water,Bareland,Water,Non_Wetland,Wetland
406,NULL,Water,Bareland,Water,Non_Wetland,Water
407,NULL,Water,Water,Water,Water,Bareland
408,NULL,Water,Water,Water,Water,Water
409,NULL,Forest,NULL,NULL,Non_Wetland,NULL
410,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
411,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
412,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
413,NULL,Forest,NULL,NULL,Non_Wetland,Water
414,NULL,Forest,NULL,NULL,Non_Wetland,Forest
415,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
416,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
417,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
418,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
419,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
420,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Cropland
421,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
422,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
423,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
424,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
