Value,AFRICA_2024_DynamicWorld_2024_36NWP_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NWP_M_R,AFRICA_2024_GLC_FCS30D_2022_36NWP_M_R,AFRICA_2024_GSW_Yearly_2021_36NWP_M_R,AFRICA_2024_GWL_FCS30D_2022_36NWP_M_R,AFRICA_2024_WorldCover_2021_36NWP_M_R
120,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
121,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
122,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
123,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
124,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
125,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
126,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland
127,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
128,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
129,NULL,Built-up,Forest,NULL,Non_Wetland,Water
130,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
131,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
132,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
133,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
134,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
135,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
136,NULL,Water,Wetland,NULL,Wetland,Forest
137,NULL,Water,Wetland,Water,Wetland,Forest
138,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
139,NULL,Water,Bareland,NULL,Non_Wetland,Forest
140,NULL,Water,Bareland,Water,Non_Wetland,Grassland
141,NULL,Water,Forest,NULL,Non_Wetland,Forest
142,NULL,Water,Forest,Water,Non_Wetland,Grassland
143,NULL,Forest,NULL,NULL,Non_Wetland,NULL
144,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
145,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
146,NULL,Forest,NULL,NULL,Non_Wetland,Forest
147,NULL,Forest,NULL,Non_Water,Non_Wetland,Grassland
148,NULL,Forest,NULL,Non_Water,Non_Wetland,Wetland
149,NULL,Forest,NULL,Water,Non_Wetland,Grassland
150,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
151,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
152,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
153,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
154,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
155,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
156,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
157,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
158,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
159,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
160,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
161,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
162,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
163,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
164,NULL,Forest,Wetland,NULL,Wetland,Grassland
165,NULL,Forest,Wetland,NULL,Wetland,Wetland
166,NULL,Forest,Wetland,NULL,Wetland,Forest
167,NULL,Forest,Wetland,Water,Wetland,Forest
168,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
169,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland
170,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
171,NULL,Forest,Forest,NULL,Non_Wetland,NULL
172,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
173,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
174,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
175,NULL,Forest,Forest,NULL,Non_Wetland,Forest
176,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
177,NULL,Forest,Forest,Non_Water,Non_Wetland,Wetland
178,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
179,NULL,Forest,Forest,Water,Non_Wetland,Grassland
180,NULL,Forest,Forest,Water,Non_Wetland,Wetland
181,NULL,Forest,Forest,Water,Non_Wetland,Forest
182,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
183,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
184,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
185,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
186,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
187,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland
188,Grassland,NULL,NULL,Non_Water,Non_Wetland,Forest
189,Grassland,NULL,NULL,Water,Non_Wetland,Grassland
190,Grassland,NULL,NULL,Water,Non_Wetland,Wetland
191,Grassland,NULL,NULL,Water,Non_Wetland,Water
192,Grassland,NULL,NULL,Water,Non_Wetland,Forest
193,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
194,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
195,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
196,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
197,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
198,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
199,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
200,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
201,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
202,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
203,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
204,Grassland,NULL,Shrubland,Water,Non_Wetland,Water
205,Grassland,NULL,Shrubland,Water,Non_Wetland,Forest
206,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
207,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
208,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
209,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
210,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
211,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
212,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
213,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
214,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland
215,Grassland,NULL,Wetland,NULL,Wetland,Grassland
216,Grassland,NULL,Wetland,NULL,Wetland,Wetland
217,Grassland,NULL,Wetland,NULL,Wetland,Forest
218,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
219,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
220,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
221,Grassland,NULL,Wetland,Water,Wetland,Grassland
222,Grassland,NULL,Wetland,Water,Wetland,Wetland
223,Grassland,NULL,Wetland,Water,Wetland,Water
224,Grassland,NULL,Wetland,Water,Wetland,Forest
225,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
226,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
227,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
228,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
229,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
230,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
231,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Forest
232,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland
233,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland
234,Grassland,NULL,Bareland,Water,Non_Wetland,Forest
235,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
236,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland
237,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
238,Grassland,NULL,Built-up,Water,Non_Wetland,Wetland
239,Grassland,NULL,Water,NULL,Water,Grassland
240,Grassland,NULL,Water,NULL,Water,Wetland
241,Grassland,NULL,Water,Non_Water,Water,Wetland
242,Grassland,NULL,Water,Water,Water,Grassland
243,Grassland,NULL,Water,Water,Water,Wetland
244,Grassland,NULL,Water,Water,Water,Water
245,Grassland,NULL,Water,Water,Water,Forest
246,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
247,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
248,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
249,Grassland,NULL,Forest,NULL,Non_Wetland,Water
250,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
251,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
252,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
253,Grassland,NULL,Forest,Non_Water,Non_Wetland,Water
254,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
255,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
256,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
257,Grassland,NULL,Forest,Water,Non_Wetland,Water
258,Grassland,NULL,Forest,Water,Non_Wetland,Forest
259,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
260,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland
261,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
262,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
263,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
264,Grassland,Cropland,Shrubland,Water,Non_Wetland,Wetland
265,Grassland,Cropland,Shrubland,Water,Non_Wetland,Forest
266,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
267,Grassland,Cropland,Wetland,NULL,Wetland,Wetland
268,Grassland,Cropland,Wetland,Non_Water,Wetland,Wetland
269,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland
270,Grassland,Cropland,Bareland,NULL,Non_Wetland,Wetland
271,Grassland,Cropland,Bareland,NULL,Non_Wetland,Forest
272,Grassland,Cropland,Bareland,Non_Water,Non_Wetland,Wetland
273,Grassland,Cropland,Water,Non_Water,Water,Wetland
274,Grassland,Cropland,Water,Water,Water,Wetland
275,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
276,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
277,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
278,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Wetland
279,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland
280,Grassland,Wetland,NULL,NULL,Non_Wetland,Wetland
281,Grassland,Wetland,NULL,NULL,Non_Wetland,Forest
282,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Wetland
283,Grassland,Wetland,NULL,Water,Non_Wetland,Wetland
284,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
285,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
286,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Forest
287,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
288,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
289,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
290,Grassland,Wetland,Shrubland,Water,Non_Wetland,Grassland
291,Grassland,Wetland,Shrubland,Water,Non_Wetland,Wetland
292,Grassland,Wetland,Shrubland,Water,Non_Wetland,Water
293,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland
294,Grassland,Wetland,Cropland,NULL,Non_Wetland,Wetland
295,Grassland,Wetland,Wetland,NULL,Wetland,Grassland
296,Grassland,Wetland,Wetland,NULL,Wetland,Wetland
297,Grassland,Wetland,Wetland,NULL,Wetland,Forest
298,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland
299,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland
300,Grassland,Wetland,Wetland,Non_Water,Wetland,Forest
301,Grassland,Wetland,Wetland,Water,Wetland,Grassland
302,Grassland,Wetland,Wetland,Water,Wetland,Wetland
303,Grassland,Wetland,Wetland,Water,Wetland,Water
304,Grassland,Wetland,Wetland,Water,Wetland,Forest
305,Grassland,Wetland,Bareland,NULL,Non_Wetland,Grassland
306,Grassland,Wetland,Bareland,NULL,Non_Wetland,Wetland
307,Grassland,Wetland,Bareland,NULL,Non_Wetland,Forest
308,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
309,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Forest
310,Grassland,Wetland,Bareland,Water,Non_Wetland,Wetland
311,Grassland,Wetland,Built-up,NULL,Non_Wetland,Forest
312,Grassland,Wetland,Built-up,Non_Water,Non_Wetland,Grassland
313,Grassland,Wetland,Water,NULL,Water,Wetland
314,Grassland,Wetland,Water,Non_Water,Water,Wetland
315,Grassland,Wetland,Water,Water,Water,Wetland
316,Grassland,Wetland,Water,Water,Water,Water
317,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland
318,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland
319,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest
320,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Grassland
321,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland
322,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Forest
323,Grassland,Wetland,Forest,Water,Non_Wetland,Grassland
324,Grassland,Wetland,Forest,Water,Non_Wetland,Wetland
325,Grassland,Wetland,Forest,Water,Non_Wetland,Forest
326,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
327,Grassland,Water,NULL,NULL,Non_Wetland,Grassland
328,Grassland,Water,NULL,NULL,Non_Wetland,Wetland
329,Grassland,Water,NULL,Water,Non_Wetland,Wetland
330,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland
331,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland
332,Grassland,Water,Shrubland,NULL,Non_Wetland,Forest
333,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Grassland
334,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Wetland
335,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Forest
336,Grassland,Water,Shrubland,Water,Non_Wetland,Grassland
337,Grassland,Water,Shrubland,Water,Non_Wetland,Wetland
338,Grassland,Water,Shrubland,Water,Non_Wetland,Forest
339,Grassland,Water,Cropland,NULL,Non_Wetland,Wetland
340,Grassland,Water,Cropland,Water,Non_Wetland,Wetland
341,Grassland,Water,Wetland,NULL,Wetland,Grassland
342,Grassland,Water,Wetland,NULL,Wetland,Wetland
343,Grassland,Water,Wetland,NULL,Wetland,Forest
344,Grassland,Water,Wetland,Non_Water,Wetland,Wetland
345,Grassland,Water,Wetland,Non_Water,Wetland,Forest
346,Grassland,Water,Wetland,Water,Wetland,Grassland
347,Grassland,Water,Wetland,Water,Wetland,Wetland
348,Grassland,Water,Wetland,Water,Wetland,Forest
349,Grassland,Water,Bareland,NULL,Non_Wetland,Wetland
350,Grassland,Water,Bareland,Non_Water,Non_Wetland,Wetland
351,Grassland,Water,Bareland,Water,Non_Wetland,Wetland
352,Grassland,Water,Water,NULL,Water,Wetland
353,Grassland,Water,Water,NULL,Water,Forest
354,Grassland,Water,Water,Non_Water,Water,Grassland
355,Grassland,Water,Water,Non_Water,Water,Wetland
356,Grassland,Water,Water,Water,Water,Wetland
357,Grassland,Water,Water,Water,Water,Water
358,Grassland,Water,Water,Water,Water,Forest
359,Grassland,Water,Forest,NULL,Non_Wetland,Grassland
360,Grassland,Water,Forest,NULL,Non_Wetland,Wetland
361,Grassland,Water,Forest,NULL,Non_Wetland,Forest
362,Grassland,Water,Forest,Non_Water,Non_Wetland,Wetland
363,Grassland,Water,Forest,Non_Water,Non_Wetland,Forest
364,Grassland,Water,Forest,Water,Non_Wetland,Grassland
365,Grassland,Water,Forest,Water,Non_Wetland,Wetland
366,Grassland,Water,Forest,Water,Non_Wetland,Forest
367,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
368,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
369,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland
370,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
371,Grassland,Forest,NULL,Non_Water,Non_Wetland,Grassland
372,Grassland,Forest,NULL,Non_Water,Non_Wetland,Wetland
373,Grassland,Forest,NULL,Non_Water,Non_Wetland,Forest
374,Grassland,Forest,NULL,Water,Non_Wetland,Grassland
375,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
376,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
377,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland
378,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
379,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
380,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
381,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Forest
382,Grassland,Forest,Shrubland,Water,Non_Wetland,Grassland
383,Grassland,Forest,Shrubland,Water,Non_Wetland,Wetland
384,Grassland,Forest,Shrubland,Water,Non_Wetland,Forest
385,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
386,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland
387,Grassland,Forest,Cropland,Non_Water,Non_Wetland,Wetland
388,Grassland,Forest,Wetland,NULL,Wetland,NULL
389,Grassland,Forest,Wetland,NULL,Wetland,Grassland
390,Grassland,Forest,Wetland,NULL,Wetland,Wetland
391,Grassland,Forest,Wetland,NULL,Wetland,Forest
392,Grassland,Forest,Wetland,Non_Water,Wetland,Grassland
393,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland
394,Grassland,Forest,Wetland,Non_Water,Wetland,Forest
395,Grassland,Forest,Wetland,Water,Wetland,Grassland
396,Grassland,Forest,Wetland,Water,Wetland,Wetland
397,Grassland,Forest,Wetland,Water,Wetland,Forest
398,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL
399,Grassland,Forest,Bareland,NULL,Non_Wetland,Grassland
400,Grassland,Forest,Bareland,NULL,Non_Wetland,Wetland
401,Grassland,Forest,Bareland,NULL,Non_Wetland,Forest
402,Grassland,Forest,Bareland,Non_Water,Non_Wetland,Grassland
403,Grassland,Forest,Bareland,Non_Water,Non_Wetland,Wetland
404,Grassland,Forest,Bareland,Non_Water,Non_Wetland,Forest
405,Grassland,Forest,Bareland,Water,Non_Wetland,Grassland
406,Grassland,Forest,Bareland,Water,Non_Wetland,Wetland
407,Grassland,Forest,Bareland,Water,Non_Wetland,Forest
408,Grassland,Forest,Built-up,NULL,Non_Wetland,Grassland
409,Grassland,Forest,Built-up,NULL,Non_Wetland,Forest
410,Grassland,Forest,Water,NULL,Water,Wetland
411,Grassland,Forest,Water,NULL,Water,Forest
412,Grassland,Forest,Water,Non_Water,Water,Wetland
413,Grassland,Forest,Water,Water,Water,Wetland
414,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
415,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
416,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
417,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
418,Grassland,Forest,Forest,Non_Water,Non_Wetland,Grassland
419,Grassland,Forest,Forest,Non_Water,Non_Wetland,Wetland
420,Grassland,Forest,Forest,Non_Water,Non_Wetland,Forest
421,Grassland,Forest,Forest,Water,Non_Wetland,Grassland
422,Grassland,Forest,Forest,Water,Non_Wetland,Wetland
423,Grassland,Forest,Forest,Water,Non_Wetland,Forest
424,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
425,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland
426,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
427,Cropland,NULL,NULL,Non_Water,Non_Wetland,Wetland
428,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
429,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
