Value,AFRICA_2024_DynamicWorld_2024_37PBS_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PBS_M_R,AFRICA_2024_GLC_FCS30D_2022_37PBS_M_R,AFRICA_2024_GSW_Yearly_2021_37PBS_M_R,AFRICA_2024_GWL_FCS30D_2022_37PBS_M_R,AFRICA_2024_WorldCover_2021_37PBS_M_R
117,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
118,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
119,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
120,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
121,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
122,NULL,Cropland,Bareland,Water,Non_Wetland,Water
123,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
124,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
125,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
126,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
127,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
128,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
129,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
130,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
131,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL
132,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
133,NULL,Bareland,NULL,NULL,Non_Wetland,Grassland
134,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland
135,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
136,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
137,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
138,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
139,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
140,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
141,NULL,Bareland,Cropland,NULL,Non_Wetland,Forest
142,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
143,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
144,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
145,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
146,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
147,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
148,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
149,NULL,Built-up,NULL,Non_Water,Non_Wetland,Grassland
150,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
151,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
152,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
153,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
154,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
155,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
156,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
157,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
158,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
159,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
160,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
161,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
162,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
163,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
164,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
165,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
166,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
167,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
168,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
169,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
170,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
171,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
172,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
173,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
174,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
175,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
176,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
177,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
178,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
179,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
180,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
181,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
182,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
183,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
184,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
185,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
186,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
187,NULL,Water,NULL,NULL,Non_Wetland,Forest
188,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
189,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
190,NULL,Water,Grassland,Non_Water,Non_Wetland,Grassland
191,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
192,NULL,Water,Cropland,Water,Non_Wetland,Grassland
193,NULL,Water,Wetland,Water,Wetland,Water
194,NULL,Water,Bareland,NULL,Non_Wetland,Cropland
195,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
196,NULL,Water,Bareland,NULL,Non_Wetland,Forest
197,NULL,Water,Bareland,Water,Non_Wetland,Water
198,NULL,Water,Forest,Water,Non_Wetland,Water
199,NULL,Forest,NULL,NULL,Non_Wetland,NULL
200,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
201,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
202,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
203,NULL,Forest,NULL,NULL,Non_Wetland,Forest
204,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL
205,NULL,Forest,NULL,Non_Water,Non_Wetland,Grassland
206,NULL,Forest,NULL,Non_Water,Non_Wetland,Forest
207,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
208,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
209,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
210,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
211,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
212,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
213,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
214,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
215,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
216,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
217,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
218,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
219,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL
220,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland
221,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
222,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
223,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
224,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
225,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
226,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL
227,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland
228,NULL,Forest,Cropland,Non_Water,Non_Wetland,Forest
229,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
230,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
231,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
232,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
233,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
234,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
235,NULL,Forest,Forest,NULL,Non_Wetland,NULL
236,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
237,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
238,NULL,Forest,Forest,NULL,Non_Wetland,Forest
239,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
240,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
241,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
242,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
243,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
244,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
245,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
246,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
247,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
248,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
249,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
250,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
251,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
252,Grassland,Cropland,Cropland,Water,Non_Wetland,Water
253,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Cropland
254,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
255,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
256,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
257,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
258,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
259,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL
260,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland
261,Cropland,NULL,NULL,Non_Water,Non_Wetland,Cropland
262,Cropland,NULL,NULL,Non_Water,Non_Wetland,Forest
263,Cropland,NULL,NULL,Water,Non_Wetland,Cropland
264,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
265,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
266,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
267,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
268,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
269,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
270,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
271,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
272,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
273,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
274,Cropland,NULL,Shrubland,Water,Non_Wetland,Cropland
275,Cropland,NULL,Shrubland,Water,Non_Wetland,Bareland
276,Cropland,NULL,Shrubland,Water,Non_Wetland,Water
277,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
278,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
279,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
280,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
281,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
282,Cropland,NULL,Grassland,NULL,Non_Wetland,Water
283,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
284,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL
285,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
286,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
287,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
288,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Water
289,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Forest
290,Cropland,NULL,Grassland,Water,Non_Wetland,NULL
291,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
292,Cropland,NULL,Grassland,Water,Non_Wetland,Cropland
293,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
294,Cropland,NULL,Grassland,Water,Non_Wetland,Water
295,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
296,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
297,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
298,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
299,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
300,Cropland,NULL,Cropland,NULL,Non_Wetland,Water
301,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
302,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL
303,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
304,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
305,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Water
306,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Forest
307,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
308,Cropland,NULL,Cropland,Water,Non_Wetland,Cropland
309,Cropland,NULL,Cropland,Water,Non_Wetland,Wetland
310,Cropland,NULL,Cropland,Water,Non_Wetland,Bareland
311,Cropland,NULL,Cropland,Water,Non_Wetland,Water
312,Cropland,NULL,Wetland,NULL,Wetland,Cropland
313,Cropland,NULL,Wetland,NULL,Wetland,Bareland
314,Cropland,NULL,Wetland,Non_Water,Wetland,Cropland
315,Cropland,NULL,Wetland,Non_Water,Wetland,Forest
316,Cropland,NULL,Wetland,Water,Wetland,Grassland
317,Cropland,NULL,Wetland,Water,Wetland,Cropland
318,Cropland,NULL,Wetland,Water,Wetland,Bareland
319,Cropland,NULL,Wetland,Water,Wetland,Water
320,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
321,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
322,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
323,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
324,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
325,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
326,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
327,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
328,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
329,Cropland,NULL,Bareland,NULL,Non_Wetland,Built-up
330,Cropland,NULL,Bareland,NULL,Non_Wetland,Water
331,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
332,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
333,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Cropland
334,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
335,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland
336,Cropland,NULL,Bareland,Water,Non_Wetland,Cropland
337,Cropland,NULL,Bareland,Water,Non_Wetland,Wetland
338,Cropland,NULL,Bareland,Water,Non_Wetland,Bareland
339,Cropland,NULL,Bareland,Water,Non_Wetland,Water
340,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
341,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
342,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
343,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
344,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
345,Cropland,NULL,Built-up,NULL,Non_Wetland,Water
346,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
347,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
348,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Cropland
349,Cropland,NULL,Built-up,Water,Non_Wetland,Water
350,Cropland,NULL,Water,NULL,Water,Grassland
351,Cropland,NULL,Water,NULL,Water,Cropland
352,Cropland,NULL,Water,Non_Water,Water,Grassland
353,Cropland,NULL,Water,Non_Water,Water,Forest
354,Cropland,NULL,Water,Water,Water,Water
355,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
356,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
357,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
358,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
359,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL
360,Cropland,NULL,Forest,Non_Water,Non_Wetland,Grassland
361,Cropland,NULL,Forest,Non_Water,Non_Wetland,Cropland
362,Cropland,NULL,Forest,Non_Water,Non_Wetland,Forest
363,Cropland,NULL,Forest,Water,Non_Wetland,Grassland
364,Cropland,NULL,Forest,Water,Non_Wetland,Cropland
365,Cropland,NULL,Forest,Water,Non_Wetland,Wetland
366,Cropland,NULL,Forest,Water,Non_Wetland,Water
367,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
368,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
369,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
370,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland
371,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
372,Cropland,Cropland,NULL,Non_Water,Non_Wetland,NULL
373,Cropland,Cropland,NULL,Non_Water,Non_Wetland,Grassland
374,Cropland,Cropland,NULL,Non_Water,Non_Wetland,Cropland
375,Cropland,Cropland,NULL,Non_Water,Non_Wetland,Forest
376,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
377,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
378,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
379,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
380,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
381,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
382,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
383,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Water
384,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
385,Cropland,Cropland,Shrubland,Water,Non_Wetland,Cropland
386,Cropland,Cropland,Shrubland,Water,Non_Wetland,Water
387,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
388,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
389,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
390,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
391,Cropland,Cropland,Grassland,NULL,Non_Wetland,Built-up
392,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
393,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
394,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
395,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Bareland
396,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Water
397,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Forest
398,Cropland,Cropland,Grassland,Water,Non_Wetland,Grassland
399,Cropland,Cropland,Grassland,Water,Non_Wetland,Cropland
400,Cropland,Cropland,Grassland,Water,Non_Wetland,Wetland
401,Cropland,Cropland,Grassland,Water,Non_Wetland,Water
402,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
403,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
404,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
405,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland
406,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up
407,Cropland,Cropland,Cropland,NULL,Non_Wetland,Water
408,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
409,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL
410,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
411,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
412,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Bareland
413,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Water
414,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Forest
