Value,AFRICA_2024_DynamicWorld_2024_36NWK_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NWK_M_R,AFRICA_2024_GLC_FCS30D_2022_36NWK_M_R,AFRICA_2024_GSW_Yearly_2021_36NWK_M_R,AFRICA_2024_GWL_FCS30D_2022_36NWK_M_R,AFRICA_2024_WorldCover_2021_36NWK_M_R
120,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
121,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
122,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
123,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
124,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
125,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
126,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
127,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
128,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
129,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
130,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
131,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
132,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
133,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
134,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
135,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
136,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
137,NULL,Water,NULL,NULL,Non_Wetland,Bareland
138,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
139,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
140,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
141,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
142,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
143,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
144,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
145,NULL,Water,Forest,NULL,Non_Wetland,Bareland
146,NULL,Forest,NULL,NULL,Non_Wetland,NULL
147,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
148,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
149,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
150,NULL,Forest,NULL,NULL,Non_Wetland,Forest
151,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
152,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
153,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
154,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
155,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
156,NULL,Forest,Shrubland,NULL,Non_Wetland,Water
157,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
158,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
159,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
160,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
161,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
162,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
163,NULL,Forest,Grassland,NULL,Non_Wetland,Water
164,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
165,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
166,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
167,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
168,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
169,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
170,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
171,NULL,Forest,Wetland,NULL,Wetland,Forest
172,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
173,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
174,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
175,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
176,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
177,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
178,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
179,NULL,Forest,Forest,NULL,Non_Wetland,NULL
180,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
181,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
182,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
183,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
184,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
185,NULL,Forest,Forest,NULL,Non_Wetland,Forest
186,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
187,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
188,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
189,Grassland,NULL,NULL,NULL,Non_Wetland,Built-up
190,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
191,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
192,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
193,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
194,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
195,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
196,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
197,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
198,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
199,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
200,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
201,Grassland,NULL,Shrubland,Water,Non_Wetland,Bareland
202,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
203,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
204,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland
205,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up
206,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
207,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
208,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland
209,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
210,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
211,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
212,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
213,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland
214,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up
215,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
216,Grassland,NULL,Wetland,NULL,Wetland,Grassland
217,Grassland,NULL,Wetland,NULL,Wetland,Wetland
218,Grassland,NULL,Wetland,NULL,Wetland,Forest
219,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
220,Grassland,NULL,Bareland,NULL,Non_Wetland,Cropland
221,Grassland,NULL,Bareland,NULL,Non_Wetland,Built-up
222,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland
223,Grassland,NULL,Bareland,Water,Non_Wetland,Bareland
224,Grassland,NULL,Bareland,Water,Non_Wetland,Forest
225,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL
226,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
227,Grassland,NULL,Built-up,NULL,Non_Wetland,Cropland
228,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up
229,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
230,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
231,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
232,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
233,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland
234,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up
235,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
236,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL
237,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
238,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
239,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest
240,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
241,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
242,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
243,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
244,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
245,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
246,Grassland,Cropland,Grassland,NULL,Non_Wetland,Built-up
247,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
248,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
249,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
250,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland
251,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up
252,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest
253,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland
254,Grassland,Cropland,Built-up,NULL,Non_Wetland,Cropland
255,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
256,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
257,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
258,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
259,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
260,Grassland,Built-up,NULL,NULL,Non_Wetland,Cropland
261,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL
262,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
263,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland
264,Grassland,Built-up,Cropland,NULL,Non_Wetland,Cropland
265,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL
266,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland
267,Grassland,Built-up,Forest,NULL,Non_Wetland,Cropland
268,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
269,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
270,Grassland,Forest,NULL,NULL,Non_Wetland,Cropland
271,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland
272,Grassland,Forest,NULL,NULL,Non_Wetland,Built-up
273,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
274,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
275,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
276,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland
277,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland
278,Grassland,Forest,Shrubland,NULL,Non_Wetland,Built-up
279,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
280,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
281,Grassland,Forest,Grassland,NULL,Non_Wetland,Bareland
282,Grassland,Forest,Grassland,NULL,Non_Wetland,Built-up
283,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
284,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
285,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland
286,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland
287,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
288,Grassland,Forest,Wetland,NULL,Wetland,NULL
289,Grassland,Forest,Wetland,NULL,Wetland,Grassland
290,Grassland,Forest,Wetland,NULL,Wetland,Forest
291,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
292,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
293,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland
294,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
295,Grassland,Forest,Forest,NULL,Non_Wetland,Built-up
296,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
297,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
298,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
299,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
300,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
301,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up
302,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
303,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland
304,Cropland,NULL,NULL,Water,Non_Wetland,Bareland
305,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
306,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
307,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
308,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
309,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
310,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water
311,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
312,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
313,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
314,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
315,Cropland,NULL,Shrubland,Water,Non_Wetland,Bareland
316,Cropland,NULL,Shrubland,Water,Non_Wetland,Water
317,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
318,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
319,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
320,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
321,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
322,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
323,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
324,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
325,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
326,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
327,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
328,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
329,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
330,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
331,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
332,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
333,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Bareland
334,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
335,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
336,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Cropland
337,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
338,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
339,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
340,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
341,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
342,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
343,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Bareland
344,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
345,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
346,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
347,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland
348,Cropland,NULL,Forest,NULL,Non_Wetland,Built-up
349,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
350,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
351,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
352,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
353,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland
354,Cropland,Cropland,NULL,NULL,Non_Wetland,Built-up
355,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
356,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
357,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
358,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
359,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
360,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
361,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
362,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
363,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
364,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
365,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
366,Cropland,Cropland,Grassland,NULL,Non_Wetland,Built-up
367,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
368,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
369,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
370,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up
371,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
372,Cropland,Cropland,Wetland,NULL,Wetland,Grassland
373,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
374,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland
375,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland
376,Cropland,Cropland,Built-up,NULL,Non_Wetland,Built-up
377,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
378,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
379,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland
380,Cropland,Cropland,Forest,NULL,Non_Wetland,Built-up
381,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
382,Cropland,Bareland,NULL,NULL,Non_Wetland,Bareland
383,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
384,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
385,Cropland,Bareland,Grassland,NULL,Non_Wetland,Grassland
386,Cropland,Bareland,Grassland,NULL,Non_Wetland,Bareland
387,Cropland,Bareland,Cropland,NULL,Non_Wetland,Bareland
388,Cropland,Bareland,Bareland,NULL,Non_Wetland,Bareland
389,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL
390,Cropland,Built-up,NULL,NULL,Non_Wetland,Grassland
391,Cropland,Built-up,NULL,NULL,Non_Wetland,Cropland
392,Cropland,Built-up,NULL,NULL,Non_Wetland,Built-up
393,Cropland,Built-up,NULL,NULL,Non_Wetland,Forest
394,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL
395,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
396,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Cropland
397,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Bareland
398,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Built-up
399,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
400,Cropland,Built-up,Grassland,NULL,Non_Wetland,Cropland
401,Cropland,Built-up,Grassland,NULL,Non_Wetland,Built-up
402,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL
403,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland
404,Cropland,Built-up,Cropland,NULL,Non_Wetland,Cropland
405,Cropland,Built-up,Cropland,NULL,Non_Wetland,Built-up
406,Cropland,Built-up,Cropland,NULL,Non_Wetland,Forest
407,Cropland,Built-up,Built-up,NULL,Non_Wetland,Grassland
408,Cropland,Built-up,Built-up,NULL,Non_Wetland,Built-up
409,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL
410,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland
411,Cropland,Built-up,Forest,NULL,Non_Wetland,Cropland
412,Cropland,Built-up,Forest,NULL,Non_Wetland,Forest
413,Cropland,Water,NULL,NULL,Non_Wetland,Grassland
414,Cropland,Water,NULL,NULL,Non_Wetland,Bareland
415,Cropland,Water,Shrubland,NULL,Non_Wetland,Grassland
416,Cropland,Water,Shrubland,NULL,Non_Wetland,Bareland
417,Cropland,Water,Grassland,NULL,Non_Wetland,Grassland
418,Cropland,Water,Grassland,NULL,Non_Wetland,Cropland
