Value,AFRICA_2024_DynamicWorld_2024_35NNH_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NNH_M_R,AFRICA_2024_GLC_FCS30D_2022_35NNH_M_R,AFRICA_2024_GSW_Yearly_2021_35NNH_M_R,AFRICA_2024_GWL_FCS30D_2022_35NNH_M_R,AFRICA_2024_WorldCover_2021_35NNH_M_R
122,NULL,Forest,NULL,Non_Water,Non_Wetland,Grassland
123,NULL,Forest,NULL,Non_Water,Non_Wetland,Forest
124,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
125,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
126,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
127,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
128,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
129,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
130,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
131,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
132,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
133,NULL,Forest,Shrubland,Water,Non_Wetland,NULL
134,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
135,NULL,Forest,Shrubland,Water,Non_Wetland,Wetland
136,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
137,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
138,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
139,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
140,NULL,Forest,Wetland,NULL,Wetland,NULL
141,NULL,Forest,Wetland,NULL,Wetland,Grassland
142,NULL,Forest,Wetland,NULL,Wetland,Forest
143,NULL,Forest,Wetland,Non_Water,Wetland,NULL
144,NULL,Forest,Wetland,Non_Water,Wetland,Forest
145,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
146,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
147,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
148,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland
149,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
150,NULL,Forest,Water,NULL,Water,NULL
151,NULL,Forest,Forest,NULL,Non_Wetland,NULL
152,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
153,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
154,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
155,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
156,NULL,Forest,Forest,NULL,Non_Wetland,Forest
157,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
158,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
159,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
160,NULL,Forest,Forest,Water,Non_Wetland,NULL
161,NULL,Forest,Forest,Water,Non_Wetland,Grassland
162,NULL,Forest,Forest,Water,Non_Wetland,Forest
163,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
164,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
165,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
166,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
167,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
168,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
169,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
170,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
171,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
172,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
173,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
174,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
175,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
176,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
177,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
178,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL
179,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
180,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
181,Grassland,NULL,Forest,Water,Non_Wetland,NULL
182,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Forest
183,Grassland,Water,Wetland,Water,Wetland,Grassland
184,Grassland,Water,Forest,Non_Water,Non_Wetland,Forest
185,Grassland,Water,Forest,Water,Non_Wetland,Forest
186,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
187,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
188,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
189,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
190,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
191,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
192,Grassland,Forest,Forest,Non_Water,Non_Wetland,Grassland
193,Grassland,Forest,Forest,Non_Water,Non_Wetland,Forest
194,Grassland,Forest,Forest,Water,Non_Wetland,NULL
195,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
196,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
197,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
198,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
199,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
200,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
201,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
202,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
203,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
204,Cropland,NULL,Wetland,NULL,Wetland,Grassland
205,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
206,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
207,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
208,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
209,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
210,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
211,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
212,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
213,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
214,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
215,Wetland,NULL,NULL,NULL,Non_Wetland,Forest
216,Wetland,NULL,NULL,Non_Water,Non_Wetland,Forest
217,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL
218,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
219,Wetland,NULL,Shrubland,NULL,Non_Wetland,Forest
220,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
221,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
222,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
223,Wetland,NULL,Shrubland,Water,Non_Wetland,Grassland
224,Wetland,NULL,Wetland,NULL,Wetland,NULL
225,Wetland,NULL,Wetland,NULL,Wetland,Grassland
226,Wetland,NULL,Wetland,NULL,Wetland,Forest
227,Wetland,NULL,Wetland,Non_Water,Wetland,NULL
228,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland
229,Wetland,NULL,Wetland,Non_Water,Wetland,Forest
230,Wetland,NULL,Wetland,Water,Wetland,Grassland
231,Wetland,NULL,Wetland,Water,Wetland,Forest
232,Wetland,NULL,Water,NULL,Water,Grassland
233,Wetland,NULL,Forest,NULL,Non_Wetland,NULL
234,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland
235,Wetland,NULL,Forest,NULL,Non_Wetland,Forest
236,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL
237,Wetland,NULL,Forest,Non_Water,Non_Wetland,Grassland
238,Wetland,NULL,Forest,Non_Water,Non_Wetland,Forest
239,Wetland,Water,NULL,Non_Water,Non_Wetland,Grassland
240,Wetland,Water,Shrubland,NULL,Non_Wetland,NULL
241,Wetland,Water,Shrubland,NULL,Non_Wetland,Grassland
242,Wetland,Water,Shrubland,NULL,Non_Wetland,Forest
243,Wetland,Water,Shrubland,Non_Water,Non_Wetland,NULL
244,Wetland,Water,Shrubland,Non_Water,Non_Wetland,Grassland
245,Wetland,Water,Shrubland,Non_Water,Non_Wetland,Wetland
246,Wetland,Water,Shrubland,Non_Water,Non_Wetland,Forest
247,Wetland,Water,Shrubland,Water,Non_Wetland,Grassland
248,Wetland,Water,Shrubland,Water,Non_Wetland,Bareland
249,Wetland,Water,Shrubland,Water,Non_Wetland,Forest
250,Wetland,Water,Wetland,NULL,Wetland,NULL
251,Wetland,Water,Wetland,NULL,Wetland,Grassland
252,Wetland,Water,Wetland,NULL,Wetland,Forest
253,Wetland,Water,Wetland,Non_Water,Wetland,NULL
254,Wetland,Water,Wetland,Non_Water,Wetland,Grassland
255,Wetland,Water,Wetland,Non_Water,Wetland,Wetland
256,Wetland,Water,Wetland,Non_Water,Wetland,Forest
257,Wetland,Water,Wetland,Water,Wetland,Grassland
258,Wetland,Water,Water,Non_Water,Water,Forest
259,Wetland,Water,Water,Water,Water,Grassland
260,Wetland,Water,Water,Water,Water,Wetland
261,Wetland,Water,Water,Water,Water,Forest
262,Wetland,Water,Forest,NULL,Non_Wetland,NULL
263,Wetland,Water,Forest,NULL,Non_Wetland,Forest
264,Wetland,Water,Forest,Non_Water,Non_Wetland,Grassland
265,Wetland,Water,Forest,Non_Water,Non_Wetland,Forest
266,Wetland,Forest,NULL,NULL,Non_Wetland,Forest
267,Wetland,Forest,NULL,Non_Water,Non_Wetland,Forest
268,Wetland,Forest,Shrubland,NULL,Non_Wetland,NULL
269,Wetland,Forest,Shrubland,NULL,Non_Wetland,Forest
270,Wetland,Forest,Shrubland,Non_Water,Non_Wetland,Forest
271,Wetland,Forest,Wetland,NULL,Wetland,NULL
272,Wetland,Forest,Wetland,NULL,Wetland,Forest
273,Wetland,Forest,Wetland,Non_Water,Wetland,NULL
274,Wetland,Forest,Wetland,Non_Water,Wetland,Forest
275,Wetland,Forest,Forest,NULL,Non_Wetland,NULL
276,Wetland,Forest,Forest,NULL,Non_Wetland,Forest
277,Wetland,Forest,Forest,Non_Water,Non_Wetland,NULL
278,Wetland,Forest,Forest,Non_Water,Non_Wetland,Grassland
279,Wetland,Forest,Forest,Non_Water,Non_Wetland,Forest
280,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
281,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
282,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
283,Bareland,NULL,Shrubland,Water,Non_Wetland,Wetland
284,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland
285,Bareland,Bareland,Shrubland,Water,Non_Wetland,Wetland
286,Bareland,Bareland,Water,Water,Water,Wetland
287,Bareland,Water,Shrubland,Water,Non_Wetland,Grassland
288,Bareland,Water,Shrubland,Water,Non_Wetland,Wetland
289,Bareland,Water,Shrubland,Water,Non_Wetland,Bareland
290,Bareland,Forest,Forest,NULL,Non_Wetland,Grassland
291,Water,NULL,NULL,NULL,Non_Wetland,NULL
292,Water,NULL,NULL,NULL,Non_Wetland,Grassland
293,Water,NULL,NULL,NULL,Non_Wetland,Forest
294,Water,NULL,NULL,Non_Water,Non_Wetland,Forest
295,Water,NULL,Shrubland,NULL,Non_Wetland,NULL
296,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland
297,Water,NULL,Shrubland,NULL,Non_Wetland,Forest
298,Water,NULL,Shrubland,Non_Water,Non_Wetland,NULL
299,Water,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
300,Water,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
301,Water,NULL,Shrubland,Non_Water,Non_Wetland,Forest
302,Water,NULL,Shrubland,Water,Non_Wetland,Grassland
303,Water,NULL,Shrubland,Water,Non_Wetland,Wetland
304,Water,NULL,Shrubland,Water,Non_Wetland,Forest
305,Water,NULL,Wetland,NULL,Wetland,NULL
306,Water,NULL,Wetland,NULL,Wetland,Grassland
307,Water,NULL,Wetland,NULL,Wetland,Forest
308,Water,NULL,Wetland,Non_Water,Wetland,NULL
309,Water,NULL,Wetland,Non_Water,Wetland,Grassland
310,Water,NULL,Wetland,Non_Water,Wetland,Forest
311,Water,NULL,Wetland,Water,Wetland,Grassland
312,Water,NULL,Wetland,Water,Wetland,Wetland
313,Water,NULL,Water,NULL,Water,Grassland
314,Water,NULL,Water,NULL,Water,Forest
315,Water,NULL,Water,Water,Water,NULL
316,Water,NULL,Water,Water,Water,Forest
317,Water,NULL,Forest,NULL,Non_Wetland,NULL
318,Water,NULL,Forest,NULL,Non_Wetland,Grassland
319,Water,NULL,Forest,NULL,Non_Wetland,Forest
320,Water,NULL,Forest,Non_Water,Non_Wetland,NULL
321,Water,NULL,Forest,Non_Water,Non_Wetland,Grassland
322,Water,NULL,Forest,Non_Water,Non_Wetland,Wetland
323,Water,NULL,Forest,Non_Water,Non_Wetland,Forest
324,Water,NULL,Forest,Water,Non_Wetland,Forest
325,Water,Bareland,Shrubland,Water,Non_Wetland,Wetland
326,Water,Bareland,Grassland,Water,Non_Wetland,Wetland
327,Water,Water,NULL,NULL,Non_Wetland,Grassland
328,Water,Water,NULL,NULL,Non_Wetland,Wetland
329,Water,Water,NULL,NULL,Non_Wetland,Bareland
330,Water,Water,NULL,NULL,Non_Wetland,Water
331,Water,Water,NULL,NULL,Non_Wetland,Forest
332,Water,Water,NULL,Non_Water,Non_Wetland,Grassland
333,Water,Water,NULL,Non_Water,Non_Wetland,Wetland
334,Water,Water,NULL,Non_Water,Non_Wetland,Bareland
335,Water,Water,NULL,Non_Water,Non_Wetland,Water
336,Water,Water,NULL,Non_Water,Non_Wetland,Forest
337,Water,Water,NULL,Water,Non_Wetland,Grassland
338,Water,Water,NULL,Water,Non_Wetland,Wetland
339,Water,Water,NULL,Water,Non_Wetland,Bareland
340,Water,Water,NULL,Water,Non_Wetland,Water
341,Water,Water,NULL,Water,Non_Wetland,Forest
342,Water,Water,Shrubland,NULL,Non_Wetland,NULL
343,Water,Water,Shrubland,NULL,Non_Wetland,Grassland
344,Water,Water,Shrubland,NULL,Non_Wetland,Wetland
345,Water,Water,Shrubland,NULL,Non_Wetland,Bareland
346,Water,Water,Shrubland,NULL,Non_Wetland,Water
347,Water,Water,Shrubland,NULL,Non_Wetland,Forest
348,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL
349,Water,Water,Shrubland,Non_Water,Non_Wetland,Grassland
350,Water,Water,Shrubland,Non_Water,Non_Wetland,Wetland
351,Water,Water,Shrubland,Non_Water,Non_Wetland,Bareland
352,Water,Water,Shrubland,Non_Water,Non_Wetland,Water
353,Water,Water,Shrubland,Non_Water,Non_Wetland,Forest
354,Water,Water,Shrubland,Water,Non_Wetland,NULL
355,Water,Water,Shrubland,Water,Non_Wetland,Grassland
356,Water,Water,Shrubland,Water,Non_Wetland,Wetland
357,Water,Water,Shrubland,Water,Non_Wetland,Bareland
358,Water,Water,Shrubland,Water,Non_Wetland,Water
359,Water,Water,Shrubland,Water,Non_Wetland,Forest
360,Water,Water,Grassland,Non_Water,Non_Wetland,Bareland
361,Water,Water,Grassland,Water,Non_Wetland,Wetland
362,Water,Water,Grassland,Water,Non_Wetland,Forest
363,Water,Water,Cropland,NULL,Non_Wetland,Grassland
364,Water,Water,Cropland,NULL,Non_Wetland,Forest
365,Water,Water,Cropland,Water,Non_Wetland,Wetland
366,Water,Water,Wetland,NULL,Wetland,NULL
367,Water,Water,Wetland,NULL,Wetland,Grassland
368,Water,Water,Wetland,NULL,Wetland,Wetland
369,Water,Water,Wetland,NULL,Wetland,Bareland
370,Water,Water,Wetland,NULL,Wetland,Water
371,Water,Water,Wetland,NULL,Wetland,Forest
372,Water,Water,Wetland,Non_Water,Wetland,NULL
373,Water,Water,Wetland,Non_Water,Wetland,Grassland
374,Water,Water,Wetland,Non_Water,Wetland,Wetland
375,Water,Water,Wetland,Non_Water,Wetland,Bareland
376,Water,Water,Wetland,Non_Water,Wetland,Water
377,Water,Water,Wetland,Non_Water,Wetland,Forest
378,Water,Water,Wetland,Water,Wetland,NULL
379,Water,Water,Wetland,Water,Wetland,Grassland
380,Water,Water,Wetland,Water,Wetland,Wetland
381,Water,Water,Wetland,Water,Wetland,Bareland
382,Water,Water,Wetland,Water,Wetland,Water
383,Water,Water,Wetland,Water,Wetland,Forest
384,Water,Water,Bareland,NULL,Non_Wetland,Grassland
385,Water,Water,Bareland,NULL,Non_Wetland,Bareland
386,Water,Water,Bareland,NULL,Non_Wetland,Water
387,Water,Water,Bareland,NULL,Non_Wetland,Forest
388,Water,Water,Bareland,Non_Water,Non_Wetland,Wetland
389,Water,Water,Bareland,Non_Water,Non_Wetland,Bareland
390,Water,Water,Bareland,Non_Water,Non_Wetland,Water
391,Water,Water,Bareland,Non_Water,Non_Wetland,Forest
392,Water,Water,Bareland,Water,Non_Wetland,Wetland
393,Water,Water,Bareland,Water,Non_Wetland,Bareland
394,Water,Water,Bareland,Water,Non_Wetland,Water
395,Water,Water,Bareland,Water,Non_Wetland,Forest
396,Water,Water,Built-up,NULL,Non_Wetland,Water
397,Water,Water,Water,NULL,Water,Grassland
398,Water,Water,Water,NULL,Water,Wetland
399,Water,Water,Water,NULL,Water,Bareland
400,Water,Water,Water,NULL,Water,Water
401,Water,Water,Water,NULL,Water,Forest
402,Water,Water,Water,Non_Water,Water,Grassland
403,Water,Water,Water,Non_Water,Water,Wetland
404,Water,Water,Water,Non_Water,Water,Bareland
405,Water,Water,Water,Non_Water,Water,Water
406,Water,Water,Water,Non_Water,Water,Forest
407,Water,Water,Water,Water,Water,NULL
408,Water,Water,Water,Water,Water,Grassland
409,Water,Water,Water,Water,Water,Wetland
410,Water,Water,Water,Water,Water,Bareland
411,Water,Water,Water,Water,Water,Water
412,Water,Water,Water,Water,Water,Forest
413,Water,Water,Forest,NULL,Non_Wetland,NULL
414,Water,Water,Forest,NULL,Non_Wetland,Grassland
415,Water,Water,Forest,NULL,Non_Wetland,Wetland
416,Water,Water,Forest,NULL,Non_Wetland,Bareland
417,Water,Water,Forest,NULL,Non_Wetland,Water
418,Water,Water,Forest,NULL,Non_Wetland,Forest
419,Water,Water,Forest,Non_Water,Non_Wetland,NULL
420,Water,Water,Forest,Non_Water,Non_Wetland,Grassland
421,Water,Water,Forest,Non_Water,Non_Wetland,Wetland
422,Water,Water,Forest,Non_Water,Non_Wetland,Water
423,Water,Water,Forest,Non_Water,Non_Wetland,Forest
424,Water,Water,Forest,Water,Non_Wetland,Grassland
425,Water,Water,Forest,Water,Non_Wetland,Wetland
426,Water,Water,Forest,Water,Non_Wetland,Bareland
427,Water,Water,Forest,Water,Non_Wetland,Water
428,Water,Water,Forest,Water,Non_Wetland,Forest
429,Water,Forest,NULL,NULL,Non_Wetland,Forest
430,Water,Forest,Shrubland,NULL,Non_Wetland,NULL
431,Water,Forest,Shrubland,NULL,Non_Wetland,Grassland
432,Water,Forest,Shrubland,NULL,Non_Wetland,Forest
433,Water,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
434,Water,Forest,Shrubland,Non_Water,Non_Wetland,Forest
435,Water,Forest,Shrubland,Water,Non_Wetland,Forest
436,Water,Forest,Wetland,NULL,Wetland,Grassland
437,Water,Forest,Wetland,NULL,Wetland,Forest
438,Water,Forest,Wetland,Non_Water,Wetland,Forest
439,Water,Forest,Wetland,Water,Wetland,Forest
440,Water,Forest,Water,NULL,Water,Forest
441,Water,Forest,Forest,NULL,Non_Wetland,NULL
442,Water,Forest,Forest,NULL,Non_Wetland,Grassland
443,Water,Forest,Forest,NULL,Non_Wetland,Forest
444,Water,Forest,Forest,Non_Water,Non_Wetland,NULL
445,Water,Forest,Forest,Non_Water,Non_Wetland,Grassland
446,Water,Forest,Forest,Non_Water,Non_Wetland,Forest
