Value,AFRICA_2024_DynamicWorld_2024_37PFQ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PFQ_M_R,AFRICA_2024_GLC_FCS30D_2022_37PFQ_M_R,AFRICA_2024_GSW_Yearly_2021_37PFQ_M_R,AFRICA_2024_GWL_FCS30D_2022_37PFQ_M_R,AFRICA_2024_WorldCover_2021_37PFQ_M_R
119,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland
120,NULL,Wetland,Bareland,NULL,Non_Wetland,Forest
121,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL
122,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland
123,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
124,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
125,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
126,NULL,Bareland,NULL,NULL,Non_Wetland,NULL
127,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland
128,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
129,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
130,NULL,Bareland,Shrubland,NULL,Non_Wetland,Cropland
131,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
132,NULL,Bareland,Shrubland,NULL,Non_Wetland,Forest
133,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
134,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
135,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
136,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
137,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
138,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
139,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
140,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
141,NULL,Bareland,Cropland,NULL,Non_Wetland,Forest
142,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
143,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
144,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
145,NULL,Bareland,Bareland,NULL,Non_Wetland,Cropland
146,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
147,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
148,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL
149,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
150,NULL,Bareland,Built-up,NULL,Non_Wetland,Cropland
151,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
152,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
153,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
154,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
155,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
156,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
157,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
158,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
159,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
160,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
161,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
162,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
163,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
164,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
165,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
166,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
167,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
168,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
169,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
170,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
171,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
172,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
173,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
174,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
175,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
176,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
177,NULL,Water,Bareland,NULL,Non_Wetland,NULL
178,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
179,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
180,NULL,Forest,NULL,NULL,Non_Wetland,NULL
181,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
182,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
183,NULL,Forest,NULL,NULL,Non_Wetland,Forest
184,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
185,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
186,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
187,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
188,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
189,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
190,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
191,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
192,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland
193,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
194,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
195,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
196,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
197,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
198,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
199,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
200,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
201,NULL,Forest,Wetland,NULL,Wetland,NULL
202,NULL,Forest,Wetland,NULL,Wetland,Wetland
203,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
204,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
205,NULL,Forest,Bareland,NULL,Non_Wetland,Cropland
206,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland
207,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
208,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
209,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
210,NULL,Forest,Built-up,NULL,Non_Wetland,Wetland
211,NULL,Forest,Forest,NULL,Non_Wetland,NULL
212,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
213,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
214,NULL,Forest,Forest,NULL,Non_Wetland,Forest
215,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
216,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
217,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
218,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
219,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
220,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
221,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
222,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
223,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
224,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
225,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland
226,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
227,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
228,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
229,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
230,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland
231,Grassland,NULL,Wetland,NULL,Wetland,Wetland
232,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
233,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
234,Grassland,NULL,Bareland,NULL,Non_Wetland,Cropland
235,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland
236,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL
237,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
238,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland
239,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL
240,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
241,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
242,Grassland,Cropland,Grassland,NULL,Non_Wetland,Wetland
243,Grassland,Cropland,Grassland,NULL,Non_Wetland,Bareland
244,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
245,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
246,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
247,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland
248,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland
249,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL
250,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland
251,Grassland,Cropland,Bareland,NULL,Non_Wetland,Bareland
252,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL
253,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL
254,Grassland,Wetland,Grassland,NULL,Non_Wetland,Grassland
255,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL
256,Grassland,Wetland,Bareland,NULL,Non_Wetland,NULL
257,Grassland,Wetland,Built-up,NULL,Non_Wetland,NULL
258,Grassland,Bareland,Grassland,NULL,Non_Wetland,NULL
259,Grassland,Bareland,Grassland,NULL,Non_Wetland,Grassland
260,Grassland,Bareland,Cropland,NULL,Non_Wetland,Grassland
261,Grassland,Bareland,Cropland,NULL,Non_Wetland,Bareland
262,Grassland,Bareland,Bareland,NULL,Non_Wetland,NULL
263,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland
264,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL
265,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
266,Grassland,Forest,Grassland,NULL,Non_Wetland,Cropland
267,Grassland,Forest,Grassland,NULL,Non_Wetland,Wetland
268,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
269,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
270,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland
271,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland
272,Grassland,Forest,Cropland,NULL,Non_Wetland,Bareland
273,Grassland,Forest,Bareland,NULL,Non_Wetland,Cropland
274,Grassland,Forest,Bareland,NULL,Non_Wetland,Bareland
275,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
276,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
277,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
278,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
279,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
280,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland
281,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
282,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
283,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
284,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
285,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
286,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland
287,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
288,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
289,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
290,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
291,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
292,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland
293,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
294,Cropland,NULL,Grassland,NULL,Non_Wetland,Water
295,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
296,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
297,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
298,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
299,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland
300,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
301,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
302,Cropland,NULL,Cropland,NULL,Non_Wetland,Water
303,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
304,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
305,Cropland,NULL,Wetland,NULL,Wetland,NULL
306,Cropland,NULL,Wetland,NULL,Wetland,Cropland
307,Cropland,NULL,Wetland,NULL,Wetland,Wetland
308,Cropland,NULL,Wetland,NULL,Wetland,Bareland
309,Cropland,NULL,Wetland,NULL,Wetland,Forest
310,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
311,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
312,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
313,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
314,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
315,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
316,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
317,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
318,Cropland,NULL,Bareland,NULL,Non_Wetland,Wetland
319,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
320,Cropland,NULL,Bareland,NULL,Non_Wetland,Built-up
321,Cropland,NULL,Bareland,NULL,Non_Wetland,Water
322,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
323,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
324,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
325,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
326,Cropland,NULL,Built-up,NULL,Non_Wetland,Wetland
327,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
328,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
329,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
330,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
331,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
332,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
333,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
334,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
335,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
336,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
337,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland
338,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
339,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
340,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
341,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
342,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
343,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
344,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
345,Cropland,Cropland,Grassland,NULL,Non_Wetland,Wetland
346,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
347,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
348,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
349,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
350,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
351,Cropland,Cropland,Cropland,NULL,Non_Wetland,Wetland
352,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland
353,Cropland,Cropland,Wetland,NULL,Wetland,Cropland
354,Cropland,Cropland,Wetland,NULL,Wetland,Bareland
355,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
356,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
357,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
358,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL
359,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
360,Cropland,Cropland,Bareland,NULL,Non_Wetland,Cropland
361,Cropland,Cropland,Bareland,NULL,Non_Wetland,Wetland
362,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland
363,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL
364,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
365,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland
366,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland
367,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
368,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
369,Cropland,Cropland,Forest,NULL,Non_Wetland,Wetland
370,Cropland,Wetland,Grassland,NULL,Non_Wetland,NULL
371,Cropland,Wetland,Grassland,NULL,Non_Wetland,Grassland
372,Cropland,Wetland,Grassland,NULL,Non_Wetland,Cropland
373,Cropland,Wetland,Grassland,NULL,Non_Wetland,Wetland
374,Cropland,Wetland,Grassland,NULL,Non_Wetland,Bareland
375,Cropland,Wetland,Grassland,NULL,Non_Wetland,Water
376,Cropland,Wetland,Cropland,NULL,Non_Wetland,NULL
377,Cropland,Wetland,Cropland,NULL,Non_Wetland,Grassland
378,Cropland,Wetland,Cropland,NULL,Non_Wetland,Cropland
379,Cropland,Wetland,Cropland,NULL,Non_Wetland,Wetland
380,Cropland,Wetland,Cropland,NULL,Non_Wetland,Bareland
381,Cropland,Wetland,Cropland,NULL,Non_Wetland,Water
382,Cropland,Wetland,Wetland,NULL,Wetland,NULL
383,Cropland,Wetland,Wetland,NULL,Wetland,Grassland
384,Cropland,Wetland,Wetland,NULL,Wetland,Cropland
385,Cropland,Wetland,Wetland,NULL,Wetland,Wetland
386,Cropland,Wetland,Wetland,NULL,Wetland,Bareland
387,Cropland,Wetland,Wetland,NULL,Wetland,Water
388,Cropland,Wetland,Bareland,NULL,Non_Wetland,NULL
389,Cropland,Wetland,Bareland,NULL,Non_Wetland,Grassland
390,Cropland,Wetland,Bareland,NULL,Non_Wetland,Cropland
391,Cropland,Wetland,Bareland,NULL,Non_Wetland,Bareland
392,Cropland,Wetland,Bareland,NULL,Non_Wetland,Water
393,Cropland,Bareland,NULL,NULL,Non_Wetland,Grassland
394,Cropland,Bareland,NULL,NULL,Non_Wetland,Cropland
395,Cropland,Bareland,NULL,NULL,Non_Wetland,Bareland
396,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL
397,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
398,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Cropland
399,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
400,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL
401,Cropland,Bareland,Grassland,NULL,Non_Wetland,Grassland
402,Cropland,Bareland,Grassland,NULL,Non_Wetland,Cropland
403,Cropland,Bareland,Grassland,NULL,Non_Wetland,Bareland
404,Cropland,Bareland,Cropland,NULL,Non_Wetland,NULL
405,Cropland,Bareland,Cropland,NULL,Non_Wetland,Grassland
406,Cropland,Bareland,Cropland,NULL,Non_Wetland,Cropland
407,Cropland,Bareland,Cropland,NULL,Non_Wetland,Bareland
408,Cropland,Bareland,Wetland,NULL,Wetland,Bareland
409,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL
410,Cropland,Bareland,Bareland,NULL,Non_Wetland,Grassland
411,Cropland,Bareland,Bareland,NULL,Non_Wetland,Cropland
412,Cropland,Bareland,Bareland,NULL,Non_Wetland,Bareland
413,Cropland,Bareland,Built-up,NULL,Non_Wetland,NULL
414,Cropland,Bareland,Built-up,NULL,Non_Wetland,Grassland
415,Cropland,Bareland,Built-up,NULL,Non_Wetland,Cropland
416,Cropland,Bareland,Built-up,NULL,Non_Wetland,Bareland
