Value,AFRICA_2024_DynamicWorld_2024_36NYJ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NYJ_M_R,AFRICA_2024_GLC_FCS30D_2022_36NYJ_M_R,AFRICA_2024_GSW_Yearly_2021_36NYJ_M_R,AFRICA_2024_GWL_FCS30D_2022_36NYJ_M_R,AFRICA_2024_WorldCover_2021_36NYJ_M_R
122,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
123,NULL,Cropland,Shrubland,NULL,Non_Wetland,Water
124,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
125,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
126,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
127,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Bareland
128,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
129,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
130,NULL,Cropland,Shrubland,Water,Non_Wetland,Bareland
131,NULL,Cropland,Shrubland,Water,Non_Wetland,Water
132,NULL,Cropland,Shrubland,Water,Non_Wetland,Forest
133,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
134,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
135,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
136,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
137,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
138,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
139,NULL,Cropland,Grassland,NULL,Non_Wetland,Water
140,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
141,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL
142,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
143,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Wetland
144,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Bareland
145,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Forest
146,NULL,Cropland,Grassland,Water,Non_Wetland,NULL
147,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland
148,NULL,Cropland,Grassland,Water,Non_Wetland,Bareland
149,NULL,Cropland,Grassland,Water,Non_Wetland,Water
150,NULL,Cropland,Grassland,Water,Non_Wetland,Forest
151,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
152,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
153,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
154,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
155,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
156,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL
157,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
158,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Bareland
159,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Forest
160,NULL,Cropland,Wetland,NULL,Wetland,NULL
161,NULL,Cropland,Wetland,NULL,Wetland,Grassland
162,NULL,Cropland,Wetland,NULL,Wetland,Cropland
163,NULL,Cropland,Wetland,NULL,Wetland,Wetland
164,NULL,Cropland,Wetland,NULL,Wetland,Bareland
165,NULL,Cropland,Wetland,NULL,Wetland,Water
166,NULL,Cropland,Wetland,NULL,Wetland,Forest
167,NULL,Cropland,Wetland,Non_Water,Wetland,NULL
168,NULL,Cropland,Wetland,Non_Water,Wetland,Grassland
169,NULL,Cropland,Wetland,Non_Water,Wetland,Bareland
170,NULL,Cropland,Wetland,Non_Water,Wetland,Forest
171,NULL,Cropland,Wetland,Water,Wetland,NULL
172,NULL,Cropland,Wetland,Water,Wetland,Grassland
173,NULL,Cropland,Wetland,Water,Wetland,Bareland
174,NULL,Cropland,Wetland,Water,Wetland,Water
175,NULL,Cropland,Wetland,Water,Wetland,Forest
176,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
177,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
178,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
179,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
180,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
181,NULL,Cropland,Bareland,NULL,Non_Wetland,Wetland
182,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
183,NULL,Cropland,Bareland,NULL,Non_Wetland,Water
184,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
185,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL
186,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
187,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
188,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Water
189,NULL,Cropland,Bareland,Water,Non_Wetland,NULL
190,NULL,Cropland,Bareland,Water,Non_Wetland,Grassland
191,NULL,Cropland,Bareland,Water,Non_Wetland,Wetland
192,NULL,Cropland,Bareland,Water,Non_Wetland,Bareland
193,NULL,Cropland,Bareland,Water,Non_Wetland,Water
194,NULL,Cropland,Bareland,Water,Non_Wetland,Forest
195,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
196,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
197,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
198,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
199,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
200,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL
201,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Bareland
202,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Forest
203,NULL,Cropland,Built-up,Water,Non_Wetland,NULL
204,NULL,Cropland,Built-up,Water,Non_Wetland,Grassland
205,NULL,Cropland,Built-up,Water,Non_Wetland,Water
206,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
207,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
208,NULL,Cropland,Forest,NULL,Non_Wetland,Water
209,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
210,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL
211,NULL,Cropland,Forest,Water,Non_Wetland,Grassland
212,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
213,NULL,Wetland,NULL,Water,Non_Wetland,NULL
214,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
215,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
216,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL
217,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL
218,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
219,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
220,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL
221,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
222,NULL,Wetland,Grassland,Water,Non_Wetland,NULL
223,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL
224,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
225,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL
226,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
227,NULL,Wetland,Cropland,Water,Non_Wetland,NULL
228,NULL,Wetland,Wetland,NULL,Wetland,NULL
229,NULL,Wetland,Wetland,Non_Water,Wetland,NULL
230,NULL,Wetland,Wetland,Water,Wetland,NULL
231,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL
232,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
233,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
234,NULL,Wetland,Bareland,Water,Non_Wetland,NULL
235,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL
236,NULL,Wetland,Built-up,Water,Non_Wetland,NULL
237,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
238,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL
239,NULL,Wetland,Forest,Water,Non_Wetland,NULL
240,NULL,Bareland,NULL,NULL,Non_Wetland,NULL
241,NULL,Bareland,NULL,NULL,Non_Wetland,Forest
242,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
243,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
244,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
245,NULL,Bareland,Shrubland,NULL,Non_Wetland,Water
246,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL
247,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
248,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Water
249,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL
250,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
251,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
252,NULL,Bareland,Shrubland,Water,Non_Wetland,Forest
253,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
254,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
255,NULL,Bareland,Grassland,NULL,Non_Wetland,Wetland
256,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
257,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
258,NULL,Bareland,Grassland,NULL,Non_Wetland,Water
259,NULL,Bareland,Grassland,NULL,Non_Wetland,Forest
260,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL
261,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Grassland
262,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Cropland
263,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
264,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Water
265,NULL,Bareland,Grassland,Water,Non_Wetland,NULL
266,NULL,Bareland,Grassland,Water,Non_Wetland,Grassland
267,NULL,Bareland,Grassland,Water,Non_Wetland,Wetland
268,NULL,Bareland,Grassland,Water,Non_Wetland,Bareland
269,NULL,Bareland,Grassland,Water,Non_Wetland,Water
270,NULL,Bareland,Grassland,Water,Non_Wetland,Forest
271,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
272,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
273,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
274,NULL,Bareland,Cropland,NULL,Non_Wetland,Water
275,NULL,Bareland,Cropland,NULL,Non_Wetland,Forest
276,NULL,Bareland,Cropland,Non_Water,Non_Wetland,NULL
277,NULL,Bareland,Cropland,Water,Non_Wetland,NULL
278,NULL,Bareland,Cropland,Water,Non_Wetland,Water
279,NULL,Bareland,Cropland,Water,Non_Wetland,Forest
280,NULL,Bareland,Wetland,NULL,Wetland,NULL
281,NULL,Bareland,Wetland,NULL,Wetland,Grassland
282,NULL,Bareland,Wetland,NULL,Wetland,Wetland
283,NULL,Bareland,Wetland,NULL,Wetland,Bareland
284,NULL,Bareland,Wetland,NULL,Wetland,Water
285,NULL,Bareland,Wetland,NULL,Wetland,Forest
286,NULL,Bareland,Wetland,Non_Water,Wetland,NULL
287,NULL,Bareland,Wetland,Non_Water,Wetland,Grassland
288,NULL,Bareland,Wetland,Non_Water,Wetland,Bareland
289,NULL,Bareland,Wetland,Non_Water,Wetland,Water
290,NULL,Bareland,Wetland,Water,Wetland,NULL
291,NULL,Bareland,Wetland,Water,Wetland,Grassland
292,NULL,Bareland,Wetland,Water,Wetland,Wetland
293,NULL,Bareland,Wetland,Water,Wetland,Bareland
294,NULL,Bareland,Wetland,Water,Wetland,Water
295,NULL,Bareland,Wetland,Water,Wetland,Forest
296,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
297,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
298,NULL,Bareland,Bareland,NULL,Non_Wetland,Wetland
299,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
300,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
301,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
302,NULL,Bareland,Bareland,NULL,Non_Wetland,Forest
303,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL
304,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
305,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Cropland
306,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
307,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Water
308,NULL,Bareland,Bareland,Water,Non_Wetland,NULL
309,NULL,Bareland,Bareland,Water,Non_Wetland,Grassland
310,NULL,Bareland,Bareland,Water,Non_Wetland,Cropland
311,NULL,Bareland,Bareland,Water,Non_Wetland,Wetland
312,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
313,NULL,Bareland,Bareland,Water,Non_Wetland,Water
314,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL
315,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
316,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
317,NULL,Bareland,Built-up,NULL,Non_Wetland,Water
318,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL
319,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Grassland
320,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
321,NULL,Bareland,Built-up,Water,Non_Wetland,NULL
322,NULL,Bareland,Built-up,Water,Non_Wetland,Grassland
323,NULL,Bareland,Built-up,Water,Non_Wetland,Bareland
324,NULL,Bareland,Built-up,Water,Non_Wetland,Water
325,NULL,Bareland,Water,Water,Water,NULL
326,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland
327,NULL,Bareland,Forest,NULL,Non_Wetland,Water
328,NULL,Bareland,Forest,Non_Water,Non_Wetland,Water
329,NULL,Bareland,Forest,Water,Non_Wetland,NULL
330,NULL,Bareland,Forest,Water,Non_Wetland,Water
331,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
332,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
333,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
334,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
335,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
336,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
337,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
338,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
339,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
340,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL
341,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
342,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland
343,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
344,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
345,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
346,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
347,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
348,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
349,NULL,Built-up,Grassland,NULL,Non_Wetland,Water
350,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
351,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL
352,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
353,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Bareland
354,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Built-up
355,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Forest
356,NULL,Built-up,Grassland,Water,Non_Wetland,NULL
357,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland
358,NULL,Built-up,Grassland,Water,Non_Wetland,Bareland
359,NULL,Built-up,Grassland,Water,Non_Wetland,Forest
360,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
361,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
362,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
363,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
364,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
365,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL
366,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
367,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
368,NULL,Built-up,Wetland,NULL,Wetland,NULL
369,NULL,Built-up,Wetland,NULL,Wetland,Grassland
370,NULL,Built-up,Wetland,NULL,Wetland,Built-up
371,NULL,Built-up,Wetland,NULL,Wetland,Water
372,NULL,Built-up,Wetland,NULL,Wetland,Forest
373,NULL,Built-up,Wetland,Non_Water,Wetland,NULL
374,NULL,Built-up,Wetland,Non_Water,Wetland,Forest
375,NULL,Built-up,Wetland,Water,Wetland,NULL
376,NULL,Built-up,Wetland,Water,Wetland,Grassland
377,NULL,Built-up,Wetland,Water,Wetland,Forest
378,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
379,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
380,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
381,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
382,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
383,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
384,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
385,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
386,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
387,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL
388,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
389,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
390,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Built-up
391,NULL,Built-up,Bareland,Water,Non_Wetland,NULL
392,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
393,NULL,Built-up,Bareland,Water,Non_Wetland,Water
394,NULL,Built-up,Bareland,Water,Non_Wetland,Forest
395,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
396,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
397,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
398,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
399,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
400,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL
401,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
402,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
403,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland
404,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
405,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
406,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
407,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
408,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
409,NULL,Water,NULL,NULL,Non_Wetland,NULL
410,NULL,Water,NULL,NULL,Non_Wetland,Grassland
411,NULL,Water,NULL,NULL,Non_Wetland,Wetland
412,NULL,Water,NULL,NULL,Non_Wetland,Bareland
413,NULL,Water,NULL,NULL,Non_Wetland,Water
414,NULL,Water,NULL,NULL,Non_Wetland,Forest
415,NULL,Water,NULL,Non_Water,Non_Wetland,NULL
416,NULL,Water,NULL,Non_Water,Non_Wetland,Grassland
417,NULL,Water,NULL,Water,Non_Wetland,NULL
418,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
419,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
420,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
421,NULL,Water,Shrubland,NULL,Non_Wetland,Water
422,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
423,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL
424,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
425,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland
