Value,AFRICA_2024_DynamicWorld_2024_37QDU_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37QDU_M_R,AFRICA_2024_GLC_FCS30D_2022_37QDU_M_R,AFRICA_2024_GSW_Yearly_2021_37QDU_M_R,AFRICA_2024_GWL_FCS30D_2022_37QDU_M_R,AFRICA_2024_WorldCover_2021_37QDU_M_R
121,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
122,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
123,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
124,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
125,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
126,NULL,Cropland,Bareland,NULL,Non_Wetland,Water
127,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
128,NULL,Cropland,Bareland,Water,Non_Wetland,Cropland
129,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
130,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
131,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
132,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
133,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
134,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
135,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
136,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
137,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
138,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
139,NULL,Bareland,NULL,NULL,Non_Wetland,NULL
140,NULL,Bareland,NULL,NULL,Non_Wetland,Grassland
141,NULL,Bareland,NULL,NULL,Non_Wetland,Cropland
142,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland
143,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
144,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
145,NULL,Bareland,Shrubland,NULL,Non_Wetland,Cropland
146,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
147,NULL,Bareland,Shrubland,NULL,Non_Wetland,Forest
148,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
149,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
150,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
151,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
152,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
153,NULL,Bareland,Grassland,NULL,Non_Wetland,Water
154,NULL,Bareland,Grassland,NULL,Non_Wetland,Forest
155,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
156,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
157,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
158,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
159,NULL,Bareland,Wetland,NULL,NULL,Bareland
160,NULL,Bareland,Wetland,NULL,Wetland,Bareland
161,NULL,Bareland,Wetland,Non_Water,NULL,Bareland
162,NULL,Bareland,Wetland,Non_Water,Wetland,Bareland
163,NULL,Bareland,Wetland,Water,NULL,Bareland
164,NULL,Bareland,Wetland,Water,NULL,Water
165,NULL,Bareland,Wetland,Water,Wetland,Bareland
166,NULL,Bareland,Wetland,Water,Wetland,Water
167,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
168,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
169,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
170,NULL,Bareland,Bareland,NULL,Non_Wetland,Cropland
171,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
172,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
173,NULL,Bareland,Bareland,NULL,Non_Wetland,Forest
174,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
175,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
176,NULL,Bareland,Bareland,Water,Non_Wetland,Water
177,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL
178,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
179,NULL,Bareland,Built-up,NULL,Non_Wetland,Cropland
180,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
181,NULL,Bareland,Built-up,NULL,Non_Wetland,Water
182,NULL,Bareland,Built-up,Water,Non_Wetland,Bareland
183,NULL,Bareland,Water,NULL,NULL,Bareland
184,NULL,Bareland,Water,NULL,NULL,Water
185,NULL,Bareland,Water,NULL,Water,Bareland
186,NULL,Bareland,Water,Non_Water,NULL,Bareland
187,NULL,Bareland,Water,Non_Water,Water,Bareland
188,NULL,Bareland,Water,Water,NULL,Bareland
189,NULL,Bareland,Water,Water,NULL,Water
190,NULL,Bareland,Water,Water,Water,Bareland
191,NULL,Bareland,Forest,NULL,Non_Wetland,NULL
192,NULL,Bareland,Forest,NULL,Non_Wetland,Cropland
193,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland
194,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
195,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
196,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
197,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
198,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
199,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
200,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
201,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
202,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
203,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
204,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
205,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
206,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
207,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
208,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
209,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
210,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
211,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
212,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
213,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
214,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
215,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
216,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
217,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
218,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
219,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
220,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
221,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
222,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
223,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
224,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
225,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
226,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
227,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
228,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
229,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
230,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
231,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
232,NULL,Water,Shrubland,NULL,Non_Wetland,Water
233,NULL,Water,Grassland,NULL,Non_Wetland,NULL
234,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
235,NULL,Water,Grassland,NULL,Non_Wetland,Cropland
236,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
237,NULL,Water,Cropland,NULL,Non_Wetland,NULL
238,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
239,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
240,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
241,NULL,Water,Cropland,NULL,Non_Wetland,Water
242,NULL,Water,Cropland,NULL,Non_Wetland,Forest
243,NULL,Water,Cropland,Water,Non_Wetland,NULL
244,NULL,Water,Wetland,NULL,NULL,Bareland
245,NULL,Water,Wetland,NULL,NULL,Water
246,NULL,Water,Wetland,NULL,Wetland,Bareland
247,NULL,Water,Wetland,NULL,Wetland,Water
248,NULL,Water,Wetland,Non_Water,NULL,Bareland
249,NULL,Water,Wetland,Water,NULL,Bareland
250,NULL,Water,Wetland,Water,NULL,Water
251,NULL,Water,Wetland,Water,Wetland,Bareland
252,NULL,Water,Wetland,Water,Wetland,Water
253,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
254,NULL,Water,Bareland,NULL,Non_Wetland,NULL
255,NULL,Water,Bareland,NULL,Non_Wetland,Cropland
256,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
257,NULL,Water,Bareland,NULL,Non_Wetland,Water
258,NULL,Water,Bareland,Water,Non_Wetland,Bareland
259,NULL,Water,Bareland,Water,Non_Wetland,Water
260,NULL,Water,Built-up,NULL,Non_Wetland,Cropland
261,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
262,NULL,Water,Built-up,Water,Non_Wetland,Bareland
263,NULL,Water,Water,NULL,NULL,Bareland
264,NULL,Water,Water,NULL,NULL,Water
265,NULL,Water,Water,NULL,Water,Bareland
266,NULL,Water,Water,NULL,Water,Water
267,NULL,Water,Water,Water,NULL,Bareland
268,NULL,Water,Water,Water,NULL,Water
269,NULL,Water,Water,Water,Water,Bareland
270,NULL,Water,Water,Water,Water,Water
271,NULL,Forest,NULL,NULL,Non_Wetland,NULL
272,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
273,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
274,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
275,NULL,Forest,NULL,NULL,Non_Wetland,Forest
276,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
277,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
278,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
279,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
280,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
281,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
282,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
283,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
284,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
285,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
286,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
287,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
288,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
289,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
290,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
291,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
292,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
293,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
294,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
295,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
296,NULL,Forest,Bareland,NULL,Non_Wetland,Cropland
297,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
298,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
299,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
300,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
301,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland
302,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
303,NULL,Forest,Forest,NULL,Non_Wetland,NULL
304,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
305,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
306,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
307,NULL,Forest,Forest,NULL,Non_Wetland,Forest
308,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
309,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
310,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
311,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
312,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
313,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
314,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
315,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
316,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
317,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
318,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
319,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
320,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
321,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
322,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
323,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
324,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
325,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
326,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
327,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
328,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
329,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
330,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
331,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
332,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
333,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
334,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
335,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
336,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
337,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
338,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
339,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
340,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
341,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
342,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
343,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
344,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland
345,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
346,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
347,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
348,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
349,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
350,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
351,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
352,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
353,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
354,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
355,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
356,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
357,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
358,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
359,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
360,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
361,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
362,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland
363,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
364,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
365,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
366,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL
367,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
368,Cropland,Cropland,Bareland,NULL,Non_Wetland,Cropland
369,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland
370,Cropland,Cropland,Bareland,NULL,Non_Wetland,Forest
371,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
372,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland
373,Cropland,Cropland,Built-up,NULL,Non_Wetland,Forest
374,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
375,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
376,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland
377,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
378,Cropland,Bareland,Grassland,NULL,Non_Wetland,Grassland
379,Cropland,Bareland,Grassland,NULL,Non_Wetland,Bareland
380,Cropland,Bareland,Bareland,NULL,Non_Wetland,Bareland
381,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL
382,Cropland,Built-up,NULL,NULL,Non_Wetland,Cropland
383,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
384,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL
385,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
386,Cropland,Built-up,Grassland,NULL,Non_Wetland,Cropland
387,Cropland,Built-up,Grassland,NULL,Non_Wetland,Bareland
388,Cropland,Built-up,Grassland,NULL,Non_Wetland,Forest
389,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL
390,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland
391,Cropland,Built-up,Cropland,NULL,Non_Wetland,Cropland
392,Cropland,Built-up,Cropland,NULL,Non_Wetland,Bareland
393,Cropland,Built-up,Cropland,NULL,Non_Wetland,Forest
394,Cropland,Built-up,Bareland,NULL,Non_Wetland,Bareland
395,Cropland,Forest,NULL,NULL,Non_Wetland,NULL
396,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland
397,Cropland,Forest,NULL,NULL,Non_Wetland,Cropland
398,Cropland,Forest,NULL,NULL,Non_Wetland,Bareland
399,Cropland,Forest,NULL,NULL,Non_Wetland,Forest
400,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
401,Cropland,Forest,Shrubland,NULL,Non_Wetland,Bareland
402,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest
403,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL
404,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland
405,Cropland,Forest,Grassland,NULL,Non_Wetland,Cropland
406,Cropland,Forest,Grassland,NULL,Non_Wetland,Bareland
407,Cropland,Forest,Grassland,NULL,Non_Wetland,Forest
408,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL
409,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland
410,Cropland,Forest,Cropland,NULL,Non_Wetland,Cropland
411,Cropland,Forest,Cropland,NULL,Non_Wetland,Bareland
412,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest
413,Cropland,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
414,Cropland,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
415,Cropland,Forest,Bareland,NULL,Non_Wetland,NULL
416,Cropland,Forest,Bareland,NULL,Non_Wetland,Grassland
417,Cropland,Forest,Bareland,NULL,Non_Wetland,Cropland
418,Cropland,Forest,Bareland,NULL,Non_Wetland,Bareland
419,Cropland,Forest,Bareland,NULL,Non_Wetland,Forest
420,Cropland,Forest,Built-up,NULL,Non_Wetland,Forest
421,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
422,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
423,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
424,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL
425,Wetland,NULL,Grassland,NULL,Non_Wetland,Cropland
426,Wetland,NULL,Grassland,NULL,Non_Wetland,Forest
