Value,AFRICA_2024_DynamicWorld_2024_35PPP_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PPP_M_R,AFRICA_2024_GLC_FCS30D_2022_35PPP_M_R,AFRICA_2024_GSW_Yearly_2021_35PPP_M_R,AFRICA_2024_GWL_FCS30D_2022_35PPP_M_R,AFRICA_2024_WorldCover_2021_35PPP_M_R
120,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
121,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
122,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
123,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
124,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
125,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
126,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
127,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
128,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
129,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
130,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
131,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
132,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
133,NULL,Forest,NULL,NULL,Non_Wetland,NULL
134,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
135,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
136,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
137,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
138,NULL,Forest,NULL,NULL,Non_Wetland,Forest
139,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
140,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
141,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
142,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
143,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
144,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
145,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
146,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
147,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
148,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
149,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL
150,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland
151,NULL,Forest,Grassland,Water,Non_Wetland,Forest
152,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
153,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
154,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
155,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
156,NULL,Forest,Wetland,NULL,Wetland,NULL
157,NULL,Forest,Wetland,NULL,Wetland,Grassland
158,NULL,Forest,Wetland,NULL,Wetland,Cropland
159,NULL,Forest,Wetland,NULL,Wetland,Forest
160,NULL,Forest,Wetland,Water,Wetland,Grassland
161,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
162,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
163,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
164,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
165,NULL,Forest,Forest,NULL,Non_Wetland,NULL
166,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
167,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
168,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
169,NULL,Forest,Forest,NULL,Non_Wetland,Forest
170,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
171,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
172,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
173,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
174,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
175,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
176,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up
177,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
178,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL
179,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland
180,Cropland,NULL,NULL,Non_Water,Non_Wetland,Cropland
181,Cropland,NULL,NULL,Non_Water,Non_Wetland,Forest
182,Cropland,NULL,NULL,Water,Non_Wetland,Grassland
183,Cropland,NULL,NULL,Water,Non_Wetland,Cropland
184,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
185,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
186,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
187,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
188,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
189,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
190,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
191,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
192,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
193,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
194,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
195,Cropland,NULL,Shrubland,Water,Non_Wetland,Bareland
196,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
197,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
198,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
199,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
200,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
201,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
202,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL
203,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
204,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
205,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
206,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
207,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Forest
208,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
209,Cropland,NULL,Grassland,Water,Non_Wetland,Cropland
210,Cropland,NULL,Grassland,Water,Non_Wetland,Wetland
211,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
212,Cropland,NULL,Grassland,Water,Non_Wetland,Forest
213,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
214,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
215,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
216,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
217,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
218,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
219,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Forest
220,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
221,Cropland,NULL,Cropland,Water,Non_Wetland,Cropland
222,Cropland,NULL,Wetland,NULL,Wetland,Grassland
223,Cropland,NULL,Wetland,NULL,Wetland,Cropland
224,Cropland,NULL,Wetland,NULL,Wetland,Forest
225,Cropland,NULL,Wetland,Non_Water,Wetland,Grassland
226,Cropland,NULL,Wetland,Non_Water,Wetland,Cropland
227,Cropland,NULL,Wetland,Non_Water,Wetland,Forest
228,Cropland,NULL,Wetland,Water,Wetland,Grassland
229,Cropland,NULL,Wetland,Water,Wetland,Cropland
230,Cropland,NULL,Wetland,Water,Wetland,Bareland
231,Cropland,NULL,Wetland,Water,Wetland,Forest
232,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
233,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
234,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
235,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
236,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
237,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
238,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Cropland
239,Cropland,NULL,Bareland,Water,Non_Wetland,Cropland
240,Cropland,NULL,Bareland,Water,Non_Wetland,Bareland
241,Cropland,NULL,Bareland,Water,Non_Wetland,Forest
242,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
243,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
244,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
245,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
246,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
247,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
248,Cropland,NULL,Water,NULL,Water,Bareland
249,Cropland,NULL,Water,Non_Water,Water,Grassland
250,Cropland,NULL,Water,Water,Water,Grassland
251,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
252,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
253,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
254,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland
255,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
256,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL
257,Cropland,NULL,Forest,Non_Water,Non_Wetland,Grassland
258,Cropland,NULL,Forest,Non_Water,Non_Wetland,Cropland
259,Cropland,NULL,Forest,Non_Water,Non_Wetland,Forest
260,Cropland,NULL,Forest,Water,Non_Wetland,Grassland
261,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
262,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
263,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
264,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
265,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
266,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
267,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
268,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
269,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
270,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
271,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
272,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
273,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
274,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
275,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland
276,Cropland,Bareland,Grassland,NULL,Non_Wetland,Grassland
277,Cropland,Bareland,Grassland,NULL,Non_Wetland,Bareland
278,Cropland,Bareland,Bareland,Water,Non_Wetland,Bareland
279,Cropland,Built-up,NULL,NULL,Non_Wetland,Grassland
280,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
281,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
282,Cropland,Built-up,Grassland,NULL,Non_Wetland,Cropland
283,Cropland,Built-up,Grassland,NULL,Non_Wetland,Bareland
284,Cropland,Built-up,Grassland,NULL,Non_Wetland,Built-up
285,Cropland,Built-up,Grassland,NULL,Non_Wetland,Forest
286,Cropland,Built-up,Built-up,NULL,Non_Wetland,Grassland
287,Cropland,Built-up,Built-up,NULL,Non_Wetland,Cropland
288,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland
289,Cropland,Built-up,Forest,NULL,Non_Wetland,Cropland
290,Cropland,Forest,NULL,NULL,Non_Wetland,NULL
291,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland
292,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
293,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
294,Cropland,Forest,Shrubland,NULL,Non_Wetland,Cropland
295,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest
296,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL
297,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland
298,Cropland,Forest,Grassland,NULL,Non_Wetland,Cropland
299,Cropland,Forest,Grassland,NULL,Non_Wetland,Forest
300,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL
301,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
302,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
303,Cropland,Forest,Forest,NULL,Non_Wetland,Cropland
304,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
305,Wetland,NULL,NULL,NULL,Non_Wetland,Cropland
306,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL
307,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
308,Wetland,NULL,Grassland,NULL,Non_Wetland,Forest
309,Wetland,NULL,Grassland,Non_Water,Non_Wetland,NULL
310,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
311,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Forest
312,Wetland,NULL,Cropland,NULL,Non_Wetland,Grassland
313,Wetland,NULL,Forest,Non_Water,Non_Wetland,Forest
314,Bareland,NULL,NULL,NULL,Non_Wetland,NULL
315,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
316,Bareland,NULL,NULL,NULL,Non_Wetland,Cropland
317,Bareland,NULL,NULL,NULL,Non_Wetland,Wetland
318,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland
319,Bareland,NULL,NULL,NULL,Non_Wetland,Built-up
320,Bareland,NULL,NULL,NULL,Non_Wetland,Forest
321,Bareland,NULL,NULL,Non_Water,Non_Wetland,NULL
322,Bareland,NULL,NULL,Non_Water,Non_Wetland,Grassland
323,Bareland,NULL,NULL,Non_Water,Non_Wetland,Cropland
324,Bareland,NULL,NULL,Non_Water,Non_Wetland,Wetland
325,Bareland,NULL,NULL,Non_Water,Non_Wetland,Bareland
326,Bareland,NULL,NULL,Water,Non_Wetland,Grassland
327,Bareland,NULL,NULL,Water,Non_Wetland,Cropland
328,Bareland,NULL,NULL,Water,Non_Wetland,Bareland
329,Bareland,NULL,NULL,Water,Non_Wetland,Forest
330,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
331,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
332,Bareland,NULL,Shrubland,NULL,Non_Wetland,Cropland
333,Bareland,NULL,Shrubland,NULL,Non_Wetland,Wetland
334,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
335,Bareland,NULL,Shrubland,NULL,Non_Wetland,Built-up
336,Bareland,NULL,Shrubland,NULL,Non_Wetland,Forest
337,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
338,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
339,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
340,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
341,Bareland,NULL,Shrubland,Water,Non_Wetland,Grassland
342,Bareland,NULL,Shrubland,Water,Non_Wetland,Cropland
343,Bareland,NULL,Shrubland,Water,Non_Wetland,Bareland
344,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL
345,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
346,Bareland,NULL,Grassland,NULL,Non_Wetland,Cropland
347,Bareland,NULL,Grassland,NULL,Non_Wetland,Wetland
348,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
349,Bareland,NULL,Grassland,NULL,Non_Wetland,Built-up
350,Bareland,NULL,Grassland,NULL,Non_Wetland,Water
351,Bareland,NULL,Grassland,NULL,Non_Wetland,Forest
352,Bareland,NULL,Grassland,Non_Water,Non_Wetland,NULL
353,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
354,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
355,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
356,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Forest
357,Bareland,NULL,Grassland,Water,Non_Wetland,Grassland
358,Bareland,NULL,Grassland,Water,Non_Wetland,Cropland
359,Bareland,NULL,Grassland,Water,Non_Wetland,Wetland
360,Bareland,NULL,Grassland,Water,Non_Wetland,Bareland
361,Bareland,NULL,Grassland,Water,Non_Wetland,Water
362,Bareland,NULL,Grassland,Water,Non_Wetland,Forest
363,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL
364,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
365,Bareland,NULL,Cropland,NULL,Non_Wetland,Cropland
366,Bareland,NULL,Cropland,NULL,Non_Wetland,Wetland
367,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland
368,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
369,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
370,Bareland,NULL,Wetland,NULL,Wetland,Grassland
371,Bareland,NULL,Wetland,NULL,Wetland,Cropland
372,Bareland,NULL,Wetland,NULL,Wetland,Bareland
373,Bareland,NULL,Wetland,Non_Water,Wetland,Grassland
374,Bareland,NULL,Wetland,Non_Water,Wetland,Cropland
375,Bareland,NULL,Wetland,Non_Water,Wetland,Bareland
376,Bareland,NULL,Wetland,Non_Water,Wetland,Forest
377,Bareland,NULL,Wetland,Water,Wetland,NULL
378,Bareland,NULL,Wetland,Water,Wetland,Grassland
379,Bareland,NULL,Wetland,Water,Wetland,Cropland
380,Bareland,NULL,Wetland,Water,Wetland,Wetland
381,Bareland,NULL,Wetland,Water,Wetland,Bareland
382,Bareland,NULL,Wetland,Water,Wetland,Water
383,Bareland,NULL,Wetland,Water,Wetland,Forest
384,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
385,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
386,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
387,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
388,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL
389,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland
390,Bareland,NULL,Bareland,NULL,Non_Wetland,Cropland
391,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland
392,Bareland,NULL,Bareland,NULL,Non_Wetland,Built-up
393,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
394,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Cropland
395,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
396,Bareland,NULL,Bareland,Water,Non_Wetland,Grassland
397,Bareland,NULL,Bareland,Water,Non_Wetland,Cropland
398,Bareland,NULL,Bareland,Water,Non_Wetland,Bareland
399,Bareland,NULL,Bareland,Water,Non_Wetland,Water
400,Bareland,NULL,Bareland,Water,Non_Wetland,Forest
401,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL
402,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland
403,Bareland,NULL,Built-up,NULL,Non_Wetland,Cropland
404,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland
405,Bareland,NULL,Built-up,NULL,Non_Wetland,Built-up
406,Bareland,NULL,Built-up,NULL,Non_Wetland,Forest
407,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
408,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Cropland
409,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Bareland
410,Bareland,NULL,Built-up,Water,Non_Wetland,Grassland
411,Bareland,NULL,Built-up,Water,Non_Wetland,Bareland
412,Bareland,NULL,Water,Water,Water,Grassland
413,Bareland,NULL,Water,Water,Water,Cropland
414,Bareland,NULL,Water,Water,Water,Bareland
415,Bareland,NULL,Forest,NULL,Non_Wetland,NULL
416,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland
417,Bareland,NULL,Forest,NULL,Non_Wetland,Cropland
418,Bareland,NULL,Forest,NULL,Non_Wetland,Wetland
419,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland
420,Bareland,NULL,Forest,NULL,Non_Wetland,Forest
421,Bareland,NULL,Forest,Non_Water,Non_Wetland,NULL
