Value,AFRICA_2024_DynamicWorld_2024_36NYN_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NYN_M_R,AFRICA_2024_GLC_FCS30D_2022_36NYN_M_R,AFRICA_2024_GSW_Yearly_2021_36NYN_M_R,AFRICA_2024_GWL_FCS30D_2022_36NYN_M_R,AFRICA_2024_WorldCover_2021_36NYN_M_R
118,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Built-up
119,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Forest
120,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
121,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
122,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
123,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
124,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
125,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
126,NULL,Built-up,Wetland,NULL,Wetland,Forest
127,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
128,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
129,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
130,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
131,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
132,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
133,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
134,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
135,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
136,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
137,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
138,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
139,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
140,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
141,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
142,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
143,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
144,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
145,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
146,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
147,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
148,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
149,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
150,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
151,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
152,NULL,Built-up,Forest,Non_Water,Non_Wetland,Built-up
153,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
154,NULL,Water,NULL,NULL,Non_Wetland,Forest
155,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
156,NULL,Water,Cropland,NULL,Non_Wetland,Forest
157,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
158,NULL,Water,Forest,NULL,Non_Wetland,NULL
159,NULL,Water,Forest,NULL,Non_Wetland,Grassland
160,NULL,Water,Forest,NULL,Non_Wetland,Forest
161,NULL,Forest,NULL,NULL,Non_Wetland,NULL
162,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
163,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
164,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
165,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
166,NULL,Forest,NULL,NULL,Non_Wetland,Forest
167,NULL,Forest,NULL,Non_Water,Non_Wetland,Grassland
168,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
169,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
170,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
171,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
172,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
173,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
174,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
175,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
176,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
177,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
178,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
179,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
180,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
181,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
182,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
183,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
184,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
185,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
186,NULL,Forest,Wetland,NULL,Wetland,Forest
187,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
188,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
189,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
190,NULL,Forest,Built-up,NULL,Non_Wetland,Cropland
191,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
192,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
193,NULL,Forest,Forest,NULL,Non_Wetland,NULL
194,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
195,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
196,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
197,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
198,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
199,NULL,Forest,Forest,NULL,Non_Wetland,Forest
200,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
201,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
202,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
203,NULL,Forest,Forest,Water,Non_Wetland,Grassland
204,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
205,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
206,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
207,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
208,Grassland,NULL,NULL,NULL,Non_Wetland,Built-up
209,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
210,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
211,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
212,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
213,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
214,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
215,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
216,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
217,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
218,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
219,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
220,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
221,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
222,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
223,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up
224,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
225,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
226,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
227,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
228,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up
229,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
230,Grassland,NULL,Wetland,NULL,Wetland,NULL
231,Grassland,NULL,Wetland,NULL,Wetland,Grassland
232,Grassland,NULL,Wetland,NULL,Wetland,Cropland
233,Grassland,NULL,Wetland,NULL,Wetland,Wetland
234,Grassland,NULL,Wetland,NULL,Wetland,Forest
235,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
236,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
237,Grassland,NULL,Bareland,NULL,Non_Wetland,Cropland
238,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
239,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
240,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL
241,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
242,Grassland,NULL,Built-up,NULL,Non_Wetland,Cropland
243,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
244,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
245,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
246,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
247,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up
248,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
249,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL
250,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
251,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
252,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL
253,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
254,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
255,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland
256,Grassland,Cropland,NULL,NULL,Non_Wetland,Built-up
257,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest
258,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
259,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
260,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
261,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
262,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
263,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
264,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL
265,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
266,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
267,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
268,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
269,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
270,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up
271,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest
272,Grassland,Cropland,Wetland,NULL,Wetland,Cropland
273,Grassland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
274,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL
275,Grassland,Cropland,Bareland,NULL,Non_Wetland,Built-up
276,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL
277,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland
278,Grassland,Cropland,Built-up,NULL,Non_Wetland,Cropland
279,Grassland,Cropland,Built-up,NULL,Non_Wetland,Built-up
280,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
281,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
282,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
283,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
284,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland
285,Grassland,Cropland,Forest,NULL,Non_Wetland,Built-up
286,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
287,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Grassland
288,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Cropland
289,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Forest
290,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland
291,Grassland,Wetland,Forest,NULL,Non_Wetland,Cropland
292,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland
293,Grassland,Built-up,NULL,NULL,Non_Wetland,Cropland
294,Grassland,Built-up,NULL,NULL,Non_Wetland,Forest
295,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
296,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland
297,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL
298,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland
299,Grassland,Built-up,Cropland,NULL,Non_Wetland,Cropland
300,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland
301,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL
302,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland
303,Grassland,Built-up,Forest,NULL,Non_Wetland,Cropland
304,Grassland,Built-up,Forest,NULL,Non_Wetland,Built-up
305,Grassland,Built-up,Forest,NULL,Non_Wetland,Forest
306,Grassland,Water,Shrubland,NULL,Non_Wetland,Cropland
307,Grassland,Water,Shrubland,NULL,Non_Wetland,Forest
308,Grassland,Water,Cropland,NULL,Non_Wetland,Forest
309,Grassland,Water,Forest,NULL,Non_Wetland,Grassland
310,Grassland,Water,Forest,NULL,Non_Wetland,Cropland
311,Grassland,Water,Forest,NULL,Non_Wetland,Forest
312,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
313,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
314,Grassland,Forest,NULL,NULL,Non_Wetland,Cropland
315,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland
316,Grassland,Forest,NULL,NULL,Non_Wetland,Built-up
317,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
318,Grassland,Forest,NULL,Non_Water,Non_Wetland,Grassland
319,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
320,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
321,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland
322,Grassland,Forest,Shrubland,NULL,Non_Wetland,Bareland
323,Grassland,Forest,Shrubland,NULL,Non_Wetland,Built-up
324,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
325,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL
326,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
327,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
328,Grassland,Forest,Grassland,NULL,Non_Wetland,Built-up
329,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
330,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
331,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland
332,Grassland,Forest,Cropland,NULL,Non_Wetland,Built-up
333,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
334,Grassland,Forest,Wetland,NULL,Wetland,NULL
335,Grassland,Forest,Wetland,NULL,Wetland,Grassland
336,Grassland,Forest,Wetland,NULL,Wetland,Cropland
337,Grassland,Forest,Wetland,NULL,Wetland,Wetland
338,Grassland,Forest,Wetland,NULL,Wetland,Forest
339,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL
340,Grassland,Forest,Bareland,NULL,Non_Wetland,Grassland
341,Grassland,Forest,Bareland,NULL,Non_Wetland,Wetland
342,Grassland,Forest,Bareland,NULL,Non_Wetland,Forest
343,Grassland,Forest,Built-up,NULL,Non_Wetland,NULL
344,Grassland,Forest,Built-up,NULL,Non_Wetland,Cropland
345,Grassland,Forest,Built-up,NULL,Non_Wetland,Forest
346,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
347,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
348,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland
349,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
350,Grassland,Forest,Forest,NULL,Non_Wetland,Bareland
351,Grassland,Forest,Forest,NULL,Non_Wetland,Built-up
352,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
353,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL
354,Grassland,Forest,Forest,Non_Water,Non_Wetland,Grassland
355,Grassland,Forest,Forest,Non_Water,Non_Wetland,Forest
356,Grassland,Forest,Forest,Water,Non_Wetland,Grassland
357,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
358,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
359,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
360,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland
361,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up
362,Cropland,NULL,NULL,NULL,Non_Wetland,Water
363,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
364,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland
365,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
366,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
367,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
368,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
369,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water
370,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
371,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
372,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
373,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
374,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
375,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
376,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
377,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
378,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
379,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
380,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
381,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
382,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
383,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
384,Cropland,NULL,Wetland,NULL,Wetland,Grassland
385,Cropland,NULL,Wetland,NULL,Wetland,Bareland
386,Cropland,NULL,Wetland,NULL,Wetland,Water
387,Cropland,NULL,Wetland,NULL,Wetland,Forest
388,Cropland,NULL,Wetland,Non_Water,Wetland,Water
389,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
390,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
391,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
392,Cropland,NULL,Bareland,NULL,Non_Wetland,Water
393,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
394,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
395,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
396,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
397,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
398,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
399,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
400,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
401,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
402,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland
403,Cropland,NULL,Forest,NULL,Non_Wetland,Built-up
404,Cropland,NULL,Forest,NULL,Non_Wetland,Water
405,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
406,Cropland,NULL,Forest,Non_Water,Non_Wetland,Grassland
407,Cropland,NULL,Forest,Water,Non_Wetland,Cropland
408,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
409,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
410,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
411,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland
412,Cropland,Cropland,NULL,NULL,Non_Wetland,Built-up
413,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
414,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
415,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
416,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
417,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
418,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
419,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Water
