Value,AFRICA_2024_DynamicWorld_2024_35PRN_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PRN_M_R,AFRICA_2024_GLC_FCS30D_2022_35PRN_M_R,AFRICA_2024_GSW_Yearly_2021_35PRN_M_R,AFRICA_2024_GWL_FCS30D_2022_35PRN_M_R,AFRICA_2024_WorldCover_2021_35PRN_M_R
119,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
120,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
121,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
122,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
123,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
124,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
125,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
126,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
127,NULL,Cropland,Forest,Water,Non_Wetland,Grassland
128,NULL,Cropland,Forest,Water,Non_Wetland,Cropland
129,NULL,Bareland,NULL,NULL,Non_Wetland,Grassland
130,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
131,NULL,Bareland,Shrubland,NULL,Non_Wetland,Cropland
132,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
133,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
134,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
135,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
136,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
137,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
138,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
139,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
140,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
141,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
142,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
143,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
144,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
145,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
146,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
147,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
148,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
149,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
150,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
151,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
152,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
153,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
154,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
155,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
156,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
157,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
158,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
159,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
160,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
161,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
162,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
163,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
164,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
165,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
166,NULL,Water,NULL,NULL,Non_Wetland,Grassland
167,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
168,NULL,Water,Grassland,NULL,Non_Wetland,Cropland
169,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
170,NULL,Water,Forest,NULL,Non_Wetland,Grassland
171,NULL,Forest,NULL,NULL,Non_Wetland,NULL
172,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
173,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
174,NULL,Forest,NULL,NULL,Non_Wetland,Forest
175,NULL,Forest,NULL,Non_Water,Non_Wetland,Grassland
176,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
177,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
178,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
179,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
180,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
181,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
182,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
183,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
184,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
185,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
186,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
187,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
188,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
189,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
190,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
191,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
192,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
193,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
194,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
195,NULL,Forest,Built-up,NULL,Non_Wetland,Cropland
196,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
197,NULL,Forest,Forest,NULL,Non_Wetland,NULL
198,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
199,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
200,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
201,NULL,Forest,Forest,NULL,Non_Wetland,Forest
202,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
203,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
204,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
205,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
206,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
207,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
208,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
209,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
210,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
211,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
212,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
213,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
214,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
215,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
216,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
217,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
218,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
219,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
220,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
221,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
222,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
223,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
224,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
225,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
226,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
227,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
228,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
229,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
230,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
231,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
232,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
233,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
234,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
235,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
236,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
237,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland
238,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
239,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland
240,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
241,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland
242,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
243,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
244,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
245,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland
246,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
247,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
248,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland
249,Cropland,NULL,NULL,Water,Non_Wetland,Grassland
250,Cropland,NULL,NULL,Water,Non_Wetland,Bareland
251,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
252,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
253,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
254,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland
255,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
256,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
257,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
258,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
259,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
260,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
261,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
262,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
263,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
264,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
265,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
266,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland
267,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
268,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
269,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
270,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
271,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
272,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
273,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
274,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
275,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
276,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland
277,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
278,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
279,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL
280,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
281,Cropland,NULL,Wetland,NULL,Wetland,NULL
282,Cropland,NULL,Wetland,NULL,Wetland,Grassland
283,Cropland,NULL,Wetland,NULL,Wetland,Cropland
284,Cropland,NULL,Wetland,NULL,Wetland,Wetland
285,Cropland,NULL,Wetland,NULL,Wetland,Forest
286,Cropland,NULL,Wetland,Non_Water,Wetland,Grassland
287,Cropland,NULL,Wetland,Non_Water,Wetland,Forest
288,Cropland,NULL,Wetland,Water,Wetland,Bareland
289,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
290,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
291,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
292,Cropland,NULL,Bareland,NULL,Non_Wetland,Wetland
293,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
294,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
295,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
296,Cropland,NULL,Built-up,NULL,Non_Wetland,Wetland
297,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
298,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
299,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
300,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
301,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
302,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
303,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
304,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
305,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland
306,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
307,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL
308,Cropland,NULL,Forest,Non_Water,Non_Wetland,Grassland
309,Cropland,NULL,Forest,Non_Water,Non_Wetland,Cropland
310,Cropland,NULL,Forest,Non_Water,Non_Wetland,Forest
311,Cropland,NULL,Forest,Water,Non_Wetland,Grassland
312,Cropland,NULL,Forest,Water,Non_Wetland,Bareland
313,Cropland,NULL,Forest,Water,Non_Wetland,Forest
314,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
315,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
316,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
317,Cropland,Cropland,NULL,NULL,Non_Wetland,Wetland
318,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland
319,Cropland,Cropland,NULL,NULL,Non_Wetland,Built-up
320,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
321,Cropland,Cropland,NULL,Non_Water,Non_Wetland,Cropland
322,Cropland,Cropland,NULL,Water,Non_Wetland,Bareland
323,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
324,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
325,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
326,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
327,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
328,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
329,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
330,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
331,Cropland,Cropland,Shrubland,Water,Non_Wetland,Cropland
332,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
333,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
334,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
335,Cropland,Cropland,Grassland,NULL,Non_Wetland,Wetland
336,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
337,Cropland,Cropland,Grassland,NULL,Non_Wetland,Built-up
338,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
339,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
340,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
341,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Bareland
342,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
343,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
344,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
345,Cropland,Cropland,Cropland,NULL,Non_Wetland,Wetland
346,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up
347,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
348,Cropland,Cropland,Wetland,NULL,Wetland,Grassland
349,Cropland,Cropland,Wetland,NULL,Wetland,Forest
350,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
351,Cropland,Cropland,Bareland,NULL,Non_Wetland,Forest
352,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL
353,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
354,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland
355,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland
356,Cropland,Cropland,Built-up,NULL,Non_Wetland,Built-up
357,Cropland,Cropland,Built-up,NULL,Non_Wetland,Forest
358,Cropland,Cropland,Water,NULL,Water,Cropland
359,Cropland,Cropland,Water,Water,Water,Bareland
360,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
361,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
362,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland
363,Cropland,Cropland,Forest,NULL,Non_Wetland,Wetland
364,Cropland,Cropland,Forest,NULL,Non_Wetland,Built-up
365,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
366,Cropland,Cropland,Forest,Non_Water,Non_Wetland,Grassland
367,Cropland,Cropland,Forest,Non_Water,Non_Wetland,Cropland
368,Cropland,Cropland,Forest,Water,Non_Wetland,Grassland
369,Cropland,Bareland,Grassland,NULL,Non_Wetland,Grassland
370,Cropland,Bareland,Grassland,NULL,Non_Wetland,Cropland
371,Cropland,Bareland,Grassland,NULL,Non_Wetland,Bareland
372,Cropland,Bareland,Built-up,NULL,Non_Wetland,Grassland
373,Cropland,Built-up,NULL,NULL,Non_Wetland,Grassland
374,Cropland,Built-up,NULL,NULL,Non_Wetland,Cropland
375,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL
376,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
377,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Cropland
378,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Forest
379,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
380,Cropland,Built-up,Grassland,NULL,Non_Wetland,Cropland
381,Cropland,Built-up,Grassland,NULL,Non_Wetland,Bareland
382,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland
383,Cropland,Built-up,Built-up,NULL,Non_Wetland,Grassland
384,Cropland,Built-up,Built-up,NULL,Non_Wetland,Cropland
385,Cropland,Built-up,Built-up,NULL,Non_Wetland,Built-up
386,Cropland,Built-up,Built-up,NULL,Non_Wetland,Forest
387,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland
388,Cropland,Built-up,Forest,NULL,Non_Wetland,Cropland
389,Cropland,Built-up,Forest,NULL,Non_Wetland,Forest
390,Cropland,Water,Shrubland,NULL,Non_Wetland,Grassland
391,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland
392,Cropland,Forest,NULL,NULL,Non_Wetland,Cropland
393,Cropland,Forest,NULL,NULL,Non_Wetland,Wetland
394,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
395,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
396,Cropland,Forest,Shrubland,NULL,Non_Wetland,Cropland
397,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest
398,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL
399,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland
400,Cropland,Forest,Grassland,NULL,Non_Wetland,Cropland
401,Cropland,Forest,Grassland,NULL,Non_Wetland,Forest
402,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland
403,Cropland,Forest,Cropland,NULL,Non_Wetland,Cropland
404,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest
405,Cropland,Forest,Wetland,NULL,Wetland,Grassland
406,Cropland,Forest,Wetland,NULL,Wetland,Forest
407,Cropland,Forest,Built-up,NULL,Non_Wetland,Grassland
408,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
409,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
410,Cropland,Forest,Forest,NULL,Non_Wetland,Cropland
411,Cropland,Forest,Forest,NULL,Non_Wetland,Wetland
412,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
413,Wetland,NULL,NULL,NULL,Non_Wetland,NULL
414,Wetland,NULL,NULL,NULL,Non_Wetland,Grassland
415,Wetland,NULL,NULL,NULL,Non_Wetland,Cropland
416,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
417,Wetland,NULL,Shrubland,NULL,Non_Wetland,Cropland
