Value,AFRICA_2024_DynamicWorld_2024_36PZQ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PZQ_M_R,AFRICA_2024_GLC_FCS30D_2022_36PZQ_M_R,AFRICA_2024_GSW_Yearly_2021_36PZQ_M_R,AFRICA_2024_GWL_FCS30D_2022_36PZQ_M_R,AFRICA_2024_WorldCover_2021_36PZQ_M_R
117,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
118,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
119,NULL,Cropland,Bareland,Water,Non_Wetland,Grassland
120,NULL,Cropland,Bareland,Water,Non_Wetland,Cropland
121,NULL,Cropland,Bareland,Water,Non_Wetland,Bareland
122,NULL,Cropland,Bareland,Water,Non_Wetland,Water
123,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
124,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
125,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
126,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
127,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
128,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
129,NULL,Cropland,Built-up,Water,Non_Wetland,Grassland
130,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
131,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
132,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
133,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
134,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
135,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
136,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
137,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL
138,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
139,NULL,Cropland,Forest,Non_Water,Non_Wetland,Cropland
140,NULL,Cropland,Forest,Water,Non_Wetland,Grassland
141,NULL,Cropland,Forest,Water,Non_Wetland,Cropland
142,NULL,Cropland,Forest,Water,Non_Wetland,Bareland
143,NULL,Bareland,Bareland,NULL,Non_Wetland,Cropland
144,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
145,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
146,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
147,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland
148,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
149,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
150,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
151,NULL,Built-up,NULL,Non_Water,Non_Wetland,Cropland
152,NULL,Built-up,NULL,Non_Water,Non_Wetland,Forest
153,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
154,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
155,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
156,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
157,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
158,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
159,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Cropland
160,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up
161,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
162,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
163,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
164,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
165,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
166,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
167,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
168,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
169,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
170,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland
171,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
172,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
173,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
174,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
175,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
176,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
177,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
178,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
179,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
180,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
181,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
182,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
183,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
184,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
185,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
186,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
187,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
188,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
189,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
190,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
191,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
192,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
193,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
194,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
195,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
196,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
197,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
198,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL
199,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland
200,NULL,Built-up,Forest,Non_Water,Non_Wetland,Cropland
201,NULL,Built-up,Forest,Non_Water,Non_Wetland,Built-up
202,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
203,NULL,Water,NULL,NULL,Non_Wetland,Grassland
204,NULL,Water,NULL,Water,Non_Wetland,Grassland
205,NULL,Water,NULL,Water,Non_Wetland,Cropland
206,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
207,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
208,NULL,Water,Shrubland,Water,Non_Wetland,Cropland
209,NULL,Water,Shrubland,Water,Non_Wetland,Wetland
210,NULL,Water,Shrubland,Water,Non_Wetland,Bareland
211,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
212,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
213,NULL,Water,Cropland,Water,Non_Wetland,Grassland
214,NULL,Water,Cropland,Water,Non_Wetland,Cropland
215,NULL,Water,Wetland,NULL,Wetland,Cropland
216,NULL,Water,Wetland,Water,Wetland,Cropland
217,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
218,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
219,NULL,Water,Bareland,NULL,Non_Wetland,Cropland
220,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
221,NULL,Water,Bareland,Water,Non_Wetland,Grassland
222,NULL,Water,Bareland,Water,Non_Wetland,Cropland
223,NULL,Water,Bareland,Water,Non_Wetland,Wetland
224,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
225,NULL,Water,Water,Water,Water,Grassland
226,NULL,Water,Water,Water,Water,Cropland
227,NULL,Water,Forest,NULL,Non_Wetland,NULL
228,NULL,Water,Forest,NULL,Non_Wetland,Grassland
229,NULL,Water,Forest,NULL,Non_Wetland,Cropland
230,NULL,Water,Forest,NULL,Non_Wetland,Forest
231,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland
232,NULL,Water,Forest,Water,Non_Wetland,Grassland
233,NULL,Water,Forest,Water,Non_Wetland,Cropland
234,NULL,Water,Forest,Water,Non_Wetland,Wetland
235,NULL,Water,Forest,Water,Non_Wetland,Forest
236,NULL,Forest,NULL,NULL,Non_Wetland,NULL
237,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
238,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
239,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
240,NULL,Forest,NULL,NULL,Non_Wetland,Forest
241,NULL,Forest,NULL,Water,Non_Wetland,Cropland
242,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
243,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
244,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
245,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
246,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
247,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
248,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
249,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
250,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Cropland
251,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
252,NULL,Forest,Shrubland,Water,Non_Wetland,Cropland
253,NULL,Forest,Shrubland,Water,Non_Wetland,Wetland
254,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
255,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
256,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
257,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
258,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
259,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
260,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
261,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
262,NULL,Forest,Bareland,NULL,Non_Wetland,Cropland
263,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
264,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
265,NULL,Forest,Built-up,NULL,Non_Wetland,Cropland
266,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
267,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
268,NULL,Forest,Forest,NULL,Non_Wetland,NULL
269,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
270,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
271,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
272,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
273,NULL,Forest,Forest,NULL,Non_Wetland,Forest
274,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
275,NULL,Forest,Forest,Non_Water,Non_Wetland,Cropland
276,NULL,Forest,Forest,Water,Non_Wetland,Cropland
277,NULL,Forest,Forest,Water,Non_Wetland,Wetland
278,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
279,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
280,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
281,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
282,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
283,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL
284,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
285,Grassland,NULL,NULL,Non_Water,Non_Wetland,Cropland
286,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland
287,Grassland,NULL,NULL,Water,Non_Wetland,Grassland
288,Grassland,NULL,NULL,Water,Non_Wetland,Cropland
289,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
290,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
291,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
292,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
293,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
294,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
295,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
296,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
297,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
298,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
299,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL
300,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
301,Grassland,NULL,Shrubland,Water,Non_Wetland,Cropland
302,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
303,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
304,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
305,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland
306,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
307,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
308,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
309,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
310,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland
311,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
312,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
313,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
314,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
315,Grassland,NULL,Cropland,Water,Non_Wetland,Cropland
316,Grassland,NULL,Wetland,NULL,Wetland,Grassland
317,Grassland,NULL,Wetland,NULL,Wetland,Cropland
318,Grassland,NULL,Wetland,NULL,Wetland,Wetland
319,Grassland,NULL,Wetland,NULL,Wetland,Forest
320,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
321,Grassland,NULL,Wetland,Water,Wetland,Grassland
322,Grassland,NULL,Wetland,Water,Wetland,Cropland
323,Grassland,NULL,Wetland,Water,Wetland,Wetland
324,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
325,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
326,Grassland,NULL,Bareland,NULL,Non_Wetland,Cropland
327,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
328,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
329,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
330,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
331,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland
332,Grassland,NULL,Bareland,Water,Non_Wetland,Cropland
333,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
334,Grassland,NULL,Built-up,NULL,Non_Wetland,Cropland
335,Grassland,NULL,Built-up,NULL,Non_Wetland,Forest
336,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Wetland
337,Grassland,NULL,Water,Water,Water,Grassland
338,Grassland,NULL,Water,Water,Water,Cropland
339,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
340,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
341,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
342,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
343,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland
344,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up
345,Grassland,NULL,Forest,NULL,Non_Wetland,Water
346,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
347,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL
348,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
349,Grassland,NULL,Forest,Non_Water,Non_Wetland,Cropland
350,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
351,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
352,Grassland,NULL,Forest,Water,Non_Wetland,NULL
353,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
354,Grassland,NULL,Forest,Water,Non_Wetland,Cropland
355,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
356,Grassland,NULL,Forest,Water,Non_Wetland,Forest
357,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL
358,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
359,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
360,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland
361,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest
362,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Grassland
363,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Cropland
364,Grassland,Cropland,NULL,Water,Non_Wetland,Grassland
365,Grassland,Cropland,NULL,Water,Non_Wetland,Cropland
366,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
367,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
368,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
369,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
370,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
371,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
372,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
373,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
374,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
375,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
376,Grassland,Cropland,Shrubland,Water,Non_Wetland,Grassland
377,Grassland,Cropland,Shrubland,Water,Non_Wetland,Cropland
378,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
379,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
380,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
381,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
382,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland
383,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland
384,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up
385,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest
386,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
387,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
388,Grassland,Cropland,Cropland,Water,Non_Wetland,Cropland
389,Grassland,Cropland,Wetland,NULL,Wetland,Wetland
390,Grassland,Cropland,Wetland,NULL,Wetland,Forest
391,Grassland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
392,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL
393,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland
394,Grassland,Cropland,Bareland,NULL,Non_Wetland,Cropland
395,Grassland,Cropland,Bareland,NULL,Non_Wetland,Wetland
396,Grassland,Cropland,Bareland,NULL,Non_Wetland,Forest
397,Grassland,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
398,Grassland,Cropland,Bareland,Water,Non_Wetland,Cropland
399,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland
400,Grassland,Cropland,Built-up,NULL,Non_Wetland,Cropland
401,Grassland,Cropland,Built-up,NULL,Non_Wetland,Forest
402,Grassland,Cropland,Water,NULL,Water,Cropland
403,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
404,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
405,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
406,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
407,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland
408,Grassland,Cropland,Forest,NULL,Non_Wetland,Built-up
409,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
410,Grassland,Cropland,Forest,Non_Water,Non_Wetland,NULL
411,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Grassland
412,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Cropland
413,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Wetland
414,Grassland,Cropland,Forest,Water,Non_Wetland,Grassland
415,Grassland,Cropland,Forest,Water,Non_Wetland,Cropland
416,Grassland,Cropland,Forest,Water,Non_Wetland,Forest
417,Grassland,Wetland,Wetland,NULL,Wetland,Wetland
418,Grassland,Wetland,Forest,NULL,Non_Wetland,Cropland
