Value,AFRICA_2024_DynamicWorld_2024_36NTK_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NTK_M_R,AFRICA_2024_GLC_FCS30D_2022_36NTK_M_R,AFRICA_2024_GSW_Yearly_2021_36NTK_M_R,AFRICA_2024_GWL_FCS30D_2022_36NTK_M_R,AFRICA_2024_WorldCover_2021_36NTK_M_R
120,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
121,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
122,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
123,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
124,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
125,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
126,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
127,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
128,NULL,Forest,Wetland,NULL,Wetland,NULL
129,NULL,Forest,Wetland,NULL,Wetland,Grassland
130,NULL,Forest,Wetland,NULL,Wetland,Forest
131,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
132,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
133,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
134,NULL,Forest,Built-up,NULL,Non_Wetland,Cropland
135,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
136,NULL,Forest,Forest,NULL,Non_Wetland,NULL
137,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
138,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
139,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
140,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
141,NULL,Forest,Forest,NULL,Non_Wetland,Forest
142,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
143,NULL,Forest,Forest,Water,Non_Wetland,NULL
144,NULL,Forest,Forest,Water,Non_Wetland,Grassland
145,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
146,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
147,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
148,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
149,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
150,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
151,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
152,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
153,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
154,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
155,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
156,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
157,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
158,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
159,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
160,Grassland,NULL,Wetland,NULL,Wetland,NULL
161,Grassland,NULL,Wetland,NULL,Wetland,Grassland
162,Grassland,NULL,Wetland,NULL,Wetland,Wetland
163,Grassland,NULL,Wetland,NULL,Wetland,Forest
164,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
165,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
166,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
167,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
168,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
169,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
170,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
171,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
172,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
173,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
174,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
175,Grassland,Forest,NULL,NULL,Non_Wetland,Cropland
176,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
177,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
178,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
179,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
180,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
181,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
182,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
183,Grassland,Forest,Wetland,NULL,Wetland,NULL
184,Grassland,Forest,Wetland,NULL,Wetland,Grassland
185,Grassland,Forest,Wetland,NULL,Wetland,Forest
186,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL
187,Grassland,Forest,Bareland,NULL,Non_Wetland,Forest
188,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
189,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
190,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland
191,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
192,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
193,Grassland,Forest,Forest,Water,Non_Wetland,Grassland
194,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
195,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
196,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
197,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
198,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
199,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
200,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
201,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
202,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
203,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
204,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
205,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
206,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
207,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
208,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
209,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
210,Cropland,NULL,Forest,NULL,Non_Wetland,Built-up
211,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
212,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
213,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
214,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL
215,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
216,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
217,Cropland,Wetland,Forest,NULL,Non_Wetland,Forest
218,Cropland,Built-up,NULL,NULL,Non_Wetland,Grassland
219,Cropland,Built-up,NULL,NULL,Non_Wetland,Built-up
220,Cropland,Built-up,NULL,NULL,Non_Wetland,Forest
221,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
222,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Forest
223,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL
224,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland
225,Cropland,Built-up,Cropland,NULL,Non_Wetland,Cropland
226,Cropland,Built-up,Cropland,NULL,Non_Wetland,Built-up
227,Cropland,Built-up,Cropland,NULL,Non_Wetland,Forest
228,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL
229,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland
230,Cropland,Built-up,Forest,NULL,Non_Wetland,Cropland
231,Cropland,Built-up,Forest,NULL,Non_Wetland,Forest
232,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland
233,Cropland,Forest,NULL,NULL,Non_Wetland,Cropland
234,Cropland,Forest,NULL,NULL,Non_Wetland,Forest
235,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
236,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
237,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL
238,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland
239,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest
240,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
241,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
242,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
243,Wetland,NULL,NULL,NULL,Non_Wetland,NULL
244,Wetland,NULL,NULL,NULL,Non_Wetland,Grassland
245,Wetland,NULL,NULL,NULL,Non_Wetland,Forest
246,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
247,Wetland,NULL,Shrubland,NULL,Non_Wetland,Forest
248,Wetland,NULL,Wetland,NULL,Wetland,Forest
249,Wetland,NULL,Forest,NULL,Non_Wetland,NULL
250,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland
251,Wetland,NULL,Forest,NULL,Non_Wetland,Forest
252,Wetland,NULL,Forest,Water,Non_Wetland,Grassland
253,Wetland,Water,NULL,NULL,Non_Wetland,Forest
254,Wetland,Water,Wetland,NULL,Wetland,Grassland
255,Wetland,Water,Wetland,NULL,Wetland,Wetland
256,Wetland,Water,Wetland,NULL,Wetland,Forest
257,Wetland,Water,Wetland,Water,Wetland,Water
258,Wetland,Water,Water,Water,Water,Water
259,Wetland,Water,Forest,NULL,Non_Wetland,Forest
260,Wetland,Forest,NULL,NULL,Non_Wetland,Grassland
261,Wetland,Forest,Shrubland,NULL,Non_Wetland,Grassland
262,Wetland,Forest,Wetland,NULL,Wetland,NULL
263,Wetland,Forest,Wetland,NULL,Wetland,Forest
264,Wetland,Forest,Forest,NULL,Non_Wetland,NULL
265,Wetland,Forest,Forest,NULL,Non_Wetland,Grassland
266,Wetland,Forest,Forest,NULL,Non_Wetland,Forest
267,Wetland,Forest,Forest,Non_Water,Non_Wetland,NULL
268,Wetland,Forest,Forest,Non_Water,Non_Wetland,Grassland
269,Wetland,Forest,Forest,Water,Non_Wetland,Grassland
270,Bareland,NULL,NULL,NULL,Non_Wetland,Forest
271,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
272,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
273,Bareland,NULL,Shrubland,NULL,Non_Wetland,Built-up
274,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL
275,Bareland,NULL,Forest,NULL,Non_Wetland,NULL
276,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland
277,Bareland,NULL,Forest,NULL,Non_Wetland,Forest
278,Bareland,Forest,Cropland,NULL,Non_Wetland,Forest
279,Bareland,Forest,Forest,NULL,Non_Wetland,Grassland
280,Water,NULL,NULL,NULL,Non_Wetland,Grassland
281,Water,NULL,NULL,NULL,Non_Wetland,Forest
282,Water,NULL,Shrubland,NULL,Non_Wetland,NULL
283,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland
284,Water,NULL,Shrubland,NULL,Non_Wetland,Forest
285,Water,NULL,Grassland,NULL,Non_Wetland,Grassland
286,Water,NULL,Cropland,NULL,Non_Wetland,NULL
287,Water,NULL,Cropland,NULL,Non_Wetland,Forest
288,Water,NULL,Wetland,NULL,Wetland,Grassland
289,Water,NULL,Wetland,NULL,Wetland,Wetland
290,Water,NULL,Wetland,NULL,Wetland,Forest
291,Water,NULL,Built-up,NULL,Non_Wetland,Grassland
292,Water,NULL,Water,NULL,Water,Grassland
293,Water,NULL,Forest,NULL,Non_Wetland,NULL
294,Water,NULL,Forest,NULL,Non_Wetland,Grassland
295,Water,NULL,Forest,NULL,Non_Wetland,Wetland
296,Water,NULL,Forest,NULL,Non_Wetland,Forest
297,Water,Wetland,Shrubland,NULL,Non_Wetland,Grassland
298,Water,Built-up,NULL,NULL,Non_Wetland,Grassland
299,Water,Built-up,NULL,NULL,Non_Wetland,Forest
300,Water,Built-up,Shrubland,NULL,Non_Wetland,Grassland
301,Water,Built-up,Shrubland,NULL,Non_Wetland,Forest
302,Water,Built-up,Cropland,NULL,Non_Wetland,NULL
303,Water,Built-up,Wetland,NULL,Wetland,Forest
304,Water,Built-up,Bareland,NULL,Non_Wetland,Grassland
305,Water,Built-up,Forest,NULL,Non_Wetland,Grassland
306,Water,Built-up,Forest,NULL,Non_Wetland,Forest
307,Water,Water,NULL,NULL,Non_Wetland,Grassland
308,Water,Water,NULL,NULL,Non_Wetland,Water
309,Water,Water,NULL,NULL,Non_Wetland,Forest
310,Water,Water,NULL,Non_Water,Non_Wetland,Bareland
311,Water,Water,NULL,Non_Water,Non_Wetland,Forest
312,Water,Water,Shrubland,NULL,Non_Wetland,Grassland
313,Water,Water,Shrubland,NULL,Non_Wetland,Wetland
314,Water,Water,Shrubland,NULL,Non_Wetland,Water
315,Water,Water,Shrubland,NULL,Non_Wetland,Forest
316,Water,Water,Shrubland,Non_Water,Non_Wetland,Forest
317,Water,Water,Cropland,NULL,Non_Wetland,NULL
318,Water,Water,Cropland,NULL,Non_Wetland,Grassland
319,Water,Water,Wetland,NULL,Wetland,NULL
320,Water,Water,Wetland,NULL,Wetland,Grassland
321,Water,Water,Wetland,NULL,Wetland,Wetland
322,Water,Water,Wetland,NULL,Wetland,Bareland
323,Water,Water,Wetland,NULL,Wetland,Water
324,Water,Water,Wetland,NULL,Wetland,Forest
325,Water,Water,Wetland,Non_Water,Wetland,Grassland
326,Water,Water,Wetland,Non_Water,Wetland,Forest
327,Water,Water,Wetland,Water,Wetland,Water
328,Water,Water,Wetland,Water,Wetland,Forest
329,Water,Water,Bareland,NULL,Non_Wetland,Grassland
330,Water,Water,Bareland,NULL,Non_Wetland,Water
331,Water,Water,Bareland,NULL,Non_Wetland,Forest
332,Water,Water,Built-up,NULL,Non_Wetland,Grassland
333,Water,Water,Built-up,NULL,Non_Wetland,Wetland
334,Water,Water,Built-up,NULL,Non_Wetland,Forest
335,Water,Water,Water,NULL,Water,Water
336,Water,Water,Water,NULL,Water,Forest
337,Water,Water,Water,Water,Water,Grassland
338,Water,Water,Water,Water,Water,Water
339,Water,Water,Water,Water,Water,Forest
340,Water,Water,Forest,NULL,Non_Wetland,NULL
341,Water,Water,Forest,NULL,Non_Wetland,Grassland
342,Water,Water,Forest,NULL,Non_Wetland,Wetland
343,Water,Water,Forest,NULL,Non_Wetland,Bareland
344,Water,Water,Forest,NULL,Non_Wetland,Water
345,Water,Water,Forest,NULL,Non_Wetland,Forest
346,Water,Water,Forest,Non_Water,Non_Wetland,Forest
347,Water,Water,Forest,Water,Non_Wetland,Wetland
348,Water,Water,Forest,Water,Non_Wetland,Forest
349,Water,Forest,NULL,NULL,Non_Wetland,Grassland
350,Water,Forest,NULL,NULL,Non_Wetland,Wetland
351,Water,Forest,Shrubland,NULL,Non_Wetland,Grassland
352,Water,Forest,Shrubland,NULL,Non_Wetland,Forest
353,Water,Forest,Cropland,NULL,Non_Wetland,Forest
354,Water,Forest,Wetland,NULL,Wetland,Grassland
355,Water,Forest,Wetland,NULL,Wetland,Forest
356,Water,Forest,Water,NULL,Water,Grassland
357,Water,Forest,Forest,NULL,Non_Wetland,NULL
358,Water,Forest,Forest,NULL,Non_Wetland,Grassland
359,Water,Forest,Forest,NULL,Non_Wetland,Forest
360,Forest,NULL,NULL,NULL,Non_Wetland,NULL
361,Forest,NULL,NULL,NULL,Non_Wetland,Grassland
362,Forest,NULL,NULL,NULL,Non_Wetland,Cropland
363,Forest,NULL,NULL,NULL,Non_Wetland,Wetland
364,Forest,NULL,NULL,NULL,Non_Wetland,Built-up
365,Forest,NULL,NULL,NULL,Non_Wetland,Forest
366,Forest,NULL,NULL,Non_Water,Non_Wetland,NULL
367,Forest,NULL,NULL,Non_Water,Non_Wetland,Cropland
368,Forest,NULL,NULL,Non_Water,Non_Wetland,Forest
369,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
370,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland
371,Forest,NULL,Shrubland,NULL,Non_Wetland,Cropland
372,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland
373,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland
374,Forest,NULL,Shrubland,NULL,Non_Wetland,Built-up
375,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest
376,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL
377,Forest,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
378,Forest,NULL,Shrubland,Water,Non_Wetland,Grassland
379,Forest,NULL,Grassland,NULL,Non_Wetland,NULL
380,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland
381,Forest,NULL,Grassland,NULL,Non_Wetland,Cropland
382,Forest,NULL,Grassland,NULL,Non_Wetland,Bareland
383,Forest,NULL,Grassland,NULL,Non_Wetland,Forest
384,Forest,NULL,Cropland,NULL,Non_Wetland,NULL
385,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland
386,Forest,NULL,Cropland,NULL,Non_Wetland,Cropland
387,Forest,NULL,Cropland,NULL,Non_Wetland,Wetland
388,Forest,NULL,Cropland,NULL,Non_Wetland,Built-up
389,Forest,NULL,Cropland,NULL,Non_Wetland,Forest
390,Forest,NULL,Cropland,Non_Water,Non_Wetland,Forest
391,Forest,NULL,Wetland,NULL,Wetland,NULL
392,Forest,NULL,Wetland,NULL,Wetland,Grassland
393,Forest,NULL,Wetland,NULL,Wetland,Wetland
394,Forest,NULL,Wetland,NULL,Wetland,Forest
395,Forest,NULL,Bareland,NULL,Non_Wetland,NULL
396,Forest,NULL,Bareland,NULL,Non_Wetland,Grassland
397,Forest,NULL,Bareland,NULL,Non_Wetland,Bareland
398,Forest,NULL,Bareland,NULL,Non_Wetland,Forest
399,Forest,NULL,Bareland,Non_Water,Non_Wetland,NULL
400,Forest,NULL,Bareland,Non_Water,Non_Wetland,Forest
401,Forest,NULL,Built-up,NULL,Non_Wetland,NULL
402,Forest,NULL,Built-up,NULL,Non_Wetland,Grassland
403,Forest,NULL,Built-up,NULL,Non_Wetland,Cropland
404,Forest,NULL,Built-up,NULL,Non_Wetland,Built-up
405,Forest,NULL,Built-up,NULL,Non_Wetland,Forest
406,Forest,NULL,Water,NULL,Water,Grassland
407,Forest,NULL,Forest,NULL,Non_Wetland,NULL
408,Forest,NULL,Forest,NULL,Non_Wetland,Grassland
409,Forest,NULL,Forest,NULL,Non_Wetland,Cropland
410,Forest,NULL,Forest,NULL,Non_Wetland,Wetland
411,Forest,NULL,Forest,NULL,Non_Wetland,Built-up
412,Forest,NULL,Forest,NULL,Non_Wetland,Forest
413,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL
414,Forest,NULL,Forest,Non_Water,Non_Wetland,Grassland
415,Forest,NULL,Forest,Non_Water,Non_Wetland,Cropland
416,Forest,NULL,Forest,Non_Water,Non_Wetland,Wetland
417,Forest,NULL,Forest,Non_Water,Non_Wetland,Forest
418,Forest,NULL,Forest,Water,Non_Wetland,Grassland
419,Forest,Cropland,NULL,NULL,Non_Wetland,NULL
420,Forest,Cropland,NULL,NULL,Non_Wetland,Grassland
421,Forest,Cropland,NULL,NULL,Non_Wetland,Cropland
422,Forest,Cropland,NULL,NULL,Non_Wetland,Forest
423,Forest,Cropland,Shrubland,NULL,Non_Wetland,NULL
424,Forest,Cropland,Shrubland,NULL,Non_Wetland,Grassland
425,Forest,Cropland,Shrubland,NULL,Non_Wetland,Cropland
426,Forest,Cropland,Shrubland,NULL,Non_Wetland,Forest
427,Forest,Cropland,Cropland,NULL,Non_Wetland,NULL
428,Forest,Cropland,Cropland,NULL,Non_Wetland,Grassland
429,Forest,Cropland,Cropland,NULL,Non_Wetland,Cropland
430,Forest,Cropland,Cropland,NULL,Non_Wetland,Forest
431,Forest,Cropland,Built-up,NULL,Non_Wetland,NULL
432,Forest,Cropland,Forest,NULL,Non_Wetland,NULL
433,Forest,Cropland,Forest,NULL,Non_Wetland,Grassland
434,Forest,Cropland,Forest,NULL,Non_Wetland,Cropland
435,Forest,Cropland,Forest,NULL,Non_Wetland,Forest
