Value,AFRICA_2024_DynamicWorld_2024_37NGF_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NGF_M_R,AFRICA_2024_GLC_FCS30D_2022_37NGF_M_R,AFRICA_2024_GSW_Yearly_2021_37NGF_M_R,AFRICA_2024_GWL_FCS30D_2022_37NGF_M_R,AFRICA_2024_WorldCover_2021_37NGF_M_R
120,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
121,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
122,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
123,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
124,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
125,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
126,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
127,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
128,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
129,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
130,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
131,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
132,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
133,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
134,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
135,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
136,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
137,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
138,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
139,NULL,Water,NULL,NULL,Non_Wetland,Cropland
140,NULL,Water,NULL,NULL,Non_Wetland,Forest
141,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
142,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
143,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
144,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
145,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
146,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
147,NULL,Water,Shrubland,Water,Non_Wetland,NULL
148,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
149,NULL,Water,Shrubland,Water,Non_Wetland,Forest
150,NULL,Water,Grassland,NULL,Non_Wetland,NULL
151,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
152,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
153,NULL,Water,Grassland,NULL,Non_Wetland,Forest
154,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL
155,NULL,Water,Grassland,Water,Non_Wetland,Grassland
156,NULL,Water,Grassland,Water,Non_Wetland,Bareland
157,NULL,Water,Cropland,NULL,Non_Wetland,NULL
158,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
159,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
160,NULL,Water,Cropland,NULL,Non_Wetland,Wetland
161,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
162,NULL,Water,Cropland,NULL,Non_Wetland,Forest
163,NULL,Water,Cropland,Non_Water,Non_Wetland,NULL
164,NULL,Water,Cropland,Non_Water,Non_Wetland,Grassland
165,NULL,Water,Cropland,Non_Water,Non_Wetland,Cropland
166,NULL,Water,Cropland,Non_Water,Non_Wetland,Forest
167,NULL,Water,Cropland,Water,Non_Wetland,NULL
168,NULL,Water,Cropland,Water,Non_Wetland,Grassland
169,NULL,Water,Cropland,Water,Non_Wetland,Forest
170,NULL,Water,Bareland,NULL,Non_Wetland,NULL
171,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
172,NULL,Water,Bareland,NULL,Non_Wetland,Forest
173,NULL,Water,Bareland,Non_Water,Non_Wetland,Grassland
174,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
175,NULL,Water,Water,NULL,Water,Grassland
176,NULL,Water,Forest,NULL,Non_Wetland,NULL
177,NULL,Water,Forest,NULL,Non_Wetland,Grassland
178,NULL,Water,Forest,NULL,Non_Wetland,Forest
179,NULL,Forest,NULL,NULL,Non_Wetland,NULL
180,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
181,NULL,Forest,NULL,NULL,Non_Wetland,Forest
182,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
183,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
184,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
185,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
186,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
187,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
188,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
189,NULL,Forest,Shrubland,Water,Non_Wetland,NULL
190,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
191,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
192,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
193,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
194,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
195,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
196,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL
197,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland
198,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
199,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
200,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
201,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
202,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL
203,NULL,Forest,Cropland,Non_Water,Non_Wetland,Forest
204,NULL,Forest,Cropland,Water,Non_Wetland,Forest
205,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
206,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
207,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
208,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
209,NULL,Forest,Bareland,NULL,Non_Wetland,Built-up
210,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
211,NULL,Forest,Bareland,Water,Non_Wetland,Grassland
212,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
213,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
214,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
215,NULL,Forest,Forest,NULL,Non_Wetland,NULL
216,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
217,NULL,Forest,Forest,NULL,Non_Wetland,Forest
218,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
219,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
220,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
221,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
222,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
223,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
224,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
225,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
226,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
227,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
228,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
229,Grassland,NULL,Shrubland,Water,Non_Wetland,Forest
230,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
231,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
232,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
233,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland
234,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
235,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL
236,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
237,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland
238,Grassland,NULL,Grassland,Water,Non_Wetland,Cropland
239,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
240,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
241,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
242,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
243,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
244,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
245,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
246,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland
247,Grassland,NULL,Bareland,NULL,Non_Wetland,Water
248,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland
249,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
250,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
251,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
252,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
253,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
254,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
255,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
256,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
257,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
258,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest
259,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
260,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL
261,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL
262,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland
263,Grassland,Water,Shrubland,NULL,Non_Wetland,Cropland
264,Grassland,Water,Grassland,NULL,Non_Wetland,NULL
265,Grassland,Water,Grassland,NULL,Non_Wetland,Grassland
266,Grassland,Water,Grassland,NULL,Non_Wetland,Cropland
267,Grassland,Water,Grassland,NULL,Non_Wetland,Bareland
268,Grassland,Water,Cropland,NULL,Non_Wetland,Grassland
269,Grassland,Water,Cropland,NULL,Non_Wetland,Cropland
270,Grassland,Water,Cropland,NULL,Non_Wetland,Forest
271,Grassland,Water,Cropland,Water,Non_Wetland,Grassland
272,Grassland,Water,Bareland,NULL,Non_Wetland,Grassland
273,Grassland,Water,Bareland,NULL,Non_Wetland,Cropland
274,Grassland,Water,Bareland,NULL,Non_Wetland,Bareland
275,Grassland,Water,Bareland,NULL,Non_Wetland,Water
276,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
277,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
278,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
279,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
280,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
281,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL
282,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
283,Grassland,Forest,Grassland,NULL,Non_Wetland,Cropland
284,Grassland,Forest,Grassland,Non_Water,Non_Wetland,NULL
285,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
286,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
287,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
288,Grassland,Forest,Cropland,Water,Non_Wetland,Grassland
289,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
290,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
291,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
292,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
293,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
294,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
295,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
296,Cropland,NULL,NULL,Non_Water,Non_Wetland,Cropland
297,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
298,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
299,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
300,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
301,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
302,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
303,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
304,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
305,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
306,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
307,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL
308,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
309,Cropland,NULL,Shrubland,Water,Non_Wetland,Cropland
310,Cropland,NULL,Shrubland,Water,Non_Wetland,Forest
311,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
312,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
313,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
314,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
315,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
316,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
317,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL
318,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
319,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
320,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
321,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Forest
322,Cropland,NULL,Grassland,Water,Non_Wetland,NULL
323,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
324,Cropland,NULL,Grassland,Water,Non_Wetland,Cropland
325,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
326,Cropland,NULL,Grassland,Water,Non_Wetland,Forest
327,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
328,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
329,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
330,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
331,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL
332,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
333,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
334,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Forest
335,Cropland,NULL,Cropland,Water,Non_Wetland,NULL
336,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
337,Cropland,NULL,Cropland,Water,Non_Wetland,Cropland
338,Cropland,NULL,Cropland,Water,Non_Wetland,Forest
339,Cropland,NULL,Wetland,NULL,Wetland,NULL
340,Cropland,NULL,Wetland,NULL,Wetland,Grassland
341,Cropland,NULL,Wetland,NULL,Wetland,Cropland
342,Cropland,NULL,Wetland,NULL,Wetland,Forest
343,Cropland,NULL,Wetland,Non_Water,Wetland,Cropland
344,Cropland,NULL,Wetland,Water,Wetland,Grassland
345,Cropland,NULL,Wetland,Water,Wetland,Cropland
346,Cropland,NULL,Wetland,Water,Wetland,Forest
347,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
348,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
349,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
350,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
351,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
352,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
353,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Cropland
354,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Forest
355,Cropland,NULL,Bareland,Water,Non_Wetland,NULL
356,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland
357,Cropland,NULL,Bareland,Water,Non_Wetland,Cropland
358,Cropland,NULL,Bareland,Water,Non_Wetland,Forest
359,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
360,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
361,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
362,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
363,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
364,Cropland,NULL,Water,NULL,Water,Grassland
365,Cropland,NULL,Water,Non_Water,Water,Grassland
366,Cropland,NULL,Water,Non_Water,Water,Cropland
367,Cropland,NULL,Water,Water,Water,Grassland
368,Cropland,NULL,Water,Water,Water,Cropland
369,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
370,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
371,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
372,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
373,Cropland,NULL,Forest,Non_Water,Non_Wetland,Cropland
374,Cropland,NULL,Forest,Water,Non_Wetland,Forest
375,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
376,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
377,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
378,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
379,Cropland,Cropland,NULL,Non_Water,Non_Wetland,Cropland
380,Cropland,Cropland,NULL,Non_Water,Non_Wetland,Forest
381,Cropland,Cropland,NULL,Water,Non_Wetland,Forest
382,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
383,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
384,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
385,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
386,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
387,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
388,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
389,Cropland,Cropland,Shrubland,Water,Non_Wetland,Grassland
390,Cropland,Cropland,Shrubland,Water,Non_Wetland,Cropland
391,Cropland,Cropland,Shrubland,Water,Non_Wetland,Forest
392,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
393,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
394,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
395,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
396,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
397,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL
398,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
399,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
400,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Forest
401,Cropland,Cropland,Grassland,Water,Non_Wetland,Grassland
402,Cropland,Cropland,Grassland,Water,Non_Wetland,Cropland
403,Cropland,Cropland,Grassland,Water,Non_Wetland,Forest
404,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
405,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
406,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
407,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
408,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
409,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
410,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Forest
411,Cropland,Cropland,Cropland,Water,Non_Wetland,Grassland
412,Cropland,Cropland,Cropland,Water,Non_Wetland,Cropland
413,Cropland,Cropland,Cropland,Water,Non_Wetland,Forest
414,Cropland,Cropland,Wetland,NULL,Wetland,Cropland
415,Cropland,Cropland,Wetland,NULL,Wetland,Forest
416,Cropland,Cropland,Wetland,Non_Water,Wetland,Cropland
417,Cropland,Cropland,Wetland,Water,Wetland,Cropland
418,Cropland,Cropland,Wetland,Water,Wetland,Forest
419,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
420,Cropland,Cropland,Bareland,NULL,Non_Wetland,Cropland
421,Cropland,Cropland,Bareland,Non_Water,Non_Wetland,Forest
