Value,AFRICA_2024_DynamicWorld_2024_37PDR_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PDR_M_R,AFRICA_2024_GLC_FCS30D_2022_37PDR_M_R,AFRICA_2024_GSW_Yearly_2021_37PDR_M_R,AFRICA_2024_GWL_FCS30D_2022_37PDR_M_R,AFRICA_2024_WorldCover_2021_37PDR_M_R
122,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland
123,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
124,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
125,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
126,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
127,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
128,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
129,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
130,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
131,NULL,Cropland,Cropland,Water,Non_Wetland,NULL
132,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
133,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
134,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
135,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
136,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
137,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
138,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
139,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
140,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
141,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
142,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
143,NULL,Cropland,Bareland,Water,Non_Wetland,Bareland
144,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
145,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
146,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
147,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
148,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
149,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
150,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
151,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
152,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
153,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
154,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
155,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
156,NULL,Bareland,NULL,NULL,Non_Wetland,Grassland
157,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
158,NULL,Bareland,Shrubland,NULL,Non_Wetland,Cropland
159,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
160,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
161,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
162,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
163,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
164,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
165,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
166,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
167,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
168,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
169,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
170,NULL,Bareland,Built-up,NULL,Non_Wetland,Cropland
171,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
172,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
173,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
174,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
175,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
176,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
177,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
178,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
179,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
180,NULL,Built-up,NULL,Non_Water,Non_Wetland,Cropland
181,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
182,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
183,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
184,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
185,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
186,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
187,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL
188,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
189,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
190,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
191,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
192,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
193,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
194,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Cropland
195,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
196,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
197,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
198,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
199,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
200,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
201,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL
202,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Cropland
203,NULL,Built-up,Wetland,NULL,Wetland,Grassland
204,NULL,Built-up,Wetland,NULL,Wetland,Forest
205,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
206,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
207,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
208,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
209,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
210,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
211,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
212,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
213,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
214,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
215,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
216,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
217,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
218,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
219,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
220,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
221,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
222,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL
223,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Cropland
224,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
225,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
226,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
227,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
228,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
229,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
230,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL
231,NULL,Built-up,Forest,Non_Water,Non_Wetland,Cropland
232,NULL,Water,NULL,NULL,Non_Wetland,NULL
233,NULL,Water,NULL,NULL,Non_Wetland,Grassland
234,NULL,Water,NULL,NULL,Non_Wetland,Cropland
235,NULL,Water,NULL,NULL,Non_Wetland,Bareland
236,NULL,Water,NULL,NULL,Non_Wetland,Forest
237,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
238,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
239,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
240,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
241,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
242,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
243,NULL,Water,Grassland,NULL,Non_Wetland,NULL
244,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
245,NULL,Water,Grassland,NULL,Non_Wetland,Cropland
246,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
247,NULL,Water,Grassland,NULL,Non_Wetland,Water
248,NULL,Water,Grassland,Water,Non_Wetland,NULL
249,NULL,Water,Cropland,NULL,Non_Wetland,NULL
250,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
251,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
252,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
253,NULL,Water,Cropland,NULL,Non_Wetland,Forest
254,NULL,Water,Cropland,Non_Water,Non_Wetland,NULL
255,NULL,Water,Cropland,Water,Non_Wetland,NULL
256,NULL,Water,Wetland,NULL,Wetland,Bareland
257,NULL,Water,Bareland,NULL,Non_Wetland,NULL
258,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
259,NULL,Water,Bareland,NULL,Non_Wetland,Cropland
260,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
261,NULL,Water,Bareland,Water,Non_Wetland,Grassland
262,NULL,Water,Bareland,Water,Non_Wetland,Bareland
263,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
264,NULL,Water,Forest,NULL,Non_Wetland,NULL
265,NULL,Water,Forest,NULL,Non_Wetland,Grassland
266,NULL,Water,Forest,Non_Water,Non_Wetland,NULL
267,NULL,Water,Forest,Water,Non_Wetland,Bareland
268,NULL,Forest,NULL,NULL,Non_Wetland,NULL
269,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
270,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
271,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
272,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
273,NULL,Forest,NULL,NULL,Non_Wetland,Forest
274,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
275,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
276,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
277,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
278,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
279,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
280,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
281,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
282,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
283,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
284,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
285,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
286,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
287,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
288,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
289,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
290,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
291,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
292,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
293,NULL,Forest,Bareland,NULL,Non_Wetland,Cropland
294,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
295,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
296,NULL,Forest,Water,NULL,Water,NULL
297,NULL,Forest,Water,NULL,Water,Grassland
298,NULL,Forest,Water,NULL,Water,Cropland
299,NULL,Forest,Water,NULL,Water,Forest
300,NULL,Forest,Water,Water,Water,Grassland
301,NULL,Forest,Water,Water,Water,Forest
302,NULL,Forest,Forest,NULL,Non_Wetland,NULL
303,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
304,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
305,NULL,Forest,Forest,NULL,Non_Wetland,Forest
306,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
307,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
308,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
309,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
310,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
311,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
312,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
313,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
314,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
315,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
316,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
317,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
318,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
319,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
320,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
321,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
322,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
323,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
324,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland
325,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up
326,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
327,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
328,Grassland,NULL,Wetland,NULL,Wetland,Forest
329,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
330,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
331,Grassland,NULL,Bareland,NULL,Non_Wetland,Cropland
332,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland
333,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
334,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
335,Grassland,NULL,Built-up,NULL,Non_Wetland,Cropland
336,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
337,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
338,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
339,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
340,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
341,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL
342,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
343,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
344,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest
345,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Cropland
346,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
347,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
348,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
349,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
350,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL
351,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
352,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
353,Grassland,Cropland,Grassland,NULL,Non_Wetland,Forest
354,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
355,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
356,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
357,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest
358,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
359,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL
360,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland
361,Grassland,Cropland,Bareland,NULL,Non_Wetland,Cropland
362,Grassland,Cropland,Bareland,NULL,Non_Wetland,Bareland
363,Grassland,Cropland,Bareland,NULL,Non_Wetland,Forest
364,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL
365,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland
366,Grassland,Cropland,Built-up,NULL,Non_Wetland,Cropland
367,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
368,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
369,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
370,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
371,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
372,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Grassland
373,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Cropland
374,Grassland,Wetland,Wetland,Non_Water,Wetland,Water
375,Grassland,Bareland,Grassland,NULL,Non_Wetland,Grassland
376,Grassland,Built-up,Grassland,NULL,Non_Wetland,Cropland
377,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL
378,Grassland,Built-up,Cropland,NULL,Non_Wetland,Cropland
379,Grassland,Built-up,Cropland,NULL,Non_Wetland,Forest
380,Grassland,Built-up,Forest,NULL,Non_Wetland,Cropland
381,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Grassland
382,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Cropland
383,Grassland,Water,Shrubland,Water,Non_Wetland,Cropland
384,Grassland,Water,Cropland,NULL,Non_Wetland,Grassland
385,Grassland,Water,Cropland,Non_Water,Non_Wetland,Grassland
386,Grassland,Water,Cropland,Non_Water,Non_Wetland,Cropland
387,Grassland,Water,Wetland,Non_Water,Wetland,Grassland
388,Grassland,Water,Wetland,Non_Water,Wetland,Cropland
389,Grassland,Water,Wetland,Water,Wetland,Grassland
390,Grassland,Water,Forest,NULL,Non_Wetland,Cropland
391,Grassland,Water,Forest,Non_Water,Non_Wetland,Grassland
392,Grassland,Water,Forest,Non_Water,Non_Wetland,Cropland
393,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
394,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
395,Grassland,Forest,NULL,NULL,Non_Wetland,Cropland
396,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland
397,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
398,Grassland,Forest,NULL,Non_Water,Non_Wetland,NULL
399,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
400,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
401,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland
402,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
403,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL
404,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Cropland
405,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Forest
406,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL
407,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
408,Grassland,Forest,Grassland,NULL,Non_Wetland,Cropland
409,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest
410,Grassland,Forest,Grassland,Non_Water,Non_Wetland,Cropland
411,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
412,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
413,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland
414,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland
415,Grassland,Forest,Cropland,NULL,Non_Wetland,Built-up
416,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
417,Grassland,Forest,Cropland,Non_Water,Non_Wetland,Grassland
418,Grassland,Forest,Cropland,Non_Water,Non_Wetland,Cropland
419,Grassland,Forest,Cropland,Non_Water,Non_Wetland,Forest
420,Grassland,Forest,Wetland,NULL,Wetland,Grassland
421,Grassland,Forest,Wetland,Non_Water,Wetland,Cropland
422,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland
423,Grassland,Forest,Wetland,Non_Water,Wetland,Water
