Value,AFRICA_2024_DynamicWorld_2024_37NFG_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NFG_M_R,AFRICA_2024_GLC_FCS30D_2022_37NFG_M_R,AFRICA_2024_GSW_Yearly_2021_37NFG_M_R,AFRICA_2024_GWL_FCS30D_2022_37NFG_M_R,AFRICA_2024_WorldCover_2021_37NFG_M_R
120,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
121,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL
122,NULL,Bareland,Forest,NULL,Non_Wetland,NULL
123,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
124,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
125,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
126,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
127,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
128,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
129,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
130,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
131,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
132,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
133,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
134,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
135,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
136,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
137,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
138,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
139,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
140,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
141,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
142,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
143,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
144,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
145,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
146,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
147,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
148,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
149,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
150,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
151,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
152,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
153,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
154,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
155,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
156,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
157,NULL,Water,NULL,NULL,Non_Wetland,NULL
158,NULL,Water,NULL,NULL,Non_Wetland,Grassland
159,NULL,Water,NULL,NULL,Non_Wetland,Forest
160,NULL,Water,NULL,Non_Water,Non_Wetland,Forest
161,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
162,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
163,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
164,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL
165,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
166,NULL,Water,Shrubland,Water,Non_Wetland,NULL
167,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
168,NULL,Water,Shrubland,Water,Non_Wetland,Forest
169,NULL,Water,Grassland,NULL,Non_Wetland,NULL
170,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
171,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
172,NULL,Water,Grassland,NULL,Non_Wetland,Forest
173,NULL,Water,Grassland,Non_Water,Non_Wetland,Grassland
174,NULL,Water,Grassland,Non_Water,Non_Wetland,Forest
175,NULL,Water,Cropland,NULL,Non_Wetland,NULL
176,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
177,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
178,NULL,Water,Cropland,NULL,Non_Wetland,Forest
179,NULL,Water,Cropland,Non_Water,Non_Wetland,NULL
180,NULL,Water,Cropland,Non_Water,Non_Wetland,Grassland
181,NULL,Water,Cropland,Non_Water,Non_Wetland,Forest
182,NULL,Water,Cropland,Water,Non_Wetland,Grassland
183,NULL,Water,Cropland,Water,Non_Wetland,Forest
184,NULL,Water,Wetland,NULL,Wetland,Forest
185,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,NULL
186,NULL,Water,Lichens_and_Mosses,NULL,Non_Wetland,Forest
187,NULL,Water,Bareland,NULL,Non_Wetland,NULL
188,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
189,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
190,NULL,Water,Bareland,NULL,Non_Wetland,Forest
191,NULL,Water,Bareland,Non_Water,Non_Wetland,Grassland
192,NULL,Water,Bareland,Water,Non_Wetland,NULL
193,NULL,Water,Built-up,NULL,Non_Wetland,NULL
194,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
195,NULL,Water,Built-up,NULL,Non_Wetland,Forest
196,NULL,Water,Forest,NULL,Non_Wetland,NULL
197,NULL,Water,Forest,NULL,Non_Wetland,Grassland
198,NULL,Water,Forest,NULL,Non_Wetland,Forest
199,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
200,NULL,Water,Forest,Water,Non_Wetland,Forest
201,NULL,Forest,NULL,NULL,Non_Wetland,NULL
202,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
203,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
204,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
205,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
206,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
207,NULL,Forest,NULL,NULL,Non_Wetland,Forest
208,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
209,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
210,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
211,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
212,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
213,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
214,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
215,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
216,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
217,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
218,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
219,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
220,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
221,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
222,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
223,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
224,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
225,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL
226,NULL,Forest,Cropland,Non_Water,Non_Wetland,Forest
227,NULL,Forest,Cropland,Water,Non_Wetland,Forest
228,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
229,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
230,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
231,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
232,NULL,Forest,Bareland,NULL,Non_Wetland,Cropland
233,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
234,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
235,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
236,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
237,NULL,Forest,Forest,NULL,Non_Wetland,NULL
238,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
239,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
240,NULL,Forest,Forest,NULL,Non_Wetland,Forest
241,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
242,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
243,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
244,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
245,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
246,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
247,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
248,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
249,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
250,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
251,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
252,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
253,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
254,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
255,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
256,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
257,Grassland,NULL,Bareland,NULL,Non_Wetland,Cropland
258,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland
259,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
260,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland
261,Grassland,NULL,Bareland,Water,Non_Wetland,Water
262,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
263,Grassland,NULL,Water,NULL,Water,Grassland
264,Grassland,NULL,Water,Water,Water,Bareland
265,Grassland,NULL,Water,Water,Water,Water
266,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
267,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
268,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
269,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
270,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
271,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
272,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest
273,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
274,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
275,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
276,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
277,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
278,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
279,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
280,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
281,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
282,Grassland,Water,NULL,NULL,Non_Wetland,Grassland
283,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
284,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
285,Grassland,Forest,NULL,NULL,Non_Wetland,Cropland
286,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
287,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
288,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
289,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland
290,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
291,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
292,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
293,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
294,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
295,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
296,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
297,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland
298,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
299,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
300,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
301,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
302,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland
303,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
304,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
305,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland
306,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
307,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
308,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
309,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland
310,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
311,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
312,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water
313,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
314,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
315,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
316,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
317,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
318,Cropland,NULL,Shrubland,Water,Non_Wetland,Cropland
319,Cropland,NULL,Shrubland,Water,Non_Wetland,Water
320,Cropland,NULL,Shrubland,Water,Non_Wetland,Forest
321,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
322,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
323,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
324,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
325,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
326,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
327,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL
328,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
329,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
330,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
331,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
332,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
333,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL
334,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
335,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Forest
336,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
337,Cropland,NULL,Wetland,NULL,Wetland,NULL
338,Cropland,NULL,Wetland,NULL,Wetland,Forest
339,Cropland,NULL,Wetland,Water,Wetland,Water
340,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
341,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
342,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
343,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
344,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
345,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
346,Cropland,NULL,Bareland,NULL,Non_Wetland,Water
347,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
348,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
349,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland
350,Cropland,NULL,Bareland,Water,Non_Wetland,Cropland
351,Cropland,NULL,Bareland,Water,Non_Wetland,Water
352,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
353,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
354,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
355,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
356,Cropland,NULL,Water,Water,Water,Grassland
357,Cropland,NULL,Water,Water,Water,Water
358,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
359,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
360,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
361,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
362,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
363,Cropland,NULL,Forest,Water,Non_Wetland,Water
364,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
365,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
366,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
367,Cropland,Cropland,NULL,NULL,Non_Wetland,Wetland
368,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
369,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
370,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
371,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
372,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
373,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
374,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
375,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
376,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
377,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
378,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
379,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
380,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
381,Cropland,Cropland,Bareland,NULL,Non_Wetland,Cropland
382,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
383,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
384,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland
385,Cropland,Cropland,Forest,NULL,Non_Wetland,Wetland
386,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
387,Cropland,Wetland,Forest,NULL,Non_Wetland,Forest
388,Cropland,Bareland,NULL,NULL,Non_Wetland,Grassland
389,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
390,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Cropland
391,Cropland,Bareland,Cropland,NULL,Non_Wetland,Cropland
392,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
393,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Cropland
394,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
395,Cropland,Built-up,Grassland,NULL,Non_Wetland,Forest
396,Cropland,Built-up,Cropland,NULL,Non_Wetland,Forest
397,Cropland,Built-up,Forest,NULL,Non_Wetland,Forest
398,Cropland,Water,NULL,NULL,Non_Wetland,Grassland
399,Cropland,Water,NULL,NULL,Non_Wetland,Forest
400,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL
401,Cropland,Water,Shrubland,NULL,Non_Wetland,Grassland
402,Cropland,Water,Shrubland,NULL,Non_Wetland,Cropland
403,Cropland,Water,Shrubland,NULL,Non_Wetland,Forest
404,Cropland,Water,Shrubland,Non_Water,Non_Wetland,NULL
405,Cropland,Water,Grassland,NULL,Non_Wetland,NULL
406,Cropland,Water,Grassland,NULL,Non_Wetland,Grassland
407,Cropland,Water,Grassland,NULL,Non_Wetland,Forest
408,Cropland,Water,Cropland,NULL,Non_Wetland,Grassland
409,Cropland,Water,Cropland,NULL,Non_Wetland,Forest
410,Cropland,Water,Cropland,Non_Water,Non_Wetland,Forest
411,Cropland,Water,Cropland,Water,Non_Wetland,Forest
412,Cropland,Water,Wetland,NULL,Wetland,Forest
413,Cropland,Water,Bareland,NULL,Non_Wetland,NULL
414,Cropland,Water,Bareland,NULL,Non_Wetland,Grassland
415,Cropland,Water,Bareland,NULL,Non_Wetland,Cropland
416,Cropland,Water,Bareland,NULL,Non_Wetland,Bareland
417,Cropland,Water,Bareland,NULL,Non_Wetland,Forest
418,Cropland,Water,Built-up,NULL,Non_Wetland,Grassland
419,Cropland,Water,Forest,NULL,Non_Wetland,NULL
420,Cropland,Water,Forest,NULL,Non_Wetland,Grassland
421,Cropland,Water,Forest,NULL,Non_Wetland,Forest
422,Cropland,Water,Forest,Water,Non_Wetland,Forest
423,Cropland,Forest,NULL,NULL,Non_Wetland,NULL
