Value,AFRICA_2024_DynamicWorld_2024_36PYT_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PYT_M_R,AFRICA_2024_GLC_FCS30D_2022_36PYT_M_R,AFRICA_2024_GSW_Yearly_2021_36PYT_M_R,AFRICA_2024_GWL_FCS30D_2022_36PYT_M_R,AFRICA_2024_WorldCover_2021_36PYT_M_R
122,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
123,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
124,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
125,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
126,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
127,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
128,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
129,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
130,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
131,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
132,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
133,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
134,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
135,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
136,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
137,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
138,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
139,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
140,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
141,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
142,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
143,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
144,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
145,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
146,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
147,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
148,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
149,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
150,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
151,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
152,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
153,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
154,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
155,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
156,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
157,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
158,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland
159,NULL,Built-up,Wetland,Water,Wetland,Forest
160,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
161,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
162,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
163,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
164,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
165,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
166,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
167,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
168,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
169,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
170,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
171,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
172,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
173,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
174,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
175,NULL,Water,NULL,NULL,Non_Wetland,Bareland
176,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
177,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
178,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
179,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
180,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
181,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
182,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
183,NULL,Water,Grassland,NULL,Non_Wetland,Forest
184,NULL,Water,Grassland,Water,Non_Wetland,Grassland
185,NULL,Water,Grassland,Water,Non_Wetland,Forest
186,NULL,Water,Cropland,NULL,Non_Wetland,NULL
187,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
188,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
189,NULL,Water,Cropland,NULL,Non_Wetland,Forest
190,NULL,Water,Cropland,Water,Non_Wetland,Grassland
191,NULL,Water,Cropland,Water,Non_Wetland,Forest
192,NULL,Water,Wetland,NULL,Wetland,Cropland
193,NULL,Water,Wetland,Non_Water,Wetland,Forest
194,NULL,Water,Wetland,Water,Wetland,Forest
195,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
196,NULL,Water,Bareland,NULL,Non_Wetland,Cropland
197,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
198,NULL,Water,Bareland,NULL,Non_Wetland,Water
199,NULL,Water,Bareland,Water,Non_Wetland,Grassland
200,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
201,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
202,NULL,Water,Forest,NULL,Non_Wetland,NULL
203,NULL,Water,Forest,NULL,Non_Wetland,Grassland
204,NULL,Water,Forest,NULL,Non_Wetland,Water
205,NULL,Water,Forest,NULL,Non_Wetland,Forest
206,NULL,Water,Forest,Water,Non_Wetland,Grassland
207,NULL,Forest,NULL,NULL,Non_Wetland,NULL
208,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
209,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
210,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
211,NULL,Forest,NULL,NULL,Non_Wetland,Forest
212,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
213,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
214,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
215,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
216,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
217,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
218,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
219,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
220,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
221,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
222,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
223,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
224,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
225,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland
226,NULL,Forest,Grassland,Water,Non_Wetland,Grassland
227,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
228,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
229,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
230,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
231,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
232,NULL,Forest,Cropland,Water,Non_Wetland,Grassland
233,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
234,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
235,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
236,NULL,Forest,Bareland,Water,Non_Wetland,Forest
237,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
238,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
239,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland
240,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
241,NULL,Forest,Water,Water,Water,Wetland
242,NULL,Forest,Forest,NULL,Non_Wetland,NULL
243,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
244,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
245,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
246,NULL,Forest,Forest,NULL,Non_Wetland,Forest
247,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
248,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
249,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
250,NULL,Forest,Forest,Water,Non_Wetland,NULL
251,NULL,Forest,Forest,Water,Non_Wetland,Forest
252,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
253,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
254,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
255,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
256,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
257,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
258,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
259,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
260,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
261,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
262,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
263,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
264,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
265,Grassland,NULL,Shrubland,Water,Non_Wetland,Cropland
266,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
267,Grassland,NULL,Shrubland,Water,Non_Wetland,Forest
268,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
269,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
270,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
271,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
272,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
273,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
274,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Forest
275,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
276,Grassland,NULL,Cropland,Water,Non_Wetland,Forest
277,Grassland,NULL,Wetland,NULL,Wetland,Forest
278,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
279,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
280,Grassland,NULL,Wetland,Water,Wetland,Grassland
281,Grassland,NULL,Wetland,Water,Wetland,Cropland
282,Grassland,NULL,Wetland,Water,Wetland,Wetland
283,Grassland,NULL,Wetland,Water,Wetland,Forest
284,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
285,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
286,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
287,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
288,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
289,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL
290,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
291,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
292,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
293,Grassland,NULL,Forest,Water,Non_Wetland,Forest
294,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
295,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Forest
296,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Forest
297,Grassland,Water,Grassland,NULL,Non_Wetland,Forest
298,Grassland,Water,Forest,NULL,Non_Wetland,Forest
299,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
300,Grassland,Forest,Shrubland,Water,Non_Wetland,Grassland
301,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
302,Grassland,Forest,Wetland,NULL,Wetland,Forest
303,Grassland,Forest,Wetland,Non_Water,Wetland,Forest
304,Grassland,Forest,Wetland,Water,Wetland,Forest
305,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
306,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
307,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland
308,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
309,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
310,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
311,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
312,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
313,Cropland,NULL,NULL,Non_Water,Non_Wetland,Forest
314,Cropland,NULL,NULL,Water,Non_Wetland,Forest
315,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
316,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
317,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
318,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
319,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
320,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
321,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
322,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
323,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
324,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
325,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL
326,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
327,Cropland,NULL,Shrubland,Water,Non_Wetland,Cropland
328,Cropland,NULL,Shrubland,Water,Non_Wetland,Wetland
329,Cropland,NULL,Shrubland,Water,Non_Wetland,Forest
330,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
331,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
332,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
333,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
334,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
335,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
336,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
337,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
338,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
339,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
340,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
341,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
342,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
343,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
344,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
345,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Forest
346,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
347,Cropland,NULL,Cropland,Water,Non_Wetland,Cropland
348,Cropland,NULL,Cropland,Water,Non_Wetland,Wetland
349,Cropland,NULL,Cropland,Water,Non_Wetland,Bareland
350,Cropland,NULL,Cropland,Water,Non_Wetland,Forest
351,Cropland,NULL,Wetland,Non_Water,Wetland,Grassland
352,Cropland,NULL,Wetland,Non_Water,Wetland,Forest
353,Cropland,NULL,Wetland,Water,Wetland,Grassland
354,Cropland,NULL,Wetland,Water,Wetland,Cropland
355,Cropland,NULL,Wetland,Water,Wetland,Wetland
356,Cropland,NULL,Wetland,Water,Wetland,Forest
357,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
358,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
359,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
360,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
361,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
362,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
363,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL
364,Cropland,NULL,Forest,Non_Water,Non_Wetland,Wetland
365,Cropland,NULL,Forest,Non_Water,Non_Wetland,Forest
366,Cropland,NULL,Forest,Water,Non_Wetland,Grassland
367,Cropland,NULL,Forest,Water,Non_Wetland,Cropland
368,Cropland,NULL,Forest,Water,Non_Wetland,Wetland
369,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
370,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
371,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
372,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
373,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
374,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
375,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
376,Cropland,Wetland,Wetland,Water,Wetland,Grassland
377,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
378,Cropland,Bareland,Grassland,NULL,Non_Wetland,Grassland
379,Cropland,Bareland,Grassland,NULL,Non_Wetland,Cropland
380,Cropland,Bareland,Grassland,NULL,Non_Wetland,Bareland
381,Cropland,Bareland,Grassland,NULL,Non_Wetland,Forest
382,Cropland,Bareland,Cropland,NULL,Non_Wetland,Grassland
383,Cropland,Bareland,Cropland,NULL,Non_Wetland,Bareland
384,Cropland,Bareland,Forest,NULL,Non_Wetland,Grassland
385,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
386,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
387,Cropland,Built-up,Grassland,NULL,Non_Wetland,Bareland
388,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland
389,Cropland,Built-up,Built-up,NULL,Non_Wetland,Grassland
390,Cropland,Built-up,Built-up,NULL,Non_Wetland,Bareland
391,Cropland,Built-up,Built-up,NULL,Non_Wetland,Built-up
392,Cropland,Built-up,Built-up,NULL,Non_Wetland,Forest
393,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland
394,Cropland,Water,Shrubland,NULL,Non_Wetland,Grassland
395,Cropland,Water,Grassland,NULL,Non_Wetland,Grassland
396,Cropland,Water,Grassland,NULL,Non_Wetland,Bareland
397,Cropland,Water,Cropland,NULL,Non_Wetland,Grassland
398,Cropland,Water,Cropland,NULL,Non_Wetland,Bareland
399,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland
400,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
401,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
402,Cropland,Forest,Shrubland,NULL,Non_Wetland,Cropland
403,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland
404,Cropland,Forest,Grassland,NULL,Non_Wetland,Cropland
405,Cropland,Forest,Grassland,NULL,Non_Wetland,Bareland
406,Cropland,Forest,Grassland,NULL,Non_Wetland,Forest
407,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland
408,Cropland,Forest,Cropland,NULL,Non_Wetland,Bareland
409,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest
410,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
411,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
412,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
413,Cropland,Forest,Forest,Non_Water,Non_Wetland,Forest
414,Cropland,Forest,Forest,Water,Non_Wetland,Wetland
415,Wetland,NULL,NULL,NULL,Non_Wetland,NULL
416,Wetland,NULL,NULL,Non_Water,Non_Wetland,Forest
417,Wetland,NULL,NULL,Water,Non_Wetland,Wetland
418,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL
419,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
420,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland
421,Wetland,NULL,Shrubland,NULL,Non_Wetland,Forest
422,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
423,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
424,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
