Value,AFRICA_2024_DynamicWorld_2024_38QKD_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38QKD_M_R,AFRICA_2024_GLC_FCS30D_2022_38QKD_M_R,AFRICA_2024_GSW_Yearly_2021_38QKD_M_R,AFRICA_2024_GWL_FCS30D_2022_38QKD_M_R,AFRICA_2024_WorldCover_2021_38QKD_M_R
122,NULL,NULL,Bareland,Water,Non_Wetland,Wetland
123,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
124,NULL,NULL,Bareland,Water,Non_Wetland,Built-up
125,NULL,NULL,Bareland,Water,Non_Wetland,Water
126,NULL,NULL,Bareland,Water,Non_Wetland,Forest
127,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
128,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
129,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
130,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland
131,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
132,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
133,NULL,NULL,Built-up,NULL,Non_Wetland,Water
134,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
135,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL
136,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
137,NULL,NULL,Built-up,Non_Water,Non_Wetland,Cropland
138,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
139,NULL,NULL,Built-up,Non_Water,Non_Wetland,Built-up
140,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water
141,NULL,NULL,Built-up,Non_Water,Non_Wetland,Forest
142,NULL,NULL,Built-up,Water,Non_Wetland,NULL
143,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
144,NULL,NULL,Built-up,Water,Non_Wetland,Cropland
145,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
146,NULL,NULL,Built-up,Water,Non_Wetland,Built-up
147,NULL,NULL,Built-up,Water,Non_Wetland,Water
148,NULL,NULL,Built-up,Water,Non_Wetland,Forest
149,NULL,NULL,Water,NULL,NULL,Bareland
150,NULL,NULL,Water,Water,NULL,Bareland
151,NULL,NULL,Water,Water,NULL,Built-up
152,NULL,NULL,Water,Water,NULL,Water
153,NULL,NULL,Water,Water,Water,Cropland
154,NULL,NULL,Water,Water,Water,Wetland
155,NULL,NULL,Forest,NULL,Non_Wetland,NULL
156,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
157,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
158,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
159,NULL,NULL,Forest,NULL,Non_Wetland,Forest
160,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
161,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
162,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
163,NULL,NULL,Forest,Water,Non_Wetland,Cropland
164,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
165,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
166,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
167,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
168,NULL,Cropland,NULL,Water,Non_Wetland,Cropland
169,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
170,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
171,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
172,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
173,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
174,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
175,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
176,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
177,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
178,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
179,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
180,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
181,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
182,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
183,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
184,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
185,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
186,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
187,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
188,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL
189,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
190,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Bareland
191,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Built-up
192,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Forest
193,NULL,Cropland,Cropland,Water,Non_Wetland,NULL
194,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
195,NULL,Cropland,Cropland,Water,Non_Wetland,Bareland
196,NULL,Cropland,Cropland,Water,Non_Wetland,Water
197,NULL,Cropland,Cropland,Water,Non_Wetland,Forest
198,NULL,Cropland,Wetland,Non_Water,Wetland,NULL
199,NULL,Cropland,Wetland,Non_Water,Wetland,Bareland
200,NULL,Cropland,Wetland,Non_Water,Wetland,Built-up
201,NULL,Cropland,Wetland,Water,Wetland,Cropland
202,NULL,Cropland,Wetland,Water,Wetland,Bareland
203,NULL,Cropland,Wetland,Water,Wetland,Water
204,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
205,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
206,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
207,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
208,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
209,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
210,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
211,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
212,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
213,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
214,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL
215,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
216,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
217,NULL,Cropland,Bareland,Water,Non_Wetland,NULL
218,NULL,Cropland,Bareland,Water,Non_Wetland,Cropland
219,NULL,Cropland,Bareland,Water,Non_Wetland,Bareland
220,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
221,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
222,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
223,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
224,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
225,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
226,NULL,Cropland,Built-up,Water,Non_Wetland,Cropland
227,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
228,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
229,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
230,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
231,NULL,Cropland,Forest,Water,Non_Wetland,NULL
232,NULL,Cropland,Forest,Water,Non_Wetland,Cropland
233,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL
234,NULL,Wetland,Cropland,NULL,Non_Wetland,Forest
235,NULL,Wetland,Wetland,NULL,NULL,Wetland
236,NULL,Wetland,Wetland,NULL,NULL,Bareland
237,NULL,Wetland,Wetland,NULL,Wetland,Wetland
238,NULL,Wetland,Wetland,NULL,Wetland,Bareland
239,NULL,Wetland,Wetland,NULL,Wetland,Water
240,NULL,Wetland,Wetland,Non_Water,NULL,Water
241,NULL,Wetland,Wetland,Non_Water,Wetland,NULL
242,NULL,Wetland,Wetland,Non_Water,Wetland,Cropland
243,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
244,NULL,Wetland,Wetland,Non_Water,Wetland,Water
245,NULL,Wetland,Wetland,Water,NULL,Cropland
246,NULL,Wetland,Wetland,Water,NULL,Wetland
247,NULL,Wetland,Wetland,Water,NULL,Bareland
248,NULL,Wetland,Wetland,Water,NULL,Water
249,NULL,Wetland,Wetland,Water,Wetland,NULL
250,NULL,Wetland,Wetland,Water,Wetland,Cropland
251,NULL,Wetland,Wetland,Water,Wetland,Wetland
252,NULL,Wetland,Wetland,Water,Wetland,Bareland
253,NULL,Wetland,Wetland,Water,Wetland,Water
254,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
255,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL
256,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
257,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
258,NULL,Wetland,Bareland,NULL,Non_Wetland,Bareland
259,NULL,Wetland,Bareland,NULL,Non_Wetland,Water
260,NULL,Wetland,Bareland,NULL,Non_Wetland,Forest
261,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
262,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Bareland
263,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Water
264,NULL,Wetland,Bareland,Water,Non_Wetland,Grassland
265,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland
266,NULL,Wetland,Bareland,Water,Non_Wetland,Bareland
267,NULL,Wetland,Bareland,Water,Non_Wetland,Water
268,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland
269,NULL,Wetland,Built-up,NULL,Non_Wetland,Forest
270,NULL,Bareland,NULL,NULL,Non_Wetland,NULL
271,NULL,Bareland,NULL,NULL,Non_Wetland,Cropland
272,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland
273,NULL,Bareland,NULL,NULL,Non_Wetland,Built-up
274,NULL,Bareland,NULL,NULL,Non_Wetland,Water
275,NULL,Bareland,NULL,Non_Water,Non_Wetland,Bareland
276,NULL,Bareland,NULL,Water,Non_Wetland,Bareland
277,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
278,NULL,Bareland,Shrubland,NULL,Non_Wetland,Cropland
279,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
280,NULL,Bareland,Shrubland,NULL,Non_Wetland,Built-up
281,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
282,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Built-up
283,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Water
284,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
285,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
286,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
287,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
288,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
289,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
290,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
291,NULL,Bareland,Grassland,Water,Non_Wetland,Bareland
292,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
293,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
294,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
295,NULL,Bareland,Cropland,NULL,Non_Wetland,Wetland
296,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
297,NULL,Bareland,Cropland,NULL,Non_Wetland,Built-up
298,NULL,Bareland,Cropland,NULL,Non_Wetland,Water
299,NULL,Bareland,Cropland,NULL,Non_Wetland,Forest
300,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Grassland
301,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Cropland
302,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Bareland
303,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Built-up
304,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Water
305,NULL,Bareland,Cropland,Water,Non_Wetland,NULL
306,NULL,Bareland,Cropland,Water,Non_Wetland,Grassland
307,NULL,Bareland,Cropland,Water,Non_Wetland,Bareland
308,NULL,Bareland,Cropland,Water,Non_Wetland,Water
309,NULL,Bareland,Wetland,NULL,NULL,Bareland
310,NULL,Bareland,Wetland,NULL,NULL,Water
311,NULL,Bareland,Wetland,NULL,Wetland,Grassland
312,NULL,Bareland,Wetland,NULL,Wetland,Wetland
313,NULL,Bareland,Wetland,NULL,Wetland,Bareland
314,NULL,Bareland,Wetland,NULL,Wetland,Water
315,NULL,Bareland,Wetland,Non_Water,NULL,Grassland
316,NULL,Bareland,Wetland,Non_Water,NULL,Cropland
317,NULL,Bareland,Wetland,Non_Water,NULL,Wetland
318,NULL,Bareland,Wetland,Non_Water,NULL,Bareland
319,NULL,Bareland,Wetland,Non_Water,NULL,Built-up
320,NULL,Bareland,Wetland,Non_Water,NULL,Water
321,NULL,Bareland,Wetland,Non_Water,Wetland,Grassland
322,NULL,Bareland,Wetland,Non_Water,Wetland,Cropland
323,NULL,Bareland,Wetland,Non_Water,Wetland,Bareland
324,NULL,Bareland,Wetland,Non_Water,Wetland,Built-up
325,NULL,Bareland,Wetland,Non_Water,Wetland,Water
326,NULL,Bareland,Wetland,Water,NULL,Bareland
327,NULL,Bareland,Wetland,Water,NULL,Built-up
328,NULL,Bareland,Wetland,Water,NULL,Water
329,NULL,Bareland,Wetland,Water,Wetland,NULL
330,NULL,Bareland,Wetland,Water,Wetland,Grassland
331,NULL,Bareland,Wetland,Water,Wetland,Cropland
332,NULL,Bareland,Wetland,Water,Wetland,Wetland
333,NULL,Bareland,Wetland,Water,Wetland,Bareland
334,NULL,Bareland,Wetland,Water,Wetland,Built-up
335,NULL,Bareland,Wetland,Water,Wetland,Water
336,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
337,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
338,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
339,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
340,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
341,NULL,Bareland,Bareland,NULL,Non_Wetland,Cropland
342,NULL,Bareland,Bareland,NULL,Non_Wetland,Wetland
343,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
344,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
345,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
346,NULL,Bareland,Bareland,NULL,Non_Wetland,Forest
347,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL
348,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
349,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Cropland
350,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Wetland
351,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
352,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Built-up
353,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Water
354,NULL,Bareland,Bareland,Water,Non_Wetland,NULL
355,NULL,Bareland,Bareland,Water,Non_Wetland,Grassland
356,NULL,Bareland,Bareland,Water,Non_Wetland,Cropland
357,NULL,Bareland,Bareland,Water,Non_Wetland,Wetland
358,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
359,NULL,Bareland,Bareland,Water,Non_Wetland,Built-up
360,NULL,Bareland,Bareland,Water,Non_Wetland,Water
361,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL
362,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
363,NULL,Bareland,Built-up,NULL,Non_Wetland,Cropland
364,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
365,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
366,NULL,Bareland,Built-up,NULL,Non_Wetland,Water
367,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Grassland
368,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
369,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Built-up
370,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Water
371,NULL,Bareland,Built-up,Water,Non_Wetland,Bareland
372,NULL,Bareland,Built-up,Water,Non_Wetland,Built-up
373,NULL,Bareland,Built-up,Water,Non_Wetland,Water
374,NULL,Bareland,Water,NULL,NULL,Bareland
375,NULL,Bareland,Water,NULL,NULL,Water
376,NULL,Bareland,Water,NULL,Water,Bareland
377,NULL,Bareland,Water,NULL,Water,Built-up
378,NULL,Bareland,Water,NULL,Water,Water
379,NULL,Bareland,Water,Non_Water,NULL,Bareland
380,NULL,Bareland,Water,Water,NULL,Bareland
381,NULL,Bareland,Water,Water,NULL,Water
382,NULL,Bareland,Water,Water,Water,Grassland
383,NULL,Bareland,Water,Water,Water,Wetland
384,NULL,Bareland,Water,Water,Water,Bareland
385,NULL,Bareland,Water,Water,Water,Built-up
386,NULL,Bareland,Water,Water,Water,Water
387,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
388,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
389,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
390,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
391,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
392,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
393,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
394,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
395,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
396,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland
397,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
398,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland
399,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up
400,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
401,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
402,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
403,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
404,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
405,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
406,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL
407,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
408,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Bareland
409,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
410,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
411,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
412,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
413,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
414,NULL,Built-up,Cropland,NULL,Non_Wetland,Water
415,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
416,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL
417,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
418,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Cropland
419,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Wetland
420,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Bareland
421,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Built-up
422,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
423,NULL,Built-up,Cropland,Water,Non_Wetland,NULL
424,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland
425,NULL,Built-up,Cropland,Water,Non_Wetland,Cropland
426,NULL,Built-up,Cropland,Water,Non_Wetland,Bareland
427,NULL,Built-up,Cropland,Water,Non_Wetland,Built-up
428,NULL,Built-up,Wetland,NULL,NULL,Bareland
429,NULL,Built-up,Wetland,NULL,Wetland,Cropland
