Value,AFRICA_2024_DynamicWorld_2024_37NHE_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NHE_M_R,AFRICA_2024_GLC_FCS30D_2022_37NHE_M_R,AFRICA_2024_GSW_Yearly_2021_37NHE_M_R,AFRICA_2024_GWL_FCS30D_2022_37NHE_M_R,AFRICA_2024_WorldCover_2021_37NHE_M_R
120,NULL,Cropland,Wetland,Non_Water,Wetland,Cropland
121,NULL,Cropland,Wetland,Water,Wetland,Cropland
122,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
123,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
124,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
125,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
126,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
127,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
128,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
129,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
130,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
131,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
132,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
133,NULL,Cropland,Water,NULL,Water,Forest
134,NULL,Cropland,Water,Non_Water,Water,Grassland
135,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
136,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
137,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
138,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
139,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
140,NULL,Cropland,Forest,Water,Non_Wetland,Grassland
141,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
142,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
143,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
144,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
145,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
146,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
147,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL
148,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
149,NULL,Wetland,Cropland,NULL,Non_Wetland,Forest
150,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
151,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
152,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
153,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
154,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
155,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
156,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
157,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
158,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
159,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Grassland
160,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Cropland
161,NULL,Bareland,Grassland,Water,Non_Wetland,Cropland
162,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
163,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
164,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
165,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
166,NULL,Bareland,Bareland,NULL,Non_Wetland,Cropland
167,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
168,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
169,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
170,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
171,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
172,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
173,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
174,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
175,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
176,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
177,NULL,Built-up,NULL,Non_Water,Non_Wetland,Forest
178,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
179,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
180,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
181,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
182,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
183,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
184,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
185,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
186,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
187,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
188,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
189,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
190,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL
191,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
192,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Bareland
193,NULL,Built-up,Grassland,Water,Non_Wetland,Forest
194,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
195,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
196,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
197,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
198,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
199,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
200,NULL,Built-up,Cropland,Water,Non_Wetland,Forest
201,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
202,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
203,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
204,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
205,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
206,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
207,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
208,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
209,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
210,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
211,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
212,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
213,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
214,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
215,NULL,Built-up,Built-up,Water,Non_Wetland,Forest
216,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
217,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
218,NULL,Water,NULL,NULL,Non_Wetland,Cropland
219,NULL,Water,NULL,NULL,Non_Wetland,Forest
220,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
221,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
222,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
223,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
224,NULL,Water,Grassland,NULL,Non_Wetland,NULL
225,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
226,NULL,Water,Grassland,NULL,Non_Wetland,Cropland
227,NULL,Water,Grassland,NULL,Non_Wetland,Forest
228,NULL,Water,Grassland,Non_Water,Non_Wetland,Forest
229,NULL,Water,Cropland,NULL,Non_Wetland,NULL
230,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
231,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
232,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
233,NULL,Water,Cropland,NULL,Non_Wetland,Forest
234,NULL,Water,Wetland,NULL,Wetland,Cropland
235,NULL,Water,Bareland,NULL,Non_Wetland,NULL
236,NULL,Water,Bareland,NULL,Non_Wetland,Forest
237,NULL,Water,Built-up,NULL,Non_Wetland,NULL
238,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
239,NULL,Water,Forest,NULL,Non_Wetland,Forest
240,NULL,Forest,NULL,NULL,Non_Wetland,NULL
241,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
242,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
243,NULL,Forest,NULL,NULL,Non_Wetland,Forest
244,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
245,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
246,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
247,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
248,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
249,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
250,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
251,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
252,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
253,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
254,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
255,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
256,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
257,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL
258,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland
259,NULL,Forest,Grassland,Non_Water,Non_Wetland,Cropland
260,NULL,Forest,Grassland,Water,Non_Wetland,Grassland
261,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
262,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
263,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
264,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
265,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL
266,NULL,Forest,Cropland,Non_Water,Non_Wetland,Cropland
267,NULL,Forest,Cropland,Water,Non_Wetland,NULL
268,NULL,Forest,Cropland,Water,Non_Wetland,Cropland
269,NULL,Forest,Wetland,NULL,Wetland,Grassland
270,NULL,Forest,Wetland,NULL,Wetland,Cropland
271,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
272,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
273,NULL,Forest,Forest,NULL,Non_Wetland,NULL
274,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
275,NULL,Forest,Forest,NULL,Non_Wetland,Forest
276,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
277,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
278,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
279,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
280,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
281,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL
282,Grassland,NULL,NULL,Non_Water,Non_Wetland,Cropland
283,Grassland,NULL,NULL,Non_Water,Non_Wetland,Forest
284,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
285,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
286,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
287,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
288,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
289,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
290,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
291,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
292,Grassland,NULL,Shrubland,Water,Non_Wetland,Cropland
293,Grassland,NULL,Shrubland,Water,Non_Wetland,Forest
294,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
295,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
296,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
297,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland
298,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
299,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL
300,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
301,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
302,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Forest
303,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland
304,Grassland,NULL,Grassland,Water,Non_Wetland,Cropland
305,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
306,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
307,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
308,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
309,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL
310,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
311,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
312,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Forest
313,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
314,Grassland,NULL,Cropland,Water,Non_Wetland,Cropland
315,Grassland,NULL,Cropland,Water,Non_Wetland,Forest
316,Grassland,NULL,Wetland,NULL,Wetland,Grassland
317,Grassland,NULL,Wetland,NULL,Wetland,Cropland
318,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
319,Grassland,NULL,Bareland,NULL,Non_Wetland,Cropland
320,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL
321,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Forest
322,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland
323,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
324,Grassland,NULL,Built-up,NULL,Non_Wetland,Cropland
325,Grassland,NULL,Water,Non_Water,Water,Cropland
326,Grassland,NULL,Water,Water,Water,Cropland
327,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
328,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
329,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
330,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
331,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL
332,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
333,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
334,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL
335,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
336,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
337,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest
338,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Forest
339,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
340,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
341,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
342,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
343,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
344,Grassland,Cropland,Shrubland,Water,Non_Wetland,Grassland
345,Grassland,Cropland,Shrubland,Water,Non_Wetland,Cropland
346,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL
347,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
348,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
349,Grassland,Cropland,Grassland,NULL,Non_Wetland,Forest
350,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,NULL
351,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
352,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
353,Grassland,Cropland,Grassland,Water,Non_Wetland,NULL
354,Grassland,Cropland,Grassland,Water,Non_Wetland,Grassland
355,Grassland,Cropland,Grassland,Water,Non_Wetland,Cropland
356,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
357,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
358,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
359,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest
360,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,NULL
361,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
362,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Forest
363,Grassland,Cropland,Cropland,Water,Non_Wetland,Grassland
364,Grassland,Cropland,Cropland,Water,Non_Wetland,Cropland
365,Grassland,Cropland,Wetland,NULL,Wetland,Cropland
366,Grassland,Cropland,Wetland,Water,Wetland,Cropland
367,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland
368,Grassland,Cropland,Bareland,NULL,Non_Wetland,Forest
369,Grassland,Cropland,Built-up,NULL,Non_Wetland,Forest
370,Grassland,Cropland,Water,Water,Water,Forest
371,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
372,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
373,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
374,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
375,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL
376,Grassland,Wetland,NULL,NULL,Non_Wetland,Forest
377,Grassland,Wetland,NULL,Non_Water,Non_Wetland,NULL
378,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Forest
379,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL
380,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Forest
381,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
382,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL
383,Grassland,Wetland,Grassland,NULL,Non_Wetland,Forest
384,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL
385,Grassland,Wetland,Cropland,NULL,Non_Wetland,Forest
386,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,NULL
387,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL
388,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest
389,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Forest
390,Grassland,Water,NULL,NULL,Non_Wetland,Forest
391,Grassland,Water,NULL,Non_Water,Non_Wetland,Forest
392,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland
393,Grassland,Water,Shrubland,NULL,Non_Wetland,Cropland
394,Grassland,Water,Shrubland,NULL,Non_Wetland,Forest
395,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Forest
396,Grassland,Water,Grassland,NULL,Non_Wetland,NULL
397,Grassland,Water,Grassland,NULL,Non_Wetland,Grassland
398,Grassland,Water,Grassland,NULL,Non_Wetland,Forest
399,Grassland,Water,Grassland,Non_Water,Non_Wetland,Forest
400,Grassland,Water,Cropland,NULL,Non_Wetland,Grassland
401,Grassland,Water,Cropland,NULL,Non_Wetland,Cropland
402,Grassland,Water,Cropland,NULL,Non_Wetland,Forest
403,Grassland,Water,Cropland,Non_Water,Non_Wetland,Forest
404,Grassland,Water,Cropland,Water,Non_Wetland,Grassland
405,Grassland,Water,Cropland,Water,Non_Wetland,Cropland
406,Grassland,Water,Cropland,Water,Non_Wetland,Forest
407,Grassland,Water,Water,NULL,Water,Cropland
408,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
409,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
410,Grassland,Forest,NULL,NULL,Non_Wetland,Cropland
411,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
412,Grassland,Forest,NULL,Non_Water,Non_Wetland,NULL
413,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
414,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
415,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland
416,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland
417,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
418,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL
419,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
420,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Cropland
421,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
