Value,AFRICA_2024_DynamicWorld_2024_37NCE_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NCE_M_R,AFRICA_2024_GLC_FCS30D_2022_37NCE_M_R,AFRICA_2024_GSW_Yearly_2021_37NCE_M_R,AFRICA_2024_GWL_FCS30D_2022_37NCE_M_R,AFRICA_2024_WorldCover_2021_37NCE_M_R
119,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
120,NULL,Forest,NULL,NULL,Non_Wetland,Forest
121,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
122,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
123,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
124,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
125,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
126,NULL,Forest,Shrubland,Water,Non_Wetland,NULL
127,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
128,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
129,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
130,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
131,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
132,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
133,NULL,Forest,Grassland,Water,Non_Wetland,Grassland
134,NULL,Forest,Grassland,Water,Non_Wetland,Bareland
135,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
136,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
137,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
138,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
139,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
140,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
141,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
142,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
143,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
144,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
145,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
146,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
147,NULL,Forest,Forest,NULL,Non_Wetland,NULL
148,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
149,NULL,Forest,Forest,NULL,Non_Wetland,Forest
150,NULL,Forest,Forest,Water,Non_Wetland,Grassland
151,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
152,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
153,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
154,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
155,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
156,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
157,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
158,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
159,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
160,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
161,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland
162,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
163,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
164,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
165,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
166,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
167,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
168,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland
169,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL
170,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
171,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
172,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
173,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
174,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
175,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
176,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL
177,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
178,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
179,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
180,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
181,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
182,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
183,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
184,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
185,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
186,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
187,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
188,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
189,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
190,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
191,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
192,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
193,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
194,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
195,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
196,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
197,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
198,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
199,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
200,Cropland,NULL,Shrubland,Water,Non_Wetland,Bareland
201,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
202,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
203,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
204,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
205,Cropland,NULL,Grassland,NULL,Non_Wetland,Water
206,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
207,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
208,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
209,Cropland,NULL,Grassland,Water,Non_Wetland,NULL
210,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
211,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
212,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
213,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
214,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
215,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
216,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
217,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
218,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
219,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
220,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
221,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
222,Cropland,NULL,Bareland,NULL,Non_Wetland,Water
223,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
224,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL
225,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
226,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
227,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland
228,Cropland,NULL,Bareland,Water,Non_Wetland,Bareland
229,Cropland,NULL,Bareland,Water,Non_Wetland,Water
230,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
231,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
232,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
233,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
234,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Bareland
235,Cropland,NULL,Built-up,Water,Non_Wetland,Bareland
236,Cropland,NULL,Water,NULL,Water,Bareland
237,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
238,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
239,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
240,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
241,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
242,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
243,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
244,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
245,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
246,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
247,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
248,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
249,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
250,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
251,Cropland,Cropland,Grassland,Water,Non_Wetland,Grassland
252,Cropland,Cropland,Grassland,Water,Non_Wetland,Bareland
253,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
254,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
255,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL
256,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
257,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland
258,Cropland,Cropland,Bareland,NULL,Non_Wetland,Forest
259,Cropland,Cropland,Bareland,Water,Non_Wetland,Grassland
260,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL
261,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
262,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland
263,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
264,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
265,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
266,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL
267,Cropland,Bareland,Grassland,NULL,Non_Wetland,Grassland
268,Cropland,Bareland,Grassland,NULL,Non_Wetland,Cropland
269,Cropland,Bareland,Grassland,NULL,Non_Wetland,Bareland
270,Cropland,Bareland,Grassland,Non_Water,Non_Wetland,Grassland
271,Cropland,Bareland,Grassland,Water,Non_Wetland,Grassland
272,Cropland,Bareland,Grassland,Water,Non_Wetland,Bareland
273,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL
274,Cropland,Bareland,Bareland,NULL,Non_Wetland,Grassland
275,Cropland,Bareland,Bareland,NULL,Non_Wetland,Bareland
276,Cropland,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
277,Cropland,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
278,Cropland,Bareland,Bareland,Water,Non_Wetland,Bareland
279,Cropland,Bareland,Built-up,NULL,Non_Wetland,NULL
280,Cropland,Bareland,Built-up,NULL,Non_Wetland,Grassland
281,Cropland,Bareland,Built-up,NULL,Non_Wetland,Bareland
282,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
283,Cropland,Water,Shrubland,NULL,Non_Wetland,Grassland
284,Cropland,Water,Grassland,NULL,Non_Wetland,Grassland
285,Cropland,Water,Bareland,NULL,Non_Wetland,Grassland
286,Cropland,Water,Bareland,NULL,Non_Wetland,Bareland
287,Cropland,Water,Built-up,NULL,Non_Wetland,Grassland
288,Cropland,Forest,NULL,NULL,Non_Wetland,NULL
289,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
290,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
291,Cropland,Forest,Shrubland,NULL,Non_Wetland,Cropland
292,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest
293,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL
294,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland
295,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL
296,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland
297,Cropland,Forest,Cropland,NULL,Non_Wetland,Cropland
298,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest
299,Cropland,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
300,Cropland,Forest,Bareland,NULL,Non_Wetland,NULL
301,Cropland,Forest,Bareland,NULL,Non_Wetland,Grassland
302,Cropland,Forest,Built-up,NULL,Non_Wetland,NULL
303,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
304,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
305,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
306,Wetland,NULL,Grassland,NULL,Non_Wetland,Grassland
307,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL
308,Wetland,NULL,Bareland,NULL,Non_Wetland,Grassland
309,Wetland,NULL,Bareland,NULL,Non_Wetland,Forest
310,Wetland,Wetland,Bareland,NULL,Non_Wetland,NULL
311,Wetland,Wetland,Bareland,NULL,Non_Wetland,Grassland
312,Wetland,Wetland,Bareland,NULL,Non_Wetland,Forest
313,Wetland,Wetland,Forest,NULL,Non_Wetland,Forest
314,Wetland,Forest,Bareland,NULL,Non_Wetland,NULL
315,Wetland,Forest,Bareland,NULL,Non_Wetland,Grassland
316,Wetland,Forest,Bareland,NULL,Non_Wetland,Forest
317,Bareland,NULL,NULL,NULL,Non_Wetland,NULL
318,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
319,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
320,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
321,Bareland,NULL,Shrubland,NULL,Non_Wetland,Cropland
322,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
323,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
324,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
325,Bareland,NULL,Shrubland,Water,Non_Wetland,Grassland
326,Bareland,NULL,Shrubland,Water,Non_Wetland,Bareland
327,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL
328,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
329,Bareland,NULL,Grassland,NULL,Non_Wetland,Cropland
330,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
331,Bareland,NULL,Grassland,NULL,Non_Wetland,Built-up
332,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
333,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
334,Bareland,NULL,Grassland,Water,Non_Wetland,Grassland
335,Bareland,NULL,Grassland,Water,Non_Wetland,Bareland
336,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
337,Bareland,NULL,Wetland,Non_Water,Wetland,Grassland
338,Bareland,NULL,Wetland,Water,Wetland,Bareland
339,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL
340,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland
341,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland
342,Bareland,NULL,Bareland,NULL,Non_Wetland,Forest
343,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
344,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
345,Bareland,NULL,Bareland,Water,Non_Wetland,Grassland
346,Bareland,NULL,Bareland,Water,Non_Wetland,Bareland
347,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL
348,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland
349,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland
350,Bareland,NULL,Built-up,Water,Non_Wetland,Bareland
351,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland
352,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
353,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
354,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL
355,Bareland,Cropland,Grassland,NULL,Non_Wetland,Grassland
356,Bareland,Cropland,Grassland,NULL,Non_Wetland,Bareland
357,Bareland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
358,Bareland,Cropland,Bareland,NULL,Non_Wetland,Grassland
359,Bareland,Cropland,Bareland,NULL,Non_Wetland,Bareland
360,Bareland,Cropland,Built-up,NULL,Non_Wetland,Grassland
361,Bareland,Cropland,Built-up,NULL,Non_Wetland,Bareland
362,Bareland,Wetland,Bareland,NULL,Non_Wetland,NULL
363,Bareland,Wetland,Bareland,NULL,Non_Wetland,Grassland
364,Bareland,Wetland,Bareland,NULL,Non_Wetland,Forest
365,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
366,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
367,Bareland,Bareland,Grassland,NULL,Non_Wetland,Grassland
368,Bareland,Bareland,Grassland,NULL,Non_Wetland,Bareland
369,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,Grassland
370,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
371,Bareland,Bareland,Grassland,Water,Non_Wetland,Bareland
372,Bareland,Bareland,Wetland,NULL,Wetland,Bareland
373,Bareland,Bareland,Wetland,Water,Wetland,Bareland
374,Bareland,Bareland,Bareland,NULL,Non_Wetland,Grassland
375,Bareland,Bareland,Bareland,NULL,Non_Wetland,Bareland
376,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
377,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Water
378,Bareland,Bareland,Bareland,Water,Non_Wetland,Bareland
379,Bareland,Bareland,Built-up,NULL,Non_Wetland,Grassland
380,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland
381,Bareland,Bareland,Water,Water,Water,Bareland
382,Bareland,Built-up,Grassland,NULL,Non_Wetland,Grassland
383,Bareland,Built-up,Grassland,NULL,Non_Wetland,Bareland
384,Bareland,Built-up,Bareland,NULL,Non_Wetland,Grassland
385,Bareland,Built-up,Bareland,NULL,Non_Wetland,Bareland
386,Bareland,Built-up,Built-up,NULL,Non_Wetland,Grassland
387,Bareland,Built-up,Built-up,NULL,Non_Wetland,Bareland
388,Bareland,Water,Grassland,NULL,Non_Wetland,Grassland
389,Bareland,Water,Wetland,Non_Water,Wetland,Bareland
390,Bareland,Water,Wetland,Water,Wetland,Bareland
391,Bareland,Water,Bareland,NULL,Non_Wetland,Grassland
392,Bareland,Water,Bareland,NULL,Non_Wetland,Bareland
393,Bareland,Water,Bareland,Non_Water,Non_Wetland,Bareland
394,Bareland,Water,Bareland,Water,Non_Wetland,Bareland
395,Bareland,Forest,Grassland,NULL,Non_Wetland,Grassland
396,Bareland,Forest,Bareland,NULL,Non_Wetland,NULL
397,Bareland,Forest,Bareland,NULL,Non_Wetland,Grassland
398,Water,NULL,Shrubland,NULL,Non_Wetland,NULL
399,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland
400,Water,NULL,Shrubland,NULL,Non_Wetland,Bareland
401,Water,NULL,Shrubland,NULL,Non_Wetland,Forest
402,Water,NULL,Grassland,NULL,Non_Wetland,NULL
403,Water,NULL,Grassland,NULL,Non_Wetland,Grassland
404,Water,NULL,Grassland,NULL,Non_Wetland,Bareland
405,Water,NULL,Grassland,NULL,Non_Wetland,Water
406,Water,NULL,Grassland,Water,Non_Wetland,Grassland
407,Water,NULL,Grassland,Water,Non_Wetland,Bareland
408,Water,NULL,Grassland,Water,Non_Wetland,Water
409,Water,NULL,Cropland,NULL,Non_Wetland,NULL
410,Water,NULL,Wetland,Water,Wetland,Bareland
411,Water,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
412,Water,NULL,Bareland,NULL,Non_Wetland,NULL
413,Water,NULL,Bareland,NULL,Non_Wetland,Grassland
414,Water,NULL,Bareland,NULL,Non_Wetland,Bareland
415,Water,NULL,Bareland,NULL,Non_Wetland,Water
416,Water,NULL,Bareland,NULL,Non_Wetland,Forest
