Value,AFRICA_2024_DynamicWorld_2024_36NXP_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NXP_M_R,AFRICA_2024_GLC_FCS30D_2022_36NXP_M_R,AFRICA_2024_GSW_Yearly_2021_36NXP_M_R,AFRICA_2024_GWL_FCS30D_2022_36NXP_M_R,AFRICA_2024_WorldCover_2021_36NXP_M_R
120,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
121,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
122,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
123,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
124,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
125,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
126,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
127,NULL,Built-up,NULL,Non_Water,Non_Wetland,Grassland
128,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
129,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
130,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
131,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
132,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
133,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
134,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
135,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up
136,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
137,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
138,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
139,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
140,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
141,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
142,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
143,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
144,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
145,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
146,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
147,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
148,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
149,NULL,Built-up,Wetland,NULL,Wetland,Built-up
150,NULL,Built-up,Wetland,NULL,Wetland,Forest
151,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
152,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
153,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
154,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
155,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
156,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
157,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
158,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
159,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
160,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
161,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
162,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
163,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
164,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
165,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
166,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
167,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland
168,NULL,Water,NULL,NULL,Non_Wetland,Grassland
169,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
170,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
171,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
172,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
173,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
174,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
175,NULL,Water,Wetland,NULL,Wetland,Forest
176,NULL,Water,Bareland,Water,Non_Wetland,Grassland
177,NULL,Water,Built-up,NULL,Non_Wetland,Built-up
178,NULL,Water,Forest,NULL,Non_Wetland,Grassland
179,NULL,Water,Forest,NULL,Non_Wetland,Built-up
180,NULL,Water,Forest,NULL,Non_Wetland,Forest
181,NULL,Forest,NULL,NULL,Non_Wetland,NULL
182,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
183,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
184,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
185,NULL,Forest,NULL,NULL,Non_Wetland,Forest
186,NULL,Forest,NULL,Non_Water,Non_Wetland,Grassland
187,NULL,Forest,NULL,Non_Water,Non_Wetland,Wetland
188,NULL,Forest,NULL,Water,Non_Wetland,Grassland
189,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
190,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
191,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
192,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
193,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
194,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
195,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
196,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
197,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
198,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
199,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
200,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland
201,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
202,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
203,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
204,NULL,Forest,Wetland,NULL,Wetland,Grassland
205,NULL,Forest,Wetland,NULL,Wetland,Wetland
206,NULL,Forest,Wetland,NULL,Wetland,Forest
207,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
208,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland
209,NULL,Forest,Forest,NULL,Non_Wetland,NULL
210,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
211,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
212,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
213,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
214,NULL,Forest,Forest,NULL,Non_Wetland,Forest
215,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
216,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
217,NULL,Forest,Forest,Non_Water,Non_Wetland,Wetland
218,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
219,NULL,Forest,Forest,Water,Non_Wetland,Grassland
220,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
221,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
222,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
223,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
224,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
225,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
226,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland
227,Grassland,NULL,NULL,Non_Water,Non_Wetland,Forest
228,Grassland,NULL,NULL,Water,Non_Wetland,Grassland
229,Grassland,NULL,NULL,Water,Non_Wetland,Wetland
230,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
231,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
232,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
233,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
234,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
235,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
236,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
237,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
238,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
239,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
240,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
241,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
242,Grassland,NULL,Shrubland,Water,Non_Wetland,Forest
243,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
244,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
245,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
246,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
247,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
248,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
249,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
250,Grassland,NULL,Wetland,NULL,Wetland,NULL
251,Grassland,NULL,Wetland,NULL,Wetland,Grassland
252,Grassland,NULL,Wetland,NULL,Wetland,Wetland
253,Grassland,NULL,Wetland,NULL,Wetland,Forest
254,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
255,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
256,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
257,Grassland,NULL,Wetland,Water,Wetland,Wetland
258,Grassland,NULL,Wetland,Water,Wetland,Forest
259,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
260,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
261,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
262,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
263,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
264,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
265,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Forest
266,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland
267,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland
268,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
269,Grassland,NULL,Water,NULL,Water,Wetland
270,Grassland,NULL,Water,NULL,Water,Forest
271,Grassland,NULL,Water,Non_Water,Water,Wetland
272,Grassland,NULL,Water,Non_Water,Water,Water
273,Grassland,NULL,Water,Non_Water,Water,Forest
274,Grassland,NULL,Water,Water,Water,Wetland
275,Grassland,NULL,Water,Water,Water,Forest
276,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
277,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
278,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
279,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
280,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up
281,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
282,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL
283,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
284,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
285,Grassland,NULL,Forest,Non_Water,Non_Wetland,Water
286,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
287,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
288,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
289,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL
290,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
291,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
292,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland
293,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest
294,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
295,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
296,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
297,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
298,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
299,Grassland,Cropland,Shrubland,Water,Non_Wetland,Wetland
300,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
301,Grassland,Cropland,Wetland,NULL,Wetland,Grassland
302,Grassland,Cropland,Wetland,NULL,Wetland,Wetland
303,Grassland,Cropland,Wetland,Non_Water,Wetland,Wetland
304,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland
305,Grassland,Cropland,Bareland,NULL,Non_Wetland,Wetland
306,Grassland,Cropland,Bareland,NULL,Non_Wetland,Forest
307,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
308,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
309,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
310,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
311,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
312,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Grassland
313,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Wetland
314,Grassland,Cropland,Forest,Water,Non_Wetland,Grassland
315,Grassland,Cropland,Forest,Water,Non_Wetland,Wetland
316,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL
317,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland
318,Grassland,Wetland,NULL,NULL,Non_Wetland,Wetland
319,Grassland,Wetland,NULL,NULL,Non_Wetland,Forest
320,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL
321,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
322,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
323,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Forest
324,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
325,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
326,Grassland,Wetland,Shrubland,Water,Non_Wetland,Wetland
327,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland
328,Grassland,Wetland,Cropland,NULL,Non_Wetland,Wetland
329,Grassland,Wetland,Wetland,NULL,Wetland,NULL
330,Grassland,Wetland,Wetland,NULL,Wetland,Grassland
331,Grassland,Wetland,Wetland,NULL,Wetland,Wetland
332,Grassland,Wetland,Wetland,NULL,Wetland,Forest
333,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland
334,Grassland,Wetland,Wetland,Non_Water,Wetland,Forest
335,Grassland,Wetland,Wetland,Water,Wetland,Wetland
336,Grassland,Wetland,Wetland,Water,Wetland,Forest
337,Grassland,Wetland,Bareland,NULL,Non_Wetland,NULL
338,Grassland,Wetland,Bareland,NULL,Non_Wetland,Grassland
339,Grassland,Wetland,Bareland,NULL,Non_Wetland,Wetland
340,Grassland,Wetland,Bareland,NULL,Non_Wetland,Forest
341,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
342,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Forest
343,Grassland,Wetland,Bareland,Water,Non_Wetland,Wetland
344,Grassland,Wetland,Water,NULL,Water,Grassland
345,Grassland,Wetland,Water,NULL,Water,Wetland
346,Grassland,Wetland,Water,NULL,Water,Water
347,Grassland,Wetland,Water,NULL,Water,Forest
348,Grassland,Wetland,Water,Non_Water,Water,Wetland
349,Grassland,Wetland,Water,Water,Water,Wetland
350,Grassland,Wetland,Water,Water,Water,Water
351,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL
352,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland
353,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland
354,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest
355,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Grassland
356,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland
357,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Forest
358,Grassland,Wetland,Forest,Water,Non_Wetland,Grassland
359,Grassland,Wetland,Forest,Water,Non_Wetland,Wetland
360,Grassland,Wetland,Forest,Water,Non_Wetland,Forest
361,Grassland,Water,NULL,NULL,Non_Wetland,Wetland
362,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland
363,Grassland,Water,Shrubland,NULL,Non_Wetland,Forest
364,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Grassland
365,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Wetland
366,Grassland,Water,Shrubland,Water,Non_Wetland,Wetland
367,Grassland,Water,Wetland,NULL,Wetland,Wetland
368,Grassland,Water,Wetland,NULL,Wetland,Forest
369,Grassland,Water,Wetland,Non_Water,Wetland,Wetland
370,Grassland,Water,Wetland,Water,Wetland,Wetland
371,Grassland,Water,Bareland,NULL,Non_Wetland,Grassland
372,Grassland,Water,Bareland,NULL,Non_Wetland,Wetland
373,Grassland,Water,Bareland,NULL,Non_Wetland,Forest
374,Grassland,Water,Bareland,Non_Water,Non_Wetland,Wetland
375,Grassland,Water,Bareland,Water,Non_Wetland,Wetland
376,Grassland,Water,Water,NULL,Water,Wetland
377,Grassland,Water,Water,NULL,Water,Forest
378,Grassland,Water,Water,Non_Water,Water,Wetland
379,Grassland,Water,Water,Non_Water,Water,Water
380,Grassland,Water,Water,Water,Water,Wetland
381,Grassland,Water,Forest,NULL,Non_Wetland,Grassland
382,Grassland,Water,Forest,NULL,Non_Wetland,Wetland
383,Grassland,Water,Forest,NULL,Non_Wetland,Forest
384,Grassland,Water,Forest,Non_Water,Non_Wetland,Wetland
385,Grassland,Water,Forest,Non_Water,Non_Wetland,Forest
386,Grassland,Water,Forest,Water,Non_Wetland,Grassland
387,Grassland,Water,Forest,Water,Non_Wetland,Wetland
388,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
389,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
390,Grassland,Forest,NULL,NULL,Non_Wetland,Cropland
391,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland
392,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
393,Grassland,Forest,NULL,Non_Water,Non_Wetland,Grassland
394,Grassland,Forest,NULL,Non_Water,Non_Wetland,Wetland
395,Grassland,Forest,NULL,Water,Non_Wetland,Grassland
396,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
397,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
398,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland
399,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
400,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
401,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
402,Grassland,Forest,Shrubland,Water,Non_Wetland,Grassland
403,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
404,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
405,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland
406,Grassland,Forest,Wetland,NULL,Wetland,NULL
407,Grassland,Forest,Wetland,NULL,Wetland,Grassland
408,Grassland,Forest,Wetland,NULL,Wetland,Wetland
409,Grassland,Forest,Wetland,NULL,Wetland,Forest
410,Grassland,Forest,Wetland,Non_Water,Wetland,NULL
411,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland
412,Grassland,Forest,Wetland,Water,Wetland,Wetland
413,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL
414,Grassland,Forest,Bareland,NULL,Non_Wetland,Grassland
415,Grassland,Forest,Bareland,NULL,Non_Wetland,Wetland
416,Grassland,Forest,Bareland,NULL,Non_Wetland,Forest
417,Grassland,Forest,Bareland,Non_Water,Non_Wetland,Grassland
418,Grassland,Forest,Bareland,Non_Water,Non_Wetland,Wetland
419,Grassland,Forest,Water,NULL,Water,Wetland
420,Grassland,Forest,Water,Non_Water,Water,Wetland
421,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
422,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
423,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland
424,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
425,Grassland,Forest,Forest,NULL,Non_Wetland,Built-up
