Value,AFRICA_2024_DynamicWorld_2024_37NHF_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NHF_M_R,AFRICA_2024_GLC_FCS30D_2022_37NHF_M_R,AFRICA_2024_GSW_Yearly_2021_37NHF_M_R,AFRICA_2024_GWL_FCS30D_2022_37NHF_M_R,AFRICA_2024_WorldCover_2021_37NHF_M_R
120,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
121,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
122,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
123,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
124,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
125,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
126,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
127,NULL,Cropland,Wetland,NULL,Wetland,Grassland
128,NULL,Cropland,Wetland,NULL,Wetland,Cropland
129,NULL,Cropland,Wetland,Non_Water,Wetland,Cropland
130,NULL,Cropland,Wetland,Water,Wetland,Cropland
131,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
132,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
133,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
134,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
135,NULL,Cropland,Bareland,Water,Non_Wetland,Cropland
136,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
137,NULL,Cropland,Water,NULL,Water,Wetland
138,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
139,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
140,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
141,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
142,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
143,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
144,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
145,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
146,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
147,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
148,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
149,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
150,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
151,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
152,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
153,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
154,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
155,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
156,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
157,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
158,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
159,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
160,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
161,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
162,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
163,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
164,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
165,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
166,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
167,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
168,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
169,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
170,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
171,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
172,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
173,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland
174,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
175,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
176,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
177,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
178,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
179,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
180,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
181,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
182,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
183,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
184,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
185,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
186,NULL,Built-up,Bareland,Water,Non_Wetland,Built-up
187,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
188,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
189,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
190,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
191,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
192,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
193,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland
194,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland
195,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
196,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
197,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
198,NULL,Water,NULL,NULL,Non_Wetland,Forest
199,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
200,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
201,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
202,NULL,Water,Grassland,NULL,Non_Wetland,NULL
203,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
204,NULL,Water,Cropland,NULL,Non_Wetland,NULL
205,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
206,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
207,NULL,Water,Cropland,NULL,Non_Wetland,Forest
208,NULL,Water,Wetland,NULL,Wetland,Cropland
209,NULL,Water,Bareland,NULL,Non_Wetland,NULL
210,NULL,Forest,NULL,NULL,Non_Wetland,NULL
211,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
212,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
213,NULL,Forest,NULL,NULL,Non_Wetland,Forest
214,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL
215,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
216,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
217,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
218,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
219,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
220,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
221,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
222,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
223,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
224,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland
225,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
226,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
227,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL
228,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland
229,NULL,Forest,Grassland,Non_Water,Non_Wetland,Cropland
230,NULL,Forest,Grassland,Water,Non_Wetland,Grassland
231,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
232,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
233,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
234,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
235,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
236,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL
237,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland
238,NULL,Forest,Cropland,Non_Water,Non_Wetland,Cropland
239,NULL,Forest,Cropland,Non_Water,Non_Wetland,Forest
240,NULL,Forest,Cropland,Water,Non_Wetland,NULL
241,NULL,Forest,Cropland,Water,Non_Wetland,Cropland
242,NULL,Forest,Wetland,NULL,Wetland,NULL
243,NULL,Forest,Wetland,NULL,Wetland,Grassland
244,NULL,Forest,Wetland,NULL,Wetland,Cropland
245,NULL,Forest,Wetland,NULL,Wetland,Forest
246,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
247,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
248,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
249,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
250,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
251,NULL,Forest,Bareland,Non_Water,Non_Wetland,Grassland
252,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
253,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
254,NULL,Forest,Water,NULL,Water,NULL
255,NULL,Forest,Water,NULL,Water,Grassland
256,NULL,Forest,Forest,NULL,Non_Wetland,NULL
257,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
258,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
259,NULL,Forest,Forest,NULL,Non_Wetland,Forest
260,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
261,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
262,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
263,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland
264,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
265,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
266,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
267,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
268,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
269,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
270,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
271,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
272,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
273,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
274,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
275,Grassland,NULL,Shrubland,Water,Non_Wetland,Cropland
276,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
277,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
278,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
279,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL
280,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
281,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
282,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland
283,Grassland,NULL,Grassland,Water,Non_Wetland,Cropland
284,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
285,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
286,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
287,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
288,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
289,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
290,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
291,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
292,Grassland,NULL,Cropland,Water,Non_Wetland,Cropland
293,Grassland,NULL,Wetland,NULL,Wetland,Grassland
294,Grassland,NULL,Wetland,NULL,Wetland,Cropland
295,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
296,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
297,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
298,Grassland,NULL,Built-up,NULL,Non_Wetland,Cropland
299,Grassland,NULL,Water,Water,Water,Cropland
300,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
301,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
302,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
303,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
304,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
305,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
306,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
307,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
308,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
309,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
310,Grassland,Cropland,Shrubland,Water,Non_Wetland,Grassland
311,Grassland,Cropland,Shrubland,Water,Non_Wetland,Cropland
312,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
313,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
314,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
315,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
316,Grassland,Cropland,Grassland,Water,Non_Wetland,Grassland
317,Grassland,Cropland,Grassland,Water,Non_Wetland,Cropland
318,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
319,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
320,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
321,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest
322,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
323,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
324,Grassland,Cropland,Cropland,Water,Non_Wetland,Grassland
325,Grassland,Cropland,Cropland,Water,Non_Wetland,Cropland
326,Grassland,Cropland,Wetland,NULL,Wetland,Cropland
327,Grassland,Cropland,Wetland,Water,Wetland,Cropland
328,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL
329,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL
330,Grassland,Water,Grassland,NULL,Non_Wetland,NULL
331,Grassland,Water,Grassland,NULL,Non_Wetland,Grassland
332,Grassland,Water,Grassland,NULL,Non_Wetland,Cropland
333,Grassland,Water,Cropland,NULL,Non_Wetland,Cropland
334,Grassland,Water,Cropland,NULL,Non_Wetland,Forest
335,Grassland,Water,Cropland,Water,Non_Wetland,Cropland
336,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
337,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
338,Grassland,Forest,NULL,NULL,Non_Wetland,Cropland
339,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
340,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
341,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
342,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland
343,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland
344,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
345,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL
346,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
347,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Cropland
348,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
349,Grassland,Forest,Shrubland,Water,Non_Wetland,Grassland
350,Grassland,Forest,Shrubland,Water,Non_Wetland,Cropland
351,Grassland,Forest,Shrubland,Water,Non_Wetland,Wetland
352,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL
353,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
354,Grassland,Forest,Grassland,NULL,Non_Wetland,Cropland
355,Grassland,Forest,Grassland,NULL,Non_Wetland,Wetland
356,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest
357,Grassland,Forest,Grassland,Non_Water,Non_Wetland,NULL
358,Grassland,Forest,Grassland,Non_Water,Non_Wetland,Grassland
359,Grassland,Forest,Grassland,Non_Water,Non_Wetland,Cropland
360,Grassland,Forest,Grassland,Non_Water,Non_Wetland,Forest
361,Grassland,Forest,Grassland,Water,Non_Wetland,Grassland
362,Grassland,Forest,Grassland,Water,Non_Wetland,Cropland
363,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
364,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
365,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland
366,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland
367,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
368,Grassland,Forest,Cropland,Non_Water,Non_Wetland,NULL
369,Grassland,Forest,Cropland,Non_Water,Non_Wetland,Grassland
370,Grassland,Forest,Cropland,Non_Water,Non_Wetland,Cropland
371,Grassland,Forest,Cropland,Non_Water,Non_Wetland,Forest
372,Grassland,Forest,Cropland,Water,Non_Wetland,Grassland
373,Grassland,Forest,Cropland,Water,Non_Wetland,Cropland
374,Grassland,Forest,Cropland,Water,Non_Wetland,Wetland
375,Grassland,Forest,Wetland,NULL,Wetland,Grassland
376,Grassland,Forest,Wetland,NULL,Wetland,Cropland
377,Grassland,Forest,Wetland,Non_Water,Wetland,NULL
378,Grassland,Forest,Wetland,Water,Wetland,Cropland
379,Grassland,Forest,Bareland,NULL,Non_Wetland,Grassland
380,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
381,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
382,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland
383,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
384,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
385,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
386,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
387,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
388,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
389,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland
390,Cropland,NULL,NULL,Non_Water,Non_Wetland,Cropland
391,Cropland,NULL,NULL,Non_Water,Non_Wetland,Forest
392,Cropland,NULL,NULL,Water,Non_Wetland,Cropland
393,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
394,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
395,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
396,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland
397,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
398,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
399,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
400,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
401,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
402,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
403,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
404,Cropland,NULL,Shrubland,Water,Non_Wetland,Cropland
405,Cropland,NULL,Shrubland,Water,Non_Wetland,Forest
406,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
407,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
408,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
409,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
410,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
411,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
412,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL
413,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
414,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
415,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
416,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Forest
417,Cropland,NULL,Grassland,Water,Non_Wetland,NULL
418,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
419,Cropland,NULL,Grassland,Water,Non_Wetland,Cropland
420,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
