Value,AFRICA_2024_DynamicWorld_2024_35PPM_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PPM_M_R,AFRICA_2024_GLC_FCS30D_2022_35PPM_M_R,AFRICA_2024_GSW_Yearly_2021_35PPM_M_R,AFRICA_2024_GWL_FCS30D_2022_35PPM_M_R,AFRICA_2024_WorldCover_2021_35PPM_M_R
124,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
125,NULL,NULL,Forest,NULL,Non_Wetland,Water
126,NULL,NULL,Forest,NULL,Non_Wetland,Forest
127,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
128,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
129,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
130,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland
131,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
132,NULL,NULL,Forest,Water,Non_Wetland,NULL
133,NULL,NULL,Forest,Water,Non_Wetland,Grassland
134,NULL,NULL,Forest,Water,Non_Wetland,Cropland
135,NULL,NULL,Forest,Water,Non_Wetland,Wetland
136,NULL,NULL,Forest,Water,Non_Wetland,Bareland
137,NULL,NULL,Forest,Water,Non_Wetland,Forest
138,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
139,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
140,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
141,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland
142,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
143,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
144,NULL,Cropland,NULL,Water,Non_Wetland,Cropland
145,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
146,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
147,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
148,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
149,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
150,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
151,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
152,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
153,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
154,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
155,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
156,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
157,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
158,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
159,NULL,Cropland,Wetland,NULL,Wetland,NULL
160,NULL,Cropland,Wetland,NULL,Wetland,Grassland
161,NULL,Cropland,Wetland,NULL,Wetland,Cropland
162,NULL,Cropland,Wetland,NULL,Wetland,Wetland
163,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
164,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
165,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
166,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
167,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
168,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
169,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
170,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
171,NULL,Cropland,Forest,Water,Non_Wetland,Cropland
172,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
173,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
174,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
175,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
176,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
177,NULL,Wetland,Wetland,NULL,Wetland,NULL
178,NULL,Wetland,Wetland,NULL,Wetland,Forest
179,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
180,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
181,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
182,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
183,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
184,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
185,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
186,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
187,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
188,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
189,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
190,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
191,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
192,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
193,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
194,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
195,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland
196,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
197,NULL,Built-up,Wetland,Non_Water,Wetland,Bareland
198,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
199,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
200,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
201,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
202,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
203,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
204,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
205,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
206,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
207,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
208,NULL,Water,NULL,Non_Water,Non_Wetland,Grassland
209,NULL,Water,NULL,Water,Non_Wetland,Grassland
210,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
211,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
212,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
213,NULL,Water,Grassland,Water,Non_Wetland,Grassland
214,NULL,Water,Grassland,Water,Non_Wetland,Wetland
215,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
216,NULL,Water,Wetland,NULL,Wetland,Cropland
217,NULL,Forest,NULL,NULL,Non_Wetland,NULL
218,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
219,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
220,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
221,NULL,Forest,NULL,NULL,Non_Wetland,Forest
222,NULL,Forest,NULL,Non_Water,Non_Wetland,Grassland
223,NULL,Forest,NULL,Water,Non_Wetland,Grassland
224,NULL,Forest,NULL,Water,Non_Wetland,Bareland
225,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
226,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
227,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
228,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
229,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
230,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
231,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
232,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
233,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
234,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Cropland
235,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
236,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
237,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
238,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
239,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
240,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland
241,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
242,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
243,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland
244,NULL,Forest,Grassland,Water,Non_Wetland,Grassland
245,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
246,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
247,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
248,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
249,NULL,Forest,Cropland,Water,Non_Wetland,Grassland
250,NULL,Forest,Wetland,NULL,Wetland,NULL
251,NULL,Forest,Wetland,NULL,Wetland,Grassland
252,NULL,Forest,Wetland,NULL,Wetland,Cropland
253,NULL,Forest,Wetland,NULL,Wetland,Wetland
254,NULL,Forest,Wetland,NULL,Wetland,Forest
255,NULL,Forest,Wetland,Non_Water,Wetland,NULL
256,NULL,Forest,Wetland,Non_Water,Wetland,Grassland
257,NULL,Forest,Wetland,Water,Wetland,Grassland
258,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
259,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
260,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
261,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
262,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
263,NULL,Forest,Water,NULL,Water,Grassland
264,NULL,Forest,Forest,NULL,Non_Wetland,NULL
265,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
266,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
267,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
268,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
269,NULL,Forest,Forest,NULL,Non_Wetland,Forest
270,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
271,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
272,NULL,Forest,Forest,Water,Non_Wetland,Grassland
273,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
274,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
275,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
276,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
277,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
278,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
279,Grassland,NULL,NULL,Non_Water,Non_Wetland,Cropland
280,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland
281,Grassland,NULL,NULL,Water,Non_Wetland,Grassland
282,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
283,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
284,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
285,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
286,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
287,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
288,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
289,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
290,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
291,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
292,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
293,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
294,Grassland,NULL,Shrubland,Water,Non_Wetland,Bareland
295,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
296,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
297,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
298,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
299,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
300,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
301,Grassland,NULL,Wetland,NULL,Wetland,NULL
302,Grassland,NULL,Wetland,NULL,Wetland,Grassland
303,Grassland,NULL,Wetland,NULL,Wetland,Cropland
304,Grassland,NULL,Wetland,NULL,Wetland,Wetland
305,Grassland,NULL,Wetland,NULL,Wetland,Forest
306,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
307,Grassland,NULL,Wetland,Non_Water,Wetland,Cropland
308,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
309,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
310,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
311,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
312,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
313,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
314,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
315,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
316,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
317,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
318,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
319,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland
320,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
321,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
322,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
323,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
324,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
325,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
326,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
327,Grassland,Cropland,Wetland,NULL,Wetland,NULL
328,Grassland,Cropland,Wetland,NULL,Wetland,Grassland
329,Grassland,Cropland,Wetland,NULL,Wetland,Cropland
330,Grassland,Cropland,Wetland,NULL,Wetland,Wetland
331,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
332,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
333,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL
334,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
335,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
336,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Forest
337,Grassland,Wetland,Wetland,NULL,Wetland,NULL
338,Grassland,Wetland,Wetland,NULL,Wetland,Grassland
339,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland
340,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest
341,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Grassland
342,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland
343,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
344,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
345,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland
346,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland
347,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
348,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL
349,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
350,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Forest
351,Grassland,Forest,Grassland,NULL,Non_Wetland,Cropland
352,Grassland,Forest,Wetland,NULL,Wetland,NULL
353,Grassland,Forest,Wetland,NULL,Wetland,Grassland
354,Grassland,Forest,Wetland,NULL,Wetland,Wetland
355,Grassland,Forest,Wetland,NULL,Wetland,Forest
356,Grassland,Forest,Wetland,Non_Water,Wetland,Forest
357,Grassland,Forest,Bareland,NULL,Non_Wetland,Grassland
358,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
359,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
360,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
361,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
362,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland
363,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
364,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up
365,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
366,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland
367,Cropland,NULL,NULL,Water,Non_Wetland,Grassland
368,Cropland,NULL,NULL,Water,Non_Wetland,Cropland
369,Cropland,NULL,NULL,Water,Non_Wetland,Wetland
370,Cropland,NULL,NULL,Water,Non_Wetland,Water
371,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
372,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
373,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
374,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland
375,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
376,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
377,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
378,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
379,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
380,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
381,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
382,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
383,Cropland,NULL,Shrubland,Water,Non_Wetland,Cropland
384,Cropland,NULL,Shrubland,Water,Non_Wetland,Wetland
385,Cropland,NULL,Shrubland,Water,Non_Wetland,Bareland
386,Cropland,NULL,Shrubland,Water,Non_Wetland,Water
387,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
388,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
389,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
390,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland
391,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
392,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
393,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
394,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
395,Cropland,NULL,Grassland,Water,Non_Wetland,Cropland
396,Cropland,NULL,Grassland,Water,Non_Wetland,Wetland
397,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
398,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
399,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
400,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
401,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
402,Cropland,NULL,Wetland,NULL,Wetland,NULL
403,Cropland,NULL,Wetland,NULL,Wetland,Grassland
404,Cropland,NULL,Wetland,NULL,Wetland,Cropland
405,Cropland,NULL,Wetland,NULL,Wetland,Wetland
406,Cropland,NULL,Wetland,NULL,Wetland,Forest
407,Cropland,NULL,Wetland,Water,Wetland,Grassland
408,Cropland,NULL,Wetland,Water,Wetland,Cropland
409,Cropland,NULL,Wetland,Water,Wetland,Wetland
410,Cropland,NULL,Wetland,Water,Wetland,Bareland
411,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
412,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
413,Cropland,NULL,Bareland,NULL,Non_Wetland,Wetland
414,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
415,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
416,Cropland,NULL,Built-up,NULL,Non_Wetland,Wetland
417,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
418,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
419,Cropland,NULL,Water,NULL,Water,Grassland
420,Cropland,NULL,Water,Non_Water,Water,Cropland
421,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
422,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
423,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
424,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
425,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland
426,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
427,Cropland,NULL,Forest,Non_Water,Non_Wetland,Grassland
428,Cropland,NULL,Forest,Non_Water,Non_Wetland,Cropland
