Value,AFRICA_2024_DynamicWorld_2024_36PTQ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PTQ_M_R,AFRICA_2024_GLC_FCS30D_2022_36PTQ_M_R,AFRICA_2024_GSW_Yearly_2021_36PTQ_M_R,AFRICA_2024_GWL_FCS30D_2022_36PTQ_M_R,AFRICA_2024_WorldCover_2021_36PTQ_M_R
124,NULL,Wetland,Water,Water,Water,Grassland
125,NULL,Wetland,Water,Water,Water,Wetland
126,NULL,Wetland,Water,Water,Water,Bareland
127,NULL,Wetland,Water,Water,Water,Water
128,NULL,Wetland,Water,Water,Water,Forest
129,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
130,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
131,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
132,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
133,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
134,NULL,Wetland,Forest,Water,Non_Wetland,Grassland
135,NULL,Wetland,Forest,Water,Non_Wetland,Water
136,NULL,Wetland,Forest,Water,Non_Wetland,Forest
137,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
138,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland
139,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
140,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
141,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
142,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
143,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
144,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
145,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
146,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
147,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
148,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
149,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland
150,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
151,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
152,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
153,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
154,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
155,NULL,Built-up,Wetland,NULL,Wetland,NULL
156,NULL,Built-up,Wetland,NULL,Wetland,Grassland
157,NULL,Built-up,Wetland,NULL,Wetland,Wetland
158,NULL,Built-up,Wetland,NULL,Wetland,Built-up
159,NULL,Built-up,Wetland,NULL,Wetland,Forest
160,NULL,Built-up,Wetland,Water,Wetland,Wetland
161,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
162,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland
163,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
164,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
165,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
166,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
167,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
168,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
169,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
170,NULL,Water,Shrubland,Non_Water,Non_Wetland,Wetland
171,NULL,Water,Wetland,NULL,Wetland,Grassland
172,NULL,Water,Wetland,NULL,Wetland,Wetland
173,NULL,Water,Wetland,Non_Water,Wetland,Wetland
174,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
175,NULL,Water,Forest,NULL,Non_Wetland,Wetland
176,NULL,Water,Forest,NULL,Non_Wetland,Forest
177,NULL,Water,Forest,Non_Water,Non_Wetland,Wetland
178,NULL,Forest,NULL,NULL,Non_Wetland,NULL
179,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
180,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
181,NULL,Forest,NULL,NULL,Non_Wetland,Forest
182,NULL,Forest,NULL,Water,Non_Wetland,Grassland
183,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
184,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
185,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
186,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
187,NULL,Forest,Shrubland,NULL,Non_Wetland,Water
188,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
189,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
190,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
191,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
192,NULL,Forest,Shrubland,Water,Non_Wetland,Wetland
193,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
194,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland
195,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
196,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
197,NULL,Forest,Wetland,NULL,Wetland,NULL
198,NULL,Forest,Wetland,NULL,Wetland,Grassland
199,NULL,Forest,Wetland,NULL,Wetland,Wetland
200,NULL,Forest,Wetland,NULL,Wetland,Forest
201,NULL,Forest,Wetland,Non_Water,Wetland,NULL
202,NULL,Forest,Wetland,Non_Water,Wetland,Grassland
203,NULL,Forest,Wetland,Non_Water,Wetland,Wetland
204,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
205,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland
206,NULL,Forest,Bareland,Non_Water,Non_Wetland,Wetland
207,NULL,Forest,Water,NULL,Water,Grassland
208,NULL,Forest,Water,NULL,Water,Wetland
209,NULL,Forest,Water,NULL,Water,Forest
210,NULL,Forest,Water,Water,Water,Grassland
211,NULL,Forest,Water,Water,Water,Wetland
212,NULL,Forest,Water,Water,Water,Forest
213,NULL,Forest,Forest,NULL,Non_Wetland,NULL
214,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
215,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
216,NULL,Forest,Forest,NULL,Non_Wetland,Forest
217,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
218,NULL,Forest,Forest,Non_Water,Non_Wetland,Wetland
219,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
220,NULL,Forest,Forest,Water,Non_Wetland,Grassland
221,NULL,Forest,Forest,Water,Non_Wetland,Forest
222,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
223,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
224,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
225,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
226,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
227,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland
228,Grassland,NULL,NULL,Water,Non_Wetland,Grassland
229,Grassland,NULL,NULL,Water,Non_Wetland,Wetland
230,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
231,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
232,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
233,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
234,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
235,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water
236,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
237,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
238,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
239,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
240,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
241,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
242,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
243,Grassland,NULL,Shrubland,Water,Non_Wetland,Water
244,Grassland,NULL,Shrubland,Water,Non_Wetland,Forest
245,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
246,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
247,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
248,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
249,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
250,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
251,Grassland,NULL,Wetland,NULL,Wetland,NULL
252,Grassland,NULL,Wetland,NULL,Wetland,Grassland
253,Grassland,NULL,Wetland,NULL,Wetland,Wetland
254,Grassland,NULL,Wetland,NULL,Wetland,Water
255,Grassland,NULL,Wetland,NULL,Wetland,Forest
256,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
257,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
258,Grassland,NULL,Wetland,Non_Water,Wetland,Water
259,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
260,Grassland,NULL,Wetland,Water,Wetland,Grassland
261,Grassland,NULL,Wetland,Water,Wetland,Wetland
262,Grassland,NULL,Wetland,Water,Wetland,Water
263,Grassland,NULL,Wetland,Water,Wetland,Forest
264,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
265,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
266,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
267,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
268,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
269,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Forest
270,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland
271,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
272,Grassland,NULL,Water,NULL,Water,Wetland
273,Grassland,NULL,Water,NULL,Water,Forest
274,Grassland,NULL,Water,Non_Water,Water,Grassland
275,Grassland,NULL,Water,Non_Water,Water,Wetland
276,Grassland,NULL,Water,Non_Water,Water,Forest
277,Grassland,NULL,Water,Water,Water,Grassland
278,Grassland,NULL,Water,Water,Water,Wetland
279,Grassland,NULL,Water,Water,Water,Water
280,Grassland,NULL,Water,Water,Water,Forest
281,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
282,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
283,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
284,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
285,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL
286,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
287,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
288,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
289,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
290,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
291,Grassland,NULL,Forest,Water,Non_Wetland,Forest
292,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
293,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland
294,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
295,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
296,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
297,Grassland,Cropland,Wetland,NULL,Wetland,NULL
298,Grassland,Cropland,Wetland,NULL,Wetland,Grassland
299,Grassland,Cropland,Wetland,NULL,Wetland,Wetland
300,Grassland,Cropland,Wetland,Non_Water,Wetland,Wetland
301,Grassland,Cropland,Bareland,NULL,Non_Wetland,Wetland
302,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
303,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
304,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL
305,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland
306,Grassland,Wetland,NULL,NULL,Non_Wetland,Wetland
307,Grassland,Wetland,NULL,NULL,Non_Wetland,Forest
308,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Wetland
309,Grassland,Wetland,NULL,Water,Non_Wetland,Wetland
310,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL
311,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
312,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
313,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Bareland
314,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Forest
315,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
316,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
317,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
318,Grassland,Wetland,Shrubland,Water,Non_Wetland,Grassland
319,Grassland,Wetland,Shrubland,Water,Non_Wetland,Wetland
320,Grassland,Wetland,Shrubland,Water,Non_Wetland,Forest
321,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland
322,Grassland,Wetland,Cropland,NULL,Non_Wetland,Wetland
323,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
324,Grassland,Wetland,Wetland,NULL,Wetland,NULL
325,Grassland,Wetland,Wetland,NULL,Wetland,Grassland
326,Grassland,Wetland,Wetland,NULL,Wetland,Wetland
327,Grassland,Wetland,Wetland,NULL,Wetland,Forest
328,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland
329,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland
330,Grassland,Wetland,Wetland,Non_Water,Wetland,Water
331,Grassland,Wetland,Wetland,Non_Water,Wetland,Forest
332,Grassland,Wetland,Wetland,Water,Wetland,Grassland
333,Grassland,Wetland,Wetland,Water,Wetland,Wetland
334,Grassland,Wetland,Wetland,Water,Wetland,Water
335,Grassland,Wetland,Wetland,Water,Wetland,Forest
336,Grassland,Wetland,Bareland,NULL,Non_Wetland,Grassland
337,Grassland,Wetland,Bareland,NULL,Non_Wetland,Wetland
338,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
339,Grassland,Wetland,Bareland,Water,Non_Wetland,Wetland
340,Grassland,Wetland,Built-up,NULL,Non_Wetland,Wetland
341,Grassland,Wetland,Water,NULL,Water,Grassland
342,Grassland,Wetland,Water,NULL,Water,Wetland
343,Grassland,Wetland,Water,NULL,Water,Forest
344,Grassland,Wetland,Water,Non_Water,Water,Grassland
345,Grassland,Wetland,Water,Non_Water,Water,Wetland
346,Grassland,Wetland,Water,Non_Water,Water,Forest
347,Grassland,Wetland,Water,Water,Water,Grassland
348,Grassland,Wetland,Water,Water,Water,Wetland
349,Grassland,Wetland,Water,Water,Water,Water
350,Grassland,Wetland,Water,Water,Water,Forest
351,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL
352,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland
353,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland
354,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest
355,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland
356,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Forest
357,Grassland,Wetland,Forest,Water,Non_Wetland,Grassland
358,Grassland,Wetland,Forest,Water,Non_Wetland,Wetland
359,Grassland,Wetland,Forest,Water,Non_Wetland,Forest
360,Grassland,Bareland,Wetland,NULL,Wetland,Wetland
361,Grassland,Bareland,Wetland,Water,Wetland,Wetland
362,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
363,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Forest
364,Grassland,Built-up,Cropland,NULL,Non_Wetland,Forest
365,Grassland,Built-up,Wetland,NULL,Wetland,Wetland
366,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland
367,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland
368,Grassland,Water,Shrubland,NULL,Non_Wetland,Forest
369,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Grassland
370,Grassland,Water,Wetland,NULL,Wetland,Grassland
371,Grassland,Water,Wetland,NULL,Wetland,Wetland
372,Grassland,Water,Wetland,NULL,Wetland,Forest
373,Grassland,Water,Wetland,Non_Water,Wetland,Wetland
374,Grassland,Water,Wetland,Non_Water,Wetland,Forest
375,Grassland,Water,Wetland,Water,Wetland,Wetland
376,Grassland,Water,Wetland,Water,Wetland,Forest
377,Grassland,Water,Bareland,NULL,Non_Wetland,Wetland
378,Grassland,Water,Water,NULL,Water,Wetland
379,Grassland,Water,Water,NULL,Water,Forest
380,Grassland,Water,Water,Non_Water,Water,Wetland
381,Grassland,Water,Water,Non_Water,Water,Forest
382,Grassland,Water,Water,Water,Water,Wetland
383,Grassland,Water,Water,Water,Water,Water
384,Grassland,Water,Water,Water,Water,Forest
385,Grassland,Water,Forest,NULL,Non_Wetland,Wetland
386,Grassland,Water,Forest,NULL,Non_Wetland,Forest
387,Grassland,Water,Forest,Non_Water,Non_Wetland,Grassland
388,Grassland,Water,Forest,Non_Water,Non_Wetland,Wetland
389,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
390,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
391,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland
392,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
393,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
394,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
395,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland
396,Grassland,Forest,Shrubland,NULL,Non_Wetland,Built-up
397,Grassland,Forest,Shrubland,NULL,Non_Wetland,Water
398,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
399,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
400,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
401,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Forest
402,Grassland,Forest,Shrubland,Water,Non_Wetland,Grassland
403,Grassland,Forest,Shrubland,Water,Non_Wetland,Wetland
404,Grassland,Forest,Shrubland,Water,Non_Wetland,Water
405,Grassland,Forest,Grassland,NULL,Non_Wetland,Wetland
406,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
407,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland
408,Grassland,Forest,Wetland,NULL,Wetland,NULL
409,Grassland,Forest,Wetland,NULL,Wetland,Grassland
410,Grassland,Forest,Wetland,NULL,Wetland,Wetland
411,Grassland,Forest,Wetland,NULL,Wetland,Water
412,Grassland,Forest,Wetland,NULL,Wetland,Forest
413,Grassland,Forest,Wetland,Non_Water,Wetland,Grassland
414,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland
415,Grassland,Forest,Wetland,Non_Water,Wetland,Forest
416,Grassland,Forest,Wetland,Water,Wetland,Grassland
417,Grassland,Forest,Wetland,Water,Wetland,Wetland
418,Grassland,Forest,Wetland,Water,Wetland,Forest
419,Grassland,Forest,Bareland,NULL,Non_Wetland,Grassland
420,Grassland,Forest,Bareland,NULL,Non_Wetland,Wetland
421,Grassland,Forest,Bareland,NULL,Non_Wetland,Forest
422,Grassland,Forest,Water,NULL,Water,Wetland
423,Grassland,Forest,Water,NULL,Water,Forest
424,Grassland,Forest,Water,Non_Water,Water,Wetland
425,Grassland,Forest,Water,Non_Water,Water,Forest
426,Grassland,Forest,Water,Water,Water,Grassland
427,Grassland,Forest,Water,Water,Water,Wetland
428,Grassland,Forest,Water,Water,Water,Water
429,Grassland,Forest,Water,Water,Water,Forest
430,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
431,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
432,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
433,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
434,Grassland,Forest,Forest,Non_Water,Non_Wetland,Grassland
435,Grassland,Forest,Forest,Non_Water,Non_Wetland,Wetland
436,Grassland,Forest,Forest,Non_Water,Non_Wetland,Forest
437,Grassland,Forest,Forest,Water,Non_Wetland,Grassland
438,Grassland,Forest,Forest,Water,Non_Wetland,Forest
