Value,AFRICA_2024_DynamicWorld_2024_37PBN_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PBN_M_R,AFRICA_2024_GLC_FCS30D_2022_37PBN_M_R,AFRICA_2024_GSW_Yearly_2021_37PBN_M_R,AFRICA_2024_GWL_FCS30D_2022_37PBN_M_R,AFRICA_2024_WorldCover_2021_37PBN_M_R
121,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
122,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
123,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
124,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
125,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
126,NULL,Cropland,Cropland,NULL,Non_Wetland,Water
127,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
128,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL
129,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
130,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
131,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Bareland
132,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
133,NULL,Cropland,Cropland,Water,Non_Wetland,Bareland
134,NULL,Cropland,Wetland,NULL,Wetland,Grassland
135,NULL,Cropland,Wetland,NULL,Wetland,Cropland
136,NULL,Cropland,Wetland,NULL,Wetland,Wetland
137,NULL,Cropland,Wetland,NULL,Wetland,Forest
138,NULL,Cropland,Wetland,Non_Water,Wetland,Cropland
139,NULL,Cropland,Wetland,Non_Water,Wetland,Wetland
140,NULL,Cropland,Wetland,Water,Wetland,Grassland
141,NULL,Cropland,Wetland,Water,Wetland,Cropland
142,NULL,Cropland,Wetland,Water,Wetland,Wetland
143,NULL,Cropland,Wetland,Water,Wetland,Water
144,NULL,Cropland,Wetland,Water,Wetland,Forest
145,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
146,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
147,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
148,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
149,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
150,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
151,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
152,NULL,Cropland,Bareland,NULL,Non_Wetland,Wetland
153,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
154,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
155,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL
156,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
157,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
158,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Forest
159,NULL,Cropland,Bareland,Water,Non_Wetland,Grassland
160,NULL,Cropland,Bareland,Water,Non_Wetland,Cropland
161,NULL,Cropland,Bareland,Water,Non_Wetland,Bareland
162,NULL,Cropland,Bareland,Water,Non_Wetland,Water
163,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
164,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
165,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
166,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
167,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
168,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
169,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Cropland
170,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Forest
171,NULL,Cropland,Built-up,Water,Non_Wetland,Cropland
172,NULL,Cropland,Built-up,Water,Non_Wetland,Forest
173,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
174,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
175,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
176,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
177,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
178,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
179,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
180,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL
181,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
182,NULL,Cropland,Forest,Non_Water,Non_Wetland,Cropland
183,NULL,Cropland,Forest,Non_Water,Non_Wetland,Wetland
184,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
185,NULL,Cropland,Forest,Water,Non_Wetland,NULL
186,NULL,Cropland,Forest,Water,Non_Wetland,Cropland
187,NULL,Cropland,Forest,Water,Non_Wetland,Wetland
188,NULL,Cropland,Forest,Water,Non_Wetland,Forest
189,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
190,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
191,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
192,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
193,NULL,Wetland,Shrubland,NULL,Non_Wetland,Cropland
194,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
195,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
196,NULL,Wetland,Grassland,NULL,Non_Wetland,Cropland
197,NULL,Wetland,Cropland,NULL,Non_Wetland,Cropland
198,NULL,Wetland,Wetland,Water,Wetland,Cropland
199,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
200,NULL,Wetland,Forest,NULL,Non_Wetland,Cropland
201,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
202,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
203,NULL,Bareland,NULL,NULL,Non_Wetland,Grassland
204,NULL,Bareland,Shrubland,NULL,Non_Wetland,Cropland
205,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
206,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
207,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
208,NULL,Bareland,Forest,NULL,Non_Wetland,Cropland
209,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
210,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
211,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
212,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland
213,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
214,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
215,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
216,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
217,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
218,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
219,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
220,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
221,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
222,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
223,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
224,NULL,Built-up,Shrubland,Water,Non_Wetland,Cropland
225,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
226,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
227,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
228,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland
229,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
230,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
231,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
232,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
233,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
234,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
235,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland
236,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
237,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
238,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
239,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
240,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Cropland
241,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Bareland
242,NULL,Built-up,Cropland,Water,Non_Wetland,Forest
243,NULL,Built-up,Wetland,NULL,Wetland,Grassland
244,NULL,Built-up,Wetland,NULL,Wetland,Cropland
245,NULL,Built-up,Wetland,NULL,Wetland,Wetland
246,NULL,Built-up,Wetland,NULL,Wetland,Forest
247,NULL,Built-up,Wetland,Water,Wetland,Cropland
248,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
249,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
250,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
251,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Forest
252,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
253,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
254,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
255,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
256,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
257,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
258,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
259,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
260,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
261,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland
262,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
263,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
264,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
265,NULL,Built-up,Water,NULL,Water,Cropland
266,NULL,Built-up,Water,Water,Water,Cropland
267,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
268,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
269,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
270,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
271,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
272,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
273,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
274,NULL,Built-up,Forest,Non_Water,Non_Wetland,Cropland
275,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
276,NULL,Built-up,Forest,Water,Non_Wetland,Water
277,NULL,Built-up,Forest,Water,Non_Wetland,Forest
278,NULL,Water,NULL,NULL,Non_Wetland,Grassland
279,NULL,Water,NULL,NULL,Non_Wetland,Cropland
280,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
281,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
282,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
283,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
284,NULL,Water,Shrubland,Water,Non_Wetland,NULL
285,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
286,NULL,Water,Shrubland,Water,Non_Wetland,Forest
287,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
288,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
289,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
290,NULL,Water,Cropland,NULL,Non_Wetland,Forest
291,NULL,Water,Cropland,Water,Non_Wetland,Grassland
292,NULL,Water,Cropland,Water,Non_Wetland,Cropland
293,NULL,Water,Cropland,Water,Non_Wetland,Forest
294,NULL,Water,Wetland,Water,Wetland,Grassland
295,NULL,Water,Wetland,Water,Wetland,Cropland
296,NULL,Water,Wetland,Water,Wetland,Water
297,NULL,Water,Bareland,NULL,Non_Wetland,NULL
298,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
299,NULL,Water,Bareland,NULL,Non_Wetland,Cropland
300,NULL,Water,Bareland,NULL,Non_Wetland,Forest
301,NULL,Water,Bareland,Non_Water,Non_Wetland,Cropland
302,NULL,Water,Bareland,Water,Non_Wetland,Grassland
303,NULL,Water,Bareland,Water,Non_Wetland,Water
304,NULL,Water,Built-up,NULL,Non_Wetland,Forest
305,NULL,Water,Built-up,Water,Non_Wetland,Grassland
306,NULL,Water,Built-up,Water,Non_Wetland,Cropland
307,NULL,Water,Built-up,Water,Non_Wetland,Forest
308,NULL,Water,Water,NULL,Water,Forest
309,NULL,Water,Water,Water,Water,Cropland
310,NULL,Water,Forest,NULL,Non_Wetland,NULL
311,NULL,Water,Forest,NULL,Non_Wetland,Grassland
312,NULL,Water,Forest,NULL,Non_Wetland,Cropland
313,NULL,Water,Forest,NULL,Non_Wetland,Bareland
314,NULL,Water,Forest,NULL,Non_Wetland,Forest
315,NULL,Water,Forest,Non_Water,Non_Wetland,Cropland
316,NULL,Water,Forest,Water,Non_Wetland,NULL
317,NULL,Water,Forest,Water,Non_Wetland,Cropland
318,NULL,Water,Forest,Water,Non_Wetland,Forest
319,NULL,Forest,NULL,NULL,Non_Wetland,NULL
320,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
321,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
322,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
323,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
324,NULL,Forest,NULL,NULL,Non_Wetland,Forest
325,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
326,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
327,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
328,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
329,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
330,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
331,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
332,NULL,Forest,Shrubland,Water,Non_Wetland,Wetland
333,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
334,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
335,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
336,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland
337,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
338,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
339,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
340,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
341,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
342,NULL,Forest,Wetland,NULL,Wetland,Wetland
343,NULL,Forest,Wetland,Non_Water,Wetland,Forest
344,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
345,NULL,Forest,Bareland,NULL,Non_Wetland,Cropland
346,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
347,NULL,Forest,Water,NULL,Water,Wetland
348,NULL,Forest,Forest,NULL,Non_Wetland,NULL
349,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
350,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
351,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
352,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
353,NULL,Forest,Forest,NULL,Non_Wetland,Forest
354,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
355,NULL,Forest,Forest,Water,Non_Wetland,NULL
356,NULL,Forest,Forest,Water,Non_Wetland,Grassland
357,NULL,Forest,Forest,Water,Non_Wetland,Forest
358,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
359,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
360,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
361,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
362,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
363,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
364,Grassland,NULL,NULL,Non_Water,Non_Wetland,Cropland
365,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland
366,Grassland,NULL,NULL,Water,Non_Wetland,Grassland
367,Grassland,NULL,NULL,Water,Non_Wetland,Cropland
368,Grassland,NULL,NULL,Water,Non_Wetland,Wetland
369,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
370,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
371,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
372,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
373,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
374,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
375,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
376,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
377,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
378,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
379,Grassland,NULL,Shrubland,Water,Non_Wetland,Cropland
380,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
381,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
382,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
383,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
384,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
385,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
386,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
387,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
388,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
389,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
390,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
391,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland
392,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up
393,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
394,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
395,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
396,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
397,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
398,Grassland,NULL,Cropland,Water,Non_Wetland,Cropland
399,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland
400,Grassland,NULL,Wetland,NULL,Wetland,Grassland
401,Grassland,NULL,Wetland,NULL,Wetland,Cropland
402,Grassland,NULL,Wetland,NULL,Wetland,Wetland
403,Grassland,NULL,Wetland,NULL,Wetland,Forest
404,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
405,Grassland,NULL,Wetland,Non_Water,Wetland,Cropland
406,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
407,Grassland,NULL,Wetland,Water,Wetland,Cropland
408,Grassland,NULL,Wetland,Water,Wetland,Wetland
409,Grassland,NULL,Wetland,Water,Wetland,Water
410,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
411,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
412,Grassland,NULL,Bareland,Water,Non_Wetland,Cropland
413,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland
414,Grassland,NULL,Bareland,Water,Non_Wetland,Water
415,Grassland,NULL,Built-up,NULL,Non_Wetland,Cropland
416,Grassland,NULL,Water,NULL,Water,Wetland
417,Grassland,NULL,Water,NULL,Water,Forest
418,Grassland,NULL,Water,Non_Water,Water,Cropland
419,Grassland,NULL,Water,Non_Water,Water,Wetland
420,Grassland,NULL,Water,Water,Water,Cropland
421,Grassland,NULL,Water,Water,Water,Wetland
422,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
423,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
424,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
425,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
426,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up
427,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
