Value,AFRICA_2024_DynamicWorld_2024_36NUL_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NUL_M_R,AFRICA_2024_GLC_FCS30D_2022_36NUL_M_R,AFRICA_2024_GSW_Yearly_2021_36NUL_M_R,AFRICA_2024_GWL_FCS30D_2022_36NUL_M_R,AFRICA_2024_WorldCover_2021_36NUL_M_R
120,NULL,Cropland,Built-up,NULL,Non_Wetland,Wetland
121,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
122,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
123,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
124,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Grassland
125,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Bareland
126,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
127,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
128,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
129,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
130,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
131,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
132,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
133,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
134,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
135,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
136,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
137,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
138,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
139,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
140,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
141,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
142,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
143,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
144,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
145,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL
146,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
147,NULL,Wetland,Cropland,NULL,Non_Wetland,Wetland
148,NULL,Wetland,Cropland,NULL,Non_Wetland,Forest
149,NULL,Wetland,Wetland,NULL,Wetland,Wetland
150,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
151,NULL,Wetland,Wetland,Water,Wetland,Grassland
152,NULL,Wetland,Wetland,Water,Wetland,Wetland
153,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
154,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
155,NULL,Wetland,Water,Water,Water,Wetland
156,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
157,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
158,NULL,Wetland,Forest,NULL,Non_Wetland,Cropland
159,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
160,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
161,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
162,NULL,Wetland,Forest,Water,Non_Wetland,Wetland
163,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
164,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
165,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
166,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
167,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
168,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
169,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
170,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
171,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
172,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
173,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland
174,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
175,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
176,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
177,NULL,Built-up,NULL,Non_Water,Non_Wetland,Grassland
178,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
179,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
180,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
181,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
182,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
183,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
184,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
185,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
186,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Wetland
187,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
188,NULL,Built-up,Shrubland,Water,Non_Wetland,Wetland
189,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland
190,NULL,Built-up,Shrubland,Water,Non_Wetland,Forest
191,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
192,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
193,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
194,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland
195,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
196,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
197,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
198,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Bareland
199,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Forest
200,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland
201,NULL,Built-up,Grassland,Water,Non_Wetland,Wetland
202,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
203,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
204,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
205,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland
206,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
207,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
208,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
209,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Wetland
210,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
211,NULL,Built-up,Wetland,NULL,Wetland,Wetland
212,NULL,Built-up,Wetland,NULL,Wetland,Forest
213,NULL,Built-up,Wetland,Non_Water,Wetland,Forest
214,NULL,Built-up,Wetland,Water,Wetland,Forest
215,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
216,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
217,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland
218,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
219,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
220,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
221,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
222,NULL,Built-up,Bareland,Water,Non_Wetland,Grassland
223,NULL,Built-up,Bareland,Water,Non_Wetland,Wetland
224,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
225,NULL,Built-up,Bareland,Water,Non_Wetland,Built-up
226,NULL,Built-up,Bareland,Water,Non_Wetland,Forest
227,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
228,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
229,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
230,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland
231,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
232,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
233,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
234,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
235,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
236,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
237,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland
238,NULL,Built-up,Built-up,Water,Non_Wetland,Wetland
239,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland
240,NULL,Built-up,Water,NULL,Water,Wetland
241,NULL,Built-up,Water,Water,Water,Wetland
242,NULL,Built-up,Water,Water,Water,Forest
243,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
244,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
245,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
246,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
247,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
248,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
249,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
250,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland
251,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
252,NULL,Water,NULL,NULL,Non_Wetland,Grassland
253,NULL,Water,NULL,NULL,Non_Wetland,Wetland
254,NULL,Water,NULL,Water,Non_Wetland,Wetland
255,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
256,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
257,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
258,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
259,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
260,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
261,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
262,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
263,NULL,Water,Grassland,Non_Water,Non_Wetland,Forest
264,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
265,NULL,Water,Cropland,NULL,Non_Wetland,Forest
266,NULL,Water,Wetland,NULL,Wetland,Grassland
267,NULL,Water,Wetland,NULL,Wetland,Forest
268,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
269,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
270,NULL,Water,Bareland,NULL,Non_Wetland,Built-up
271,NULL,Water,Bareland,NULL,Non_Wetland,Forest
272,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
273,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
274,NULL,Water,Built-up,NULL,Non_Wetland,Built-up
275,NULL,Water,Built-up,Non_Water,Non_Wetland,Forest
276,NULL,Water,Forest,NULL,Non_Wetland,Grassland
277,NULL,Water,Forest,NULL,Non_Wetland,Cropland
278,NULL,Water,Forest,NULL,Non_Wetland,Wetland
279,NULL,Water,Forest,NULL,Non_Wetland,Bareland
280,NULL,Water,Forest,NULL,Non_Wetland,Forest
281,NULL,Forest,NULL,NULL,Non_Wetland,NULL
282,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
283,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
284,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
285,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
286,NULL,Forest,NULL,NULL,Non_Wetland,Forest
287,NULL,Forest,NULL,Non_Water,Non_Wetland,Grassland
288,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
289,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
290,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
291,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
292,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
293,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
294,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
295,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
296,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
297,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
298,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
299,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland
300,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
301,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
302,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
303,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
304,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
305,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
306,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
307,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
308,NULL,Forest,Cropland,Non_Water,Non_Wetland,Forest
309,NULL,Forest,Wetland,NULL,Wetland,NULL
310,NULL,Forest,Wetland,NULL,Wetland,Grassland
311,NULL,Forest,Wetland,NULL,Wetland,Wetland
312,NULL,Forest,Wetland,NULL,Wetland,Forest
313,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
314,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland
315,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
316,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
317,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland
318,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
319,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
320,NULL,Forest,Forest,NULL,Non_Wetland,NULL
321,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
322,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
323,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
324,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
325,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
326,NULL,Forest,Forest,NULL,Non_Wetland,Forest
327,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
328,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
329,NULL,Forest,Forest,Non_Water,Non_Wetland,Wetland
330,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
331,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
332,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
333,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
334,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
335,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
336,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
337,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland
338,Grassland,NULL,NULL,Water,Non_Wetland,Wetland
339,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
340,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
341,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
342,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
343,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
344,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
345,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
346,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
347,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
348,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
349,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
350,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
351,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
352,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
353,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland
354,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
355,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
356,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
357,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
358,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up
359,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
360,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
361,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Forest
362,Grassland,NULL,Wetland,NULL,Wetland,Wetland
363,Grassland,NULL,Wetland,NULL,Wetland,Forest
364,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
365,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
366,Grassland,NULL,Wetland,Water,Wetland,Wetland
367,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
368,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
369,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
370,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland
371,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland
372,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
373,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland
374,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up
375,Grassland,NULL,Water,NULL,Water,Wetland
376,Grassland,NULL,Water,Water,Water,Wetland
377,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
378,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
379,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
380,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
381,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
382,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
383,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
384,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
385,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
386,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL
387,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
388,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
389,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland
390,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest
391,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
392,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
393,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
394,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
395,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
396,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
397,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
398,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
399,Grassland,Cropland,Grassland,NULL,Non_Wetland,Wetland
400,Grassland,Cropland,Grassland,NULL,Non_Wetland,Built-up
401,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
402,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
403,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
404,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland
405,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up
406,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest
407,Grassland,Cropland,Wetland,NULL,Wetland,Grassland
408,Grassland,Cropland,Wetland,NULL,Wetland,Wetland
409,Grassland,Cropland,Wetland,Non_Water,Wetland,Wetland
410,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland
411,Grassland,Cropland,Bareland,NULL,Non_Wetland,Wetland
412,Grassland,Cropland,Bareland,NULL,Non_Wetland,Built-up
413,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL
414,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland
415,Grassland,Cropland,Built-up,NULL,Non_Wetland,Built-up
416,Grassland,Cropland,Built-up,NULL,Non_Wetland,Forest
417,Grassland,Cropland,Water,Non_Water,Water,Wetland
418,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
419,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
420,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
421,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
422,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
