Value,AFRICA_2024_DynamicWorld_2024_37PGQ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PGQ_M_R,AFRICA_2024_GLC_FCS30D_2022_37PGQ_M_R,AFRICA_2024_GSW_Yearly_2021_37PGQ_M_R,AFRICA_2024_GWL_FCS30D_2022_37PGQ_M_R,AFRICA_2024_WorldCover_2021_37PGQ_M_R
120,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland
121,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
122,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
123,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
124,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
125,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
126,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
127,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
128,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
129,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland
130,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
131,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
132,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
133,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
134,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
135,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
136,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
137,NULL,Built-up,Water,NULL,Water,NULL
138,NULL,Built-up,Water,NULL,Water,Grassland
139,NULL,Built-up,Water,NULL,Water,Bareland
140,NULL,Built-up,Water,NULL,Water,Forest
141,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
142,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
143,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
144,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
145,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
146,NULL,Water,Bareland,NULL,Non_Wetland,NULL
147,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
148,NULL,Forest,NULL,NULL,Non_Wetland,NULL
149,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
150,NULL,Forest,NULL,NULL,Non_Wetland,Forest
151,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
152,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
153,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
154,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
155,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
156,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
157,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
158,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
159,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
160,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
161,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
162,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland
163,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
164,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
165,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
166,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
167,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland
168,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
169,NULL,Forest,Water,NULL,Water,NULL
170,NULL,Forest,Water,NULL,Water,Grassland
171,NULL,Forest,Water,NULL,Water,Wetland
172,NULL,Forest,Water,NULL,Water,Bareland
173,NULL,Forest,Water,NULL,Water,Forest
174,NULL,Forest,Forest,NULL,Non_Wetland,NULL
175,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
176,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
177,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
178,NULL,Forest,Forest,NULL,Non_Wetland,Forest
179,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
180,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
181,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
182,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
183,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
184,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland
185,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
186,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
187,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
188,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
189,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
190,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland
191,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
192,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
193,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
194,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL
195,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
196,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
197,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
198,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
199,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
200,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
201,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
202,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland
203,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
204,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
205,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
206,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
207,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland
208,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
209,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
210,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
211,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
212,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland
213,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
214,Cropland,NULL,Wetland,NULL,Wetland,NULL
215,Cropland,NULL,Wetland,NULL,Wetland,Cropland
216,Cropland,NULL,Wetland,NULL,Wetland,Wetland
217,Cropland,NULL,Wetland,NULL,Wetland,Bareland
218,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
219,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
220,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
221,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
222,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
223,Cropland,NULL,Bareland,NULL,Non_Wetland,Wetland
224,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
225,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
226,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
227,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
228,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
229,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
230,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
231,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland
232,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
233,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
234,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
235,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
236,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
237,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
238,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
239,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
240,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
241,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
242,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
243,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland
244,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
245,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL
246,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
247,Cropland,Cropland,Bareland,NULL,Non_Wetland,Cropland
248,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland
249,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL
250,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
251,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland
252,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
253,Cropland,Wetland,Grassland,NULL,Non_Wetland,NULL
254,Cropland,Wetland,Grassland,NULL,Non_Wetland,Wetland
255,Cropland,Wetland,Grassland,NULL,Non_Wetland,Bareland
256,Cropland,Wetland,Cropland,NULL,Non_Wetland,Wetland
257,Cropland,Wetland,Wetland,NULL,Wetland,Wetland
258,Cropland,Wetland,Bareland,NULL,Non_Wetland,Wetland
259,Cropland,Bareland,NULL,NULL,Non_Wetland,NULL
260,Cropland,Bareland,NULL,NULL,Non_Wetland,Bareland
261,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL
262,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
263,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
264,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL
265,Cropland,Bareland,Grassland,NULL,Non_Wetland,Grassland
266,Cropland,Bareland,Grassland,NULL,Non_Wetland,Bareland
267,Cropland,Bareland,Cropland,NULL,Non_Wetland,Grassland
268,Cropland,Bareland,Cropland,NULL,Non_Wetland,Cropland
269,Cropland,Bareland,Cropland,NULL,Non_Wetland,Bareland
270,Cropland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
271,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL
272,Cropland,Bareland,Bareland,NULL,Non_Wetland,Grassland
273,Cropland,Bareland,Bareland,NULL,Non_Wetland,Cropland
274,Cropland,Bareland,Bareland,NULL,Non_Wetland,Bareland
275,Cropland,Bareland,Built-up,NULL,Non_Wetland,NULL
276,Cropland,Bareland,Built-up,NULL,Non_Wetland,Bareland
277,Cropland,Built-up,Bareland,NULL,Non_Wetland,Bareland
278,Cropland,Water,Grassland,NULL,Non_Wetland,Bareland
279,Cropland,Water,Bareland,NULL,Non_Wetland,NULL
280,Cropland,Water,Bareland,NULL,Non_Wetland,Bareland
281,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL
282,Cropland,Forest,Grassland,NULL,Non_Wetland,Bareland
283,Cropland,Forest,Bareland,NULL,Non_Wetland,NULL
284,Wetland,NULL,NULL,NULL,Non_Wetland,Bareland
285,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL
286,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
287,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland
288,Wetland,NULL,Shrubland,NULL,Non_Wetland,Bareland
289,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL
290,Wetland,NULL,Grassland,NULL,Non_Wetland,Grassland
291,Wetland,NULL,Grassland,NULL,Non_Wetland,Cropland
292,Wetland,NULL,Grassland,NULL,Non_Wetland,Wetland
293,Wetland,NULL,Grassland,NULL,Non_Wetland,Bareland
294,Wetland,NULL,Grassland,NULL,Non_Wetland,Water
295,Wetland,NULL,Grassland,Water,Non_Wetland,Bareland
296,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL
297,Wetland,NULL,Cropland,NULL,Non_Wetland,Cropland
298,Wetland,NULL,Cropland,NULL,Non_Wetland,Wetland
299,Wetland,NULL,Cropland,NULL,Non_Wetland,Bareland
300,Wetland,NULL,Wetland,NULL,Wetland,NULL
301,Wetland,NULL,Wetland,NULL,Wetland,Cropland
302,Wetland,NULL,Wetland,NULL,Wetland,Wetland
303,Wetland,NULL,Wetland,NULL,Wetland,Bareland
304,Wetland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
305,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL
306,Wetland,NULL,Bareland,NULL,Non_Wetland,Grassland
307,Wetland,NULL,Bareland,NULL,Non_Wetland,Cropland
308,Wetland,NULL,Bareland,NULL,Non_Wetland,Wetland
309,Wetland,NULL,Bareland,NULL,Non_Wetland,Bareland
310,Wetland,NULL,Bareland,NULL,Non_Wetland,Forest
311,Wetland,NULL,Bareland,Water,Non_Wetland,Bareland
312,Wetland,NULL,Built-up,NULL,Non_Wetland,NULL
313,Wetland,NULL,Built-up,NULL,Non_Wetland,Grassland
314,Wetland,NULL,Built-up,NULL,Non_Wetland,Cropland
315,Wetland,NULL,Built-up,NULL,Non_Wetland,Wetland
316,Wetland,NULL,Built-up,NULL,Non_Wetland,Bareland
317,Wetland,NULL,Water,NULL,Water,NULL
318,Wetland,NULL,Water,NULL,Water,Grassland
319,Wetland,NULL,Water,NULL,Water,Bareland
320,Wetland,NULL,Water,NULL,Water,Forest
321,Wetland,NULL,Forest,NULL,Non_Wetland,NULL
322,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland
323,Wetland,NULL,Forest,NULL,Non_Wetland,Bareland
324,Wetland,NULL,Forest,NULL,Non_Wetland,Forest
325,Wetland,Wetland,NULL,NULL,Non_Wetland,Grassland
326,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL
327,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
328,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Bareland
329,Wetland,Wetland,Grassland,NULL,Non_Wetland,NULL
330,Wetland,Wetland,Grassland,NULL,Non_Wetland,Grassland
331,Wetland,Wetland,Grassland,NULL,Non_Wetland,Cropland
332,Wetland,Wetland,Grassland,NULL,Non_Wetland,Wetland
333,Wetland,Wetland,Grassland,NULL,Non_Wetland,Bareland
334,Wetland,Wetland,Cropland,NULL,Non_Wetland,Grassland
335,Wetland,Wetland,Cropland,NULL,Non_Wetland,Wetland
336,Wetland,Wetland,Cropland,NULL,Non_Wetland,Bareland
337,Wetland,Wetland,Cropland,NULL,Non_Wetland,Forest
338,Wetland,Wetland,Wetland,NULL,Wetland,NULL
339,Wetland,Wetland,Wetland,NULL,Wetland,Wetland
340,Wetland,Wetland,Wetland,NULL,Wetland,Bareland
341,Wetland,Wetland,Bareland,NULL,Non_Wetland,NULL
342,Wetland,Wetland,Bareland,NULL,Non_Wetland,Grassland
343,Wetland,Wetland,Bareland,NULL,Non_Wetland,Cropland
344,Wetland,Wetland,Bareland,NULL,Non_Wetland,Wetland
345,Wetland,Wetland,Bareland,NULL,Non_Wetland,Bareland
346,Wetland,Wetland,Bareland,NULL,Non_Wetland,Water
347,Wetland,Wetland,Bareland,NULL,Non_Wetland,Forest
348,Wetland,Wetland,Built-up,NULL,Non_Wetland,NULL
349,Wetland,Wetland,Built-up,NULL,Non_Wetland,Grassland
350,Wetland,Wetland,Built-up,NULL,Non_Wetland,Wetland
351,Wetland,Wetland,Built-up,NULL,Non_Wetland,Bareland
352,Wetland,Wetland,Built-up,NULL,Non_Wetland,Forest
353,Wetland,Wetland,Water,NULL,Water,NULL
354,Wetland,Wetland,Water,NULL,Water,Grassland
355,Wetland,Wetland,Water,NULL,Water,Wetland
356,Wetland,Wetland,Water,NULL,Water,Bareland
357,Wetland,Wetland,Water,NULL,Water,Forest
358,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL
359,Wetland,Wetland,Forest,NULL,Non_Wetland,Grassland
360,Wetland,Wetland,Forest,NULL,Non_Wetland,Wetland
361,Wetland,Wetland,Forest,NULL,Non_Wetland,Bareland
362,Wetland,Wetland,Forest,NULL,Non_Wetland,Forest
363,Wetland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
364,Wetland,Bareland,Grassland,NULL,Non_Wetland,Bareland
365,Wetland,Bareland,Bareland,NULL,Non_Wetland,NULL
366,Wetland,Bareland,Bareland,NULL,Non_Wetland,Grassland
367,Wetland,Bareland,Bareland,NULL,Non_Wetland,Wetland
368,Wetland,Bareland,Bareland,NULL,Non_Wetland,Bareland
369,Wetland,Bareland,Bareland,Water,Non_Wetland,Bareland
370,Wetland,Bareland,Built-up,NULL,Non_Wetland,Bareland
371,Wetland,Bareland,Water,NULL,Water,Grassland
372,Wetland,Bareland,Water,NULL,Water,Bareland
373,Wetland,Bareland,Water,NULL,Water,Forest
374,Wetland,Bareland,Forest,NULL,Non_Wetland,Grassland
375,Wetland,Bareland,Forest,NULL,Non_Wetland,Bareland
376,Wetland,Built-up,Grassland,NULL,Non_Wetland,Bareland
377,Wetland,Built-up,Cropland,NULL,Non_Wetland,Grassland
378,Wetland,Built-up,Cropland,NULL,Non_Wetland,Bareland
379,Wetland,Built-up,Bareland,NULL,Non_Wetland,NULL
380,Wetland,Built-up,Bareland,NULL,Non_Wetland,Grassland
381,Wetland,Built-up,Bareland,NULL,Non_Wetland,Wetland
382,Wetland,Built-up,Bareland,NULL,Non_Wetland,Bareland
383,Wetland,Built-up,Bareland,NULL,Non_Wetland,Forest
384,Wetland,Built-up,Built-up,NULL,Non_Wetland,NULL
385,Wetland,Built-up,Built-up,NULL,Non_Wetland,Grassland
386,Wetland,Built-up,Built-up,NULL,Non_Wetland,Bareland
387,Wetland,Built-up,Built-up,NULL,Non_Wetland,Forest
388,Wetland,Built-up,Water,NULL,Water,NULL
389,Wetland,Built-up,Water,NULL,Water,Grassland
390,Wetland,Built-up,Water,NULL,Water,Bareland
391,Wetland,Built-up,Water,NULL,Water,Forest
392,Wetland,Built-up,Forest,NULL,Non_Wetland,NULL
393,Wetland,Built-up,Forest,NULL,Non_Wetland,Grassland
394,Wetland,Built-up,Forest,NULL,Non_Wetland,Bareland
395,Wetland,Built-up,Forest,NULL,Non_Wetland,Forest
396,Wetland,Water,Grassland,NULL,Non_Wetland,Wetland
397,Wetland,Water,Bareland,NULL,Non_Wetland,NULL
398,Wetland,Forest,NULL,NULL,Non_Wetland,Forest
399,Wetland,Forest,Bareland,NULL,Non_Wetland,NULL
400,Wetland,Forest,Bareland,NULL,Non_Wetland,Grassland
401,Wetland,Forest,Bareland,NULL,Non_Wetland,Wetland
402,Wetland,Forest,Bareland,NULL,Non_Wetland,Bareland
403,Wetland,Forest,Bareland,NULL,Non_Wetland,Forest
404,Wetland,Forest,Built-up,NULL,Non_Wetland,Grassland
405,Wetland,Forest,Built-up,NULL,Non_Wetland,Bareland
406,Wetland,Forest,Water,NULL,Water,NULL
407,Wetland,Forest,Water,NULL,Water,Grassland
408,Wetland,Forest,Water,NULL,Water,Bareland
409,Wetland,Forest,Forest,NULL,Non_Wetland,NULL
410,Wetland,Forest,Forest,NULL,Non_Wetland,Grassland
411,Wetland,Forest,Forest,NULL,Non_Wetland,Bareland
412,Wetland,Forest,Forest,NULL,Non_Wetland,Forest
413,Bareland,NULL,NULL,NULL,Non_Wetland,NULL
414,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
415,Bareland,NULL,NULL,NULL,Non_Wetland,Cropland
416,Bareland,NULL,NULL,NULL,Non_Wetland,Wetland
417,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland
418,Bareland,NULL,NULL,Non_Water,Non_Wetland,Bareland
419,Bareland,NULL,NULL,Water,Non_Wetland,Bareland
420,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
421,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
422,Bareland,NULL,Shrubland,NULL,Non_Wetland,Cropland
