Value,AFRICA_2024_DynamicWorld_2024_36PUS_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PUS_M_R,AFRICA_2024_GLC_FCS30D_2022_36PUS_M_R,AFRICA_2024_GSW_Yearly_2021_36PUS_M_R,AFRICA_2024_GWL_FCS30D_2022_36PUS_M_R,AFRICA_2024_WorldCover_2021_36PUS_M_R
120,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
121,NULL,Cropland,Forest,Non_Water,Non_Wetland,Wetland
122,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
123,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
124,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
125,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
126,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
127,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
128,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
129,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
130,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
131,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
132,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL
133,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
134,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
135,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
136,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
137,NULL,Wetland,Cropland,NULL,Non_Wetland,Forest
138,NULL,Wetland,Wetland,NULL,Wetland,Grassland
139,NULL,Wetland,Wetland,NULL,Wetland,Wetland
140,NULL,Wetland,Wetland,NULL,Wetland,Forest
141,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland
142,NULL,Wetland,Water,NULL,Water,NULL
143,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
144,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
145,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
146,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
147,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL
148,NULL,Wetland,Forest,Non_Water,Non_Wetland,Grassland
149,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland
150,NULL,Wetland,Forest,Non_Water,Non_Wetland,Forest
151,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
152,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
153,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
154,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
155,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
156,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
157,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
158,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
159,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
160,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
161,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
162,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
163,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
164,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
165,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
166,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
167,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland
168,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
169,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
170,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
171,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
172,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
173,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
174,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
175,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
176,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
177,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
178,NULL,Water,NULL,NULL,Non_Wetland,Grassland
179,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
180,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
181,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
182,NULL,Water,Cropland,NULL,Non_Wetland,NULL
183,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
184,NULL,Water,Forest,NULL,Non_Wetland,NULL
185,NULL,Water,Forest,NULL,Non_Wetland,Grassland
186,NULL,Forest,NULL,NULL,Non_Wetland,NULL
187,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
188,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
189,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
190,NULL,Forest,NULL,NULL,Non_Wetland,Forest
191,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL
192,NULL,Forest,NULL,Non_Water,Non_Wetland,Grassland
193,NULL,Forest,NULL,Non_Water,Non_Wetland,Wetland
194,NULL,Forest,NULL,Water,Non_Wetland,Grassland
195,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
196,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
197,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
198,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
199,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
200,NULL,Forest,Shrubland,NULL,Non_Wetland,Water
201,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
202,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
203,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
204,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
205,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
206,NULL,Forest,Shrubland,Water,Non_Wetland,NULL
207,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
208,NULL,Forest,Shrubland,Water,Non_Wetland,Wetland
209,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
210,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
211,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
212,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
213,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
214,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
215,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
216,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
217,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
218,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland
219,NULL,Forest,Cropland,Water,Non_Wetland,NULL
220,NULL,Forest,Cropland,Water,Non_Wetland,Grassland
221,NULL,Forest,Wetland,NULL,Wetland,NULL
222,NULL,Forest,Wetland,NULL,Wetland,Grassland
223,NULL,Forest,Wetland,NULL,Wetland,Wetland
224,NULL,Forest,Wetland,NULL,Wetland,Forest
225,NULL,Forest,Wetland,Non_Water,Wetland,Grassland
226,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
227,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
228,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
229,NULL,Forest,Forest,NULL,Non_Wetland,NULL
230,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
231,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
232,NULL,Forest,Forest,NULL,Non_Wetland,Forest
233,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
234,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
235,NULL,Forest,Forest,Non_Water,Non_Wetland,Wetland
236,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
237,NULL,Forest,Forest,Water,Non_Wetland,Grassland
238,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
239,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
240,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
241,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
242,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
243,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
244,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland
245,Grassland,NULL,NULL,Non_Water,Non_Wetland,Forest
246,Grassland,NULL,NULL,Water,Non_Wetland,Grassland
247,Grassland,NULL,NULL,Water,Non_Wetland,Wetland
248,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
249,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
250,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
251,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
252,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
253,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
254,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
255,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
256,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
257,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL
258,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
259,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
260,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
261,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
262,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
263,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
264,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
265,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
266,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Forest
267,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland
268,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
269,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
270,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
271,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
272,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
273,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
274,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
275,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Forest
276,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
277,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland
278,Grassland,NULL,Wetland,NULL,Wetland,NULL
279,Grassland,NULL,Wetland,NULL,Wetland,Grassland
280,Grassland,NULL,Wetland,NULL,Wetland,Wetland
281,Grassland,NULL,Wetland,NULL,Wetland,Forest
282,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
283,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
284,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
285,Grassland,NULL,Wetland,Water,Wetland,Grassland
286,Grassland,NULL,Wetland,Water,Wetland,Wetland
287,Grassland,NULL,Wetland,Water,Wetland,Water
288,Grassland,NULL,Wetland,Water,Wetland,Forest
289,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
290,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
291,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
292,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
293,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
294,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland
295,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL
296,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
297,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland
298,Grassland,NULL,Built-up,NULL,Non_Wetland,Forest
299,Grassland,NULL,Water,Non_Water,Water,Forest
300,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
301,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
302,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
303,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
304,Grassland,NULL,Forest,NULL,Non_Wetland,Water
305,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
306,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL
307,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
308,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
309,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
310,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
311,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
312,Grassland,NULL,Forest,Water,Non_Wetland,Forest
313,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
314,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland
315,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Wetland
316,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
317,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
318,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
319,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
320,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
321,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
322,Grassland,Cropland,Grassland,NULL,Non_Wetland,Wetland
323,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
324,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
325,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland
326,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Wetland
327,Grassland,Cropland,Wetland,NULL,Wetland,Grassland
328,Grassland,Cropland,Wetland,NULL,Wetland,Wetland
329,Grassland,Cropland,Wetland,NULL,Wetland,Forest
330,Grassland,Cropland,Bareland,NULL,Non_Wetland,Wetland
331,Grassland,Cropland,Bareland,Non_Water,Non_Wetland,Wetland
332,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
333,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
334,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
335,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Wetland
336,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL
337,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland
338,Grassland,Wetland,NULL,NULL,Non_Wetland,Wetland
339,Grassland,Wetland,NULL,NULL,Non_Wetland,Forest
340,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Wetland
341,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Forest
342,Grassland,Wetland,NULL,Water,Non_Wetland,Forest
343,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL
344,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
345,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
346,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Forest
347,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
348,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
349,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
350,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
351,Grassland,Wetland,Shrubland,Water,Non_Wetland,Grassland
352,Grassland,Wetland,Shrubland,Water,Non_Wetland,Wetland
353,Grassland,Wetland,Grassland,NULL,Non_Wetland,Grassland
354,Grassland,Wetland,Grassland,NULL,Non_Wetland,Wetland
355,Grassland,Wetland,Grassland,NULL,Non_Wetland,Forest
356,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Forest
357,Grassland,Wetland,Grassland,Water,Non_Wetland,Wetland
358,Grassland,Wetland,Grassland,Water,Non_Wetland,Forest
359,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL
360,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland
361,Grassland,Wetland,Cropland,NULL,Non_Wetland,Wetland
362,Grassland,Wetland,Cropland,NULL,Non_Wetland,Forest
363,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Grassland
364,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
365,Grassland,Wetland,Wetland,NULL,Wetland,NULL
366,Grassland,Wetland,Wetland,NULL,Wetland,Grassland
367,Grassland,Wetland,Wetland,NULL,Wetland,Cropland
368,Grassland,Wetland,Wetland,NULL,Wetland,Wetland
369,Grassland,Wetland,Wetland,NULL,Wetland,Water
370,Grassland,Wetland,Wetland,NULL,Wetland,Forest
371,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland
372,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland
373,Grassland,Wetland,Wetland,Non_Water,Wetland,Water
374,Grassland,Wetland,Wetland,Non_Water,Wetland,Forest
375,Grassland,Wetland,Wetland,Water,Wetland,Grassland
376,Grassland,Wetland,Wetland,Water,Wetland,Wetland
377,Grassland,Wetland,Wetland,Water,Wetland,Water
378,Grassland,Wetland,Wetland,Water,Wetland,Forest
379,Grassland,Wetland,Bareland,NULL,Non_Wetland,NULL
380,Grassland,Wetland,Bareland,NULL,Non_Wetland,Grassland
381,Grassland,Wetland,Bareland,NULL,Non_Wetland,Wetland
382,Grassland,Wetland,Bareland,NULL,Non_Wetland,Forest
383,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Grassland
384,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
385,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Forest
386,Grassland,Wetland,Bareland,Water,Non_Wetland,Forest
387,Grassland,Wetland,Built-up,NULL,Non_Wetland,Grassland
388,Grassland,Wetland,Built-up,NULL,Non_Wetland,Forest
389,Grassland,Wetland,Water,NULL,Water,Grassland
390,Grassland,Wetland,Water,NULL,Water,Water
391,Grassland,Wetland,Water,NULL,Water,Forest
392,Grassland,Wetland,Water,Non_Water,Water,Grassland
393,Grassland,Wetland,Water,Non_Water,Water,Wetland
394,Grassland,Wetland,Water,Non_Water,Water,Forest
395,Grassland,Wetland,Water,Water,Water,Grassland
396,Grassland,Wetland,Water,Water,Water,Wetland
397,Grassland,Wetland,Water,Water,Water,Water
398,Grassland,Wetland,Water,Water,Water,Forest
399,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL
400,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland
401,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland
402,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest
403,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Grassland
404,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland
405,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Water
406,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Forest
407,Grassland,Wetland,Forest,Water,Non_Wetland,Grassland
408,Grassland,Wetland,Forest,Water,Non_Wetland,Wetland
409,Grassland,Wetland,Forest,Water,Non_Wetland,Water
410,Grassland,Wetland,Forest,Water,Non_Wetland,Forest
411,Grassland,Water,NULL,NULL,Non_Wetland,Grassland
412,Grassland,Water,NULL,NULL,Non_Wetland,Forest
413,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland
414,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland
415,Grassland,Water,Shrubland,NULL,Non_Wetland,Forest
416,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Grassland
417,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Forest
418,Grassland,Water,Shrubland,Water,Non_Wetland,Forest
419,Grassland,Water,Grassland,NULL,Non_Wetland,Forest
420,Grassland,Water,Grassland,Water,Non_Wetland,Forest
421,Grassland,Water,Cropland,NULL,Non_Wetland,Grassland
422,Grassland,Water,Wetland,NULL,Wetland,Grassland
423,Grassland,Water,Wetland,NULL,Wetland,Wetland
