Value,AFRICA_2024_DynamicWorld_2024_38PKR_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38PKR_M_R,AFRICA_2024_GLC_FCS30D_2022_38PKR_M_R,AFRICA_2024_GSW_Yearly_2021_38PKR_M_R,AFRICA_2024_GWL_FCS30D_2022_38PKR_M_R,AFRICA_2024_WorldCover_2021_38PKR_M_R
118,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
119,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
120,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
121,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
122,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
123,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
124,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
125,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
126,NULL,Wetland,Shrubland,NULL,Non_Wetland,Cropland
127,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL
128,NULL,Wetland,Cropland,NULL,Non_Wetland,Cropland
129,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Cropland
130,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL
131,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland
132,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
133,NULL,Wetland,Forest,NULL,Non_Wetland,Cropland
134,NULL,Wetland,Forest,Non_Water,Non_Wetland,Cropland
135,NULL,Wetland,Forest,Water,Non_Wetland,Cropland
136,NULL,Bareland,NULL,NULL,Non_Wetland,NULL
137,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
138,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
139,NULL,Bareland,Shrubland,NULL,Non_Wetland,Cropland
140,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
141,NULL,Bareland,Shrubland,NULL,Non_Wetland,Built-up
142,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
143,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
144,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
145,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
146,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
147,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
148,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
149,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
150,NULL,Bareland,Cropland,NULL,Non_Wetland,Built-up
151,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL
152,NULL,Bareland,Built-up,NULL,Non_Wetland,Cropland
153,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
154,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
155,NULL,Bareland,Forest,NULL,Non_Wetland,NULL
156,NULL,Bareland,Forest,NULL,Non_Wetland,Cropland
157,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
158,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
159,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
160,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
161,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
162,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
163,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
164,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
165,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
166,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
167,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
168,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
169,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
170,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
171,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
172,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
173,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
174,NULL,Built-up,Grassland,NULL,Non_Wetland,Water
175,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
176,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
177,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
178,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
179,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
180,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
181,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
182,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
183,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
184,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
185,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
186,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
187,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
188,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
189,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
190,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
191,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
192,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
193,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
194,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
195,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
196,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
197,NULL,Built-up,Water,NULL,Water,Built-up
198,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
199,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
200,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
201,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
202,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
203,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
204,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
205,NULL,Forest,NULL,NULL,Non_Wetland,NULL
206,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
207,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
208,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
209,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
210,NULL,Forest,NULL,NULL,Non_Wetland,Forest
211,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
212,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
213,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
214,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
215,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
216,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
217,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
218,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
219,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
220,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
221,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
222,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
223,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
224,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
225,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
226,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
227,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
228,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
229,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
230,NULL,Forest,Cropland,Non_Water,Non_Wetland,Cropland
231,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
232,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
233,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
234,NULL,Forest,Bareland,NULL,Non_Wetland,Cropland
235,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
236,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
237,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
238,NULL,Forest,Built-up,NULL,Non_Wetland,Cropland
239,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
240,NULL,Forest,Forest,NULL,Non_Wetland,NULL
241,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
242,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
243,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
244,NULL,Forest,Forest,NULL,Non_Wetland,Forest
245,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
246,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
247,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
248,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
249,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
250,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
251,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
252,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
253,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
254,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
255,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
256,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
257,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
258,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
259,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
260,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
261,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
262,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
263,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
264,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland
265,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
266,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
267,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
268,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
269,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
270,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
271,Grassland,NULL,Bareland,NULL,Non_Wetland,Cropland
272,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
273,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL
274,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
275,Grassland,NULL,Built-up,NULL,Non_Wetland,Cropland
276,Grassland,NULL,Built-up,NULL,Non_Wetland,Forest
277,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
278,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
279,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
280,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
281,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
282,Grassland,NULL,Forest,Non_Water,Non_Wetland,Cropland
283,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL
284,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
285,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
286,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
287,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
288,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
289,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
290,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL
291,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
292,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
293,Grassland,Cropland,Grassland,NULL,Non_Wetland,Bareland
294,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
295,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
296,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
297,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland
298,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest
299,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
300,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
301,Grassland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
302,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL
303,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland
304,Grassland,Cropland,Bareland,NULL,Non_Wetland,Cropland
305,Grassland,Cropland,Water,NULL,Water,Cropland
306,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
307,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
308,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
309,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
310,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
311,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Cropland
312,Grassland,Wetland,Cropland,NULL,Non_Wetland,Cropland
313,Grassland,Wetland,Water,NULL,Water,Cropland
314,Grassland,Wetland,Forest,NULL,Non_Wetland,Cropland
315,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
316,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Cropland
317,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL
318,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland
319,Grassland,Built-up,Cropland,NULL,Non_Wetland,Cropland
320,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland
321,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL
322,Grassland,Built-up,Forest,NULL,Non_Wetland,Cropland
323,Grassland,Built-up,Forest,NULL,Non_Wetland,Forest
324,Grassland,Water,Cropland,NULL,Non_Wetland,NULL
325,Grassland,Water,Cropland,NULL,Non_Wetland,Grassland
326,Grassland,Water,Cropland,NULL,Non_Wetland,Cropland
327,Grassland,Water,Cropland,NULL,Non_Wetland,Bareland
328,Grassland,Water,Wetland,Water,Wetland,Water
329,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
330,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
331,Grassland,Forest,NULL,NULL,Non_Wetland,Cropland
332,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland
333,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
334,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
335,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
336,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland
337,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL
338,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
339,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
340,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland
341,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland
342,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
343,Grassland,Forest,Cropland,Non_Water,Non_Wetland,Wetland
344,Grassland,Forest,Wetland,Water,Wetland,Cropland
345,Grassland,Forest,Wetland,Water,Wetland,Water
346,Grassland,Forest,Bareland,NULL,Non_Wetland,Wetland
347,Grassland,Forest,Bareland,Water,Non_Wetland,Cropland
348,Grassland,Forest,Bareland,Water,Non_Wetland,Water
349,Grassland,Forest,Water,NULL,Water,Wetland
350,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
351,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
352,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland
353,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
354,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
355,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL
356,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
357,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
358,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
359,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland
360,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
361,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up
362,Cropland,NULL,NULL,NULL,Non_Wetland,Water
363,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
364,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland
365,Cropland,NULL,NULL,Non_Water,Non_Wetland,Cropland
366,Cropland,NULL,NULL,Water,Non_Wetland,Grassland
367,Cropland,NULL,NULL,Water,Non_Wetland,Cropland
368,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
369,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
370,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
371,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
372,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
373,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water
374,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
375,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
376,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
377,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
378,Cropland,NULL,Shrubland,Water,Non_Wetland,Cropland
379,Cropland,NULL,Shrubland,Water,Non_Wetland,Bareland
380,Cropland,NULL,Shrubland,Water,Non_Wetland,Water
381,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
382,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
383,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
384,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
385,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
386,Cropland,NULL,Grassland,NULL,Non_Wetland,Water
387,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
388,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL
389,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
390,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
391,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
392,Cropland,NULL,Grassland,Water,Non_Wetland,NULL
393,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
394,Cropland,NULL,Grassland,Water,Non_Wetland,Cropland
395,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
396,Cropland,NULL,Grassland,Water,Non_Wetland,Water
397,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
398,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
399,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
400,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland
401,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
402,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
403,Cropland,NULL,Cropland,NULL,Non_Wetland,Water
404,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
405,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
406,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
407,Cropland,NULL,Cropland,Water,Non_Wetland,NULL
408,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
409,Cropland,NULL,Cropland,Water,Non_Wetland,Cropland
410,Cropland,NULL,Cropland,Water,Non_Wetland,Water
411,Cropland,NULL,Wetland,NULL,Wetland,Grassland
412,Cropland,NULL,Wetland,NULL,Wetland,Water
413,Cropland,NULL,Wetland,Water,Wetland,Cropland
414,Cropland,NULL,Wetland,Water,Wetland,Water
415,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
416,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
417,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
