Value,AFRICA_2024_DynamicWorld_2024_36NTM_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NTM_M_R,AFRICA_2024_GLC_FCS30D_2022_36NTM_M_R,AFRICA_2024_GSW_Yearly_2021_36NTM_M_R,AFRICA_2024_GWL_FCS30D_2022_36NTM_M_R,AFRICA_2024_WorldCover_2021_36NTM_M_R
119,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
120,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
121,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
122,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
123,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
124,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
125,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
126,NULL,Water,NULL,NULL,Non_Wetland,Grassland
127,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
128,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
129,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
130,NULL,Water,Shrubland,NULL,Non_Wetland,Built-up
131,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
132,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
133,NULL,Water,Shrubland,Non_Water,Non_Wetland,Wetland
134,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland
135,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
136,NULL,Water,Shrubland,Water,Non_Wetland,Wetland
137,NULL,Water,Shrubland,Water,Non_Wetland,Bareland
138,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
139,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
140,NULL,Water,Cropland,Water,Non_Wetland,Grassland
141,NULL,Water,Wetland,NULL,Wetland,Forest
142,NULL,Water,Bareland,NULL,Non_Wetland,NULL
143,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
144,NULL,Water,Bareland,NULL,Non_Wetland,Forest
145,NULL,Water,Bareland,Water,Non_Wetland,Grassland
146,NULL,Water,Water,Water,Water,Grassland
147,NULL,Water,Forest,NULL,Non_Wetland,NULL
148,NULL,Water,Forest,NULL,Non_Wetland,Grassland
149,NULL,Water,Forest,NULL,Non_Wetland,Forest
150,NULL,Water,Forest,Water,Non_Wetland,Grassland
151,NULL,Forest,NULL,NULL,Non_Wetland,NULL
152,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
153,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
154,NULL,Forest,NULL,NULL,Non_Wetland,Forest
155,NULL,Forest,NULL,Non_Water,Non_Wetland,Grassland
156,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
157,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
158,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
159,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
160,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
161,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
162,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
163,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
164,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
165,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
166,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
167,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
168,NULL,Forest,Wetland,NULL,Wetland,Forest
169,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
170,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
171,NULL,Forest,Forest,NULL,Non_Wetland,NULL
172,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
173,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
174,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
175,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
176,NULL,Forest,Forest,NULL,Non_Wetland,Forest
177,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
178,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
179,NULL,Forest,Forest,Non_Water,Non_Wetland,Wetland
180,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
181,NULL,Forest,Forest,Water,Non_Wetland,Grassland
182,NULL,Forest,Forest,Water,Non_Wetland,Wetland
183,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
184,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
185,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
186,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
187,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
188,Grassland,NULL,NULL,Water,Non_Wetland,Grassland
189,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
190,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
191,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
192,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
193,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
194,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
195,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
196,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
197,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
198,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
199,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
200,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
201,Grassland,NULL,Wetland,NULL,Wetland,NULL
202,Grassland,NULL,Wetland,NULL,Wetland,Grassland
203,Grassland,NULL,Wetland,NULL,Wetland,Wetland
204,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
205,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
206,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
207,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
208,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
209,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
210,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
211,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
212,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
213,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
214,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL
215,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
216,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
217,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
218,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL
219,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
220,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland
221,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
222,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
223,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
224,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
225,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
226,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland
227,Grassland,Cropland,Bareland,NULL,Non_Wetland,Wetland
228,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
229,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
230,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
231,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
232,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL
233,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland
234,Grassland,Wetland,NULL,NULL,Non_Wetland,Wetland
235,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL
236,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
237,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
238,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL
239,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland
240,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland
241,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest
242,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL
243,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland
244,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland
245,Grassland,Water,Wetland,NULL,Wetland,Forest
246,Grassland,Water,Forest,NULL,Non_Wetland,Wetland
247,Grassland,Water,Forest,NULL,Non_Wetland,Forest
248,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
249,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
250,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland
251,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
252,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
253,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
254,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland
255,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
256,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL
257,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
258,Grassland,Forest,Shrubland,Water,Non_Wetland,Wetland
259,Grassland,Forest,Wetland,NULL,Wetland,Grassland
260,Grassland,Forest,Wetland,NULL,Wetland,Wetland
261,Grassland,Forest,Wetland,NULL,Wetland,Forest
262,Grassland,Forest,Bareland,NULL,Non_Wetland,Grassland
263,Grassland,Forest,Bareland,NULL,Non_Wetland,Wetland
264,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
265,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
266,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
267,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
268,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL
269,Grassland,Forest,Forest,Non_Water,Non_Wetland,Grassland
270,Grassland,Forest,Forest,Non_Water,Non_Wetland,Forest
271,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
272,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
273,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland
274,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
275,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
276,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
277,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
278,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland
279,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
280,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
281,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
282,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
283,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
284,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
285,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
286,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
287,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
288,Cropland,NULL,Bareland,NULL,Non_Wetland,Wetland
289,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
290,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
291,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
292,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
293,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
294,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
295,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
296,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
297,Cropland,NULL,Forest,NULL,Non_Wetland,Built-up
298,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
299,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
300,Cropland,Cropland,NULL,NULL,Non_Wetland,Wetland
301,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
302,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
303,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
304,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
305,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
306,Cropland,Cropland,Forest,NULL,Non_Wetland,Wetland
307,Cropland,Wetland,Forest,NULL,Non_Wetland,Grassland
308,Cropland,Bareland,Shrubland,Water,Non_Wetland,Wetland
309,Cropland,Built-up,NULL,NULL,Non_Wetland,Grassland
310,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
311,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
312,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland
313,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland
314,Cropland,Built-up,Forest,NULL,Non_Wetland,Forest
315,Cropland,Water,Shrubland,NULL,Non_Wetland,Forest
316,Cropland,Water,Shrubland,Water,Non_Wetland,Wetland
317,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland
318,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
319,Cropland,Forest,Shrubland,NULL,Non_Wetland,Wetland
320,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest
321,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland
322,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
323,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
324,Cropland,Forest,Forest,NULL,Non_Wetland,Wetland
325,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
326,Wetland,NULL,NULL,NULL,Non_Wetland,NULL
327,Wetland,NULL,NULL,NULL,Non_Wetland,Grassland
328,Wetland,NULL,NULL,NULL,Non_Wetland,Wetland
329,Wetland,NULL,NULL,NULL,Non_Wetland,Forest
330,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL
331,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
332,Wetland,NULL,Shrubland,NULL,Non_Wetland,Cropland
333,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland
334,Wetland,NULL,Shrubland,NULL,Non_Wetland,Forest
335,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
336,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
337,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
338,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
339,Wetland,NULL,Shrubland,Water,Non_Wetland,Forest
340,Wetland,NULL,Cropland,NULL,Non_Wetland,Grassland
341,Wetland,NULL,Cropland,NULL,Non_Wetland,Wetland
342,Wetland,NULL,Wetland,NULL,Wetland,Grassland
343,Wetland,NULL,Wetland,NULL,Wetland,Wetland
344,Wetland,NULL,Wetland,NULL,Wetland,Forest
345,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland
346,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland
347,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL
348,Wetland,NULL,Bareland,NULL,Non_Wetland,Wetland
349,Wetland,NULL,Bareland,NULL,Non_Wetland,Forest
350,Wetland,NULL,Built-up,NULL,Non_Wetland,Grassland
351,Wetland,NULL,Forest,NULL,Non_Wetland,NULL
352,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland
353,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland
354,Wetland,NULL,Forest,NULL,Non_Wetland,Forest
355,Wetland,NULL,Forest,Non_Water,Non_Wetland,Grassland
356,Wetland,NULL,Forest,Non_Water,Non_Wetland,Wetland
357,Wetland,NULL,Forest,Non_Water,Non_Wetland,Forest
358,Wetland,Cropland,Shrubland,NULL,Non_Wetland,NULL
359,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
360,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Forest
361,Wetland,Cropland,Forest,NULL,Non_Wetland,NULL
362,Wetland,Cropland,Forest,NULL,Non_Wetland,Grassland
363,Wetland,Cropland,Forest,NULL,Non_Wetland,Wetland
364,Wetland,Cropland,Forest,NULL,Non_Wetland,Forest
365,Wetland,Wetland,NULL,NULL,Non_Wetland,NULL
366,Wetland,Wetland,NULL,NULL,Non_Wetland,Wetland
367,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL
368,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
369,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
370,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Forest
371,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
372,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
373,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
374,Wetland,Wetland,Wetland,NULL,Wetland,NULL
375,Wetland,Wetland,Wetland,NULL,Wetland,Grassland
376,Wetland,Wetland,Wetland,NULL,Wetland,Wetland
377,Wetland,Wetland,Wetland,NULL,Wetland,Forest
378,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland
379,Wetland,Wetland,Bareland,NULL,Non_Wetland,Grassland
380,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL
381,Wetland,Wetland,Forest,NULL,Non_Wetland,Grassland
382,Wetland,Wetland,Forest,NULL,Non_Wetland,Wetland
383,Wetland,Wetland,Forest,NULL,Non_Wetland,Forest
384,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Wetland
385,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Forest
386,Wetland,Water,NULL,NULL,Non_Wetland,NULL
387,Wetland,Water,NULL,NULL,Non_Wetland,Wetland
388,Wetland,Water,NULL,NULL,Non_Wetland,Forest
389,Wetland,Water,NULL,Non_Water,Non_Wetland,Forest
390,Wetland,Water,Shrubland,NULL,Non_Wetland,NULL
391,Wetland,Water,Shrubland,NULL,Non_Wetland,Grassland
392,Wetland,Water,Shrubland,NULL,Non_Wetland,Wetland
393,Wetland,Water,Shrubland,NULL,Non_Wetland,Bareland
394,Wetland,Water,Shrubland,NULL,Non_Wetland,Forest
395,Wetland,Water,Shrubland,Non_Water,Non_Wetland,NULL
396,Wetland,Water,Shrubland,Non_Water,Non_Wetland,Grassland
397,Wetland,Water,Shrubland,Non_Water,Non_Wetland,Wetland
398,Wetland,Water,Shrubland,Non_Water,Non_Wetland,Forest
399,Wetland,Water,Shrubland,Water,Non_Wetland,Grassland
400,Wetland,Water,Shrubland,Water,Non_Wetland,Forest
401,Wetland,Water,Cropland,NULL,Non_Wetland,Grassland
402,Wetland,Water,Cropland,NULL,Non_Wetland,Forest
403,Wetland,Water,Wetland,NULL,Wetland,NULL
404,Wetland,Water,Wetland,NULL,Wetland,Grassland
405,Wetland,Water,Wetland,NULL,Wetland,Wetland
406,Wetland,Water,Wetland,NULL,Wetland,Forest
407,Wetland,Water,Wetland,Non_Water,Wetland,Wetland
408,Wetland,Water,Wetland,Non_Water,Wetland,Forest
409,Wetland,Water,Wetland,Water,Wetland,Grassland
410,Wetland,Water,Wetland,Water,Wetland,Forest
411,Wetland,Water,Bareland,NULL,Non_Wetland,Grassland
412,Wetland,Water,Bareland,NULL,Non_Wetland,Wetland
413,Wetland,Water,Bareland,NULL,Non_Wetland,Forest
414,Wetland,Water,Bareland,Non_Water,Non_Wetland,Forest
415,Wetland,Water,Bareland,Water,Non_Wetland,NULL
416,Wetland,Water,Bareland,Water,Non_Wetland,Grassland
417,Wetland,Water,Bareland,Water,Non_Wetland,Forest
418,Wetland,Water,Built-up,NULL,Non_Wetland,NULL
419,Wetland,Water,Built-up,NULL,Non_Wetland,Forest
420,Wetland,Water,Water,NULL,Water,Wetland
421,Wetland,Water,Water,Water,Water,Grassland
