Value,AFRICA_2024_DynamicWorld_2024_36PYC_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PYC_M_R,AFRICA_2024_GLC_FCS30D_2022_36PYC_M_R,AFRICA_2024_GSW_Yearly_2021_36PYC_M_R,AFRICA_2024_GWL_FCS30D_2022_36PYC_M_R,AFRICA_2024_WorldCover_2021_36PYC_M_R
119,NULL,Wetland,Cropland,NULL,Non_Wetland,Forest
120,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
121,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
122,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
123,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
124,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
125,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
126,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
127,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
128,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
129,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
130,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
131,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
132,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
133,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
134,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
135,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
136,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
137,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
138,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
139,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
140,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
141,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
142,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
143,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
144,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
145,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
146,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
147,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
148,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
149,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
150,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
151,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
152,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
153,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
154,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
155,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
156,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
157,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
158,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
159,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
160,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
161,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
162,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
163,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
164,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
165,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
166,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
167,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
168,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
169,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
170,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
171,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
172,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
173,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
174,NULL,Water,Grassland,Water,Non_Wetland,Grassland
175,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
176,NULL,Water,Cropland,NULL,Non_Wetland,Forest
177,NULL,Water,Cropland,Non_Water,Non_Wetland,Forest
178,NULL,Water,Cropland,Water,Non_Wetland,Grassland
179,NULL,Water,Cropland,Water,Non_Wetland,Bareland
180,NULL,Water,Cropland,Water,Non_Wetland,Forest
181,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
182,NULL,Water,Bareland,NULL,Non_Wetland,Forest
183,NULL,Water,Bareland,Water,Non_Wetland,Forest
184,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
185,NULL,Forest,NULL,NULL,Non_Wetland,Forest
186,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
187,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
188,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
189,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
190,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
191,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
192,NULL,Forest,Built-up,Water,Non_Wetland,Cropland
193,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
194,NULL,Forest,Forest,NULL,Non_Wetland,Forest
195,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
196,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
197,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
198,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
199,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
200,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
201,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
202,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
203,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland
204,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
205,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
206,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
207,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
208,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
209,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland
210,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
211,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
212,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
213,Grassland,NULL,Cropland,Water,Non_Wetland,Cropland
214,Grassland,NULL,Wetland,NULL,Wetland,Cropland
215,Grassland,NULL,Wetland,NULL,Wetland,Wetland
216,Grassland,NULL,Wetland,Non_Water,Wetland,Cropland
217,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
218,Grassland,NULL,Bareland,NULL,Non_Wetland,Cropland
219,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
220,Grassland,NULL,Built-up,NULL,Non_Wetland,Cropland
221,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland
222,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Cropland
223,Grassland,NULL,Built-up,Water,Non_Wetland,Cropland
224,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
225,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
226,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
227,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
228,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
229,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland
230,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland
231,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest
232,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Cropland
233,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
234,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
235,Grassland,Cropland,Grassland,NULL,Non_Wetland,Bareland
236,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
237,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
238,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
239,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland
240,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland
241,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest
242,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
243,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
244,Grassland,Cropland,Cropland,Water,Non_Wetland,Cropland
245,Grassland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
246,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
247,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
248,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
249,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
250,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Grassland
251,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Cropland
252,Grassland,Wetland,NULL,NULL,Non_Wetland,Wetland
253,Grassland,Wetland,NULL,NULL,Non_Wetland,Forest
254,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland
255,Grassland,Wetland,Cropland,NULL,Non_Wetland,Cropland
256,Grassland,Wetland,Cropland,NULL,Non_Wetland,Wetland
257,Grassland,Wetland,Cropland,NULL,Non_Wetland,Forest
258,Grassland,Wetland,Wetland,NULL,Wetland,Cropland
259,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland
260,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest
261,Grassland,Water,Cropland,NULL,Non_Wetland,Cropland
262,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
263,Grassland,Forest,NULL,NULL,Non_Wetland,Cropland
264,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
265,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland
266,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
267,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland
268,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland
269,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
270,Grassland,Forest,Cropland,Non_Water,Non_Wetland,Grassland
271,Grassland,Forest,Cropland,Non_Water,Non_Wetland,Cropland
272,Grassland,Forest,Cropland,Non_Water,Non_Wetland,Forest
273,Grassland,Forest,Bareland,NULL,Non_Wetland,Cropland
274,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
275,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
276,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
277,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland
278,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
279,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
280,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland
281,Cropland,NULL,NULL,Non_Water,Non_Wetland,Cropland
282,Cropland,NULL,NULL,Non_Water,Non_Wetland,Forest
283,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
284,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
285,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
286,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland
287,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
288,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
289,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
290,Cropland,NULL,Shrubland,Water,Non_Wetland,Bareland
291,Cropland,NULL,Shrubland,Water,Non_Wetland,Forest
292,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
293,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
294,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
295,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland
296,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
297,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
298,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
299,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
300,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
301,Cropland,NULL,Grassland,Water,Non_Wetland,Cropland
302,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
303,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
304,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
305,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
306,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland
307,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
308,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
309,Cropland,NULL,Cropland,NULL,Non_Wetland,Water
310,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
311,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
312,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
313,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
314,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Bareland
315,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Forest
316,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
317,Cropland,NULL,Cropland,Water,Non_Wetland,Cropland
318,Cropland,NULL,Cropland,Water,Non_Wetland,Wetland
319,Cropland,NULL,Cropland,Water,Non_Wetland,Bareland
320,Cropland,NULL,Cropland,Water,Non_Wetland,Water
321,Cropland,NULL,Cropland,Water,Non_Wetland,Forest
322,Cropland,NULL,Wetland,NULL,Wetland,Cropland
323,Cropland,NULL,Wetland,NULL,Wetland,Water
324,Cropland,NULL,Wetland,NULL,Wetland,Forest
325,Cropland,NULL,Wetland,Non_Water,Wetland,Cropland
326,Cropland,NULL,Wetland,Water,Wetland,Cropland
327,Cropland,NULL,Wetland,Water,Wetland,Bareland
328,Cropland,NULL,Wetland,Water,Wetland,Water
329,Cropland,NULL,Wetland,Water,Wetland,Forest
330,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
331,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
332,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
333,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
334,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Forest
335,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
336,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
337,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
338,Cropland,NULL,Bareland,NULL,Non_Wetland,Wetland
339,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
340,Cropland,NULL,Bareland,NULL,Non_Wetland,Water
341,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
342,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
343,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Cropland
344,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
345,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Water
346,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Forest
347,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland
348,Cropland,NULL,Bareland,Water,Non_Wetland,Cropland
349,Cropland,NULL,Bareland,Water,Non_Wetland,Bareland
350,Cropland,NULL,Bareland,Water,Non_Wetland,Water
351,Cropland,NULL,Bareland,Water,Non_Wetland,Forest
352,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
353,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
354,Cropland,NULL,Built-up,NULL,Non_Wetland,Wetland
355,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
356,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
357,Cropland,NULL,Built-up,NULL,Non_Wetland,Water
358,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
359,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Cropland
360,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Bareland
361,Cropland,NULL,Built-up,Water,Non_Wetland,Cropland
362,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
363,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
364,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
365,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
366,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
367,Cropland,NULL,Forest,Non_Water,Non_Wetland,Cropland
368,Cropland,NULL,Forest,Non_Water,Non_Wetland,Wetland
369,Cropland,NULL,Forest,Non_Water,Non_Wetland,Forest
370,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
371,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
372,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
373,Cropland,Cropland,NULL,NULL,Non_Wetland,Wetland
374,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland
375,Cropland,Cropland,NULL,NULL,Non_Wetland,Built-up
376,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
377,Cropland,Cropland,NULL,Non_Water,Non_Wetland,Grassland
378,Cropland,Cropland,NULL,Non_Water,Non_Wetland,Cropland
379,Cropland,Cropland,NULL,Non_Water,Non_Wetland,Forest
380,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
381,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
382,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
383,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
384,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
385,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
386,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
387,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
388,Cropland,Cropland,Shrubland,Water,Non_Wetland,Cropland
389,Cropland,Cropland,Shrubland,Water,Non_Wetland,Bareland
390,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
391,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
392,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
393,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
394,Cropland,Cropland,Grassland,NULL,Non_Wetland,Built-up
395,Cropland,Cropland,Grassland,NULL,Non_Wetland,Water
396,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
397,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
398,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
399,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Bareland
400,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Water
401,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Forest
402,Cropland,Cropland,Grassland,Water,Non_Wetland,Grassland
403,Cropland,Cropland,Grassland,Water,Non_Wetland,Cropland
404,Cropland,Cropland,Grassland,Water,Non_Wetland,Bareland
405,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
406,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
407,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
408,Cropland,Cropland,Cropland,NULL,Non_Wetland,Wetland
409,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland
410,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up
411,Cropland,Cropland,Cropland,NULL,Non_Wetland,Water
412,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
413,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL
414,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
