Value,AFRICA_2024_DynamicWorld_2024_36NXN_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NXN_M_R,AFRICA_2024_GLC_FCS30D_2022_36NXN_M_R,AFRICA_2024_GSW_Yearly_2021_36NXN_M_R,AFRICA_2024_GWL_FCS30D_2022_36NXN_M_R,AFRICA_2024_WorldCover_2021_36NXN_M_R
120,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
121,NULL,Forest,Shrubland,Water,Non_Wetland,Wetland
122,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
123,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
124,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
125,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
126,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
127,NULL,Forest,Wetland,NULL,Wetland,Wetland
128,NULL,Forest,Wetland,NULL,Wetland,Forest
129,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
130,NULL,Forest,Water,Non_Water,Water,NULL
131,NULL,Forest,Forest,NULL,Non_Wetland,NULL
132,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
133,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
134,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
135,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
136,NULL,Forest,Forest,NULL,Non_Wetland,Forest
137,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
138,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
139,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
140,NULL,Forest,Forest,Water,Non_Wetland,NULL
141,NULL,Forest,Forest,Water,Non_Wetland,Grassland
142,NULL,Forest,Forest,Water,Non_Wetland,Forest
143,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
144,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
145,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
146,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
147,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
148,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL
149,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
150,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland
151,Grassland,NULL,NULL,Non_Water,Non_Wetland,Forest
152,Grassland,NULL,NULL,Water,Non_Wetland,Grassland
153,Grassland,NULL,NULL,Water,Non_Wetland,Cropland
154,Grassland,NULL,NULL,Water,Non_Wetland,Wetland
155,Grassland,NULL,NULL,Water,Non_Wetland,Water
156,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
157,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
158,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
159,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
160,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
161,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
162,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
163,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
164,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
165,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
166,Grassland,NULL,Shrubland,Water,Non_Wetland,Cropland
167,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
168,Grassland,NULL,Shrubland,Water,Non_Wetland,Water
169,Grassland,NULL,Shrubland,Water,Non_Wetland,Forest
170,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
171,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
172,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
173,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
174,Grassland,NULL,Cropland,NULL,Non_Wetland,Water
175,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
176,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
177,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
178,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland
179,Grassland,NULL,Wetland,NULL,Wetland,NULL
180,Grassland,NULL,Wetland,NULL,Wetland,Grassland
181,Grassland,NULL,Wetland,NULL,Wetland,Wetland
182,Grassland,NULL,Wetland,NULL,Wetland,Forest
183,Grassland,NULL,Wetland,Non_Water,Wetland,NULL
184,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
185,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
186,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
187,Grassland,NULL,Wetland,Water,Wetland,Grassland
188,Grassland,NULL,Wetland,Water,Wetland,Wetland
189,Grassland,NULL,Wetland,Water,Wetland,Water
190,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
191,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
192,Grassland,NULL,Bareland,NULL,Non_Wetland,Cropland
193,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
194,Grassland,NULL,Bareland,NULL,Non_Wetland,Water
195,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
196,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
197,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Wetland
198,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Forest
199,Grassland,NULL,Bareland,Water,Non_Wetland,Grassland
200,Grassland,NULL,Bareland,Water,Non_Wetland,Wetland
201,Grassland,NULL,Bareland,Water,Non_Wetland,Water
202,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
203,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland
204,Grassland,NULL,Built-up,NULL,Non_Wetland,Forest
205,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Wetland
206,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Forest
207,Grassland,NULL,Water,NULL,Water,Grassland
208,Grassland,NULL,Water,NULL,Water,Wetland
209,Grassland,NULL,Water,NULL,Water,Water
210,Grassland,NULL,Water,NULL,Water,Forest
211,Grassland,NULL,Water,Non_Water,Water,Grassland
212,Grassland,NULL,Water,Non_Water,Water,Wetland
213,Grassland,NULL,Water,Non_Water,Water,Water
214,Grassland,NULL,Water,Non_Water,Water,Forest
215,Grassland,NULL,Water,Water,Water,Wetland
216,Grassland,NULL,Water,Water,Water,Water
217,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
218,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
219,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
220,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
221,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
222,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL
223,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
224,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
225,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
226,Grassland,NULL,Forest,Water,Non_Wetland,NULL
227,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
228,Grassland,NULL,Forest,Water,Non_Wetland,Cropland
229,Grassland,NULL,Forest,Water,Non_Wetland,Wetland
230,Grassland,NULL,Forest,Water,Non_Wetland,Water
231,Grassland,NULL,Forest,Water,Non_Wetland,Forest
232,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
233,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest
234,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
235,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
236,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
237,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
238,Grassland,Cropland,Shrubland,Water,Non_Wetland,Cropland
239,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
240,Grassland,Cropland,Wetland,NULL,Wetland,Grassland
241,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
242,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
243,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland
244,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
245,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland
246,Grassland,Wetland,NULL,NULL,Non_Wetland,Wetland
247,Grassland,Wetland,NULL,NULL,Non_Wetland,Forest
248,Grassland,Wetland,NULL,Non_Water,Non_Wetland,Wetland
249,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
250,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
251,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Forest
252,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
253,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
254,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
255,Grassland,Wetland,Shrubland,Water,Non_Wetland,Grassland
256,Grassland,Wetland,Shrubland,Water,Non_Wetland,Wetland
257,Grassland,Wetland,Cropland,NULL,Non_Wetland,Forest
258,Grassland,Wetland,Wetland,NULL,Wetland,Grassland
259,Grassland,Wetland,Wetland,NULL,Wetland,Wetland
260,Grassland,Wetland,Wetland,NULL,Wetland,Forest
261,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland
262,Grassland,Wetland,Wetland,Water,Wetland,Wetland
263,Grassland,Wetland,Bareland,NULL,Non_Wetland,Wetland
264,Grassland,Wetland,Bareland,NULL,Non_Wetland,Forest
265,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,Wetland
266,Grassland,Wetland,Water,NULL,Water,Wetland
267,Grassland,Wetland,Water,Non_Water,Water,Wetland
268,Grassland,Wetland,Water,Water,Water,Wetland
269,Grassland,Wetland,Water,Water,Water,Water
270,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL
271,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland
272,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland
273,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest
274,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL
275,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Grassland
276,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland
277,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Forest
278,Grassland,Wetland,Forest,Water,Non_Wetland,Wetland
279,Grassland,Water,NULL,NULL,Non_Wetland,Wetland
280,Grassland,Water,NULL,NULL,Non_Wetland,Forest
281,Grassland,Water,NULL,Water,Non_Wetland,Wetland
282,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland
283,Grassland,Water,Shrubland,NULL,Non_Wetland,Wetland
284,Grassland,Water,Shrubland,NULL,Non_Wetland,Forest
285,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Grassland
286,Grassland,Water,Shrubland,Non_Water,Non_Wetland,Wetland
287,Grassland,Water,Shrubland,Water,Non_Wetland,Grassland
288,Grassland,Water,Shrubland,Water,Non_Wetland,Wetland
289,Grassland,Water,Shrubland,Water,Non_Wetland,Water
290,Grassland,Water,Shrubland,Water,Non_Wetland,Forest
291,Grassland,Water,Wetland,NULL,Wetland,Grassland
292,Grassland,Water,Wetland,NULL,Wetland,Wetland
293,Grassland,Water,Wetland,NULL,Wetland,Forest
294,Grassland,Water,Wetland,Non_Water,Wetland,Wetland
295,Grassland,Water,Wetland,Water,Wetland,Grassland
296,Grassland,Water,Wetland,Water,Wetland,Wetland
297,Grassland,Water,Wetland,Water,Wetland,Water
298,Grassland,Water,Bareland,NULL,Non_Wetland,Grassland
299,Grassland,Water,Bareland,NULL,Non_Wetland,Wetland
300,Grassland,Water,Bareland,NULL,Non_Wetland,Forest
301,Grassland,Water,Water,NULL,Water,Wetland
302,Grassland,Water,Water,NULL,Water,Water
303,Grassland,Water,Water,NULL,Water,Forest
304,Grassland,Water,Water,Non_Water,Water,Grassland
305,Grassland,Water,Water,Non_Water,Water,Wetland
306,Grassland,Water,Water,Water,Water,Wetland
307,Grassland,Water,Water,Water,Water,Water
308,Grassland,Water,Forest,NULL,Non_Wetland,Grassland
309,Grassland,Water,Forest,NULL,Non_Wetland,Wetland
310,Grassland,Water,Forest,NULL,Non_Wetland,Forest
311,Grassland,Water,Forest,Non_Water,Non_Wetland,Grassland
312,Grassland,Water,Forest,Non_Water,Non_Wetland,Wetland
313,Grassland,Water,Forest,Water,Non_Wetland,Grassland
314,Grassland,Water,Forest,Water,Non_Wetland,Wetland
315,Grassland,Water,Forest,Water,Non_Wetland,Water
316,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
317,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
318,Grassland,Forest,NULL,NULL,Non_Wetland,Cropland
319,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland
320,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
321,Grassland,Forest,NULL,Non_Water,Non_Wetland,NULL
322,Grassland,Forest,NULL,Non_Water,Non_Wetland,Grassland
323,Grassland,Forest,NULL,Non_Water,Non_Wetland,Wetland
324,Grassland,Forest,NULL,Water,Non_Wetland,Grassland
325,Grassland,Forest,NULL,Water,Non_Wetland,Wetland
326,Grassland,Forest,NULL,Water,Non_Wetland,Forest
327,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
328,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
329,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland
330,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland
331,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
332,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL
333,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
334,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
335,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Water
336,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Forest
337,Grassland,Forest,Shrubland,Water,Non_Wetland,Grassland
338,Grassland,Forest,Shrubland,Water,Non_Wetland,Wetland
339,Grassland,Forest,Shrubland,Water,Non_Wetland,Water
340,Grassland,Forest,Shrubland,Water,Non_Wetland,Forest
341,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
342,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
343,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
344,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland
345,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
346,Grassland,Forest,Wetland,NULL,Wetland,NULL
347,Grassland,Forest,Wetland,NULL,Wetland,Grassland
348,Grassland,Forest,Wetland,NULL,Wetland,Wetland
349,Grassland,Forest,Wetland,NULL,Wetland,Forest
350,Grassland,Forest,Wetland,Non_Water,Wetland,Wetland
351,Grassland,Forest,Wetland,Non_Water,Wetland,Forest
352,Grassland,Forest,Wetland,Water,Wetland,Grassland
353,Grassland,Forest,Wetland,Water,Wetland,Wetland
354,Grassland,Forest,Wetland,Water,Wetland,Forest
355,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL
356,Grassland,Forest,Bareland,NULL,Non_Wetland,Grassland
357,Grassland,Forest,Bareland,NULL,Non_Wetland,Wetland
358,Grassland,Forest,Bareland,NULL,Non_Wetland,Forest
359,Grassland,Forest,Bareland,Non_Water,Non_Wetland,Grassland
360,Grassland,Forest,Bareland,Non_Water,Non_Wetland,Wetland
361,Grassland,Forest,Bareland,Non_Water,Non_Wetland,Forest
362,Grassland,Forest,Bareland,Water,Non_Wetland,Grassland
363,Grassland,Forest,Bareland,Water,Non_Wetland,Water
364,Grassland,Forest,Bareland,Water,Non_Wetland,Forest
365,Grassland,Forest,Built-up,NULL,Non_Wetland,Grassland
366,Grassland,Forest,Built-up,NULL,Non_Wetland,Wetland
367,Grassland,Forest,Built-up,NULL,Non_Wetland,Forest
368,Grassland,Forest,Water,NULL,Water,Wetland
369,Grassland,Forest,Water,Non_Water,Water,NULL
370,Grassland,Forest,Water,Non_Water,Water,Wetland
371,Grassland,Forest,Water,Water,Water,Wetland
372,Grassland,Forest,Water,Water,Water,Water
373,Grassland,Forest,Water,Water,Water,Forest
374,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
375,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
376,Grassland,Forest,Forest,NULL,Non_Wetland,Cropland
377,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
378,Grassland,Forest,Forest,NULL,Non_Wetland,Water
379,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
380,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL
381,Grassland,Forest,Forest,Non_Water,Non_Wetland,Grassland
382,Grassland,Forest,Forest,Non_Water,Non_Wetland,Wetland
383,Grassland,Forest,Forest,Non_Water,Non_Wetland,Forest
384,Grassland,Forest,Forest,Water,Non_Wetland,Grassland
385,Grassland,Forest,Forest,Water,Non_Wetland,Wetland
386,Grassland,Forest,Forest,Water,Non_Wetland,Water
387,Grassland,Forest,Forest,Water,Non_Wetland,Forest
388,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
389,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
390,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
391,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland
392,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
393,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland
394,Cropland,NULL,NULL,Non_Water,Non_Wetland,Wetland
395,Cropland,NULL,NULL,Non_Water,Non_Wetland,Forest
396,Cropland,NULL,NULL,Water,Non_Wetland,Wetland
397,Cropland,NULL,NULL,Water,Non_Wetland,Forest
398,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
399,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
400,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland
401,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
402,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water
403,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
404,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
405,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
406,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
407,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
408,Cropland,NULL,Shrubland,Water,Non_Wetland,Wetland
409,Cropland,NULL,Shrubland,Water,Non_Wetland,Water
410,Cropland,NULL,Shrubland,Water,Non_Wetland,Forest
411,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
412,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
413,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
414,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
415,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
416,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
417,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland
418,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
419,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
420,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
421,Cropland,NULL,Cropland,Water,Non_Wetland,Wetland
422,Cropland,NULL,Cropland,Water,Non_Wetland,Water
423,Cropland,NULL,Wetland,NULL,Wetland,Grassland
424,Cropland,NULL,Wetland,NULL,Wetland,Wetland
425,Cropland,NULL,Wetland,NULL,Wetland,Bareland
426,Cropland,NULL,Wetland,NULL,Wetland,Water
427,Cropland,NULL,Wetland,NULL,Wetland,Forest
428,Cropland,NULL,Wetland,Non_Water,Wetland,Wetland
429,Cropland,NULL,Wetland,Non_Water,Wetland,Forest
430,Cropland,NULL,Wetland,Water,Wetland,Wetland
