Value,AFRICA_2024_DynamicWorld_2024_35PRS_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35PRS_M_R,AFRICA_2024_GLC_FCS30D_2022_35PRS_M_R,AFRICA_2024_GSW_Yearly_2021_35PRS_M_R,AFRICA_2024_GWL_FCS30D_2022_35PRS_M_R,AFRICA_2024_WorldCover_2021_35PRS_M_R
119,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
120,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
121,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
122,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
123,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
124,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
125,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
126,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
127,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
128,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
129,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
130,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
131,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
132,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
133,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL
134,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
135,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
136,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Forest
137,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
138,Cropland,NULL,Grassland,Water,Non_Wetland,Cropland
139,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
140,Cropland,NULL,Grassland,Water,Non_Wetland,Forest
141,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
142,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
143,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
144,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
145,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
146,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL
147,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
148,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Bareland
149,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Forest
150,Cropland,NULL,Cropland,Water,Non_Wetland,NULL
151,Cropland,NULL,Cropland,Water,Non_Wetland,Cropland
152,Cropland,NULL,Cropland,Water,Non_Wetland,Forest
153,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
154,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
155,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
156,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
157,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
158,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
159,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
160,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
161,Cropland,NULL,Bareland,Water,Non_Wetland,Bareland
162,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
163,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
164,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
165,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
166,Cropland,NULL,Built-up,Non_Water,Non_Wetland,NULL
167,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
168,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Forest
169,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
170,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
171,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
172,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
173,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
174,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
175,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
176,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
177,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
178,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
179,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
180,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
181,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
182,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Bareland
183,Cropland,Cropland,Grassland,Water,Non_Wetland,Grassland
184,Cropland,Cropland,Grassland,Water,Non_Wetland,Bareland
185,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
186,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
187,Cropland,Cropland,Wetland,NULL,Wetland,Cropland
188,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
189,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland
190,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland
191,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
192,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
193,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
194,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL
195,Cropland,Bareland,Grassland,NULL,Non_Wetland,Grassland
196,Cropland,Bareland,Grassland,NULL,Non_Wetland,Bareland
197,Cropland,Bareland,Cropland,NULL,Non_Wetland,NULL
198,Cropland,Bareland,Cropland,NULL,Non_Wetland,Grassland
199,Cropland,Bareland,Cropland,NULL,Non_Wetland,Bareland
200,Cropland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
201,Cropland,Bareland,Bareland,NULL,Non_Wetland,Grassland
202,Cropland,Bareland,Bareland,NULL,Non_Wetland,Bareland
203,Cropland,Bareland,Built-up,NULL,Non_Wetland,Grassland
204,Cropland,Bareland,Built-up,NULL,Non_Wetland,Bareland
205,Cropland,Built-up,NULL,NULL,Non_Wetland,Cropland
206,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL
207,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
208,Cropland,Built-up,Grassland,NULL,Non_Wetland,Bareland
209,Cropland,Built-up,Grassland,NULL,Non_Wetland,Forest
210,Cropland,Built-up,Cropland,NULL,Non_Wetland,Forest
211,Cropland,Built-up,Built-up,NULL,Non_Wetland,Grassland
212,Cropland,Built-up,Forest,NULL,Non_Wetland,Forest
213,Cropland,Forest,NULL,NULL,Non_Wetland,NULL
214,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland
215,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL
216,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland
217,Cropland,Forest,Grassland,NULL,Non_Wetland,Bareland
218,Cropland,Forest,Grassland,NULL,Non_Wetland,Forest
219,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL
220,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland
221,Cropland,Forest,Cropland,NULL,Non_Wetland,Bareland
222,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest
223,Cropland,Forest,Built-up,NULL,Non_Wetland,NULL
224,Cropland,Forest,Built-up,NULL,Non_Wetland,Forest
225,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
226,Wetland,NULL,NULL,NULL,Non_Wetland,NULL
227,Wetland,NULL,NULL,NULL,Non_Wetland,Grassland
228,Wetland,NULL,NULL,NULL,Non_Wetland,Forest
229,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
230,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL
231,Wetland,NULL,Grassland,NULL,Non_Wetland,Grassland
232,Wetland,NULL,Grassland,NULL,Non_Wetland,Bareland
233,Wetland,NULL,Grassland,NULL,Non_Wetland,Forest
234,Wetland,NULL,Grassland,Non_Water,Non_Wetland,NULL
235,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
236,Wetland,NULL,Grassland,Water,Non_Wetland,Forest
237,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL
238,Wetland,NULL,Cropland,NULL,Non_Wetland,Grassland
239,Wetland,NULL,Cropland,NULL,Non_Wetland,Forest
240,Wetland,NULL,Cropland,Non_Water,Non_Wetland,NULL
241,Wetland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
242,Wetland,NULL,Built-up,NULL,Non_Wetland,NULL
243,Wetland,NULL,Forest,NULL,Non_Wetland,NULL
244,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland
245,Wetland,NULL,Forest,NULL,Non_Wetland,Forest
246,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Forest
247,Wetland,Wetland,Grassland,NULL,Non_Wetland,NULL
248,Wetland,Wetland,Grassland,NULL,Non_Wetland,Forest
249,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL
250,Wetland,Wetland,Forest,NULL,Non_Wetland,Forest
251,Wetland,Forest,Grassland,NULL,Non_Wetland,NULL
252,Wetland,Forest,Forest,NULL,Non_Wetland,Forest
253,Bareland,NULL,NULL,NULL,Non_Wetland,NULL
254,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
255,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland
256,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
257,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
258,Bareland,NULL,Shrubland,NULL,Non_Wetland,Cropland
259,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
260,Bareland,NULL,Shrubland,NULL,Non_Wetland,Forest
261,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
262,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
263,Bareland,NULL,Shrubland,Water,Non_Wetland,Bareland
264,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL
265,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
266,Bareland,NULL,Grassland,NULL,Non_Wetland,Cropland
267,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
268,Bareland,NULL,Grassland,NULL,Non_Wetland,Built-up
269,Bareland,NULL,Grassland,NULL,Non_Wetland,Water
270,Bareland,NULL,Grassland,NULL,Non_Wetland,Forest
271,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
272,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
273,Bareland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
274,Bareland,NULL,Grassland,Water,Non_Wetland,Grassland
275,Bareland,NULL,Grassland,Water,Non_Wetland,Cropland
276,Bareland,NULL,Grassland,Water,Non_Wetland,Bareland
277,Bareland,NULL,Grassland,Water,Non_Wetland,Water
278,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL
279,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
280,Bareland,NULL,Cropland,NULL,Non_Wetland,Cropland
281,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland
282,Bareland,NULL,Cropland,NULL,Non_Wetland,Forest
283,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
284,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Bareland
285,Bareland,NULL,Cropland,Water,Non_Wetland,NULL
286,Bareland,NULL,Cropland,Water,Non_Wetland,Grassland
287,Bareland,NULL,Cropland,Water,Non_Wetland,Bareland
288,Bareland,NULL,Cropland,Water,Non_Wetland,Forest
289,Bareland,NULL,Wetland,NULL,Wetland,Bareland
290,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
291,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
292,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
293,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
294,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL
295,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland
296,Bareland,NULL,Bareland,NULL,Non_Wetland,Cropland
297,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland
298,Bareland,NULL,Bareland,NULL,Non_Wetland,Built-up
299,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
300,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
301,Bareland,NULL,Bareland,Water,Non_Wetland,NULL
302,Bareland,NULL,Bareland,Water,Non_Wetland,Grassland
303,Bareland,NULL,Bareland,Water,Non_Wetland,Bareland
304,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL
305,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland
306,Bareland,NULL,Built-up,NULL,Non_Wetland,Cropland
307,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland
308,Bareland,NULL,Built-up,NULL,Non_Wetland,Built-up
309,Bareland,NULL,Built-up,NULL,Non_Wetland,Forest
310,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
311,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Bareland
312,Bareland,NULL,Built-up,Water,Non_Wetland,Grassland
313,Bareland,NULL,Built-up,Water,Non_Wetland,Bareland
314,Bareland,NULL,Water,NULL,Water,Grassland
315,Bareland,NULL,Water,NULL,Water,Bareland
316,Bareland,NULL,Water,NULL,Water,Forest
317,Bareland,NULL,Water,Water,Water,Grassland
318,Bareland,NULL,Water,Water,Water,Bareland
319,Bareland,NULL,Forest,NULL,Non_Wetland,NULL
320,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland
321,Bareland,NULL,Forest,NULL,Non_Wetland,Cropland
322,Bareland,NULL,Forest,NULL,Non_Wetland,Bareland
323,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
324,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
325,Bareland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
326,Bareland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
327,Bareland,Cropland,Grassland,NULL,Non_Wetland,Grassland
328,Bareland,Cropland,Grassland,NULL,Non_Wetland,Cropland
329,Bareland,Cropland,Grassland,NULL,Non_Wetland,Bareland
330,Bareland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
331,Bareland,Cropland,Grassland,Non_Water,Non_Wetland,Bareland
332,Bareland,Cropland,Cropland,NULL,Non_Wetland,Grassland
333,Bareland,Cropland,Cropland,NULL,Non_Wetland,Bareland
334,Bareland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
335,Bareland,Cropland,Bareland,NULL,Non_Wetland,Grassland
336,Bareland,Cropland,Bareland,NULL,Non_Wetland,Cropland
337,Bareland,Cropland,Bareland,NULL,Non_Wetland,Bareland
338,Bareland,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
339,Bareland,Cropland,Built-up,NULL,Non_Wetland,NULL
340,Bareland,Cropland,Built-up,NULL,Non_Wetland,Grassland
341,Bareland,Cropland,Built-up,NULL,Non_Wetland,Bareland
342,Bareland,Cropland,Forest,NULL,Non_Wetland,Bareland
343,Bareland,Bareland,NULL,NULL,Non_Wetland,NULL
344,Bareland,Bareland,NULL,NULL,Non_Wetland,Grassland
345,Bareland,Bareland,NULL,NULL,Non_Wetland,Bareland
346,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL
347,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
348,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
349,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL
350,Bareland,Bareland,Grassland,NULL,Non_Wetland,Grassland
351,Bareland,Bareland,Grassland,NULL,Non_Wetland,Cropland
352,Bareland,Bareland,Grassland,NULL,Non_Wetland,Bareland
353,Bareland,Bareland,Grassland,NULL,Non_Wetland,Forest
354,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,Grassland
355,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
356,Bareland,Bareland,Grassland,Water,Non_Wetland,Grassland
357,Bareland,Bareland,Grassland,Water,Non_Wetland,Bareland
358,Bareland,Bareland,Cropland,NULL,Non_Wetland,NULL
359,Bareland,Bareland,Cropland,NULL,Non_Wetland,Grassland
360,Bareland,Bareland,Cropland,NULL,Non_Wetland,Bareland
361,Bareland,Bareland,Cropland,Water,Non_Wetland,Bareland
362,Bareland,Bareland,Wetland,NULL,Wetland,Bareland
363,Bareland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
364,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL
365,Bareland,Bareland,Bareland,NULL,Non_Wetland,Grassland
366,Bareland,Bareland,Bareland,NULL,Non_Wetland,Cropland
367,Bareland,Bareland,Bareland,NULL,Non_Wetland,Bareland
368,Bareland,Bareland,Bareland,Water,Non_Wetland,Bareland
369,Bareland,Bareland,Built-up,NULL,Non_Wetland,NULL
370,Bareland,Bareland,Built-up,NULL,Non_Wetland,Grassland
371,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland
372,Bareland,Bareland,Built-up,Water,Non_Wetland,Bareland
373,Bareland,Bareland,Water,NULL,Water,Bareland
374,Bareland,Bareland,Water,Water,Water,Bareland
375,Bareland,Bareland,Forest,NULL,Non_Wetland,Bareland
376,Bareland,Built-up,Shrubland,NULL,Non_Wetland,Bareland
377,Bareland,Built-up,Grassland,NULL,Non_Wetland,NULL
378,Bareland,Built-up,Grassland,NULL,Non_Wetland,Grassland
379,Bareland,Built-up,Grassland,NULL,Non_Wetland,Cropland
380,Bareland,Built-up,Grassland,NULL,Non_Wetland,Bareland
381,Bareland,Built-up,Grassland,NULL,Non_Wetland,Built-up
382,Bareland,Built-up,Bareland,NULL,Non_Wetland,Grassland
383,Bareland,Built-up,Bareland,NULL,Non_Wetland,Bareland
384,Bareland,Built-up,Bareland,NULL,Non_Wetland,Built-up
385,Bareland,Built-up,Built-up,NULL,Non_Wetland,Grassland
386,Bareland,Built-up,Built-up,NULL,Non_Wetland,Bareland
387,Bareland,Built-up,Built-up,NULL,Non_Wetland,Built-up
388,Bareland,Water,Shrubland,NULL,Non_Wetland,Bareland
389,Bareland,Water,Shrubland,Non_Water,Non_Wetland,Bareland
390,Bareland,Water,Grassland,NULL,Non_Wetland,Grassland
391,Bareland,Water,Grassland,NULL,Non_Wetland,Bareland
392,Bareland,Water,Grassland,Non_Water,Non_Wetland,Grassland
393,Bareland,Water,Grassland,Non_Water,Non_Wetland,Bareland
394,Bareland,Water,Grassland,Water,Non_Wetland,Grassland
395,Bareland,Water,Grassland,Water,Non_Wetland,Bareland
396,Bareland,Water,Bareland,NULL,Non_Wetland,Bareland
397,Bareland,Water,Bareland,Non_Water,Non_Wetland,Bareland
398,Bareland,Water,Bareland,Water,Non_Wetland,Bareland
399,Bareland,Water,Bareland,Water,Non_Wetland,Water
400,Bareland,Water,Built-up,NULL,Non_Wetland,Bareland
401,Bareland,Forest,Grassland,NULL,Non_Wetland,NULL
402,Bareland,Forest,Grassland,NULL,Non_Wetland,Grassland
403,Bareland,Forest,Grassland,NULL,Non_Wetland,Forest
404,Bareland,Forest,Grassland,Water,Non_Wetland,Grassland
405,Bareland,Forest,Grassland,Water,Non_Wetland,Bareland
406,Bareland,Forest,Cropland,NULL,Non_Wetland,NULL
407,Bareland,Forest,Cropland,NULL,Non_Wetland,Grassland
408,Bareland,Forest,Cropland,NULL,Non_Wetland,Forest
409,Bareland,Forest,Built-up,NULL,Non_Wetland,Forest
410,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland
411,Water,NULL,Shrubland,NULL,Non_Wetland,Bareland
412,Water,NULL,Grassland,NULL,Non_Wetland,NULL
413,Water,NULL,Grassland,NULL,Non_Wetland,Grassland
