Value,AFRICA_2024_DynamicWorld_2024_37PHR_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37PHR_M_R,AFRICA_2024_GLC_FCS30D_2022_37PHR_M_R,AFRICA_2024_GSW_Yearly_2021_37PHR_M_R,AFRICA_2024_GWL_FCS30D_2022_37PHR_M_R,AFRICA_2024_WorldCover_2021_37PHR_M_R
157,Bareland,NULL,Cropland,NULL,Non_Wetland,Wetland
158,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland
159,Bareland,NULL,Cropland,Non_Water,Non_Wetland,Bareland
160,Bareland,NULL,Cropland,Water,Non_Wetland,Bareland
161,Bareland,NULL,Wetland,NULL,NULL,Wetland
162,Bareland,NULL,Wetland,NULL,NULL,Bareland
163,Bareland,NULL,Wetland,NULL,Wetland,NULL
164,Bareland,NULL,Wetland,NULL,Wetland,Cropland
165,Bareland,NULL,Wetland,NULL,Wetland,Wetland
166,Bareland,NULL,Wetland,NULL,Wetland,Bareland
167,Bareland,NULL,Wetland,NULL,Wetland,Water
168,Bareland,NULL,Wetland,Water,NULL,Bareland
169,Bareland,NULL,Wetland,Water,Wetland,Wetland
170,Bareland,NULL,Wetland,Water,Wetland,Bareland
171,Bareland,NULL,Wetland,Water,Wetland,Water
172,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
173,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL
174,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland
175,Bareland,NULL,Bareland,NULL,Non_Wetland,Cropland
176,Bareland,NULL,Bareland,NULL,Non_Wetland,Wetland
177,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland
178,Bareland,NULL,Bareland,NULL,Non_Wetland,Built-up
179,Bareland,NULL,Bareland,NULL,Non_Wetland,Water
180,Bareland,NULL,Bareland,NULL,Non_Wetland,Forest
181,Bareland,NULL,Bareland,Non_Water,Non_Wetland,Bareland
182,Bareland,NULL,Bareland,Water,Non_Wetland,NULL
183,Bareland,NULL,Bareland,Water,Non_Wetland,Grassland
184,Bareland,NULL,Bareland,Water,Non_Wetland,Wetland
185,Bareland,NULL,Bareland,Water,Non_Wetland,Bareland
186,Bareland,NULL,Bareland,Water,Non_Wetland,Water
187,Bareland,NULL,Bareland,Water,Non_Wetland,Forest
188,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL
189,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland
190,Bareland,NULL,Built-up,NULL,Non_Wetland,Cropland
191,Bareland,NULL,Built-up,NULL,Non_Wetland,Wetland
192,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland
193,Bareland,NULL,Built-up,Non_Water,Non_Wetland,Bareland
194,Bareland,NULL,Built-up,Water,Non_Wetland,Bareland
195,Bareland,NULL,Water,NULL,Water,Bareland
196,Bareland,NULL,Water,Water,Water,Bareland
197,Bareland,Cropland,Grassland,NULL,Non_Wetland,Wetland
198,Bareland,Cropland,Wetland,NULL,Wetland,Wetland
199,Bareland,Cropland,Wetland,Non_Water,Wetland,Wetland
200,Bareland,Cropland,Wetland,Water,Wetland,Wetland
201,Bareland,Wetland,Shrubland,NULL,Non_Wetland,Bareland
202,Bareland,Wetland,Grassland,NULL,Non_Wetland,Wetland
203,Bareland,Wetland,Grassland,NULL,Non_Wetland,Bareland
204,Bareland,Wetland,Cropland,NULL,Non_Wetland,Wetland
205,Bareland,Wetland,Wetland,NULL,Wetland,Bareland
206,Bareland,Wetland,Bareland,NULL,Non_Wetland,Grassland
207,Bareland,Wetland,Bareland,NULL,Non_Wetland,Cropland
208,Bareland,Wetland,Bareland,NULL,Non_Wetland,Wetland
209,Bareland,Wetland,Bareland,NULL,Non_Wetland,Bareland
210,Bareland,Bareland,NULL,NULL,Non_Wetland,Bareland
211,Bareland,Bareland,NULL,Water,Non_Wetland,Bareland
212,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Cropland
213,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Wetland
214,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
215,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Built-up
216,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Water
217,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
218,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,Water
219,Bareland,Bareland,Shrubland,Water,Non_Wetland,Bareland
220,Bareland,Bareland,Shrubland,Water,Non_Wetland,Water
221,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL
222,Bareland,Bareland,Grassland,NULL,Non_Wetland,Grassland
223,Bareland,Bareland,Grassland,NULL,Non_Wetland,Cropland
224,Bareland,Bareland,Grassland,NULL,Non_Wetland,Wetland
225,Bareland,Bareland,Grassland,NULL,Non_Wetland,Bareland
226,Bareland,Bareland,Grassland,NULL,Non_Wetland,Water
227,Bareland,Bareland,Grassland,Water,Non_Wetland,Bareland
228,Bareland,Bareland,Cropland,NULL,Non_Wetland,NULL
229,Bareland,Bareland,Cropland,NULL,Non_Wetland,Grassland
230,Bareland,Bareland,Cropland,NULL,Non_Wetland,Wetland
231,Bareland,Bareland,Cropland,NULL,Non_Wetland,Bareland
232,Bareland,Bareland,Cropland,Water,Non_Wetland,Grassland
233,Bareland,Bareland,Cropland,Water,Non_Wetland,Bareland
234,Bareland,Bareland,Wetland,NULL,NULL,NULL
235,Bareland,Bareland,Wetland,NULL,NULL,Wetland
236,Bareland,Bareland,Wetland,NULL,NULL,Bareland
237,Bareland,Bareland,Wetland,NULL,Wetland,NULL
238,Bareland,Bareland,Wetland,NULL,Wetland,Grassland
239,Bareland,Bareland,Wetland,NULL,Wetland,Wetland
240,Bareland,Bareland,Wetland,NULL,Wetland,Bareland
241,Bareland,Bareland,Wetland,NULL,Wetland,Water
242,Bareland,Bareland,Wetland,Water,NULL,Bareland
243,Bareland,Bareland,Wetland,Water,NULL,Water
244,Bareland,Bareland,Wetland,Water,Wetland,Wetland
245,Bareland,Bareland,Wetland,Water,Wetland,Bareland
246,Bareland,Bareland,Wetland,Water,Wetland,Water
247,Bareland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
248,Bareland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
249,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL
250,Bareland,Bareland,Bareland,NULL,Non_Wetland,Grassland
251,Bareland,Bareland,Bareland,NULL,Non_Wetland,Cropland
252,Bareland,Bareland,Bareland,NULL,Non_Wetland,Wetland
253,Bareland,Bareland,Bareland,NULL,Non_Wetland,Bareland
254,Bareland,Bareland,Bareland,NULL,Non_Wetland,Built-up
255,Bareland,Bareland,Bareland,NULL,Non_Wetland,Water
256,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
257,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Water
258,Bareland,Bareland,Bareland,Water,Non_Wetland,NULL
259,Bareland,Bareland,Bareland,Water,Non_Wetland,Wetland
260,Bareland,Bareland,Bareland,Water,Non_Wetland,Bareland
261,Bareland,Bareland,Bareland,Water,Non_Wetland,Built-up
262,Bareland,Bareland,Bareland,Water,Non_Wetland,Water
263,Bareland,Bareland,Bareland,Water,Non_Wetland,Forest
264,Bareland,Bareland,Built-up,NULL,Non_Wetland,NULL
265,Bareland,Bareland,Built-up,NULL,Non_Wetland,Wetland
266,Bareland,Bareland,Built-up,NULL,Non_Wetland,Bareland
267,Bareland,Bareland,Built-up,NULL,Non_Wetland,Built-up
268,Bareland,Bareland,Built-up,NULL,Non_Wetland,Water
269,Bareland,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
270,Bareland,Bareland,Built-up,Non_Water,Non_Wetland,Water
271,Bareland,Bareland,Built-up,Water,Non_Wetland,Bareland
272,Bareland,Bareland,Built-up,Water,Non_Wetland,Water
273,Bareland,Bareland,Water,NULL,NULL,Bareland
274,Bareland,Bareland,Water,NULL,NULL,Water
275,Bareland,Bareland,Water,NULL,Water,Bareland
276,Bareland,Bareland,Water,NULL,Water,Water
277,Bareland,Bareland,Water,Non_Water,NULL,Bareland
278,Bareland,Bareland,Water,Non_Water,NULL,Water
279,Bareland,Bareland,Water,Non_Water,Water,Bareland
280,Bareland,Bareland,Water,Non_Water,Water,Water
281,Bareland,Bareland,Water,Water,NULL,Bareland
282,Bareland,Bareland,Water,Water,NULL,Water
283,Bareland,Bareland,Water,Water,Water,Bareland
284,Bareland,Bareland,Water,Water,Water,Water
285,Bareland,Bareland,Water,Water,Water,Forest
286,Bareland,Built-up,Grassland,NULL,Non_Wetland,Bareland
287,Bareland,Built-up,Wetland,NULL,Wetland,Bareland
288,Bareland,Built-up,Bareland,NULL,Non_Wetland,Bareland
289,Bareland,Built-up,Bareland,NULL,Non_Wetland,Built-up
290,Bareland,Built-up,Bareland,Water,Non_Wetland,Bareland
291,Bareland,Built-up,Built-up,NULL,Non_Wetland,Bareland
292,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL
293,Bareland,Water,Shrubland,NULL,Non_Wetland,Grassland
294,Bareland,Water,Shrubland,NULL,Non_Wetland,Cropland
295,Bareland,Water,Shrubland,NULL,Non_Wetland,Wetland
296,Bareland,Water,Shrubland,NULL,Non_Wetland,Bareland
297,Bareland,Water,Shrubland,Non_Water,Non_Wetland,Bareland
298,Bareland,Water,Shrubland,Non_Water,Non_Wetland,Water
299,Bareland,Water,Shrubland,Water,Non_Wetland,Bareland
300,Bareland,Water,Shrubland,Water,Non_Wetland,Water
301,Bareland,Water,Grassland,NULL,Non_Wetland,NULL
302,Bareland,Water,Grassland,NULL,Non_Wetland,Grassland
303,Bareland,Water,Grassland,NULL,Non_Wetland,Cropland
304,Bareland,Water,Grassland,NULL,Non_Wetland,Wetland
305,Bareland,Water,Grassland,NULL,Non_Wetland,Bareland
306,Bareland,Water,Grassland,NULL,Non_Wetland,Water
307,Bareland,Water,Grassland,Non_Water,Non_Wetland,Wetland
308,Bareland,Water,Grassland,Non_Water,Non_Wetland,Bareland
309,Bareland,Water,Grassland,Water,Non_Wetland,Cropland
310,Bareland,Water,Grassland,Water,Non_Wetland,Bareland
311,Bareland,Water,Grassland,Water,Non_Wetland,Water
312,Bareland,Water,Cropland,NULL,Non_Wetland,NULL
313,Bareland,Water,Cropland,NULL,Non_Wetland,Grassland
314,Bareland,Water,Cropland,NULL,Non_Wetland,Cropland
315,Bareland,Water,Cropland,NULL,Non_Wetland,Wetland
316,Bareland,Water,Cropland,NULL,Non_Wetland,Bareland
317,Bareland,Water,Cropland,NULL,Non_Wetland,Water
318,Bareland,Water,Cropland,Water,Non_Wetland,Cropland
319,Bareland,Water,Cropland,Water,Non_Wetland,Wetland
320,Bareland,Water,Cropland,Water,Non_Wetland,Bareland
321,Bareland,Water,Wetland,NULL,NULL,Wetland
322,Bareland,Water,Wetland,NULL,NULL,Bareland
323,Bareland,Water,Wetland,NULL,Wetland,NULL
324,Bareland,Water,Wetland,NULL,Wetland,Cropland
325,Bareland,Water,Wetland,NULL,Wetland,Wetland
326,Bareland,Water,Wetland,NULL,Wetland,Bareland
327,Bareland,Water,Wetland,NULL,Wetland,Water
328,Bareland,Water,Wetland,Non_Water,Wetland,Wetland
329,Bareland,Water,Wetland,Non_Water,Wetland,Bareland
330,Bareland,Water,Wetland,Water,NULL,Wetland
331,Bareland,Water,Wetland,Water,NULL,Bareland
332,Bareland,Water,Wetland,Water,NULL,Water
333,Bareland,Water,Wetland,Water,Wetland,Wetland
334,Bareland,Water,Wetland,Water,Wetland,Bareland
335,Bareland,Water,Wetland,Water,Wetland,Water
336,Bareland,Water,Bareland,NULL,Non_Wetland,NULL
337,Bareland,Water,Bareland,NULL,Non_Wetland,Grassland
338,Bareland,Water,Bareland,NULL,Non_Wetland,Cropland
339,Bareland,Water,Bareland,NULL,Non_Wetland,Wetland
340,Bareland,Water,Bareland,NULL,Non_Wetland,Bareland
341,Bareland,Water,Bareland,NULL,Non_Wetland,Water
342,Bareland,Water,Bareland,Non_Water,Non_Wetland,Bareland
343,Bareland,Water,Bareland,Non_Water,Non_Wetland,Water
344,Bareland,Water,Bareland,Water,Non_Wetland,NULL
345,Bareland,Water,Bareland,Water,Non_Wetland,Cropland
346,Bareland,Water,Bareland,Water,Non_Wetland,Wetland
347,Bareland,Water,Bareland,Water,Non_Wetland,Bareland
348,Bareland,Water,Bareland,Water,Non_Wetland,Water
349,Bareland,Water,Built-up,NULL,Non_Wetland,Wetland
350,Bareland,Water,Built-up,NULL,Non_Wetland,Bareland
351,Bareland,Water,Built-up,Non_Water,Non_Wetland,Bareland
352,Bareland,Water,Built-up,Non_Water,Non_Wetland,Water
353,Bareland,Water,Built-up,Water,Non_Wetland,Wetland
354,Bareland,Water,Built-up,Water,Non_Wetland,Bareland
355,Bareland,Water,Built-up,Water,Non_Wetland,Water
356,Bareland,Water,Water,NULL,NULL,Bareland
357,Bareland,Water,Water,NULL,NULL,Water
358,Bareland,Water,Water,NULL,Water,Bareland
359,Bareland,Water,Water,Non_Water,NULL,Bareland
360,Bareland,Water,Water,Non_Water,NULL,Water
361,Bareland,Water,Water,Non_Water,Water,Bareland
362,Bareland,Water,Water,Water,NULL,Wetland
363,Bareland,Water,Water,Water,NULL,Bareland
364,Bareland,Water,Water,Water,NULL,Water
365,Bareland,Water,Water,Water,Water,Wetland
366,Bareland,Water,Water,Water,Water,Bareland
367,Bareland,Water,Water,Water,Water,Water
368,Bareland,Forest,Wetland,NULL,NULL,NULL
369,Bareland,Forest,Wetland,NULL,NULL,Bareland
370,Bareland,Forest,Bareland,NULL,Non_Wetland,Bareland
371,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland
372,Water,NULL,Shrubland,NULL,Non_Wetland,Wetland
373,Water,NULL,Shrubland,NULL,Non_Wetland,Bareland
374,Water,NULL,Shrubland,Water,Non_Wetland,Bareland
375,Water,NULL,Grassland,NULL,Non_Wetland,NULL
376,Water,NULL,Grassland,NULL,Non_Wetland,Cropland
377,Water,NULL,Grassland,NULL,Non_Wetland,Wetland
378,Water,NULL,Grassland,NULL,Non_Wetland,Bareland
379,Water,NULL,Cropland,NULL,Non_Wetland,NULL
380,Water,NULL,Cropland,NULL,Non_Wetland,Grassland
381,Water,NULL,Cropland,NULL,Non_Wetland,Cropland
382,Water,NULL,Cropland,NULL,Non_Wetland,Wetland
383,Water,NULL,Cropland,NULL,Non_Wetland,Bareland
384,Water,NULL,Wetland,NULL,NULL,Bareland
385,Water,NULL,Wetland,NULL,NULL,Water
386,Water,NULL,Wetland,NULL,Wetland,Wetland
387,Water,NULL,Wetland,NULL,Wetland,Bareland
388,Water,NULL,Wetland,Water,NULL,Bareland
389,Water,NULL,Wetland,Water,Wetland,Bareland
390,Water,NULL,Wetland,Water,Wetland,Water
391,Water,NULL,Bareland,NULL,Non_Wetland,NULL
392,Water,NULL,Bareland,NULL,Non_Wetland,Grassland
393,Water,NULL,Bareland,NULL,Non_Wetland,Cropland
394,Water,NULL,Bareland,NULL,Non_Wetland,Wetland
395,Water,NULL,Bareland,NULL,Non_Wetland,Bareland
396,Water,NULL,Bareland,NULL,Non_Wetland,Water
397,Water,NULL,Bareland,NULL,Non_Wetland,Forest
398,Water,NULL,Bareland,Water,Non_Wetland,Wetland
399,Water,NULL,Bareland,Water,Non_Wetland,Bareland
400,Water,NULL,Bareland,Water,Non_Wetland,Water
401,Water,NULL,Built-up,NULL,Non_Wetland,NULL
402,Water,NULL,Built-up,NULL,Non_Wetland,Bareland
403,Water,NULL,Built-up,Water,Non_Wetland,Bareland
404,Water,NULL,Built-up,Water,Non_Wetland,Water
405,Water,NULL,Water,NULL,NULL,NULL
406,Water,NULL,Water,NULL,NULL,Bareland
407,Water,NULL,Water,NULL,NULL,Water
408,Water,NULL,Water,NULL,Water,Bareland
409,Water,NULL,Water,NULL,Water,Water
410,Water,NULL,Water,Water,NULL,Bareland
411,Water,NULL,Water,Water,NULL,Water
412,Water,NULL,Water,Water,Water,Bareland
413,Water,NULL,Water,Water,Water,Water
414,Water,Cropland,Wetland,Water,Wetland,Wetland
415,Water,Wetland,Grassland,NULL,Non_Wetland,Wetland
416,Water,Wetland,Cropland,NULL,Non_Wetland,Cropland
417,Water,Wetland,Cropland,NULL,Non_Wetland,Wetland
418,Water,Wetland,Cropland,Water,Non_Wetland,Cropland
419,Water,Wetland,Cropland,Water,Non_Wetland,Wetland
420,Water,Wetland,Wetland,NULL,Wetland,Wetland
421,Water,Wetland,Wetland,Water,Wetland,Bareland
422,Water,Wetland,Bareland,NULL,Non_Wetland,NULL
423,Water,Wetland,Bareland,NULL,Non_Wetland,Cropland
424,Water,Wetland,Bareland,NULL,Non_Wetland,Wetland
425,Water,Wetland,Bareland,NULL,Non_Wetland,Bareland
426,Water,Wetland,Bareland,Water,Non_Wetland,Cropland
427,Water,Wetland,Bareland,Water,Non_Wetland,Wetland
428,Water,Wetland,Bareland,Water,Non_Wetland,Bareland
429,Water,Wetland,Built-up,NULL,Non_Wetland,Wetland
430,Water,Bareland,NULL,NULL,Non_Wetland,Bareland
431,Water,Bareland,Shrubland,NULL,Non_Wetland,Bareland
432,Water,Bareland,Shrubland,NULL,Non_Wetland,Water
433,Water,Bareland,Shrubland,Water,Non_Wetland,Bareland
434,Water,Bareland,Grassland,NULL,Non_Wetland,NULL
435,Water,Bareland,Grassland,NULL,Non_Wetland,Wetland
436,Water,Bareland,Grassland,NULL,Non_Wetland,Bareland
437,Water,Bareland,Grassland,NULL,Non_Wetland,Water
438,Water,Bareland,Grassland,Water,Non_Wetland,Bareland
439,Water,Bareland,Cropland,NULL,Non_Wetland,Bareland
440,Water,Bareland,Cropland,Water,Non_Wetland,Bareland
441,Water,Bareland,Wetland,NULL,NULL,Bareland
