Value,AFRICA_2024_DynamicWorld_2024_36PUB_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PUB_M_R,AFRICA_2024_GLC_FCS30D_2022_36PUB_M_R,AFRICA_2024_GSW_Yearly_2021_36PUB_M_R,AFRICA_2024_GWL_FCS30D_2022_36PUB_M_R,AFRICA_2024_WorldCover_2021_36PUB_M_R
118,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
119,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
120,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
121,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
122,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Cropland
123,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Bareland
124,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Built-up
125,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
126,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
127,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
128,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
129,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
130,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
131,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
132,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
133,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
134,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
135,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
136,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
137,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
138,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
139,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
140,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
141,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
142,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
143,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Cropland
144,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
145,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
146,NULL,Forest,NULL,NULL,Non_Wetland,NULL
147,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
148,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
149,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
150,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
151,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
152,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
153,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL
154,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
155,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
156,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
157,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL
158,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
159,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
160,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
161,NULL,Forest,Forest,NULL,Non_Wetland,NULL
162,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
163,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
164,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
165,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
166,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
167,Grassland,NULL,Cropland,Water,Non_Wetland,Cropland
168,Grassland,NULL,Wetland,NULL,Wetland,Wetland
169,Grassland,NULL,Wetland,Non_Water,Wetland,Cropland
170,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
171,Grassland,NULL,Wetland,Water,Wetland,Cropland
172,Grassland,NULL,Wetland,Water,Wetland,Wetland
173,Grassland,NULL,Wetland,Water,Wetland,Water
174,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL
175,Grassland,NULL,Forest,Non_Water,Non_Wetland,Cropland
176,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland
177,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
178,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,Wetland
179,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
180,Grassland,Cropland,Wetland,NULL,Wetland,NULL
181,Grassland,Cropland,Wetland,NULL,Wetland,Grassland
182,Grassland,Cropland,Wetland,NULL,Wetland,Cropland
183,Grassland,Cropland,Wetland,NULL,Wetland,Wetland
184,Grassland,Cropland,Wetland,NULL,Wetland,Forest
185,Grassland,Cropland,Wetland,Non_Water,Wetland,Cropland
186,Grassland,Cropland,Wetland,Non_Water,Wetland,Wetland
187,Grassland,Cropland,Wetland,Non_Water,Wetland,Forest
188,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
189,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Forest
190,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Cropland
191,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
192,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
193,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Grassland
194,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Cropland
195,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,Wetland
196,Grassland,Wetland,Grassland,Water,Non_Wetland,Cropland
197,Grassland,Wetland,Grassland,Water,Non_Wetland,Wetland
198,Grassland,Wetland,Grassland,Water,Non_Wetland,Water
199,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Cropland
200,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,Wetland
201,Grassland,Wetland,Cropland,Water,Non_Wetland,Cropland
202,Grassland,Wetland,Cropland,Water,Non_Wetland,Wetland
203,Grassland,Wetland,Cropland,Water,Non_Wetland,Water
204,Grassland,Wetland,Wetland,NULL,Wetland,Wetland
205,Grassland,Wetland,Wetland,NULL,Wetland,Forest
206,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL
207,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland
208,Grassland,Wetland,Wetland,Non_Water,Wetland,Cropland
209,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland
210,Grassland,Wetland,Wetland,Non_Water,Wetland,Water
211,Grassland,Wetland,Wetland,Non_Water,Wetland,Forest
212,Grassland,Wetland,Wetland,Water,Wetland,Cropland
213,Grassland,Wetland,Wetland,Water,Wetland,Wetland
214,Grassland,Wetland,Wetland,Water,Wetland,Water
215,Grassland,Wetland,Wetland,Water,Wetland,Forest
216,Grassland,Wetland,Bareland,Water,Non_Wetland,Cropland
217,Grassland,Wetland,Bareland,Water,Non_Wetland,Water
218,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Cropland
219,Grassland,Wetland,Forest,Non_Water,Non_Wetland,Wetland
220,Grassland,Water,Wetland,Non_Water,Wetland,Wetland
221,Grassland,Water,Wetland,Water,Wetland,Cropland
222,Grassland,Water,Wetland,Water,Wetland,Wetland
223,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
224,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
225,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
226,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
227,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
228,Cropland,NULL,NULL,Non_Water,Non_Wetland,Grassland
229,Cropland,NULL,NULL,Non_Water,Non_Wetland,Cropland
230,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
231,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
232,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
233,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland
234,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
235,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
236,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
237,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
238,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
239,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
240,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
241,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
242,Cropland,NULL,Shrubland,Water,Non_Wetland,Cropland
243,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
244,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
245,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
246,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
247,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
248,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
249,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL
250,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
251,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
252,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
253,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Built-up
254,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Forest
255,Cropland,NULL,Grassland,Water,Non_Wetland,Grassland
256,Cropland,NULL,Grassland,Water,Non_Wetland,Cropland
257,Cropland,NULL,Grassland,Water,Non_Wetland,Bareland
258,Cropland,NULL,Grassland,Water,Non_Wetland,Water
259,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
260,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
261,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
262,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland
263,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
264,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
265,Cropland,NULL,Cropland,NULL,Non_Wetland,Water
266,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
267,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL
268,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
269,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
270,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Bareland
271,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Water
272,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Forest
273,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
274,Cropland,NULL,Cropland,Water,Non_Wetland,Cropland
275,Cropland,NULL,Cropland,Water,Non_Wetland,Bareland
276,Cropland,NULL,Wetland,NULL,Wetland,Grassland
277,Cropland,NULL,Wetland,NULL,Wetland,Cropland
278,Cropland,NULL,Wetland,NULL,Wetland,Wetland
279,Cropland,NULL,Wetland,NULL,Wetland,Forest
280,Cropland,NULL,Wetland,Non_Water,Wetland,NULL
281,Cropland,NULL,Wetland,Non_Water,Wetland,Grassland
282,Cropland,NULL,Wetland,Non_Water,Wetland,Cropland
283,Cropland,NULL,Wetland,Non_Water,Wetland,Wetland
284,Cropland,NULL,Wetland,Non_Water,Wetland,Forest
285,Cropland,NULL,Wetland,Water,Wetland,Grassland
286,Cropland,NULL,Wetland,Water,Wetland,Cropland
287,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
288,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
289,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
290,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
291,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
292,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
293,Cropland,NULL,Bareland,Non_Water,Non_Wetland,Cropland
294,Cropland,NULL,Bareland,Water,Non_Wetland,Grassland
295,Cropland,NULL,Bareland,Water,Non_Wetland,Cropland
296,Cropland,NULL,Bareland,Water,Non_Wetland,Bareland
297,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
298,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
299,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
300,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
301,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
302,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
303,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
304,Cropland,NULL,Built-up,Non_Water,Non_Wetland,Cropland
305,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
306,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
307,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
308,Cropland,NULL,Forest,Non_Water,Non_Wetland,Grassland
309,Cropland,NULL,Forest,Non_Water,Non_Wetland,Cropland
310,Cropland,NULL,Forest,Non_Water,Non_Wetland,Wetland
311,Cropland,NULL,Forest,Non_Water,Non_Wetland,Forest
312,Cropland,NULL,Forest,Water,Non_Wetland,Cropland
313,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
314,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
315,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
316,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland
317,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
318,Cropland,Cropland,NULL,Non_Water,Non_Wetland,Grassland
319,Cropland,Cropland,NULL,Non_Water,Non_Wetland,Cropland
320,Cropland,Cropland,NULL,Water,Non_Wetland,Grassland
321,Cropland,Cropland,NULL,Water,Non_Wetland,Cropland
322,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
323,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
324,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
325,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
326,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
327,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
328,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
329,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
330,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland
331,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Bareland
332,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Built-up
333,Cropland,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
334,Cropland,Cropland,Shrubland,Water,Non_Wetland,Grassland
335,Cropland,Cropland,Shrubland,Water,Non_Wetland,Cropland
336,Cropland,Cropland,Shrubland,Water,Non_Wetland,Forest
337,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
338,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
339,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
340,Cropland,Cropland,Grassland,NULL,Non_Wetland,Wetland
341,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
342,Cropland,Cropland,Grassland,NULL,Non_Wetland,Built-up
343,Cropland,Cropland,Grassland,NULL,Non_Wetland,Water
344,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
345,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,NULL
346,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
347,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
348,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Wetland
349,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Bareland
350,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Built-up
351,Cropland,Cropland,Grassland,Non_Water,Non_Wetland,Forest
352,Cropland,Cropland,Grassland,Water,Non_Wetland,Grassland
353,Cropland,Cropland,Grassland,Water,Non_Wetland,Cropland
354,Cropland,Cropland,Grassland,Water,Non_Wetland,Wetland
355,Cropland,Cropland,Grassland,Water,Non_Wetland,Bareland
356,Cropland,Cropland,Grassland,Water,Non_Wetland,Forest
357,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
358,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
359,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
360,Cropland,Cropland,Cropland,NULL,Non_Wetland,Wetland
361,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland
362,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up
363,Cropland,Cropland,Cropland,NULL,Non_Wetland,Water
364,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
365,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL
366,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
367,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
368,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Wetland
369,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Bareland
370,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Forest
371,Cropland,Cropland,Cropland,Water,Non_Wetland,Grassland
372,Cropland,Cropland,Cropland,Water,Non_Wetland,Cropland
373,Cropland,Cropland,Cropland,Water,Non_Wetland,Wetland
374,Cropland,Cropland,Cropland,Water,Non_Wetland,Bareland
375,Cropland,Cropland,Cropland,Water,Non_Wetland,Forest
376,Cropland,Cropland,Wetland,NULL,Wetland,NULL
377,Cropland,Cropland,Wetland,NULL,Wetland,Grassland
378,Cropland,Cropland,Wetland,NULL,Wetland,Cropland
379,Cropland,Cropland,Wetland,NULL,Wetland,Wetland
380,Cropland,Cropland,Wetland,NULL,Wetland,Forest
381,Cropland,Cropland,Wetland,Non_Water,Wetland,NULL
382,Cropland,Cropland,Wetland,Non_Water,Wetland,Grassland
383,Cropland,Cropland,Wetland,Non_Water,Wetland,Cropland
384,Cropland,Cropland,Wetland,Non_Water,Wetland,Wetland
385,Cropland,Cropland,Wetland,Non_Water,Wetland,Forest
386,Cropland,Cropland,Wetland,Water,Wetland,Cropland
387,Cropland,Cropland,Wetland,Water,Wetland,Wetland
388,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
389,Cropland,Cropland,Lichens_and_Mosses,Non_Water,Non_Wetland,Cropland
390,Cropland,Cropland,Bareland,NULL,Non_Wetland,Cropland
391,Cropland,Cropland,Bareland,Water,Non_Wetland,Grassland
392,Cropland,Cropland,Bareland,Water,Non_Wetland,Cropland
393,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL
394,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
395,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland
396,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland
397,Cropland,Cropland,Built-up,NULL,Non_Wetland,Built-up
398,Cropland,Cropland,Built-up,NULL,Non_Wetland,Forest
399,Cropland,Cropland,Built-up,Non_Water,Non_Wetland,Grassland
400,Cropland,Cropland,Built-up,Non_Water,Non_Wetland,Cropland
401,Cropland,Cropland,Built-up,Non_Water,Non_Wetland,Built-up
402,Cropland,Cropland,Built-up,Water,Non_Wetland,Cropland
403,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
404,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
405,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland
406,Cropland,Cropland,Forest,NULL,Non_Wetland,Wetland
407,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
408,Cropland,Cropland,Forest,Non_Water,Non_Wetland,NULL
409,Cropland,Cropland,Forest,Non_Water,Non_Wetland,Cropland
410,Cropland,Cropland,Forest,Non_Water,Non_Wetland,Wetland
411,Cropland,Cropland,Forest,Non_Water,Non_Wetland,Forest
