Value,AFRICA_2024_DynamicWorld_2024_36PTT_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PTT_M_R,AFRICA_2024_GLC_FCS30D_2022_36PTT_M_R,AFRICA_2024_GSW_Yearly_2021_36PTT_M_R,AFRICA_2024_GWL_FCS30D_2022_36PTT_M_R,AFRICA_2024_WorldCover_2021_36PTT_M_R
119,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
120,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
121,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
122,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
123,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
124,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
125,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
126,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
127,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
128,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
129,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
130,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
131,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
132,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
133,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
134,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
135,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
136,NULL,Built-up,Wetland,NULL,Wetland,Grassland
137,NULL,Built-up,Wetland,NULL,Wetland,Forest
138,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
139,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
140,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
141,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
142,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
143,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
144,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
145,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
146,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
147,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
148,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
149,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
150,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
151,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
152,NULL,Water,Cropland,NULL,Non_Wetland,NULL
153,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
154,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
155,NULL,Water,Forest,NULL,Non_Wetland,NULL
156,NULL,Water,Forest,NULL,Non_Wetland,Grassland
157,NULL,Forest,NULL,NULL,Non_Wetland,NULL
158,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
159,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
160,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
161,NULL,Forest,NULL,NULL,Non_Wetland,Forest
162,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
163,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
164,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
165,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
166,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
167,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
168,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
169,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
170,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
171,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
172,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
173,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
174,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
175,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
176,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
177,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
178,NULL,Forest,Wetland,NULL,Wetland,NULL
179,NULL,Forest,Wetland,NULL,Wetland,Grassland
180,NULL,Forest,Wetland,NULL,Wetland,Forest
181,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
182,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
183,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
184,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland
185,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
186,NULL,Forest,Forest,NULL,Non_Wetland,NULL
187,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
188,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
189,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
190,NULL,Forest,Forest,NULL,Non_Wetland,Forest
191,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
192,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
193,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
194,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
195,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
196,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
197,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
198,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
199,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
200,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
201,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
202,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
203,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
204,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
205,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
206,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland
207,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
208,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
209,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
210,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
211,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
212,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
213,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
214,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
215,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
216,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
217,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
218,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
219,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
220,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland
221,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
222,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland
223,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
224,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
225,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
226,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland
227,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland
228,Cropland,NULL,NULL,NULL,Non_Wetland,Forest
229,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
230,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
231,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
232,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland
233,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
234,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
235,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
236,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
237,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
238,Cropland,NULL,Shrubland,Water,Non_Wetland,Grassland
239,Cropland,NULL,Shrubland,Water,Non_Wetland,Cropland
240,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
241,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
242,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
243,Cropland,NULL,Grassland,NULL,Non_Wetland,Wetland
244,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
245,Cropland,NULL,Grassland,NULL,Non_Wetland,Built-up
246,Cropland,NULL,Grassland,NULL,Non_Wetland,Water
247,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
248,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
249,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
250,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
251,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
252,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland
253,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
254,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
255,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL
256,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
257,Cropland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
258,Cropland,NULL,Cropland,Water,Non_Wetland,Grassland
259,Cropland,NULL,Cropland,Water,Non_Wetland,Cropland
260,Cropland,NULL,Cropland,Water,Non_Wetland,Wetland
261,Cropland,NULL,Cropland,Water,Non_Wetland,Bareland
262,Cropland,NULL,Wetland,NULL,Wetland,NULL
263,Cropland,NULL,Wetland,NULL,Wetland,Grassland
264,Cropland,NULL,Wetland,NULL,Wetland,Forest
265,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
266,Cropland,NULL,Bareland,NULL,Non_Wetland,Cropland
267,Cropland,NULL,Bareland,NULL,Non_Wetland,Wetland
268,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
269,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
270,Cropland,NULL,Built-up,NULL,Non_Wetland,Cropland
271,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
272,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
273,Cropland,NULL,Built-up,NULL,Non_Wetland,Forest
274,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
275,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
276,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland
277,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland
278,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland
279,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
280,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
281,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
282,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
283,Cropland,Cropland,NULL,NULL,Non_Wetland,Wetland
284,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest
285,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
286,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
287,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
288,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Wetland
289,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
290,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
291,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Water
292,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Forest
293,Cropland,Cropland,Shrubland,Water,Non_Wetland,Bareland
294,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
295,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
296,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
297,Cropland,Cropland,Grassland,NULL,Non_Wetland,Wetland
298,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
299,Cropland,Cropland,Grassland,NULL,Non_Wetland,Built-up
300,Cropland,Cropland,Grassland,NULL,Non_Wetland,Forest
301,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
302,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
303,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
304,Cropland,Cropland,Cropland,NULL,Non_Wetland,Wetland
305,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland
306,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up
307,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest
308,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
309,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
310,Cropland,Cropland,Cropland,Water,Non_Wetland,Grassland
311,Cropland,Cropland,Cropland,Water,Non_Wetland,Cropland
312,Cropland,Cropland,Cropland,Water,Non_Wetland,Wetland
313,Cropland,Cropland,Cropland,Water,Non_Wetland,Bareland
314,Cropland,Cropland,Wetland,NULL,Wetland,NULL
315,Cropland,Cropland,Wetland,NULL,Wetland,Forest
316,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland
317,Cropland,Cropland,Bareland,NULL,Non_Wetland,Forest
318,Cropland,Cropland,Bareland,Water,Non_Wetland,Cropland
319,Cropland,Cropland,Bareland,Water,Non_Wetland,Wetland
320,Cropland,Cropland,Bareland,Water,Non_Wetland,Bareland
321,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL
322,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland
323,Cropland,Cropland,Built-up,NULL,Non_Wetland,Cropland
324,Cropland,Cropland,Built-up,NULL,Non_Wetland,Bareland
325,Cropland,Cropland,Built-up,NULL,Non_Wetland,Built-up
326,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL
327,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
328,Cropland,Cropland,Forest,NULL,Non_Wetland,Cropland
329,Cropland,Cropland,Forest,NULL,Non_Wetland,Wetland
330,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
331,Cropland,Bareland,NULL,NULL,Non_Wetland,Cropland
332,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL
333,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
334,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Cropland
335,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Bareland
336,Cropland,Bareland,Shrubland,NULL,Non_Wetland,Forest
337,Cropland,Bareland,Grassland,NULL,Non_Wetland,Grassland
338,Cropland,Bareland,Grassland,NULL,Non_Wetland,Cropland
339,Cropland,Bareland,Grassland,NULL,Non_Wetland,Bareland
340,Cropland,Bareland,Grassland,NULL,Non_Wetland,Forest
341,Cropland,Bareland,Cropland,NULL,Non_Wetland,Grassland
342,Cropland,Bareland,Built-up,NULL,Non_Wetland,Grassland
343,Cropland,Bareland,Forest,NULL,Non_Wetland,Grassland
344,Cropland,Built-up,NULL,NULL,Non_Wetland,Grassland
345,Cropland,Built-up,NULL,NULL,Non_Wetland,Cropland
346,Cropland,Built-up,NULL,NULL,Non_Wetland,Forest
347,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL
348,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
349,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Cropland
350,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Built-up
351,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Forest
352,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL
353,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
354,Cropland,Built-up,Grassland,NULL,Non_Wetland,Cropland
355,Cropland,Built-up,Grassland,NULL,Non_Wetland,Bareland
356,Cropland,Built-up,Grassland,NULL,Non_Wetland,Built-up
357,Cropland,Built-up,Grassland,NULL,Non_Wetland,Forest
358,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland
359,Cropland,Built-up,Cropland,NULL,Non_Wetland,Cropland
360,Cropland,Built-up,Cropland,NULL,Non_Wetland,Forest
361,Cropland,Built-up,Built-up,NULL,Non_Wetland,Grassland
362,Cropland,Built-up,Built-up,NULL,Non_Wetland,Built-up
363,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL
364,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland
365,Cropland,Built-up,Forest,NULL,Non_Wetland,Cropland
366,Cropland,Built-up,Forest,NULL,Non_Wetland,Forest
367,Cropland,Water,Shrubland,NULL,Non_Wetland,Grassland
368,Cropland,Water,Shrubland,NULL,Non_Wetland,Bareland
369,Cropland,Water,Shrubland,NULL,Non_Wetland,Forest
370,Cropland,Water,Grassland,NULL,Non_Wetland,Grassland
371,Cropland,Water,Grassland,NULL,Non_Wetland,Cropland
372,Cropland,Water,Grassland,NULL,Non_Wetland,Forest
373,Cropland,Water,Cropland,NULL,Non_Wetland,Grassland
374,Cropland,Water,Cropland,NULL,Non_Wetland,Cropland
375,Cropland,Forest,NULL,NULL,Non_Wetland,NULL
376,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland
377,Cropland,Forest,NULL,NULL,Non_Wetland,Cropland
378,Cropland,Forest,NULL,NULL,Non_Wetland,Forest
379,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
380,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
381,Cropland,Forest,Shrubland,NULL,Non_Wetland,Cropland
382,Cropland,Forest,Shrubland,NULL,Non_Wetland,Bareland
383,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest
384,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL
385,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland
386,Cropland,Forest,Grassland,NULL,Non_Wetland,Cropland
387,Cropland,Forest,Grassland,NULL,Non_Wetland,Bareland
388,Cropland,Forest,Grassland,NULL,Non_Wetland,Forest
389,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL
390,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland
391,Cropland,Forest,Cropland,NULL,Non_Wetland,Cropland
392,Cropland,Forest,Cropland,NULL,Non_Wetland,Bareland
393,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest
394,Cropland,Forest,Wetland,NULL,Wetland,Grassland
395,Cropland,Forest,Wetland,NULL,Wetland,Forest
396,Cropland,Forest,Bareland,NULL,Non_Wetland,Grassland
397,Cropland,Forest,Built-up,NULL,Non_Wetland,Grassland
398,Cropland,Forest,Built-up,NULL,Non_Wetland,Cropland
399,Cropland,Forest,Built-up,NULL,Non_Wetland,Forest
400,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
401,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
402,Cropland,Forest,Forest,NULL,Non_Wetland,Cropland
403,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
404,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL
405,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
406,Wetland,NULL,Shrubland,Water,Non_Wetland,Cropland
407,Wetland,NULL,Shrubland,Water,Non_Wetland,Wetland
408,Wetland,NULL,Shrubland,Water,Non_Wetland,Water
409,Wetland,NULL,Cropland,NULL,Non_Wetland,Grassland
410,Wetland,NULL,Cropland,NULL,Non_Wetland,Cropland
411,Wetland,NULL,Cropland,NULL,Non_Wetland,Water
412,Wetland,NULL,Cropland,Water,Non_Wetland,Grassland
413,Wetland,NULL,Cropland,Water,Non_Wetland,Cropland
414,Wetland,NULL,Cropland,Water,Non_Wetland,Wetland
415,Wetland,NULL,Cropland,Water,Non_Wetland,Water
416,Wetland,NULL,Built-up,NULL,Non_Wetland,Grassland
417,Wetland,Cropland,Shrubland,Water,Non_Wetland,Grassland
418,Wetland,Cropland,Shrubland,Water,Non_Wetland,Cropland
