Value,AFRICA_2024_DynamicWorld_2024_35NPF_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_35NPF_M_R,AFRICA_2024_GLC_FCS30D_2022_35NPF_M_R,AFRICA_2024_GSW_Yearly_2021_35NPF_M_R,AFRICA_2024_GWL_FCS30D_2022_35NPF_M_R,AFRICA_2024_WorldCover_2021_35NPF_M_R
120,NULL,Forest,Wetland,Non_Water,Wetland,Grassland
121,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
122,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
123,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
124,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
125,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
126,NULL,Forest,Forest,NULL,Non_Wetland,NULL
127,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
128,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
129,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
130,NULL,Forest,Forest,NULL,Non_Wetland,Forest
131,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL
132,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
133,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
134,NULL,Forest,Forest,Water,Non_Wetland,NULL
135,NULL,Forest,Forest,Water,Non_Wetland,Grassland
136,NULL,Forest,Forest,Water,Non_Wetland,Forest
137,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
138,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
139,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
140,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
141,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
142,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
143,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
144,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
145,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
146,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
147,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
148,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
149,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
150,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
151,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
152,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
153,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
154,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
155,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
156,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
157,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
158,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
159,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL
160,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
161,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest
162,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL
163,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
164,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
165,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
166,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
167,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland
168,Grassland,Wetland,Forest,NULL,Non_Wetland,Wetland
169,Grassland,Forest,NULL,NULL,Non_Wetland,NULL
170,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland
171,Grassland,Forest,NULL,NULL,Non_Wetland,Wetland
172,Grassland,Forest,NULL,NULL,Non_Wetland,Forest
173,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
174,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
175,Grassland,Forest,Shrubland,NULL,Non_Wetland,Wetland
176,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
177,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
178,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL
179,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
180,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest
181,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
182,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
183,Grassland,Forest,Cropland,NULL,Non_Wetland,Wetland
184,Grassland,Forest,Cropland,NULL,Non_Wetland,Forest
185,Grassland,Forest,Wetland,NULL,Wetland,Grassland
186,Grassland,Forest,Bareland,NULL,Non_Wetland,Forest
187,Grassland,Forest,Forest,NULL,Non_Wetland,NULL
188,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
189,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland
190,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
191,Grassland,Forest,Forest,Non_Water,Non_Wetland,Grassland
192,Grassland,Forest,Forest,Non_Water,Non_Wetland,Wetland
193,Grassland,Forest,Forest,Non_Water,Non_Wetland,Forest
194,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
195,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
196,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up
197,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
198,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
199,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
200,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up
201,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
202,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
203,Cropland,NULL,Forest,NULL,Non_Wetland,Built-up
204,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
205,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
206,Cropland,Built-up,NULL,NULL,Non_Wetland,Grassland
207,Cropland,Built-up,NULL,NULL,Non_Wetland,Built-up
208,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Built-up
209,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL
210,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland
211,Cropland,Built-up,Cropland,NULL,Non_Wetland,Built-up
212,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL
213,Cropland,Built-up,Built-up,NULL,Non_Wetland,Grassland
214,Cropland,Built-up,Built-up,NULL,Non_Wetland,Built-up
215,Cropland,Built-up,Forest,NULL,Non_Wetland,Forest
216,Cropland,Forest,Cropland,NULL,Non_Wetland,Built-up
217,Cropland,Forest,Forest,NULL,Non_Wetland,NULL
218,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
219,Cropland,Forest,Forest,NULL,Non_Wetland,Wetland
220,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
221,Wetland,NULL,NULL,NULL,Non_Wetland,NULL
222,Wetland,NULL,NULL,NULL,Non_Wetland,Grassland
223,Wetland,NULL,NULL,NULL,Non_Wetland,Forest
224,Wetland,NULL,NULL,Non_Water,Non_Wetland,Grassland
225,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL
226,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland
227,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland
228,Wetland,NULL,Shrubland,NULL,Non_Wetland,Forest
229,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
230,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
231,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
232,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
233,Wetland,NULL,Shrubland,Water,Non_Wetland,Grassland
234,Wetland,NULL,Shrubland,Water,Non_Wetland,Wetland
235,Wetland,NULL,Shrubland,Water,Non_Wetland,Forest
236,Wetland,NULL,Wetland,NULL,Wetland,Grassland
237,Wetland,NULL,Wetland,NULL,Wetland,Forest
238,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland
239,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland
240,Wetland,NULL,Bareland,NULL,Non_Wetland,Grassland
241,Wetland,NULL,Bareland,NULL,Non_Wetland,Forest
242,Wetland,NULL,Forest,NULL,Non_Wetland,NULL
243,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland
244,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland
245,Wetland,NULL,Forest,NULL,Non_Wetland,Forest
246,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL
247,Wetland,NULL,Forest,Non_Water,Non_Wetland,Grassland
248,Wetland,NULL,Forest,Non_Water,Non_Wetland,Wetland
249,Wetland,NULL,Forest,Non_Water,Non_Wetland,Forest
250,Wetland,NULL,Forest,Water,Non_Wetland,NULL
251,Wetland,NULL,Forest,Water,Non_Wetland,Grassland
252,Wetland,NULL,Forest,Water,Non_Wetland,Forest
253,Wetland,Wetland,NULL,NULL,Non_Wetland,Wetland
254,Wetland,Wetland,NULL,NULL,Non_Wetland,Forest
255,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
256,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Wetland
257,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Forest
258,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
259,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
260,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
261,Wetland,Wetland,Shrubland,Water,Non_Wetland,Grassland
262,Wetland,Wetland,Grassland,NULL,Non_Wetland,Wetland
263,Wetland,Wetland,Wetland,NULL,Wetland,Grassland
264,Wetland,Wetland,Wetland,NULL,Wetland,Wetland
265,Wetland,Wetland,Wetland,NULL,Wetland,Forest
266,Wetland,Wetland,Wetland,Non_Water,Wetland,Grassland
267,Wetland,Wetland,Bareland,NULL,Non_Wetland,Forest
268,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL
269,Wetland,Wetland,Forest,NULL,Non_Wetland,Grassland
270,Wetland,Wetland,Forest,NULL,Non_Wetland,Wetland
271,Wetland,Wetland,Forest,NULL,Non_Wetland,Forest
272,Wetland,Wetland,Forest,Non_Water,Non_Wetland,NULL
273,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Grassland
274,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Wetland
275,Wetland,Water,Shrubland,NULL,Non_Wetland,Grassland
276,Wetland,Water,Shrubland,NULL,Non_Wetland,Forest
277,Wetland,Water,Shrubland,Non_Water,Non_Wetland,Grassland
278,Wetland,Water,Shrubland,Non_Water,Non_Wetland,Forest
279,Wetland,Water,Shrubland,Water,Non_Wetland,Grassland
280,Wetland,Water,Wetland,NULL,Wetland,NULL
281,Wetland,Water,Wetland,NULL,Wetland,Forest
282,Wetland,Water,Wetland,Non_Water,Wetland,Grassland
283,Wetland,Water,Wetland,Non_Water,Wetland,Forest
284,Wetland,Water,Forest,NULL,Non_Wetland,Grassland
285,Wetland,Water,Forest,NULL,Non_Wetland,Forest
286,Wetland,Water,Forest,Non_Water,Non_Wetland,Grassland
287,Wetland,Forest,NULL,NULL,Non_Wetland,NULL
288,Wetland,Forest,NULL,NULL,Non_Wetland,Grassland
289,Wetland,Forest,NULL,NULL,Non_Wetland,Wetland
290,Wetland,Forest,NULL,NULL,Non_Wetland,Forest
291,Wetland,Forest,NULL,Non_Water,Non_Wetland,NULL
292,Wetland,Forest,NULL,Non_Water,Non_Wetland,Grassland
293,Wetland,Forest,NULL,Water,Non_Wetland,Grassland
294,Wetland,Forest,Shrubland,NULL,Non_Wetland,NULL
295,Wetland,Forest,Shrubland,NULL,Non_Wetland,Grassland
296,Wetland,Forest,Shrubland,NULL,Non_Wetland,Wetland
297,Wetland,Forest,Shrubland,NULL,Non_Wetland,Forest
298,Wetland,Forest,Shrubland,Non_Water,Non_Wetland,NULL
299,Wetland,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
300,Wetland,Forest,Shrubland,Non_Water,Non_Wetland,Wetland
301,Wetland,Forest,Shrubland,Non_Water,Non_Wetland,Forest
302,Wetland,Forest,Shrubland,Water,Non_Wetland,Grassland
303,Wetland,Forest,Grassland,NULL,Non_Wetland,Grassland
304,Wetland,Forest,Grassland,NULL,Non_Wetland,Wetland
305,Wetland,Forest,Grassland,NULL,Non_Wetland,Forest
306,Wetland,Forest,Cropland,NULL,Non_Wetland,Wetland
307,Wetland,Forest,Cropland,NULL,Non_Wetland,Forest
308,Wetland,Forest,Wetland,NULL,Wetland,NULL
309,Wetland,Forest,Wetland,NULL,Wetland,Grassland
310,Wetland,Forest,Wetland,NULL,Wetland,Wetland
311,Wetland,Forest,Wetland,NULL,Wetland,Forest
312,Wetland,Forest,Bareland,NULL,Non_Wetland,Grassland
313,Wetland,Forest,Bareland,NULL,Non_Wetland,Wetland
314,Wetland,Forest,Forest,NULL,Non_Wetland,NULL
315,Wetland,Forest,Forest,NULL,Non_Wetland,Grassland
316,Wetland,Forest,Forest,NULL,Non_Wetland,Wetland
317,Wetland,Forest,Forest,NULL,Non_Wetland,Forest
318,Wetland,Forest,Forest,Non_Water,Non_Wetland,NULL
319,Wetland,Forest,Forest,Non_Water,Non_Wetland,Grassland
320,Wetland,Forest,Forest,Non_Water,Non_Wetland,Wetland
321,Wetland,Forest,Forest,Non_Water,Non_Wetland,Forest
322,Wetland,Forest,Forest,Water,Non_Wetland,NULL
323,Wetland,Forest,Forest,Water,Non_Wetland,Grassland
324,Wetland,Forest,Forest,Water,Non_Wetland,Wetland
325,Wetland,Forest,Forest,Water,Non_Wetland,Forest
326,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
327,Bareland,NULL,Shrubland,NULL,Non_Wetland,Built-up
328,Bareland,Forest,Forest,NULL,Non_Wetland,Grassland
329,Water,NULL,NULL,NULL,Non_Wetland,Grassland
330,Water,NULL,NULL,Non_Water,Non_Wetland,Grassland
331,Water,NULL,Shrubland,NULL,Non_Wetland,NULL
332,Water,NULL,Shrubland,NULL,Non_Wetland,Grassland
333,Water,NULL,Shrubland,NULL,Non_Wetland,Forest
334,Water,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
335,Water,NULL,Shrubland,Non_Water,Non_Wetland,Forest
336,Water,NULL,Shrubland,Water,Non_Wetland,Grassland
337,Water,NULL,Shrubland,Water,Non_Wetland,Wetland
338,Water,NULL,Wetland,NULL,Wetland,Grassland
339,Water,NULL,Wetland,Non_Water,Wetland,Forest
340,Water,NULL,Forest,NULL,Non_Wetland,NULL
341,Water,NULL,Forest,NULL,Non_Wetland,Grassland
342,Water,NULL,Forest,NULL,Non_Wetland,Forest
343,Water,NULL,Forest,Non_Water,Non_Wetland,NULL
344,Water,NULL,Forest,Non_Water,Non_Wetland,Grassland
345,Water,NULL,Forest,Non_Water,Non_Wetland,Forest
346,Water,NULL,Forest,Water,Non_Wetland,NULL
347,Water,NULL,Forest,Water,Non_Wetland,Grassland
348,Water,NULL,Forest,Water,Non_Wetland,Forest
349,Water,Wetland,Shrubland,NULL,Non_Wetland,NULL
350,Water,Wetland,Shrubland,NULL,Non_Wetland,Grassland
351,Water,Wetland,Wetland,NULL,Wetland,Forest
352,Water,Wetland,Forest,NULL,Non_Wetland,Forest
353,Water,Wetland,Forest,Non_Water,Non_Wetland,Grassland
354,Water,Wetland,Forest,Non_Water,Non_Wetland,Forest
355,Water,Built-up,Shrubland,NULL,Non_Wetland,Grassland
356,Water,Built-up,Shrubland,Water,Non_Wetland,Grassland
357,Water,Built-up,Wetland,NULL,Wetland,Bareland
358,Water,Built-up,Wetland,NULL,Wetland,Forest
359,Water,Built-up,Built-up,NULL,Non_Wetland,Grassland
360,Water,Built-up,Forest,NULL,Non_Wetland,Grassland
361,Water,Water,NULL,NULL,Non_Wetland,Forest
362,Water,Water,NULL,Non_Water,Non_Wetland,Forest
363,Water,Water,NULL,Water,Non_Wetland,Forest
364,Water,Water,Shrubland,NULL,Non_Wetland,NULL
365,Water,Water,Shrubland,NULL,Non_Wetland,Grassland
366,Water,Water,Shrubland,NULL,Non_Wetland,Wetland
367,Water,Water,Shrubland,NULL,Non_Wetland,Forest
368,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL
369,Water,Water,Shrubland,Non_Water,Non_Wetland,Grassland
370,Water,Water,Shrubland,Non_Water,Non_Wetland,Forest
371,Water,Water,Shrubland,Water,Non_Wetland,Grassland
372,Water,Water,Shrubland,Water,Non_Wetland,Wetland
373,Water,Water,Shrubland,Water,Non_Wetland,Forest
374,Water,Water,Cropland,NULL,Non_Wetland,Forest
375,Water,Water,Wetland,NULL,Wetland,NULL
376,Water,Water,Wetland,NULL,Wetland,Grassland
377,Water,Water,Wetland,NULL,Wetland,Water
378,Water,Water,Wetland,NULL,Wetland,Forest
379,Water,Water,Wetland,Non_Water,Wetland,Grassland
380,Water,Water,Wetland,Non_Water,Wetland,Forest
381,Water,Water,Wetland,Water,Wetland,Grassland
382,Water,Water,Wetland,Water,Wetland,Wetland
383,Water,Water,Wetland,Water,Wetland,Bareland
384,Water,Water,Wetland,Water,Wetland,Water
385,Water,Water,Wetland,Water,Wetland,Forest
386,Water,Water,Bareland,NULL,Non_Wetland,Grassland
387,Water,Water,Bareland,NULL,Non_Wetland,Water
388,Water,Water,Bareland,NULL,Non_Wetland,Forest
389,Water,Water,Bareland,Non_Water,Non_Wetland,Forest
390,Water,Water,Bareland,Water,Non_Wetland,Forest
391,Water,Water,Built-up,NULL,Non_Wetland,Forest
392,Water,Water,Built-up,Water,Non_Wetland,Forest
393,Water,Water,Water,NULL,Water,Water
394,Water,Water,Water,NULL,Water,Forest
395,Water,Water,Water,Non_Water,Water,Forest
396,Water,Water,Water,Water,Water,Grassland
397,Water,Water,Water,Water,Water,Water
398,Water,Water,Water,Water,Water,Forest
399,Water,Water,Forest,NULL,Non_Wetland,Grassland
400,Water,Water,Forest,NULL,Non_Wetland,Bareland
401,Water,Water,Forest,NULL,Non_Wetland,Forest
402,Water,Water,Forest,Non_Water,Non_Wetland,Grassland
403,Water,Water,Forest,Non_Water,Non_Wetland,Forest
404,Water,Water,Forest,Water,Non_Wetland,NULL
405,Water,Water,Forest,Water,Non_Wetland,Grassland
406,Water,Water,Forest,Water,Non_Wetland,Wetland
407,Water,Water,Forest,Water,Non_Wetland,Forest
408,Water,Forest,NULL,NULL,Non_Wetland,Forest
409,Water,Forest,NULL,Non_Water,Non_Wetland,Grassland
410,Water,Forest,Shrubland,NULL,Non_Wetland,NULL
411,Water,Forest,Shrubland,NULL,Non_Wetland,Grassland
412,Water,Forest,Shrubland,NULL,Non_Wetland,Wetland
413,Water,Forest,Shrubland,NULL,Non_Wetland,Forest
414,Water,Forest,Shrubland,Non_Water,Non_Wetland,NULL
415,Water,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
416,Water,Forest,Shrubland,Non_Water,Non_Wetland,Forest
417,Water,Forest,Shrubland,Water,Non_Wetland,Grassland
418,Water,Forest,Shrubland,Water,Non_Wetland,Forest
419,Water,Forest,Wetland,NULL,Wetland,Grassland
420,Water,Forest,Wetland,NULL,Wetland,Wetland
421,Water,Forest,Wetland,NULL,Wetland,Forest
422,Water,Forest,Wetland,Non_Water,Wetland,Grassland
423,Water,Forest,Wetland,Non_Water,Wetland,Forest
424,Water,Forest,Wetland,Water,Wetland,Forest
425,Water,Forest,Bareland,NULL,Non_Wetland,Forest
426,Water,Forest,Built-up,NULL,Non_Wetland,Forest
427,Water,Forest,Water,NULL,Water,Grassland
428,Water,Forest,Water,NULL,Water,Forest
429,Water,Forest,Water,Water,Water,Forest
430,Water,Forest,Forest,NULL,Non_Wetland,NULL
431,Water,Forest,Forest,NULL,Non_Wetland,Grassland
432,Water,Forest,Forest,NULL,Non_Wetland,Wetland
