Value,AFRICA_2024_DynamicWorld_2024_38PLV_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38PLV_M_R,AFRICA_2024_GLC_FCS30D_2022_38PLV_M_R,AFRICA_2024_GSW_Yearly_2021_38PLV_M_R,AFRICA_2024_GWL_FCS30D_2022_38PLV_M_R,AFRICA_2024_WorldCover_2021_38PLV_M_R
121,NULL,NULL,Water,Water,NULL,Water
122,NULL,NULL,Water,Water,Water,Grassland
123,NULL,NULL,Water,Water,Water,Bareland
124,NULL,NULL,Water,Water,Water,Water
125,NULL,NULL,Forest,NULL,Non_Wetland,NULL
126,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
127,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
128,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
129,NULL,NULL,Forest,NULL,Non_Wetland,Water
130,NULL,NULL,Forest,NULL,Non_Wetland,Forest
131,NULL,NULL,Forest,Water,Non_Wetland,NULL
132,NULL,NULL,Forest,Water,Non_Wetland,Grassland
133,NULL,NULL,Forest,Water,Non_Wetland,Forest
134,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
135,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
136,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
137,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
138,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up
139,NULL,Cropland,NULL,NULL,Non_Wetland,Forest
140,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
141,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
142,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
143,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
144,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
145,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
146,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
147,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Bareland
148,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland
149,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
150,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
151,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
152,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
153,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
154,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
155,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL
156,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
157,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Bareland
158,NULL,Cropland,Grassland,Water,Non_Wetland,Bareland
159,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
160,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
161,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
162,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
163,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
164,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
165,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL
166,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
167,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Bareland
168,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
169,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
170,NULL,Cropland,Wetland,NULL,Wetland,NULL
171,NULL,Cropland,Wetland,NULL,Wetland,Cropland
172,NULL,Cropland,Wetland,NULL,Wetland,Bareland
173,NULL,Cropland,Wetland,NULL,Wetland,Forest
174,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
175,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
176,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
177,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
178,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
179,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest
180,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
181,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
182,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
183,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
184,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
185,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
186,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL
187,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
188,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
189,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
190,NULL,Cropland,Bareland,Water,Non_Wetland,Grassland
191,NULL,Cropland,Bareland,Water,Non_Wetland,Cropland
192,NULL,Cropland,Bareland,Water,Non_Wetland,Bareland
193,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
194,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
195,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
196,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
197,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
198,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
199,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
200,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
201,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
202,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
203,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL
204,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL
205,NULL,Bareland,NULL,NULL,Non_Wetland,NULL
206,NULL,Bareland,NULL,NULL,Non_Wetland,Cropland
207,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland
208,NULL,Bareland,NULL,NULL,Non_Wetland,Built-up
209,NULL,Bareland,NULL,NULL,Non_Wetland,Water
210,NULL,Bareland,NULL,Non_Water,Non_Wetland,Bareland
211,NULL,Bareland,NULL,Water,Non_Wetland,Bareland
212,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
213,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
214,NULL,Bareland,Shrubland,NULL,Non_Wetland,Cropland
215,NULL,Bareland,Shrubland,NULL,Non_Wetland,Wetland
216,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
217,NULL,Bareland,Shrubland,NULL,Non_Wetland,Built-up
218,NULL,Bareland,Shrubland,NULL,Non_Wetland,Water
219,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Cropland
220,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
221,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
222,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
223,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
224,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
225,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
226,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
227,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
228,NULL,Bareland,Grassland,NULL,Non_Wetland,Water
229,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
230,NULL,Bareland,Grassland,Water,Non_Wetland,NULL
231,NULL,Bareland,Grassland,Water,Non_Wetland,Grassland
232,NULL,Bareland,Grassland,Water,Non_Wetland,Cropland
233,NULL,Bareland,Grassland,Water,Non_Wetland,Bareland
234,NULL,Bareland,Grassland,Water,Non_Wetland,Water
235,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
236,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
237,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
238,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
239,NULL,Bareland,Cropland,NULL,Non_Wetland,Built-up
240,NULL,Bareland,Cropland,NULL,Non_Wetland,Water
241,NULL,Bareland,Cropland,Non_Water,Non_Wetland,NULL
242,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Cropland
243,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Bareland
244,NULL,Bareland,Cropland,Water,Non_Wetland,NULL
245,NULL,Bareland,Cropland,Water,Non_Wetland,Grassland
246,NULL,Bareland,Cropland,Water,Non_Wetland,Cropland
247,NULL,Bareland,Cropland,Water,Non_Wetland,Bareland
248,NULL,Bareland,Wetland,NULL,NULL,Bareland
249,NULL,Bareland,Wetland,NULL,Wetland,NULL
250,NULL,Bareland,Wetland,NULL,Wetland,Grassland
251,NULL,Bareland,Wetland,NULL,Wetland,Bareland
252,NULL,Bareland,Wetland,NULL,Wetland,Water
253,NULL,Bareland,Wetland,Non_Water,Wetland,Water
254,NULL,Bareland,Wetland,Water,NULL,Bareland
255,NULL,Bareland,Wetland,Water,NULL,Water
256,NULL,Bareland,Wetland,Water,Wetland,NULL
257,NULL,Bareland,Wetland,Water,Wetland,Grassland
258,NULL,Bareland,Wetland,Water,Wetland,Wetland
259,NULL,Bareland,Wetland,Water,Wetland,Bareland
260,NULL,Bareland,Wetland,Water,Wetland,Water
261,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
262,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
263,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
264,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
265,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
266,NULL,Bareland,Bareland,NULL,Non_Wetland,Cropland
267,NULL,Bareland,Bareland,NULL,Non_Wetland,Wetland
268,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
269,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
270,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
271,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL
272,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Cropland
273,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
274,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Built-up
275,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Water
276,NULL,Bareland,Bareland,Water,Non_Wetland,NULL
277,NULL,Bareland,Bareland,Water,Non_Wetland,Grassland
278,NULL,Bareland,Bareland,Water,Non_Wetland,Cropland
279,NULL,Bareland,Bareland,Water,Non_Wetland,Wetland
280,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
281,NULL,Bareland,Bareland,Water,Non_Wetland,Built-up
282,NULL,Bareland,Bareland,Water,Non_Wetland,Water
283,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL
284,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
285,NULL,Bareland,Built-up,NULL,Non_Wetland,Cropland
286,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
287,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
288,NULL,Bareland,Built-up,NULL,Non_Wetland,Water
289,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
290,NULL,Bareland,Built-up,Water,Non_Wetland,Bareland
291,NULL,Bareland,Built-up,Water,Non_Wetland,Built-up
292,NULL,Bareland,Built-up,Water,Non_Wetland,Water
293,NULL,Bareland,Water,NULL,NULL,Bareland
294,NULL,Bareland,Water,NULL,Water,Bareland
295,NULL,Bareland,Water,NULL,Water,Water
296,NULL,Bareland,Water,Non_Water,Water,Bareland
297,NULL,Bareland,Water,Water,NULL,Bareland
298,NULL,Bareland,Water,Water,NULL,Water
299,NULL,Bareland,Water,Water,Water,Bareland
300,NULL,Bareland,Water,Water,Water,Water
301,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
302,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
303,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
304,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
305,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
306,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
307,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
308,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
309,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
310,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
311,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
312,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
313,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
314,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
315,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
316,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
317,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
318,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
319,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL
320,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Cropland
321,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
322,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
323,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
324,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
325,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
326,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
327,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL
328,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Cropland
329,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Bareland
330,NULL,Built-up,Cropland,Water,Non_Wetland,NULL
331,NULL,Built-up,Cropland,Water,Non_Wetland,Bareland
332,NULL,Built-up,Wetland,NULL,Wetland,Forest
333,NULL,Built-up,Wetland,Water,NULL,Bareland
334,NULL,Built-up,Wetland,Water,NULL,Water
335,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL
336,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
337,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Cropland
338,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
339,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
340,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
341,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
342,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
343,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
344,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
345,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
346,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
347,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
348,NULL,Built-up,Bareland,Water,Non_Wetland,NULL
349,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
350,NULL,Built-up,Bareland,Water,Non_Wetland,Built-up
351,NULL,Built-up,Bareland,Water,Non_Wetland,Water
352,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
353,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
354,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
355,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
356,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
357,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
358,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
359,NULL,Built-up,Water,NULL,Water,Bareland
360,NULL,Built-up,Water,Water,NULL,Bareland
361,NULL,Built-up,Water,Water,Water,Bareland
362,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
363,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
364,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
365,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
366,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
367,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
368,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL
369,NULL,Water,NULL,NULL,Non_Wetland,Water
370,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
371,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
372,NULL,Water,Shrubland,NULL,Non_Wetland,Water
373,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL
374,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland
375,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
376,NULL,Water,Shrubland,Water,Non_Wetland,Bareland
377,NULL,Water,Shrubland,Water,Non_Wetland,Water
378,NULL,Water,Grassland,NULL,Non_Wetland,NULL
379,NULL,Water,Grassland,NULL,Non_Wetland,Wetland
380,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
381,NULL,Water,Grassland,NULL,Non_Wetland,Water
382,NULL,Water,Grassland,Non_Water,Non_Wetland,Bareland
383,NULL,Water,Grassland,Non_Water,Non_Wetland,Water
384,NULL,Water,Grassland,Water,Non_Wetland,NULL
385,NULL,Water,Grassland,Water,Non_Wetland,Bareland
386,NULL,Water,Grassland,Water,Non_Wetland,Water
387,NULL,Water,Cropland,NULL,Non_Wetland,NULL
388,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
389,NULL,Water,Cropland,NULL,Non_Wetland,Water
390,NULL,Water,Cropland,Non_Water,Non_Wetland,NULL
391,NULL,Water,Cropland,Non_Water,Non_Wetland,Bareland
392,NULL,Water,Cropland,Water,Non_Wetland,Bareland
393,NULL,Water,Cropland,Water,Non_Wetland,Water
394,NULL,Water,Wetland,NULL,NULL,Bareland
395,NULL,Water,Wetland,NULL,NULL,Water
396,NULL,Water,Wetland,NULL,Wetland,NULL
397,NULL,Water,Wetland,NULL,Wetland,Wetland
398,NULL,Water,Wetland,NULL,Wetland,Bareland
399,NULL,Water,Wetland,NULL,Wetland,Water
400,NULL,Water,Wetland,Non_Water,Wetland,NULL
401,NULL,Water,Wetland,Non_Water,Wetland,Wetland
402,NULL,Water,Wetland,Non_Water,Wetland,Bareland
403,NULL,Water,Wetland,Non_Water,Wetland,Water
404,NULL,Water,Wetland,Water,NULL,Bareland
405,NULL,Water,Wetland,Water,NULL,Water
406,NULL,Water,Wetland,Water,Wetland,NULL
407,NULL,Water,Wetland,Water,Wetland,Wetland
408,NULL,Water,Wetland,Water,Wetland,Bareland
409,NULL,Water,Wetland,Water,Wetland,Water
410,NULL,Water,Lichens_and_Mosses,Water,Non_Wetland,Water
411,NULL,Water,Bareland,NULL,Non_Wetland,NULL
412,NULL,Water,Bareland,NULL,Non_Wetland,Wetland
413,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
414,NULL,Water,Bareland,NULL,Non_Wetland,Water
415,NULL,Water,Bareland,Non_Water,Non_Wetland,NULL
416,NULL,Water,Bareland,Non_Water,Non_Wetland,Bareland
417,NULL,Water,Bareland,Non_Water,Non_Wetland,Water
418,NULL,Water,Bareland,Water,Non_Wetland,Bareland
419,NULL,Water,Bareland,Water,Non_Wetland,Water
420,NULL,Water,Built-up,NULL,Non_Wetland,NULL
421,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
422,NULL,Water,Built-up,NULL,Non_Wetland,Water
423,NULL,Water,Built-up,Non_Water,Non_Wetland,Bareland
424,NULL,Water,Built-up,Non_Water,Non_Wetland,Water
425,NULL,Water,Built-up,Water,Non_Wetland,Bareland
426,NULL,Water,Built-up,Water,Non_Wetland,Water
427,NULL,Water,Water,NULL,NULL,Bareland
428,NULL,Water,Water,NULL,NULL,Water
429,NULL,Water,Water,NULL,Water,Bareland
