Value,AFRICA_2024_DynamicWorld_2024_38NLP_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_38NLP_M_R,AFRICA_2024_GLC_FCS30D_2022_38NLP_M_R,AFRICA_2024_GSW_Yearly_2021_38NLP_M_R,AFRICA_2024_GWL_FCS30D_2022_38NLP_M_R,AFRICA_2024_WorldCover_2021_38NLP_M_R
121,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
122,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
123,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
124,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
125,NULL,Bareland,NULL,NULL,Non_Wetland,Grassland
126,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland
127,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
128,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
129,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
130,NULL,Bareland,Shrubland,NULL,Non_Wetland,Built-up
131,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
132,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
133,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
134,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
135,NULL,Bareland,Grassland,Water,Non_Wetland,Bareland
136,NULL,Bareland,Grassland,Water,Non_Wetland,Water
137,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
138,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
139,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
140,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
141,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
142,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL
143,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
144,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
145,NULL,Bareland,Water,Water,Water,Bareland
146,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
147,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
148,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
149,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
150,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
151,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
152,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
153,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
154,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
155,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
156,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
157,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
158,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
159,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
160,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
161,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
162,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
163,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
164,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
165,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
166,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
167,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
168,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
169,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
170,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
171,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
172,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
173,NULL,Water,NULL,NULL,Non_Wetland,NULL
174,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
175,NULL,Water,Grassland,NULL,Non_Wetland,Cropland
176,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
177,NULL,Water,Grassland,Water,Non_Wetland,Grassland
178,NULL,Water,Grassland,Water,Non_Wetland,Cropland
179,NULL,Water,Grassland,Water,Non_Wetland,Bareland
180,NULL,Water,Grassland,Water,Non_Wetland,Water
181,NULL,Water,Wetland,Water,Wetland,Bareland
182,NULL,Water,Wetland,Water,Wetland,Water
183,NULL,Water,Bareland,Water,Non_Wetland,Water
184,NULL,Water,Water,Water,Water,Grassland
185,NULL,Water,Water,Water,Water,Bareland
186,NULL,Water,Water,Water,Water,Water
187,NULL,Forest,NULL,NULL,Non_Wetland,NULL
188,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
189,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
190,NULL,Forest,NULL,NULL,Non_Wetland,Forest
191,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL
192,NULL,Forest,NULL,Water,Non_Wetland,NULL
193,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
194,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
195,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
196,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
197,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
198,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
199,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
200,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
201,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
202,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
203,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
204,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
205,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
206,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
207,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
208,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
209,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
210,NULL,Forest,Wetland,NULL,Wetland,NULL
211,NULL,Forest,Wetland,NULL,Wetland,Grassland
212,NULL,Forest,Wetland,NULL,Wetland,Cropland
213,NULL,Forest,Wetland,NULL,Wetland,Forest
214,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
215,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
216,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
217,NULL,Forest,Bareland,NULL,Non_Wetland,Cropland
218,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
219,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
220,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
221,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
222,NULL,Forest,Forest,NULL,Non_Wetland,NULL
223,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
224,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
225,NULL,Forest,Forest,NULL,Non_Wetland,Forest
226,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
227,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
228,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
229,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
230,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
231,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
232,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
233,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
234,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
235,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL
236,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
237,Grassland,Forest,Shrubland,NULL,Non_Wetland,Cropland
238,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland
239,Grassland,Forest,Grassland,NULL,Non_Wetland,Cropland
240,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL
241,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland
242,Grassland,Forest,Cropland,NULL,Non_Wetland,Cropland
243,Cropland,NULL,NULL,NULL,Non_Wetland,NULL
244,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland
245,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland
246,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL
247,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
248,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland
249,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
250,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
251,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL
252,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
253,Cropland,NULL,Grassland,NULL,Non_Wetland,Cropland
254,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland
255,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
256,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL
257,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
258,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland
259,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland
260,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
261,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL
262,Cropland,NULL,Bareland,NULL,Non_Wetland,Grassland
263,Cropland,NULL,Bareland,NULL,Non_Wetland,Bareland
264,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL
265,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland
266,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland
267,Cropland,NULL,Forest,NULL,Non_Wetland,NULL
268,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
269,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL
270,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland
271,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland
272,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL
273,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
274,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
275,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL
276,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland
277,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland
278,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland
279,Cropland,Cropland,Cropland,NULL,Non_Wetland,NULL
280,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland
281,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland
282,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
283,Cropland,Forest,NULL,NULL,Non_Wetland,NULL
284,Cropland,Forest,NULL,NULL,Non_Wetland,Grassland
285,Cropland,Forest,NULL,NULL,Non_Wetland,Cropland
286,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
287,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
288,Cropland,Forest,Shrubland,NULL,Non_Wetland,Cropland
289,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL
290,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland
291,Cropland,Forest,Grassland,NULL,Non_Wetland,Cropland
292,Cropland,Forest,Grassland,NULL,Non_Wetland,Bareland
293,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL
294,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland
295,Cropland,Forest,Cropland,NULL,Non_Wetland,Cropland
296,Bareland,NULL,NULL,NULL,Non_Wetland,NULL
297,Bareland,NULL,NULL,NULL,Non_Wetland,Grassland
298,Bareland,NULL,NULL,NULL,Non_Wetland,Bareland
299,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL
300,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
301,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
302,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL
303,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
304,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
305,Bareland,NULL,Grassland,NULL,Non_Wetland,Built-up
306,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL
307,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland
308,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL
309,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland
310,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland
311,Bareland,NULL,Built-up,NULL,Non_Wetland,Grassland
312,Bareland,NULL,Built-up,NULL,Non_Wetland,Bareland
313,Bareland,Cropland,Grassland,NULL,Non_Wetland,Grassland
314,Bareland,Forest,Shrubland,NULL,Non_Wetland,Grassland
315,Bareland,Forest,Grassland,NULL,Non_Wetland,Grassland
316,Bareland,Forest,Grassland,NULL,Non_Wetland,Bareland
317,Water,NULL,NULL,NULL,Non_Wetland,Grassland
318,Water,NULL,Grassland,NULL,Non_Wetland,Grassland
319,Forest,NULL,NULL,NULL,Non_Wetland,NULL
320,Forest,NULL,NULL,NULL,Non_Wetland,Grassland
321,Forest,NULL,NULL,NULL,Non_Wetland,Forest
322,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
323,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland
324,Forest,NULL,Shrubland,NULL,Non_Wetland,Cropland
325,Forest,NULL,Shrubland,NULL,Non_Wetland,Bareland
326,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest
327,Forest,NULL,Grassland,NULL,Non_Wetland,NULL
328,Forest,NULL,Grassland,NULL,Non_Wetland,Grassland
329,Forest,NULL,Grassland,NULL,Non_Wetland,Cropland
330,Forest,NULL,Grassland,NULL,Non_Wetland,Forest
331,Forest,NULL,Cropland,NULL,Non_Wetland,NULL
332,Forest,NULL,Cropland,NULL,Non_Wetland,Grassland
333,Forest,NULL,Cropland,NULL,Non_Wetland,Cropland
334,Forest,NULL,Cropland,NULL,Non_Wetland,Forest
335,Forest,NULL,Bareland,NULL,Non_Wetland,NULL
336,Forest,NULL,Bareland,NULL,Non_Wetland,Grassland
337,Forest,NULL,Built-up,NULL,Non_Wetland,NULL
338,Forest,NULL,Built-up,NULL,Non_Wetland,Forest
339,Forest,NULL,Forest,NULL,Non_Wetland,NULL
340,Forest,NULL,Forest,NULL,Non_Wetland,Grassland
341,Forest,NULL,Forest,NULL,Non_Wetland,Forest
342,Forest,Cropland,NULL,NULL,Non_Wetland,NULL
343,Forest,Cropland,Shrubland,NULL,Non_Wetland,NULL
344,Forest,Cropland,Shrubland,NULL,Non_Wetland,Grassland
345,Forest,Cropland,Grassland,NULL,Non_Wetland,NULL
346,Forest,Cropland,Grassland,NULL,Non_Wetland,Grassland
347,Forest,Cropland,Cropland,NULL,Non_Wetland,NULL
348,Forest,Cropland,Cropland,NULL,Non_Wetland,Grassland
349,Forest,Forest,NULL,NULL,Non_Wetland,NULL
350,Forest,Forest,NULL,NULL,Non_Wetland,Grassland
351,Forest,Forest,NULL,NULL,Non_Wetland,Forest
352,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL
353,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland
354,Forest,Forest,Shrubland,NULL,Non_Wetland,Cropland
355,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest
356,Forest,Forest,Grassland,NULL,Non_Wetland,NULL
357,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland
358,Forest,Forest,Grassland,NULL,Non_Wetland,Cropland
359,Forest,Forest,Grassland,NULL,Non_Wetland,Bareland
360,Forest,Forest,Grassland,NULL,Non_Wetland,Forest
361,Forest,Forest,Cropland,NULL,Non_Wetland,NULL
362,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland
363,Forest,Forest,Cropland,NULL,Non_Wetland,Cropland
364,Forest,Forest,Cropland,NULL,Non_Wetland,Forest
365,Forest,Forest,Bareland,NULL,Non_Wetland,NULL
366,Forest,Forest,Bareland,NULL,Non_Wetland,Grassland
367,Forest,Forest,Bareland,NULL,Non_Wetland,Forest
368,Forest,Forest,Forest,NULL,Non_Wetland,NULL
369,Forest,Forest,Forest,NULL,Non_Wetland,Forest
