Value,AFRICA_2024_DynamicWorld_2024_36NVJ_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36NVJ_M_R,AFRICA_2024_GLC_FCS30D_2022_36NVJ_M_R,AFRICA_2024_GSW_Yearly_2021_36NVJ_M_R,AFRICA_2024_GWL_FCS30D_2022_36NVJ_M_R,AFRICA_2024_WorldCover_2021_36NVJ_M_R
121,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
122,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
123,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
124,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
125,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
126,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
127,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
128,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
129,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL
130,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
131,NULL,Cropland,Wetland,NULL,Wetland,NULL
132,NULL,Cropland,Wetland,NULL,Wetland,Grassland
133,NULL,Cropland,Wetland,NULL,Wetland,Cropland
134,NULL,Cropland,Wetland,NULL,Wetland,Wetland
135,NULL,Cropland,Wetland,NULL,Wetland,Forest
136,NULL,Cropland,Wetland,Non_Water,Wetland,Grassland
137,NULL,Cropland,Wetland,Non_Water,Wetland,Wetland
138,NULL,Cropland,Wetland,Non_Water,Wetland,Forest
139,NULL,Cropland,Wetland,Water,Wetland,NULL
140,NULL,Cropland,Wetland,Water,Wetland,Grassland
141,NULL,Cropland,Wetland,Water,Wetland,Wetland
142,NULL,Cropland,Wetland,Water,Wetland,Bareland
143,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
144,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
145,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
146,NULL,Cropland,Bareland,NULL,Non_Wetland,Wetland
147,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
148,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
149,NULL,Cropland,Bareland,NULL,Non_Wetland,Water
150,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
151,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL
152,NULL,Cropland,Bareland,Water,Non_Wetland,NULL
153,NULL,Cropland,Bareland,Water,Non_Wetland,Wetland
154,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
155,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
156,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
157,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
158,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
159,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
160,NULL,Cropland,Water,NULL,Water,NULL
161,NULL,Cropland,Water,Water,Water,NULL
162,NULL,Cropland,Water,Water,Water,Water
163,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
164,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
165,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
166,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
167,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
168,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
169,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
170,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL
171,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
172,NULL,Cropland,Forest,Non_Water,Non_Wetland,Cropland
173,NULL,Cropland,Forest,Non_Water,Non_Wetland,Wetland
174,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
175,NULL,Cropland,Forest,Water,Non_Wetland,Grassland
176,NULL,Cropland,Forest,Water,Non_Wetland,Wetland
177,NULL,Cropland,Forest,Water,Non_Wetland,Forest
178,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
179,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL
180,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL
181,NULL,Wetland,Wetland,NULL,Wetland,NULL
182,NULL,Wetland,Wetland,Non_Water,Wetland,NULL
183,NULL,Wetland,Wetland,Water,Wetland,NULL
184,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
185,NULL,Wetland,Forest,Water,Non_Wetland,NULL
186,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
187,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
188,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
189,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland
190,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
191,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
192,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
193,NULL,Built-up,NULL,Non_Water,Non_Wetland,Cropland
194,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
195,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
196,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
197,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
198,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
199,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
200,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
201,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
202,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
203,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
204,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
205,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
206,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
207,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland
208,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
209,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
210,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
211,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland
212,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
213,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
214,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
215,NULL,Built-up,Wetland,NULL,Wetland,NULL
216,NULL,Built-up,Wetland,NULL,Wetland,Forest
217,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
218,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
219,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
220,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
221,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
222,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
223,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL
224,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
225,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
226,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
227,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland
228,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
229,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
230,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
231,NULL,Built-up,Built-up,Water,Non_Wetland,NULL
232,NULL,Built-up,Water,NULL,Water,NULL
233,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
234,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
235,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
236,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
237,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
238,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
239,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
240,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland
241,NULL,Built-up,Forest,Non_Water,Non_Wetland,Cropland
242,NULL,Water,NULL,NULL,Non_Wetland,NULL
243,NULL,Water,NULL,NULL,Non_Wetland,Grassland
244,NULL,Water,NULL,NULL,Non_Wetland,Wetland
245,NULL,Water,NULL,NULL,Non_Wetland,Bareland
246,NULL,Water,NULL,NULL,Non_Wetland,Water
247,NULL,Water,NULL,NULL,Non_Wetland,Forest
248,NULL,Water,NULL,Non_Water,Non_Wetland,NULL
249,NULL,Water,NULL,Non_Water,Non_Wetland,Water
250,NULL,Water,NULL,Non_Water,Non_Wetland,Forest
251,NULL,Water,NULL,Water,Non_Wetland,NULL
252,NULL,Water,NULL,Water,Non_Wetland,Water
253,NULL,Water,NULL,Water,Non_Wetland,Forest
254,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
255,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
256,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
257,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
258,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
259,NULL,Water,Shrubland,NULL,Non_Wetland,Water
260,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
261,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL
262,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
263,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
264,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
265,NULL,Water,Shrubland,Water,Non_Wetland,NULL
266,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
267,NULL,Water,Shrubland,Water,Non_Wetland,Bareland
268,NULL,Water,Shrubland,Water,Non_Wetland,Water
269,NULL,Water,Shrubland,Water,Non_Wetland,Forest
270,NULL,Water,Grassland,NULL,Non_Wetland,NULL
271,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
272,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
273,NULL,Water,Grassland,NULL,Non_Wetland,Water
274,NULL,Water,Grassland,NULL,Non_Wetland,Forest
275,NULL,Water,Grassland,Non_Water,Non_Wetland,Water
276,NULL,Water,Grassland,Water,Non_Wetland,Grassland
277,NULL,Water,Grassland,Water,Non_Wetland,Bareland
278,NULL,Water,Grassland,Water,Non_Wetland,Water
279,NULL,Water,Cropland,NULL,Non_Wetland,NULL
280,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
281,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
282,NULL,Water,Cropland,NULL,Non_Wetland,Water
283,NULL,Water,Cropland,NULL,Non_Wetland,Forest
284,NULL,Water,Cropland,Non_Water,Non_Wetland,Forest
285,NULL,Water,Cropland,Water,Non_Wetland,NULL
286,NULL,Water,Cropland,Water,Non_Wetland,Water
287,NULL,Water,Wetland,NULL,Wetland,NULL
288,NULL,Water,Wetland,NULL,Wetland,Grassland
289,NULL,Water,Wetland,NULL,Wetland,Wetland
290,NULL,Water,Wetland,NULL,Wetland,Bareland
291,NULL,Water,Wetland,NULL,Wetland,Water
292,NULL,Water,Wetland,NULL,Wetland,Forest
293,NULL,Water,Wetland,Non_Water,Wetland,NULL
294,NULL,Water,Wetland,Non_Water,Wetland,Grassland
295,NULL,Water,Wetland,Non_Water,Wetland,Wetland
296,NULL,Water,Wetland,Non_Water,Wetland,Water
297,NULL,Water,Wetland,Non_Water,Wetland,Forest
298,NULL,Water,Wetland,Water,Wetland,NULL
299,NULL,Water,Wetland,Water,Wetland,Grassland
300,NULL,Water,Wetland,Water,Wetland,Wetland
301,NULL,Water,Wetland,Water,Wetland,Bareland
302,NULL,Water,Wetland,Water,Wetland,Water
303,NULL,Water,Wetland,Water,Wetland,Forest
304,NULL,Water,Bareland,NULL,Non_Wetland,NULL
305,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
306,NULL,Water,Bareland,NULL,Non_Wetland,Cropland
307,NULL,Water,Bareland,NULL,Non_Wetland,Wetland
308,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
309,NULL,Water,Bareland,NULL,Non_Wetland,Water
310,NULL,Water,Bareland,NULL,Non_Wetland,Forest
311,NULL,Water,Bareland,Non_Water,Non_Wetland,NULL
312,NULL,Water,Bareland,Non_Water,Non_Wetland,Grassland
313,NULL,Water,Bareland,Non_Water,Non_Wetland,Bareland
314,NULL,Water,Bareland,Non_Water,Non_Wetland,Water
315,NULL,Water,Bareland,Non_Water,Non_Wetland,Forest
316,NULL,Water,Bareland,Water,Non_Wetland,NULL
317,NULL,Water,Bareland,Water,Non_Wetland,Grassland
318,NULL,Water,Bareland,Water,Non_Wetland,Cropland
319,NULL,Water,Bareland,Water,Non_Wetland,Bareland
320,NULL,Water,Bareland,Water,Non_Wetland,Water
321,NULL,Water,Bareland,Water,Non_Wetland,Forest
322,NULL,Water,Built-up,NULL,Non_Wetland,NULL
323,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
324,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
325,NULL,Water,Built-up,NULL,Non_Wetland,Water
326,NULL,Water,Built-up,NULL,Non_Wetland,Forest
327,NULL,Water,Built-up,Non_Water,Non_Wetland,Forest
328,NULL,Water,Built-up,Water,Non_Wetland,NULL
329,NULL,Water,Built-up,Water,Non_Wetland,Grassland
330,NULL,Water,Built-up,Water,Non_Wetland,Water
331,NULL,Water,Built-up,Water,Non_Wetland,Forest
332,NULL,Water,Water,NULL,Water,NULL
333,NULL,Water,Water,NULL,Water,Grassland
334,NULL,Water,Water,NULL,Water,Water
335,NULL,Water,Water,NULL,Water,Forest
336,NULL,Water,Water,Non_Water,Water,NULL
337,NULL,Water,Water,Non_Water,Water,Water
338,NULL,Water,Water,Non_Water,Water,Forest
339,NULL,Water,Water,Water,Water,NULL
340,NULL,Water,Water,Water,Water,Grassland
341,NULL,Water,Water,Water,Water,Wetland
342,NULL,Water,Water,Water,Water,Bareland
343,NULL,Water,Water,Water,Water,Water
344,NULL,Water,Water,Water,Water,Forest
345,NULL,Water,Forest,NULL,Non_Wetland,NULL
346,NULL,Water,Forest,NULL,Non_Wetland,Grassland
347,NULL,Water,Forest,NULL,Non_Wetland,Cropland
348,NULL,Water,Forest,NULL,Non_Wetland,Wetland
349,NULL,Water,Forest,NULL,Non_Wetland,Bareland
350,NULL,Water,Forest,NULL,Non_Wetland,Water
351,NULL,Water,Forest,NULL,Non_Wetland,Forest
352,NULL,Water,Forest,Non_Water,Non_Wetland,NULL
353,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland
354,NULL,Water,Forest,Non_Water,Non_Wetland,Bareland
355,NULL,Water,Forest,Non_Water,Non_Wetland,Water
356,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
357,NULL,Water,Forest,Water,Non_Wetland,NULL
358,NULL,Water,Forest,Water,Non_Wetland,Grassland
359,NULL,Water,Forest,Water,Non_Wetland,Wetland
360,NULL,Water,Forest,Water,Non_Wetland,Bareland
361,NULL,Water,Forest,Water,Non_Wetland,Water
362,NULL,Water,Forest,Water,Non_Wetland,Forest
363,NULL,Forest,NULL,NULL,Non_Wetland,NULL
364,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
365,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
366,NULL,Forest,NULL,NULL,Non_Wetland,Wetland
367,NULL,Forest,NULL,NULL,Non_Wetland,Built-up
368,NULL,Forest,NULL,NULL,Non_Wetland,Water
369,NULL,Forest,NULL,NULL,Non_Wetland,Forest
370,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL
371,NULL,Forest,NULL,Non_Water,Non_Wetland,Grassland
372,NULL,Forest,NULL,Water,Non_Wetland,NULL
373,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
374,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
375,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
376,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
377,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
378,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
379,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
380,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL
381,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
382,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Cropland
383,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
384,NULL,Forest,Shrubland,Water,Non_Wetland,NULL
385,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
386,NULL,Forest,Shrubland,Water,Non_Wetland,Forest
387,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
388,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
389,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
390,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
391,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
392,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
393,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
394,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
395,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
396,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland
397,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
398,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
399,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL
400,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland
401,NULL,Forest,Cropland,Non_Water,Non_Wetland,Cropland
402,NULL,Forest,Wetland,NULL,Wetland,NULL
403,NULL,Forest,Wetland,NULL,Wetland,Grassland
404,NULL,Forest,Wetland,NULL,Wetland,Wetland
405,NULL,Forest,Wetland,NULL,Wetland,Forest
406,NULL,Forest,Wetland,Non_Water,Wetland,NULL
407,NULL,Forest,Wetland,Non_Water,Wetland,Grassland
408,NULL,Forest,Wetland,Non_Water,Wetland,Wetland
409,NULL,Forest,Wetland,Non_Water,Wetland,Forest
410,NULL,Forest,Wetland,Water,Wetland,NULL
411,NULL,Forest,Wetland,Water,Wetland,Grassland
412,NULL,Forest,Wetland,Water,Wetland,Forest
413,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
414,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
415,NULL,Forest,Bareland,NULL,Non_Wetland,Wetland
416,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
417,NULL,Forest,Bareland,Non_Water,Non_Wetland,NULL
418,NULL,Forest,Bareland,Non_Water,Non_Wetland,Forest
419,NULL,Forest,Bareland,Water,Non_Wetland,NULL
420,NULL,Forest,Bareland,Water,Non_Wetland,Grassland
421,NULL,Forest,Bareland,Water,Non_Wetland,Forest
422,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
423,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
424,NULL,Forest,Built-up,NULL,Non_Wetland,Cropland
425,NULL,Forest,Built-up,NULL,Non_Wetland,Bareland
426,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
427,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
428,NULL,Forest,Built-up,Non_Water,Non_Wetland,Forest
429,NULL,Forest,Built-up,Water,Non_Wetland,Forest
430,NULL,Forest,Water,NULL,Water,NULL
431,NULL,Forest,Water,NULL,Water,Forest
432,NULL,Forest,Water,Non_Water,Water,NULL
433,NULL,Forest,Water,Non_Water,Water,Wetland
434,NULL,Forest,Water,Water,Water,NULL
435,NULL,Forest,Water,Water,Water,Forest
436,NULL,Forest,Forest,NULL,Non_Wetland,NULL
437,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
438,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
439,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
440,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
