Value,AFRICA_2024_DynamicWorld_2024_36PVU_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_36PVU_M_R,AFRICA_2024_GLC_FCS30D_2022_36PVU_M_R,AFRICA_2024_GSW_Yearly_2021_36PVU_M_R,AFRICA_2024_GWL_FCS30D_2022_36PVU_M_R,AFRICA_2024_WorldCover_2021_36PVU_M_R
120,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
121,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Built-up
122,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
123,NULL,Cropland,Shrubland,Water,Non_Wetland,Cropland
124,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
125,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
126,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
127,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland
128,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
129,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
130,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
131,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
132,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
133,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Built-up
134,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland
135,NULL,Cropland,Grassland,Water,Non_Wetland,Cropland
136,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
137,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
138,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
139,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
140,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
141,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
142,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
143,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
144,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
145,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
146,NULL,Cropland,Cropland,Water,Non_Wetland,Cropland
147,NULL,Cropland,Cropland,Water,Non_Wetland,Bareland
148,NULL,Cropland,Wetland,NULL,Wetland,NULL
149,NULL,Cropland,Wetland,NULL,Wetland,Grassland
150,NULL,Cropland,Wetland,NULL,Wetland,Cropland
151,NULL,Cropland,Wetland,NULL,Wetland,Wetland
152,NULL,Cropland,Wetland,NULL,Wetland,Forest
153,NULL,Cropland,Wetland,Non_Water,Wetland,Bareland
154,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
155,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
156,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
157,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
158,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
159,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
160,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
161,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
162,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
163,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Grassland
164,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
165,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
166,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
167,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
168,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
169,NULL,Wetland,NULL,NULL,Non_Wetland,NULL
170,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
171,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland
172,NULL,Wetland,NULL,NULL,Non_Wetland,Forest
173,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
174,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
175,NULL,Wetland,Shrubland,NULL,Non_Wetland,Cropland
176,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
177,NULL,Wetland,Shrubland,NULL,Non_Wetland,Built-up
178,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
179,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
180,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Forest
181,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
182,NULL,Wetland,Shrubland,Water,Non_Wetland,Cropland
183,NULL,Wetland,Shrubland,Water,Non_Wetland,Wetland
184,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL
185,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
186,NULL,Wetland,Grassland,NULL,Non_Wetland,Cropland
187,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland
188,NULL,Wetland,Grassland,NULL,Non_Wetland,Bareland
189,NULL,Wetland,Grassland,NULL,Non_Wetland,Built-up
190,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
191,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL
192,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
193,NULL,Wetland,Cropland,NULL,Non_Wetland,Cropland
194,NULL,Wetland,Cropland,NULL,Non_Wetland,Wetland
195,NULL,Wetland,Cropland,NULL,Non_Wetland,Bareland
196,NULL,Wetland,Cropland,NULL,Non_Wetland,Forest
197,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Forest
198,NULL,Wetland,Cropland,Water,Non_Wetland,Grassland
199,NULL,Wetland,Cropland,Water,Non_Wetland,Cropland
200,NULL,Wetland,Cropland,Water,Non_Wetland,Wetland
201,NULL,Wetland,Wetland,NULL,Wetland,NULL
202,NULL,Wetland,Wetland,NULL,Wetland,Grassland
203,NULL,Wetland,Wetland,NULL,Wetland,Cropland
204,NULL,Wetland,Wetland,NULL,Wetland,Wetland
205,NULL,Wetland,Wetland,NULL,Wetland,Forest
206,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland
207,NULL,Wetland,Wetland,Non_Water,Wetland,Forest
208,NULL,Wetland,Wetland,Water,Wetland,Grassland
209,NULL,Wetland,Wetland,Water,Wetland,Wetland
210,NULL,Wetland,Wetland,Water,Wetland,Water
211,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland
212,NULL,Wetland,Bareland,NULL,Non_Wetland,Forest
213,NULL,Wetland,Built-up,NULL,Non_Wetland,Cropland
214,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland
215,NULL,Wetland,Built-up,NULL,Non_Wetland,Built-up
216,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
217,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
218,NULL,Wetland,Forest,NULL,Non_Wetland,Cropland
219,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland
220,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
221,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
222,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
223,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
224,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
225,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
226,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
227,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
228,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
229,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
230,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
231,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
232,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
233,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
234,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
235,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
236,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
237,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
238,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
239,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
240,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
241,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
242,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
243,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
244,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
245,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
246,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Cropland
247,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Built-up
248,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Forest
249,NULL,Built-up,Grassland,Water,Non_Wetland,Grassland
250,NULL,Built-up,Grassland,Water,Non_Wetland,Cropland
251,NULL,Built-up,Grassland,Water,Non_Wetland,Bareland
252,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
253,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
254,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
255,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
256,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
257,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
258,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
259,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Cropland
260,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Bareland
261,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Built-up
262,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
263,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland
264,NULL,Built-up,Cropland,Water,Non_Wetland,Cropland
265,NULL,Built-up,Cropland,Water,Non_Wetland,Bareland
266,NULL,Built-up,Wetland,NULL,Wetland,NULL
267,NULL,Built-up,Wetland,NULL,Wetland,Grassland
268,NULL,Built-up,Wetland,NULL,Wetland,Forest
269,NULL,Built-up,Wetland,Non_Water,Wetland,Cropland
270,NULL,Built-up,Wetland,Non_Water,Wetland,Forest
271,NULL,Built-up,Wetland,Water,Wetland,Forest
272,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
273,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
274,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
275,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
276,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
277,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
278,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
279,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
280,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
281,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
282,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
283,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland
284,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
285,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
286,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
287,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
288,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
289,NULL,Water,NULL,NULL,Non_Wetland,NULL
290,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
291,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
292,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
293,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
294,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
295,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
296,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
297,NULL,Water,Cropland,NULL,Non_Wetland,Forest
298,NULL,Water,Cropland,Water,Non_Wetland,Grassland
299,NULL,Water,Cropland,Water,Non_Wetland,Cropland
300,NULL,Water,Cropland,Water,Non_Wetland,Wetland
301,NULL,Water,Bareland,Water,Non_Wetland,Grassland
302,NULL,Water,Forest,NULL,Non_Wetland,NULL
303,NULL,Water,Forest,NULL,Non_Wetland,Grassland
304,NULL,Forest,NULL,NULL,Non_Wetland,NULL
305,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
306,NULL,Forest,NULL,NULL,Non_Wetland,Cropland
307,NULL,Forest,NULL,NULL,Non_Wetland,Forest
308,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
309,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
310,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
311,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
312,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
313,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
314,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
315,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
316,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
317,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
318,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland
319,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
320,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
321,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
322,NULL,Forest,Cropland,NULL,Non_Wetland,Wetland
323,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
324,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL
325,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland
326,NULL,Forest,Cropland,Water,Non_Wetland,Grassland
327,NULL,Forest,Wetland,NULL,Wetland,NULL
328,NULL,Forest,Wetland,NULL,Wetland,Wetland
329,NULL,Forest,Wetland,NULL,Wetland,Forest
330,NULL,Forest,Built-up,NULL,Non_Wetland,NULL
331,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
332,NULL,Forest,Forest,NULL,Non_Wetland,NULL
333,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
334,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
335,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
336,NULL,Forest,Forest,NULL,Non_Wetland,Forest
337,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
338,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
339,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
340,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland
341,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
342,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL
343,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
344,Grassland,NULL,NULL,Non_Water,Non_Wetland,Cropland
345,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland
346,Grassland,NULL,NULL,Non_Water,Non_Wetland,Forest
347,Grassland,NULL,NULL,Water,Non_Wetland,Cropland
348,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
349,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
350,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
351,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
352,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
353,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
354,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland
355,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland
356,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
357,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
358,Grassland,NULL,Shrubland,Water,Non_Wetland,Cropland
359,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland
360,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
361,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
362,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
363,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland
364,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland
365,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
366,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL
367,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
368,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Cropland
369,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland
370,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Bareland
371,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Forest
372,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland
373,Grassland,NULL,Grassland,Water,Non_Wetland,Cropland
374,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland
375,Grassland,NULL,Grassland,Water,Non_Wetland,Bareland
376,Grassland,NULL,Grassland,Water,Non_Wetland,Water
377,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL
378,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
379,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
380,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland
381,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
382,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland
383,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Cropland
384,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland
385,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Forest
386,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland
387,Grassland,NULL,Cropland,Water,Non_Wetland,Cropland
388,Grassland,NULL,Cropland,Water,Non_Wetland,Forest
389,Grassland,NULL,Wetland,NULL,Wetland,NULL
390,Grassland,NULL,Wetland,NULL,Wetland,Grassland
391,Grassland,NULL,Wetland,NULL,Wetland,Cropland
392,Grassland,NULL,Wetland,NULL,Wetland,Wetland
393,Grassland,NULL,Wetland,NULL,Wetland,Forest
394,Grassland,NULL,Wetland,Non_Water,Wetland,NULL
395,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
396,Grassland,NULL,Wetland,Non_Water,Wetland,Cropland
397,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland
398,Grassland,NULL,Wetland,Non_Water,Wetland,Water
399,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
400,Grassland,NULL,Wetland,Water,Wetland,NULL
401,Grassland,NULL,Wetland,Water,Wetland,Grassland
402,Grassland,NULL,Wetland,Water,Wetland,Cropland
403,Grassland,NULL,Wetland,Water,Wetland,Wetland
404,Grassland,NULL,Wetland,Water,Wetland,Water
405,Grassland,NULL,Wetland,Water,Wetland,Forest
406,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
407,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
408,Grassland,NULL,Bareland,NULL,Non_Wetland,Cropland
409,Grassland,NULL,Bareland,NULL,Non_Wetland,Wetland
410,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Cropland
411,Grassland,NULL,Built-up,NULL,Non_Wetland,Cropland
412,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Cropland
413,Grassland,NULL,Water,NULL,Water,Forest
414,Grassland,NULL,Water,Non_Water,Water,Wetland
415,Grassland,NULL,Water,Non_Water,Water,Forest
416,Grassland,NULL,Water,Water,Water,Wetland
417,Grassland,NULL,Water,Water,Water,Water
418,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
419,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
420,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
421,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
422,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
423,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL
